[0] 0:02	[Music]
[133] 14:13	very much but i do think i do think the earliest reference i believe is in the um pyramid texts
[134] 14:19	so thank you very much for the question in the super chat okay 501 mobius for five dollars thank
[135] 14:26	you very much if that moses the third was the pharaoh
[136] 14:32	of joseph and had a temple at of amon at karnak why would the hexos
[137] 14:38	king have a temple at karnak
[138] 14:45	he wouldn't [Laughter] yeah moses the third was was not
[139] 14:52	not the pharaoh at joseph's time that much we know
[140] 14:58	moses the third was a theban prince and uh the hicks kings did never made it to
[141] 15:04	thieves they never conquered thieves so uh that one's kind of that's kind of a non-starter so
[142] 15:13	but very entertaining question uh the whole the whole issue of uh
[143] 15:20	of um joseph um the king during joseph's time being
[144] 15:26	topmost is the third just makes no sense at all um it's hard to know even where to start
[145] 15:31	with that one um i i that one's kind of new to me i've um i've heard a lot of interesting
[146] 15:39	suggestions for for the king that reigned during joseph's time but you know that one that one sort of really
[147] 15:45	presses the limits but great super chat thank you very much uh and
[148] 15:52	who's next here and we got mouthwash
[149] 15:57	or i think 30 israeli shekels thank you very much
[150] 16:03	uh do you think egyptians had real magic as seen in the plague's narrative
[151] 16:08	some anthropologists accept the existence of anonymity
[152] 16:14	anomalies and tribal rituals are cults but i'm not qualified to assert such a thing hmm
[153] 16:24	um that's uh that that question's a bit
[154] 16:29	difficult to answer um because first of all i mean i am a historian um i don't
[155] 16:35	comment generally on whether or not uh real magic exists because that's more of
[156] 16:40	a that's a religious question um did they have
[157] 16:47	arlo tricks that they use to emulate magic i think so yeah yum uh we do have some
[158] 16:53	evidence of that actually of statues being rigged with chords that
[159] 16:58	could be moved um under circumstances like there's a um
[160] 17:04	a statue of um horus at the oriental institute that actually has a hole drilled for it
[161] 17:12	so that when you asked horus the priest would be behind a wall somewhere with a string pulling
[162] 17:19	the string to make the beak move as the priest spoke now this also begs the question of was
[163] 17:27	anyone actually fooled by this and and i would say no i don't think anyone was actually fooled
[164] 17:32	by that i think there's a social contract there that people just accepted that it came from a priestly voice
[165] 17:38	and therefore that um that um that
[166] 17:45	the priest was speaking on behalf of the gods now this whole miracles of the snakes
[167] 17:52	yeah a little sleight of hand uh uh probably any modern magician today can do that
[168] 17:58	uh but that that's what we see interesting about these um the plague narratives too is that
[169] 18:04	things you know they start off with these sort of simple almost look like parlor tricks but they
[170] 18:11	gradually get more and more complex and really beyond the ability
[171] 18:16	of the egyptian priests to be able to form perform these
[172] 18:22	these these miracles so we know that the egyptians
[173] 18:28	definitely practiced magic that much we know um did they have actually any real
[174] 18:35	magical power as they performed magic that's that's an impossible question to
[175] 18:40	answer but i really appreciate the question and thank you very much for the super chat
[176] 18:49	okay uh five dollar super chat from muhammad
[177] 18:54	karam what is the earliest record of the canaanite languages that we have
[178] 19:01	okay the earliest record of the canaanite languages and canaanite
[179] 19:07	languages are part of what's called west semitic languages
[180] 19:14	would have to come from at least umamira that's probably the earliest record we have of canaanite languages now
[181] 19:23	this is not the earliest semitic languages the earliest semitic language we have is
[182] 19:28	actually uh acadian but uh we have from say um
[183] 19:37	uh um elmara at least evidence that there was canaanite language um and writing
[184] 19:43	going back to about 2350 2400 bc uh during the um uh say early bronze age
[185] 19:52	so we do have that so there is there is evidence that the canaanites had
[186] 19:57	language and even had writing as as early as as um the third
[187] 20:02	millennium so uh that's probably the earliest we have and that discovery comes from syria
[188] 20:09	so that's probably the the earliest we get from say canaanite languages but we don't exactly
[189] 20:16	know how to translate that language yet we we guess it is some sort of semitic language and that's about the
[190] 20:21	best we can do at the moment for that until at least until the discoveries get published and and more people
[191] 20:27	are well published and more people have access to the texts so uh great question thank you very much
[192] 20:34	for the super chat and let's see here
[193] 20:42	moises salazar for five dollars can you explain the submarine and helicopter
[194] 20:49	and while near hieroglyphs okay you're talking about uh dendera temple here now
[195] 20:56	uh what you have with the the helicopter is is what's called a palam cyst
[196] 21:03	it's basically you have one writing somebody did one set of writing and the
[197] 21:08	end there's a if you go to our temple they actually have a plaque there where they explain
[198] 21:13	all the superimposed hieroglyphs there and how it's not really a higher
[199] 21:19	submarine or a helicopter is is really one hieroglyph and then a later writer came along
[200] 21:24	and um and wrote another hieroglyph over top of it
[201] 21:33	so it wasn't originally uh written like a a helicopter it was just a a
[202] 21:40	visual effect of the palm system so that's what's happening there so
[203] 21:48	it's it's one writing being written over top now we do know that the egyptians did occasionally
[204] 21:54	write over other people's writing you know can come king kings come kings go but writing is
[205] 22:01	eternal unless your successor tries to erase it and does his own thing over it
[206] 22:06	well how uh smart kings kind of got this is they they carved their hieroglyphs
[207] 22:13	really really deep so it became impractical to just rub them out uh we see this particularly at the
[208] 22:20	beginning of of the reign of ramses ii he does this a lot
[209] 22:25	where like you for example you can go to um say luxor temple and you can see writing
[210] 22:31	that was uh ordered by ramses ii and i kid you not it's like six inches into
[211] 22:38	the rock i mean those hieroglyphs are deeply dug there's you're not going to be able to
[212] 22:44	gouge those out and replace them and that was the point is that they were not meant
[213] 22:49	they weren't replaceable so it's a it's a it's it's a very
[214] 22:55	interesting optical effect that we see we see a helicopter but with what it really is is
[215] 23:02	one one king writing over the other anyway thank you very much for the super chat very interesting question
[216] 23:13	okay captain ahab five dollar super chat thank you very much uh what is your opinion on the
[217] 23:18	hypothesis that only the levites experience an exodus from egypt okay uh this is this is friedman's hypothesis
[218] 23:25	of the levite exodus and um i i think i've addressed this already on
[219] 23:31	uh some of the channel uh some of the super chats in previous episodes of the live stream
[220] 23:38	but essentially friedman's hypothesis is an attempt to save the documentary
[221] 23:44	hypothesis what friedman has is he's
[222] 23:50	he's you know he's a biblical studies guy you know he's he's really beholden to the documentary hypothesis but he still wants
[223] 23:57	a um a a exitus that he can sort of you know
[224] 24:02	latch onto how he wants to preserve the exodus while maintaining the documentary
[225] 24:08	hypothesis so if you go to any of his lectures you know he he will talk for like you know if
[226] 24:14	he's got an hour lecture he'll talk 45 minutes on the documentary hypothesis and then he sort of attacks on this well
[227] 24:21	you know the there's this memorial of a small levite um exodus where
[228] 24:29	the levites you know migrate to um to kanan and transform the resident
[229] 24:35	culture and then that becomes mythologized and redacted over the years and eventually
[230] 24:41	comes into the torah okay now the my problem with this this
[231] 24:47	hypothesis is that um i don't buy the doctor inventory hypothesis one bit
[232] 24:53	uh i think the evidence is really against the documentary hypothesis you know it's a it's a theory that's
[233] 25:00	essentially circular it's got a lot of confirmation bias they're basically seeing what they want to see in it
[234] 25:06	so without a documentary hypothesis the levite exodus really loses its
[235] 25:12	justification for existing so i don't think it can hold a lot of
[236] 25:18	water uh especially when you start putting in the timings such as say the conquest of hotzor and jericho you know it's just
[237] 25:25	this thing just falls apart faster than you can then you can sort of blow wind at it so um
[238] 25:33	so that's sort of my opinion of of the levite exodus thank you very much for the
[239] 25:39	question very very much appreciated and let's hear
[240] 25:46	another super chat from boise salazar for five dollars thank you very much
[241] 25:54	plato mentioned that there were references to atlantis in egypt any true or corroboration um
[242] 26:02	wow um no [Laughter]
[243] 26:08	um we don't know exactly where plato got his references to atlantis from
[244] 26:15	uh there was some speculation that it was between the pillars of hercules wherever that was
[245] 26:21	you know somebody said you know has has postulated that one of the pillar was at gibraltar the
[246] 26:26	other was in in uh egypt you know particularly like
[247] 26:32	the pyramids of the karnak or something like that but but no one really knows where the supposed other second pillar of of
[248] 26:38	hercules was so i i don't think here that there's a lot of um corroboration
[249] 26:47	for any of the um any of this this the stories of
[250] 26:53	atlantis that um um plato has sort of passed down now some people have suggested that it might
[251] 26:59	be santorini you know um you know the explosion of the the
[252] 27:04	volcano at santorini that caused most of the the occupants to perish and the whole city to be just the whole island to be
[253] 27:10	destroyed maybe maybe not again there's no
[254] 27:16	there's not enough evidence here to to give it proof one way or the other so at this point all we have is a
[255] 27:21	story so i think that's where we sort of stand with uh plato's um
[256] 27:27	uh atlantis theory but thank you very much for the super chat very much appreciated and uh great and
[257] 27:35	interesting question a very interesting question okay
[258] 27:43	next one uh muhammad kharam again thank you very much for the five dollar super chat uh do you think we'll ever find be able
[259] 27:50	to find out how the egyptians pronounce their language well we actually have a fair uh fairly good idea
[260] 27:57	of how the egyptians pronounce their language and the reason why we have that idea is because um the last stage of the
[261] 28:06	egyptian language actually survived into modern times which is coptic
[262] 28:11	coptic is essentially late egyptian with a little bit of uh about 10
[263] 28:18	greek thrown in and with a different sort of pronunciation of oh sorry not pronunciation um uh
[264] 28:26	alphabet they use a greek alphabet with six supplemental characters so when um shampoo leon did his
[265] 28:35	uh decryption of hieroglyphs he actually did it uh i mean we all know
[266] 28:41	about the say the his use of the cartouches of uh cleopatra and ptolemy to
[267] 28:49	decrypt hieroglyphs what was less often known is he actually used coptic
[268] 28:57	to as as sort of the language template to the to actually decode the language
[269] 29:04	so we already had some idea of how it was spoken how it was pronounced and he was able to
[270] 29:11	then sort of um decode hieroglyphs using uh optic
[271] 29:19	so we do have some idea of how egyptians pronounce the language now we don't have a complete idea
[272] 29:26	because we don't actually have a completely sort of um historical catalog of how it changed
[273] 29:33	over time and we do know that the egyptian language did change over the time and it's those changes that are sort of
[274] 29:39	um up in the air like for example how the vulture bird or the aleph is pronounced that's
[275] 29:44	that's a very controversial thing and many um many egyptologists have varying
[276] 29:50	opinions on how the alpha is supposed to be pronounced the same thing with the armed character or what's sometimes called the ion
[277] 29:57	same deal but some were actually very very familiar with and like the um ember the
[278] 30:04	owl you know that's a that's a name or an m and that's been consistent throughout
[279] 30:09	egypt's history so we know how that's pronounced uh vowels less some less sure because
[280] 30:16	uh egyptian did not really record its vowels until coptic so we don't know if there were any vowel
[281] 30:23	changes that happened also early on as well so with coptic we're close but we're not
[282] 30:28	quite there so i hope that answers your question thank you very much for the super chat
[283] 30:34	very much appreciate that okay
[284] 30:46	we have a five dollar super chat from uh tyler mckayley any advice for studying egyptian books
[285] 30:52	websites etc um best advice i can get you give you is
[286] 30:57	go to a university okay because uh it's it's a hard hard
[287] 31:05	language to to to be focused on day in and day out
[288] 31:10	and and do the work you you almost need someone to drive you to do it it's it's but i will say this there are some
[289] 31:17	good resources now resources have never been better for for learning egyptian on your own
[290] 31:24	um i have a small series on how to at least pronounce the alphabet and to draw it uh
[291] 31:32	you can find that in in one of the video lists um books i would actually for for books
[292] 31:38	there's actually several good books now on on a studying egyptian uh um mark collier's book on
[293] 31:46	um on hieroglyphs is very very good i'll say that it's short it's very very
[294] 31:51	good it doesn't get into advanced topics but for as an introductory text is very
[295] 31:56	good uh james hawk's book is more advanced um that's also very good and
[296] 32:04	as a solid reference grammar um it's it's this book is really hard to get now um
[297] 32:12	so if if you can get it uh hang on to it which is gardner's
[298] 32:17	um um egyptian grammar third edition
[299] 32:22	it's it's it's excellent it's it's long in the tooth admittedly there's been some changes and discoveries that have
[300] 32:27	been made since since he uh last published it in 1950s or 70s or something like that but
[301] 32:33	but it's very it's a very good reference grammar but it's hard to get now it's out of print and it's very very hard to
[302] 32:40	get and prices on that have just gone shot through the roof it's like any egyptian book that goes out of print as soon as
[303] 32:46	a book on ancient egypt goes out of print it starts doubling and tripling and goes up
[304] 32:52	astronomically in price you know uh some of these egyptian books that
[305] 32:58	were you know say 40 bucks new have become 4 000 on the used market so um
[306] 33:07	i would suggest getting your hands on um you know say some of those those books if you can if you can get if
[307] 33:13	you can get a sweet deal on say the pdf of gardner's book that might be your best bet um
[308] 33:21	i didn't advise you to do that by the way but it is out of print now so it is it
[309] 33:28	is getting very very difficult to get okay so thank you very much for the super chat very much appreciate it and i
[310] 33:34	hope that answered your question
[311] 33:40	okay we have a 499 super chat from matthew harl uh what religious papyri should i read
[312] 33:47	other than the book of the get dead coffin and pyramid texts and sin away i'm stuck and
[313] 33:54	i don't know what else there is oh boy wow um
[314] 34:01	there's actually a lot of religious texts um not so much papyri um there there we
[315] 34:07	have a lot less pyrite than we have say of of say monuments religious monuments and steely
[316] 34:13	um stuff like eeker no fritz uh is a very important steely uh there's
[317] 34:20	um like the wisdoms uh texts we sign and find a lot of wisdom texts
[318] 34:25	uh like uh uh and uh if aware you know there's a lot
[319] 34:34	of those um i would also recommend say the um papyrus westcar
[320] 34:40	uh that has that's that's not so much a a religious text but it does have a lot of
[321] 34:45	insight into egyptian religion there so it depends on where you want to go here because there's a lot of texts
[322] 34:52	uh you could even read say some of the religious texts on say that were inscribed in karnak temple
[323] 34:57	like the annals of topmosus iii it's a war text but it's also a religious text um
[324] 35:03	all these texts are essentially the thing is 99 of the texts we get from egypt are
[325] 35:10	religious texts most of the texts we find in egypt are
[326] 35:16	religious texts it's it's sort of the reverse situation that we find say in mesopotamia where most of the texts in mesopotamia
[327] 35:24	are receipts we actually find few receipts in egypt in a lot of religious texts
[328] 35:30	so the world is sort of your oyster here on this one so if you're looking for religious texts
[329] 35:35	you aren't going to go wrong there's lots of them lots of them you can pick up almost any
[330] 35:40	anthology of egyptian literature like uh miriam lick times or a william kelly simpson's anthology
[331] 35:48	and just find lots and lots of religious texts and you can find them going from the
[332] 35:54	middle kingdom all the way into the ptolemaic period and roman periods so there's there's huge amount of breath
[333] 36:00	here so thank you very much for the super chat um really very much appreciated
[334] 36:09	okay another uh super chat from mouthwash 15 shekels thank you very much
[335] 36:16	uh disciples uh question regarding the jews of elementaini okay now i'm gonna have to hunt that
[336] 36:22	down see
[337] 36:29	all right i think you mean this one oh nope that's not it um
[338] 36:37	disciple christ question is that it okay um
[339] 36:47	got a blank screen here for a moment okay all right uh what is the story behind
[340] 36:52	the jews at elephantini why were they there why were they distinct from their brethren in any
[341] 36:58	interesting ways yeah actually they were um distinct in some ways
[342] 37:06	the and i'm going to actually throw up the the the picture of elementini again just
[343] 37:12	because it's really really interesting now this is the aramaic what they call the aramaic quarter at
[344] 37:18	alfentini um and um actually a fair amount of this survived
[345] 37:24	including actually a lot of texts written in aramaic so
[346] 37:29	we do know from these texts that these were refugees from um from israel fleeing nebuchadnezzar
[347] 37:36	so that's how they get there but once they're there what happens is they become mercenaries uh for the
[348] 37:44	uh for the egyptians and they were also
[349] 37:51	fell into say a lot of um oh pagan practices as well
[350] 37:58	so while they did set up a a temple to yahweh while at elephantini
[351] 38:06	they also burned incense to balat the uh the consort of ball
[352] 38:13	um they did libation and food offerings to um say the goddess
[353] 38:19	moot a mother of heaven so there's there's there's actually um a lot of ways they
[354] 38:26	were different now one of the things that they they did try to do is while they were sort of distinct from
[355] 38:32	their um um brethren that stayed in canaan
[356] 38:38	uh they also tried to maintain close links too with kanan as well
[357] 38:45	so there's there's mentions in some of the um papyri of them having sent letters back to
[358] 38:52	uh long um just associated say family groups so
[359] 38:58	you know they would send letters back to kanan and presumably although we don't know how uh
[360] 39:04	what those letters contain receive some back as well
[361] 39:11	and there's some suggestion that they tried to maintain these um relations for over at least two
[362] 39:19	centuries so it's very very interesting to see how they tried to maintain
[363] 39:25	those close ties even though
[364] 39:30	um even though they even though they were not they were
[365] 39:37	separated by a huge amount of distance and elephantini was the sort of the sort of place where
[366] 39:43	that an israelite fled to when he really didn't want to ever go back
[367] 39:49	so it had that sort of connotation of you know you go to elephantina you're not ever coming back so these are not places that
[368] 39:56	people you know temporarily stayed these this is these are people that went into permanent exile
[369] 40:04	with that said um the colony here survived the temple of
[370] 40:10	yahweh was eventually destroyed by a um by the priests of canoon
[371] 40:16	now the temple yahweh was actually right next door to the templar canoe so
[372] 40:22	if we kept going right off the off the photo here we'd actually hit the template canoe
[373] 40:29	and elephant tv was founded for uh for this this this temple so
[374] 40:37	um there was apparently uh quite a bit of friction between um the israelites and the egyptians that
[375] 40:45	were there and there were riots and that those riots led to ultimately the destruction of the temple there
[376] 40:52	but the colony managed to survive into roughly about the first century bc after that and we don't know what have
[377] 40:58	actually happened to the residents so that's sort of the history of the
[378] 41:03	israelite colony there at elephantini so uh i hope that answers
[379] 41:09	uh disciple of christ question and that super chat that referred back to it
[380] 41:16	so let's see what's next here
[381] 41:23	uh i think moses sells ours next here for five
[382] 41:29	dollars about jericho the greens were still in storage and findings are in accordance with the
[383] 41:35	biblical account is that true yes uh you do find chartering at uh the
[384] 41:40	middle bronze destruction at jericho but you also find it other places too here's the thing one of the things
[385] 41:46	is that the char grain will be you'll find char grain it at any any
[386] 41:51	site that's been destroyed with fire you know that's just yeah that's that's not remarkable
[387] 41:58	so that doesn't actually tell us much um in fact there's there's a there's a
[388] 42:04	field called um paleobotany where you know along with your say your
[389] 42:10	your your excavation team who might consist of ceramicist
[390] 42:15	osteologists who study bones you'll also find these paleobotanists who will basically
[391] 42:21	go through plant remains and seeds and they find tons and tons of charred grains and
[392] 42:28	cities have been destroyed by fire so again not unusual this very very
[393] 42:34	common in sites that have had any sort of destruction at all so is it true yes is it remarkable
[394] 42:42	no unfortunately it doesn't really tell us anything and um i think too much is made of this
[395] 42:49	because as i said you'll find this in in any site with uh destruction there by fire so but
[396] 42:55	interesting question thank you very much for the super chat
[397] 43:02	okay uh muhammad karam again five dollars thank you very much uh you're on a roll with the super chats
[398] 43:08	have any of shampooing's works been translated into english uh yes a lot of them have uh not all of
[399] 43:15	them some of his journals haven't been translated into english but his major
[400] 43:21	all his major works have been translated into english i would like to see how he deciphered the rest of egyptian instead of just the
[401] 43:27	cartouches okay now he does have certain idiosyncrasies that have been
[402] 43:34	again you know things have been refined since champolian's time
[403] 43:39	so this is why we don't exactly use his uh system verbatim um but he was the
[404] 43:46	starting point it was it's very true that without champoleon it would have been very very different
[405] 43:52	difficult to go forward with deciphering uh egyptian so um but yes uh he has uh the
[406] 44:00	scythe uh his books have been translated at least the major volumes so and and they are even i believe um
[407] 44:08	freely available in pdf so you know they're they're easily attainable but uh
[408] 44:15	thank you very much for the super chat very much appreciated the question
[409] 44:21	okay i think we've got through the superchats let's start to take some other questions go right to the top here
[410] 44:28	and i'll take this very one at the very top uh dm laney have you seen the masonic temple in dc
[411] 44:34	that looks like an egyptian temple no i haven't uh i've been in
[412] 44:39	in washington dc once and that was actually for an egyptology conference of all things
[413] 44:47	and when i was there whatever i ended up going was to the national geographic museum where
[414] 44:53	they were having a wonderful exhibit on the queens of egypt and that was a fabulous exhibit
[415] 45:01	it was you know brilliantly done the selection of artifacts were really good it was um easy to take photographs it
[416] 45:08	was just a wonderful exhibit but i have not been to the masonic temple
[417] 45:13	and um um i know they use a lot of egyptian symbolism but again i haven't seen it
[418] 45:21	myself but thank you for the question hey
[419] 45:26	let's see i'm gonna um i'm gonna pass over the daniel question because i'm not
[420] 45:31	actually up on as up on daniel as i need to be to answer that question but i will show
[421] 45:38	it uh in ezekiel there's a mention to a daniel is it the same daniel from the uh
[422] 45:46	book or is the figure from the eucharistic tale of akkad um
[423] 45:54	that's a hard question to answer because i haven't studied daniel that that closely and i and i need to look at that i know there is a
[424] 46:00	figure called daniel uh that is different than daniel so
[425] 46:07	uh without having studying that more i'm gonna sort of hold off on that question
[426] 46:12	but uh it's an interesting question so i did want to highlight it
[427] 46:19	some early super chats were erased yes thank you youtube
[428] 46:24	youtube does this um which is why i have to take
[429] 46:30	screenshots of them before i go live here because if i didn't take screenshots of them they'd completely fall off and i
[430] 46:36	would never see them so i am aware of this um and and it is a
[431] 46:41	problem that originates with youtube youtube has a timeout on all chats
[432] 46:46	so it's not just super chats it's it's any chat that it'll it'll just uh fall off and
[433] 46:52	delete timeout and delete so that's just um that's just a problem with you with youtube here
[434] 46:59	okay um see here
[435] 47:14	okay i'm gonna look at this one here by marcy powell uh question would the likely resident of
[436] 47:21	moses mom in a varus with the rest of israel mean that the pharaoh who adopted moses lived
