[0] 1:59	Oh.
[422] 21:54	Succession crisis were actually not that
[423] 21:58	common.
[424] 22:00	They did happen, but they weren't all
[425] 22:02	that common.
[426] 22:04	Now,
[427] 22:06	one of the reasons why they were
[428] 22:07	probably
[429] 22:09	a little more common in say Egypt
[430] 22:13	is because
[431] 22:15	um the crown prince was not allowed to
[432] 22:19	use a harem until he came to the throne.
[433] 22:23	And it actually takes some time to
[434] 22:27	collect a harem.
[435] 22:29	You're basically
[436] 22:31	as soon as you come to the throne, okay,
[437] 22:33	year one year you come to the throne.
[438] 22:35	You spent your first year trying to
[439] 22:36	establish your power and you send out a
[440] 22:38	bunch of diplomatic letters saying,
[441] 22:41	"Hey, there's a new guy on the throne."
[442] 22:43	Okay, that goes out to some foreign
[443] 22:45	kings.
[444] 22:46	Foreign kings send a
[445] 22:48	letter back saying,
[446] 22:50	"Yeah, congratulations. Uh want to want
[447] 22:52	to want to treat your wife."
[448] 22:55	Okay, then
[449] 22:56	so, year two you get that first reply
[450] 22:57	back. Year three you send out another
[451] 22:59	letter. It's like, "Yeah, sure. Let's
[452] 23:01	talk about terms
[453] 23:03	uh for that treaty."
[454] 23:06	Letter come Reply comes back.
[455] 23:08	Back and forth. Five, six years are
[456] 23:12	going to pass
[457] 23:13	before your first treaty wife makes it
[458] 23:16	to your doorstep.
[459] 23:19	So,
[460] 23:21	um
[461] 23:24	if the if if the young crown prince
[462] 23:26	wasn't already married
[463] 23:29	and did not have um a large family as it
[464] 23:33	were,
[465] 23:35	it would not be uncommon
[466] 23:37	for
[467] 23:39	the young prince to come onto the throne
[468] 23:42	and not have any children.
[469] 23:45	So, yeah, Canopic style. Yeah, pretty
[470] 23:48	much.
[471] 23:51	So, um
[472] 23:53	So, it was a combination of things. It
[473] 23:54	was combination of of of
[474] 23:57	of fertility problems.
[475] 23:59	It was a combination of say um
[476] 24:03	um the time it takes to gather a harem.
[477] 24:07	So, it does actually take a long time to
[478] 24:09	put something like that together.
[479] 24:12	And
[480] 24:13	if the king dies prematurely, and that
[481] 24:15	did happen, you know, there were people
[482] 24:18	who were on the throne only a couple
[483] 24:20	months.
[484] 24:22	You know, then you did have some sort of
[485] 24:24	succession crisis.
[486] 24:25	So,
[487] 24:29	So, I hope that helps. Thank you for the
[488] 24:31	super chat. Really appreciate it.
[489] 24:38	Uh Joseph33M says, uh
[490] 24:42	"Do you have any tips for someone who
[491] 24:44	has never written fiction?"
[492] 24:46	Yes.
[493] 24:48	Write.
[494] 24:51	Write. Keep writing.
[495] 24:53	Read fiction. So, it's basically
[496] 24:56	uh write lots of fiction, read lots of
[497] 24:59	fiction, attend to your craft. Okay?
[498] 25:03	Writing is a craft.
[499] 25:06	You have to write a lot to get good at
[500] 25:09	it.
[501] 25:10	So, here's one of the things I say to to
[502] 25:13	to most starting out writers.
[503] 25:15	Take your first five novels and throw
[504] 25:16	them in the trash.
[505] 25:19	Absolutely, that's the probably the best
[506] 25:21	thing you could ever do for your writing
[507] 25:24	is take your first five novels
[508] 25:26	and chuck them in the garbage. They're
[509] 25:28	not going to be any good.
[510] 25:30	But, the purpose in writing them is to
[511] 25:33	develop your craft.
[512] 25:36	Just like the first
[513] 25:38	basically pieces of music somebody
[514] 25:40	learning an instrument the first time
[515] 25:44	isn't going to be very good.
[516] 25:46	And it's just one of those things where
[517] 25:49	any craft
[518] 25:51	is a process.
[519] 25:54	It's a process that takes time to
[520] 25:56	develop,
[521] 25:57	to really
[522] 25:59	um
[523] 26:01	Oh, raging smurf.
[524] 26:03	>> [laughter]
[525] 26:09	>> A warning to writers, your first
[526] 26:10	writings will be dreadful.
[527] 26:13	It took thousands upon thousands of
[528] 26:15	words before I noticed even some
[529] 26:17	improvement. Don't get discouraged.
[530] 26:20	Absolutely, don't get discouraged and
[531] 26:22	keep writing.
[532] 26:24	Um
[533] 26:26	One of the things I actually
[534] 26:30	really like about say Stephen King's
[535] 26:33	method of writing
[536] 26:34	is he he he writes every day. He he's
[537] 26:37	one of those guys that writes every day.
[538] 26:40	And the way he writes is he kind of un-
[539] 26:43	he he basically unpacks
[540] 26:46	his story.
[541] 26:48	But, he says one of the one of the
[542] 26:50	interesting things he said
[543] 26:52	was
[544] 26:54	um
[545] 26:56	that
[546] 26:59	if you skip a day
[547] 27:01	you you start losing your characters.
[548] 27:04	You start having to relearn what your
[549] 27:06	characters are doing.
[550] 27:08	You really he says to really sort of
[551] 27:11	keep on track with your characters
[552] 27:14	without having going a huge amounts of
[553] 27:16	planning and and outlining and all that.
[554] 27:18	You have to really
[555] 27:20	come to know your characters on a daily
[556] 27:22	basis.
[557] 27:23	So
[558] 27:24	it's it's more it's really more about
[559] 27:28	getting to know your content.
[560] 27:32	And then expressing it in a way that has
[561] 27:36	artistry to it.
[562] 27:38	So
[563] 27:44	What?
[564] 27:46	With my Substack? Uh my Substack is
[565] 27:50	Oh oh do you want me to throw a link in?
[566] 27:53	Right.
[567] 28:00	Okay, here is
[568] 28:02	>> [snorts]
[569] 28:03	>> I think this is it.
[570] 28:08	There it is. Okay, yeah. Um throw the
[571] 28:10	link here to my Substack. When I do talk
[572] 28:13	a lot about writing on my Substack.
[573] 28:16	So there's my Substack.
[574] 28:18	And uh
[575] 28:23	Um Dark Blade asks, thoughts on classes
[576] 28:25	that purport to teach good writing.
[577] 28:28	Will vary my um
[578] 28:32	they
[579] 28:33	mileage will vary here.
[580] 28:36	Okay?
[581] 28:37	Some are very good.
[582] 28:38	Some aren't.
[583] 28:40	Okay?
[584] 28:43	If they're promising to make you a good
[585] 28:45	writer in a weekend,
[586] 28:46	that's a Yeah, that that ain't going to
[587] 28:48	happen. Okay.
[588] 28:51	Okay?
[589] 28:55	Uh yeah, no no no
[590] 28:59	no class on a weekend will make you a
[591] 29:01	good write for one weekend will make you
[592] 29:03	a good writer.
[593] 29:05	A class that covers a semester
[594] 29:08	can make you a better writer.
[595] 29:11	Good writing only results from practice.
[596] 29:16	You know, you can get all the music
[597] 29:17	theory theory in the world.
[598] 29:20	You never play the instrument, and you
[599] 29:22	will never be good.
[600] 29:24	That's just That's just the truth of it.
[601] 29:27	It's the same thing with writing.
[602] 29:31	You can get all the theory in the world,
[603] 29:33	and a good class will teach you good
[604] 29:34	theory
[605] 29:37	over an extended period of time,
[606] 29:39	but
[607] 29:40	what it won't do
[608] 29:42	is it won't
[609] 29:44	put the hours in that you need to write.
[610] 29:47	So,
[611] 29:48	um
[612] 29:53	So, um
[613] 29:55	you know, I've been doing fiction since
[614] 29:57	I was a teenager.
[615] 29:58	So,
[616] 30:00	for me, I've been putting in a There's a
[617] 30:02	There's There's a lot of hours that I've
[618] 30:04	been put in.
[619] 30:05	So,
[620] 30:07	none of None of the stuff I learned
[621] 30:11	say from tutorials and all that could
[622] 30:13	replace those those
[623] 30:16	years of writing.
[624] 30:23	Yeah, Raging Smurfling says, "Writing is
[625] 30:26	just like working a muscle, but of the
[626] 30:27	mind. Knowing how to lift weights
[627] 30:30	doesn't turn you into Arnold. Thou must
[628] 30:33	lift."
[629] 30:34	>> [laughter]
[630] 30:37	>> That's so true.
[631] 30:39	So true.
[632] 30:41	Uh Dr. Emi says, "Good writing skills
[633] 30:44	don't come overnight." Absolutely. I
[634] 30:46	mean, that's that's that's absolutely
[635] 30:48	true.
[636] 30:49	Uh, that's is why I say, "When you write
[637] 30:51	your first novel,
[638] 30:52	throw it out.
[639] 30:54	Then write four more.
[640] 30:56	Throw them out.
[641] 30:58	When you hit novel five, then you're
[642] 31:00	still probably starting to make some
[643] 31:01	good stuff."
[644] 31:04	So,
[645] 31:09	So, yeah, it's uh it's one of those
[646] 31:11	things where you just have to do it over
[647] 31:13	and over again. It's just a process. And
[648] 31:16	don't write the same
[649] 31:17	Don't take book one, throw it away, and
[650] 31:19	write the same book again. That's not
[651] 31:21	writing new material.
[652] 31:24	Don't do what Age of Scorpio did.
[653] 31:26	>> [laughter]
[654] 31:30	>> All right, moving on here.
[655] 31:34	So, Joseph, uh I hope that helped. Uh,
[656] 31:37	thank you for the question.
[657] 31:38	Uh,
[658] 31:39	always always happy to take those
[659] 31:41	questions.
[660] 31:45	Uh, Mama says here, "As a beta reader,
[661] 31:47	write it crappy, then write it better.
[662] 31:50	Just write." Couldn't agree more.
[663] 31:53	And your first draft's going to suck,
[664] 31:54	too.
[665] 31:56	Even on a good book,
[666] 31:58	a good book is going to often have a
[667] 32:00	sucky first draft.
[668] 32:03	Th- As a teacher once told me, "There's
[669] 32:05	no such thing as good writing, just good
[670] 32:07	rewriting."
[671] 32:09	So, everything you're going to do is
[672] 32:10	going to need to be rewritten.
[673] 32:14	So, it's just one of those things that
[674] 32:17	you just have to continue Any art
[675] 32:20	is like this.
[676] 32:21	Doesn't matter if it's drawing,
[677] 32:22	painting, comics, doesn't matter.
[678] 32:25	You just keep at it over and over and
[679] 32:28	over again.
[680] 32:32	Okay, next one here.
[681] 32:34	From Michael Gee, uh for $15 New
[682] 32:36	Zealand. Thank you very much for the
[683] 32:37	super chat.
[684] 32:39	The YouTube channel Deep Fat Simple has
[685] 32:41	a new program titled, {quote} every
[686] 32:44	plague of the of Egypt explained.
[687] 32:47	Do you have any comment or is it worthy
[688] 32:49	of a popcorn review?
[689] 32:51	Um, I don't think it's worthy of a
[690] 32:53	popcorn review, but I don't recommend it
[691] 32:55	either.
[692] 32:57	Now,
[693] 32:58	it basically
[694] 33:00	takes Kurth's theory of the plagues
[695] 33:03	being gods of Egypt and
[696] 33:06	just more or less amplifies on it.
[697] 33:08	But, here's where things get weird.
[698] 33:12	It's all AI generated.
[699] 33:14	Okay?
[700] 33:16	Um,
[701] 33:18	the voice overs are AI generated, no
[702] 33:20	surprise there. A lot of people are
[703] 33:21	doing that.
[704] 33:23	But, and the art's AI generated.
[705] 33:27	But, the script is also AI generated.
[706] 33:32	>> [laughter]
[707] 33:33	>> How do I know that the script is AI
[708] 33:36	generated?
[709] 33:38	Because it started hallucinating new
[710] 33:41	gods of Egypt.
[711] 33:48	>> [laughter]
[712] 33:52	>> I just I just love [laughter] it. I just
[713] 33:54	love the the uh, like when it got to the
[714] 33:58	like I mean he the the the further in it
[715] 34:01	got, the more it hallucinated gods of
[716] 34:05	Egypt.
[717] 34:08	Cinnamon, the god of of locusts.
[718] 34:11	The minor god of locusts. So minor it
[719] 34:14	doesn't exist.
[720] 34:16	>> [laughter]
[721] 34:21	[laughter]
[722] 34:28	[laughter]
[723] 34:30	>> Dark Blade, if you say AI
[724] 34:32	five times in quick succession, cereal
[725] 34:35	bowl will be summoned.
[726] 34:37	>> [laughter]
[727] 34:37	>> You I probably would.
[728] 34:45	Uh Dr. Yummy says, AI hallucinations is
[729] 34:48	why I wouldn't use AI for serious
[730] 34:50	research projects or educational work.
[731] 34:54	Uh I have now seen this.
[732] 34:57	I have now seen this.
[733] 35:00	Uh
[734] 35:01	You I I spent my whole entire day
[735] 35:03	yesterday
[736] 35:05	doing a peer review on an article
[737] 35:09	where the citations The article was
[738] 35:11	written by the by by the guy.
[739] 35:14	But the citations were AI generated.
[740] 35:18	And it wasn't good.
[741] 35:21	Oh, it was not good.
[742] 35:24	Cuz I looked at the citations.
[743] 35:27	And I'm going,
[744] 35:29	Wait, what does this have to do with the
[745] 35:31	tea in China?
[746] 35:33	Now, they were from real books and from
[747] 35:34	real articles.
[748] 35:36	They just had no relevance
[749] 35:40	to the content of the article.
[750] 35:46	Oh boy.
[751] 35:49	Oh boy.
[752] 35:51	>> [laughter]
[753] 35:56	>> Yeah.
[754] 35:57	Yeah.
[755] 35:58	When AI hallucinates, it is not a good
[756] 36:01	thing.
[757] 36:03	Just not a good thing.
[758] 36:05	So, um
[759] 36:07	yeah, every every plague of Egypt
[760] 36:10	explained, I would not recommend. It
[761] 36:12	hallucinates gods.
[762] 36:14	I mean, that's that's that's saying
[763] 36:16	something when you have to hallucinate
[764] 36:17	the divinities
[765] 36:19	to make current hypothesis work.
[766] 36:25	Yeah, I'm allergic.
[767] 36:27	I love it when my
[768] 36:33	Yeah.
[769] 36:36	A raging Smurf says, "That moment when
[770] 36:39	my pagan friend is a better source on
[771] 36:40	Christianity than AI hallucinations."
[772] 36:44	Yeah, sometimes it's like that, isn't
[773] 36:45	it?
[774] 36:48	Dark Blade, quote, "Amenhotep II was the
[775] 36:51	pharaoh of the Exodus. Source, Harry
[776] 36:53	Potter and the Sorcerer's Stone."
[777] 36:56	That was pretty much what it was like.
[778] 36:58	It was like that.
[779] 37:01	You know, it's like
[780] 37:03	you know, he
[781] 37:05	the guy would quote from a um
[782] 37:08	a late Egyptian um
[783] 37:10	grammar.
[784] 37:11	You look at the page in the grammar.
[785] 37:12	What does this have to do with anything?
[786] 37:14	It's just like, that has no bearing on
[787] 37:16	your argument.
[788] 37:19	>> [laughter]
[789] 37:26	>> Smiley Bon Bon
[790] 37:28	2,000 gods in ancient Egypt and still
[791] 37:31	not enough for AI. Shaking my head.
[792] 37:35	>> [laughter]
[793] 37:39	>> Yeah.
