[0] 0:00	[Music] foreign [Music]
[39] 5:39	now um let's go first of all to Genesis 10.
[40] 5:47	Bible here
[41] 5:53	10 15.
[42] 6:00	2 was that verse again
[43] 6:05	15 to 10 15 to 20.
[44] 6:10	10. versus 15. and it reads
[45] 6:17	and Canon became father of sidon and his firstborn at half and the jebusite and
[46] 6:23	the Amorite and the gergashite and the hivite and the archite and the cyanite and the ardovite and the Sim zemerite
[47] 6:30	and the hematite and afterwards of families uh the canine were spread abroad and the territory of
[48] 6:37	the Canaanite extended from sidon as you go to guerrer as far as Gaza as you go
[49] 6:44	towards Saddam and Gamora and adma and Zebo im as far as La Shah these are the
[50] 6:51	sons of ham according to their families according to their Nations by their lands and their Nations okay
[51] 6:58	now one of the first things we need to understand about say uh Genesis 10.
[52] 7:04	is this really not giving you a sort of a complete picture of an absolute
[53] 7:10	picture of pedigree here these are tribes and peoples that intermarried
[54] 7:17	so when it says here that the Amorite
[55] 7:22	um was you know Kanan was the father of sidon and Heth and jebusite and am right
[56] 7:30	this is a process of centuries if not millennia
[57] 7:37	okay so when you're talking about genealogies
[58] 7:43	that far removed you know from each other this is really
[59] 7:49	it's not a Precision thing people groups are going to intermarry
[60] 7:55	okay people groups are going to intermarry some of the peoples of Shem are going to
[61] 8:01	enter very with some of the peoples of Canaan and vice versa you're going to get this mix
[62] 8:08	of different people groups so what you got here in in in chapter 10
[63] 8:15	of Genesis is not so much a a view of
[64] 8:20	say uh how do I said unmixed peoples
[65] 8:26	like the peoples of Canada did not just stick to the people's Canon and the people of the Emirates just
[66] 8:32	didn't stick to the amorites the internet married with each other this was normal it's still normal
[67] 8:39	probably more normal today than it ever has been you know but
[68] 8:44	you know and they so when we look at a verse like a passage like this it's giving you an ideological View
[69] 8:52	of the table of Nations not necessarily a genetic view of the table Nations
[70] 9:00	because all these groups are intermarrying all of them so
[71] 9:06	this is I think very very important to understand as we look into a passage
[72] 9:12	like this it's not meant to be read as say A genealogical you know an absolute
[73] 9:19	guide to to who was descended from whom it's giving you an ideological view so
[74] 9:26	you have to keep that in mind when you look at Genesis 10. now when we look at the second passage
[75] 9:31	here which is uh 11 here let's go to 11.
[76] 9:39	okay and verse 10.
[77] 9:46	now this is going to give you a different kind of ideological view but
[78] 9:51	it's it's along the same lines and verse 10 these are and get the Bible
[79] 9:57	back up these are the records of the generations of Shem
[80] 10:02	100 okay I'm not gonna read that entire uh
[81] 10:08	passage but you know Generations was 100 years old and became father of epox shot uh two years after
[82] 10:15	the flood and so on all the way down to oops
[83] 10:23	26.
[84] 10:30	and nehor live verse 24 29 years it became father Terra and inhale lived 119
[85] 10:37	years after he became father Tara and he and other sons and daughters and Tara lived 70 years and he became father of
[86] 10:47	now there are a couple differences in the structure too between the table of
[87] 10:53	nations in Genesis 10 and what we find in Genesis 11. there's some
[88] 10:59	very very interesting differences here uh I think the first thing is in the
[89] 11:04	case of say Genesis 10 we're getting a sort of a division of man along the line
[90] 11:13	of Nations not tribes not Clans not people groups
[91] 11:19	Nations okay these are big
[92] 11:24	kind of amorphous entities okay so you know we're you're really in some
[93] 11:32	ways comparing apples and oranges here with Genesis 10 versus Genesis 11. Genesis 11 is is is basically a a
[94] 11:40	Descent of Clans so there's a there's there's a difference right there
[95] 11:46	you look at say the organization of say Genesis 10. it's basically saying okay
[96] 11:51	from this one nation came these other nations whereas in Genesis 11 you get one clan
[97] 11:58	that's beginning other clans it's a lot more focused and thus we can also expect more
[98] 12:05	Precision from Genesis 11 than say from Genesis 10. so I think that's the principal
[99] 12:12	differences here between say Genesis 10 and Genesis 11. it's once focused on Nations these big sort of Blobby people
[100] 12:19	groups that have are really sort of only defined by say ethnic and cultural
[101] 12:27	practices whereas say in Genesis 11 you've got a sort of a precise view now
[102] 12:34	within that sort of um where say the blobbiness of say
[103] 12:42	Nation groups intersects with Clan groups you can have say both
[104] 12:51	intermarriage with say Canaanite groups and at the same time have a direct
[105] 12:58	descent from the line of Shem so the amorites maybe as a whole
[106] 13:05	maybe descend at least culturally some respect maybe genetically from
[107] 13:12	Canaanites but say the line of Abraham persists through the Amorite Nation through a
[108] 13:19	line of Shem so we have to be a little bit a little careful here not to draw a contradiction
[109] 13:26	here where perhaps none exists in fact most certainly don't exist just because as I
[110] 13:32	said the amorphous nature of Nations is much broader than can be defined even by a single
[111] 13:39	family unit so I hope that answers your question thank you very much for the question it's a great question
[112] 13:59	okay our next question is from Camilla part and he asks
[113] 14:08	is the grace of God salvation conditional I.E through recognized need
[114] 14:14	for a savior and faith in mashiach if not would that give Credence to
[115] 14:20	universalism or is mashiach able to save whomever he
[116] 14:26	pleases regardless if so would that mean that any All Souls in
[117] 14:33	Hell aren't loved load a question but they come from a
[118] 14:39	convo I had conversation I had early in the week okay now that is a good
[119] 14:44	question and it's actually really really a hotly debated one
[120] 14:53	you will have people like say um hyper Calvinists who basically said
[121] 14:59	hey you know God chooses you can't do anything about it that's it once he
[122] 15:04	chooses you you're done you have no no free will in all this
[123] 15:10	I think the truth here well I should say the on the other side of this debate is the Armenians
[124] 15:17	and the Armenians are going to take a a hyper Armenian is going to on the
[125] 15:23	other hand go well you're free to choose to enter in lead salvation at any time
[126] 15:29	yeah it's conditional but you can change your mind all the time you'll be saved decided to be saved one
[127] 15:34	day just say nothing to do the other decide to be saved again then not
[128] 15:40	so this is a this is a hotly debated topic now I think like all things the truth
[129] 15:46	lies somewhere in the middle I think that the extension of Grace
[130] 15:55	is the invitation for salvation it's the invitation this is this is what I would suggest is
[131] 16:02	say What's meant by predestined in say for example the um
[132] 16:08	um The Book of Romans so for those uh God for new he
[133] 16:14	predestined it's it's very very similar to being like the chosen people it gives you that
[134] 16:20	invitation for salvation okay but you're under no compulsion to
[135] 16:26	take it if you decide you you don't you don't
[136] 16:32	want it you might have been predestined to receive the message and really that's
[137] 16:39	not predestined unto salvation it's predestined to be in a community where
[138] 16:44	you hear the message if you were predestined to hear the
[139] 16:50	message and you decide not to take it well that's that's your choice
[140] 16:58	so uh Messiah is
[141] 17:03	is is able to determine who gets to hear the message
[142] 17:10	you know God determines who gets to hear the message however at the same time too
[143] 17:19	you're as I said you're not under any compulsion but at the same time
[144] 17:24	everyone who will be saved is already foreknown to have been saved
[145] 17:31	some of this comes down to just the pure infinite knowledge that God has of
[146] 17:40	events both in the past and the future conditional and otherwise
[147] 17:46	so God's omniscience
[148] 17:53	allows him to determine and know the fullness of the Gentiles the fullness of
[149] 17:59	those who will be saved so in in one respect everyone who will
[150] 18:07	be saved is already determined it's already a known quantity
[151] 18:15	but those people who are will be saved are not being forced into the decision
[152] 18:24	they're just afforded the opportunity and they just decide to do it and God knows they're going to do it
[153] 18:32	so there is a conditional aspect to Salvation
[154] 18:38	you can choose not to be a part of it you know God's not going to make you do
[155] 18:45	it because that's just not how the gospel
[156] 18:50	works it's good news it's not compelled news
[157] 18:58	so uh and frankly you know there are there
[158] 19:03	are both there are there are I mean I hate to draw The calvinist Armenian lines because I I think in
[159] 19:10	in many respects this is a tempest and a teapot but I also think that there are also
[160] 19:16	Calvinists who would more or less take that view that Grace is a determined thing
[161] 19:25	you know God chooses who gets Grace but
[162] 19:31	it's ultimately if you have gotten that Grace and you are
[163] 19:37	in that sort of elect position you will choose it of your own free will
[164] 19:44	even if God sets up everything for that to happen so anyway I hope that answers your
[165] 19:51	question it probably doesn't I mean this is a as I said this is a long-standing debate and it's really hard to cover this in
[166] 19:57	three minutes so I hope that at least shed some light on
[167] 20:03	the subject so anyway thank you very much for the question and I hope you got something
[168] 20:09	out of that okay question three is from 501 Mobius
[169] 20:15	and he asks wouldn't it be interesting to do a video where you asked chat gbt
[170] 20:21	AI Bible questions and critique the response
[171] 20:28	well chat GPT AI is a hot pot thing right now uh in fact what I hear is they don't
[172] 20:35	actually have the capacity to meet their demands
[173] 20:42	I also think too that chat AI Chachi BT AI
[174] 20:51	has a tendency to give common knowledge answers very very much has a tendency to give
[175] 20:58	common knowledge answers it will also blend various different
[176] 21:04	views and it also has
[177] 21:09	a um
[178] 21:15	it it tends to go with say sources that are easy for it to find
[179] 21:23	so if a source is highly available it tends to favor that Source over say something that's much much less
[180] 21:29	available so now I did look into chat GPT AI to
[181] 21:36	with the idea of wanting to play with it however
[182] 21:41	expensive it's not cheap um it's a it is a uh paid for service
[183] 21:50	so you know I just looked at that and went yeah yeah I'm not that curious
[184] 21:55	[Laughter]
[185] 22:02	I'm sure it's going to be a continued issue though I will say that um we might
[186] 22:08	I mean if the price comes down or they offer a free version of something similar to chat gbt
[187] 22:15	uh we might do something like this you know where we ask it Bible questions and you know critique those answers just so
[188] 22:22	say people will because I think I think chat GPT is going to be the next Wikipedia
[189] 22:29	I I really think it's going to be the next Wikipedia it's not free yet
[190] 22:34	but it really is something that's can fill that sort of slot that
[191] 22:40	Wikipedia has had in the past and perhaps give more satisfying answers
[192] 22:48	I didn't say correct I said satisfying
[193] 22:54	what I mean by that is that
[194] 23:01	I think chat AI a chat gpta I has answers that are more able to please
[195] 23:08	people than say the anonymized writers that you find on Wikipedia
[196] 23:15	oh yeah it's going to reflect reflect to you the sort of answer you
[197] 23:20	want to receive so in in many ways it's going to massage
[198] 23:26	what you already believe so I think that's that's also part of the danger of chat gbt also
[199] 23:35	so there are concerns there and I think there's some ethical dilemmas that are going to need uh to be engaged but at
[200] 23:43	the same time too it would be fun to ask them questions like who was the Pharaoh
[201] 23:49	of The Exodus that would be very interesting I have to admit what was the date of The Exodus
[202] 23:56	where was the Sea of reeds you know I think these are very would be very very
[203] 24:02	interesting questions to ask chat GPT
[204] 24:07	so anyway I think it's a great question why did it take it thank you very much for the question and um I hope that gave
[205] 24:13	you some food for thought okay our fourth now and Super Chat
[206] 24:18	tonight is from Super Jam and this person asks early bird gets the
[207] 24:25	worm would an early dater of The Exodus have any arguments they could use to
[208] 24:31	substantiate it and do later date Pro components of the Exodus run into any
[209] 24:37	problems uh well I'm sure some do
[210] 24:43	um the fact is
[211] 24:50	when it comes to debates and that's sort of where these things get tested out
[212] 24:57	and they don't really get tested out so much in the academic papers because
[213] 25:04	um the
[214] 25:11	in the academic world most papers have to meet a kind of peer review to get
[215] 25:17	published and early daters have a real tough time getting their papers published mostly
[216] 25:24	because of low quality concerns so they've they've consistently had that
[217] 25:30	problem on the other hand those who have say run
[218] 25:38	into say um later Exodus date proponents
[219] 25:44	don't somehow much have a problem say publishing as much as having people be
[220] 25:50	interested in the debate so each one of these is sort of tiers of
[221] 25:55	knowledge it's going to have say different priorities and concerns and thus you get late early daters
[222] 26:02	really want to focus on say uh their roles as
[223] 26:07	as missionaries so they tend to to take their messages more to churches
[224] 26:13	uh apologetics conferences you know that sort of thing
[225] 26:19	whereas most late date proponents tend to want to restrict what they do to academic conferences
[226] 26:26	so it's it's two different worlds and in most debate situations where
[227] 26:34	basically the only time that they really sort of talk to each other
[228] 26:41	the early daters don't quite do so well and there's a long history of this
[229] 26:48	you know it's not just say my recent debate with say Kennedy and
[230] 26:54	um myself but it's also say
[231] 27:01	hofmeyer versus ailing or you know
[232] 27:08	other debates like this now those debates don't vary happen very often
[233] 27:13	because the early date proponents have a lot more to lose than the late day
[234] 27:18	proponents but but at the same time too
[235] 27:25	I have not found an argument that the early daters have presented so far that
[236] 27:31	has really stumped me so I have been a surprise occasionally
[237] 27:37	by an argument that they might do because you wouldn't think they would do something like that because it's kind of
[238] 27:44	silly but I wouldn't I wouldn't really really call anything
[239] 27:50	that they did really sort of as I said a brain teaser
[240] 27:57	now on the other hand could they come up with something that could substantiate their position
[241] 28:04	yeah sure you know things happen you know there's there's always you know always surprises
[242] 28:10	in archeology and I'm I'm fully prepared to admit that you know maybe
[243] 28:16	maybe the early daters will come up with something someday that will be really compelling evidence
[244] 28:21	and at that point in time I'm more than happy to become a early date X's proponent so I mean I
[245] 28:30	have already been in early data Exodus component now I'm a late date Exodus component I don't mind going back it
[246] 28:36	doesn't mean that much to me as long as the evidence is compelling
[247] 28:41	and can reckon be reconciled to the other evidence that's the other big factor it's not just enough to have one
[248] 28:49	key say Silver Bullet of evidence you need to be able to to engage
[249] 28:55	all the evidence you can engage all the evidence I have
[250] 29:01	no problem going back to being an early Dater so far they have not been very
[251] 29:06	successful at this so I'm just going to leave it at that so anyway thank you very much for the question very much
[252] 29:11	appreciated okay now on to the super chats our first
[253] 29:17	Super Chat is from Cole Walker for five dollars thank you very much the Super Chat
[254] 29:23	a couple of questions from enlightened quack well I'm glad he got his questions on Through Your sponsorship thank you so
[255] 29:29	very much for sponsoring that we're a horse and at tomb ever conflated uh no they were never conflated
[256] 29:36	uh atum is a creation God he's more Associated as a solar deity he's a creation God and where he was eventually
[257] 29:45	merged with Rey so you get a merging of uh basically a
[258] 29:50	emerging of atum Ray but you don't ever get a a sort of a
[259] 29:57	merging of a of Horus and atum that just never happened
[260] 30:03	so anyway thank you very much for the Super Chat very much appreciated and that's that's sort of the quick answer here
[261] 30:11	the next Super Chat here is from Cole Walker for five dollars thank you very much for the Super Chat
[262] 30:17	and he asks is the Incarnation of Horus and Pharaoh the same sim or similar to
[263] 30:23	the Incarnation of Jesus oh no not similar at all no uh
[264] 30:29	in the case of Jesus he was fully God and fully man
[265] 30:37	and the Incarnation of Jesus is that he is
[266] 30:42	the Incarnation he is the second person of the Trinity made flesh
[267] 30:49	okay so he he is completely God and completely man
[268] 30:57	now explain the hypostatic Union really really difficult to do okay
[269] 31:03	that's uh and that's sort of a a question that's sort of beyond the level that one can really answer in a Super
[270] 31:08	Chat but we can answer about the Incarnation of Horus and Pharaoh because that is
[271] 31:15	also well documented in the case of pharaoh
[272] 31:21	he is not born a god Pharaoh is not born of God
[273] 31:26	he is just a human being yeah he's got the constituents of a human being a bar on a car which are uh
[274] 31:33	you know the intellect and the spirit he also has
[275] 31:40	um a separate nature that sort of
[276] 31:45	basically flies upon him and rests upon him when he becomes
[277] 31:51	uh when he becomes crowned as king so essentially when he becomes Pharaoh
[278] 31:57	the horse bird flies from the dead King and rests upon
[279] 32:04	Pharaoh now you could sometimes see this even in some carvings some there are some some statues that beautifully
[280] 32:12	represent this where you have the seated King especially Old Kingdom statuary does
[281] 32:17	this where you see the the horse sitting behind the head of the king and his its
[282] 32:23	arms or his wings stretched out in front of the king it's really really beautiful
[283] 32:29	and it's a really beautiful representation of how the Egyptians viewed the relationship of Horus and
[284] 32:37	pharaoh so pharaoh as a living person as a fully
[285] 32:43	grown adult when he takes the throne becomes an Incarnation and representation of the Divine King Horus
[286] 32:54	but it's more along the line that the spirit of Horus rests over top of a
[287] 33:01	pharaoh then Pharaoh becoming say a incarnation in total
[288] 33:08	so in this respect Pharaoh is not fully Horus and fully man
[289] 33:13	like Jesus is fully God and fully man Pharaoh is fully man with divinity
[290] 33:22	wrapped around him so I hope that makes sense it's a little
[291] 33:29	it's a it's a little tricky if you try to compare it to Christian theology because they're different categories
[292] 33:35	but we also have to realize too that when Pharaoh dies
[293] 33:42	the horse spirit leaves them he's no longer an incarnation of Horus
[294] 33:47	he loses that he just goes on to the afterlife and apotheosizes
[295] 33:54	becoming say um god-like through the
[296] 34:00	um vicarious uh regeneration uh provided by Osiris
[297] 34:06	but he ceases to be identified with horse at that point at
[298] 34:11	the point of his death because the horse has flown on to the next king
[299] 34:18	so it's not like Jesus where Jesus resurrects and he's still fully God and fully man
[300] 34:25	so it's a very very different sort of set of
[301] 34:31	um religious assumptions that go into both these these particular
[302] 34:36	um narratives so when I thank you very much for the Super Chat I hope that explained it very very much appreciate
[303] 34:43	it okay our next Super Chat here is from
[304] 34:48	Rachel Schoenberger for 10 less Canadian thank you very much for the Super Chat
[305] 34:54	and she says you have said the toponymsome referred to the same place
[306] 35:00	yes I do what are the reasons for thinking that they are the same place and why was the
[307] 35:07	writer of Exodus inconsistent with the name used okay we'll get to that
[308] 35:13	specifically I'm thinking of your contribution to behind the scenes of the Old Testament
[309] 35:18	footnote seven Hoffmeyer has disagreed with his idea yes he has and there's a reason he has
[310] 35:26	Israel in Egypt uh page 182 ancient Israel and Sinai page 69 does he have
[311] 35:32	valid reasons for rejecting this connection okay I think
[312] 35:40	what Jim has done it and I was trained by Jim James Hoffmeyer I I love him he's a
[313] 35:46	great friend I really really appreciate his mentorship over the years I think what's happened here is that
[314] 35:55	he is in many ways responding to Manfred gorg
[315] 36:02	and uh others like William prop who have basically said that
[316] 36:10	uh etham and pithome are the same place but they're adding a little more to this
[317] 36:16	they're basically saying that ethom is the later version
[318] 36:22	early versions of python were spelled with the p and then the P was dropped to
[319] 36:30	to produce Ethan and this is evidence of say multiple
[320] 36:36	redactors in say the pentateuch that's what gorg and prop are going to hold
[321] 36:43	so this is where I think Jim sort of and
[322] 36:48	when you see um James's uh rebuttals to this idea he's more
[323] 36:55	concerned about the implications that gorg is placing on
[324] 37:02	this change being a late edition
[325] 37:07	basically proof of redaction criticism so I think that's really his concern
[326] 37:13	here is that the the idea that you have bethome it drops the p and I'll
[327] 37:22	say later Iron Age cons uh context to become a thong thus it shows that the
[328] 37:27	pentateuch was written over you know centuries periods of time okay now
[329] 37:34	here's I think the problem with this I think in some respects
[330] 37:42	hofmeyer has thrown out the baby with a bath water I don't think you really need to do this
[331] 37:48	I think it is perfectly acceptable to say that pithom and ethom are basically
[332] 37:56	the same place they're very very similar in the itineraries
[333] 38:02	we don't find a separate ethom in say Egyptian literature
[334] 38:09	and hofmeyer already recognizes that the Egyptians dropped the P off of place
[335] 38:15	names in Dynasty 19. for example with Papyrus Anastasia III
[336] 38:21	we find both P Ramses and romsis used of
[337] 38:27	the same place which is telecontier so
[338] 38:32	a Hoffman already recognizes that this happens and it's not an indicator of say
[339] 38:38	later authorship so to say that Ethan is a later
[340] 38:45	construction of python is basically to sort of ignore that the
[341] 38:52	P dropping off of the pitum
[342] 38:57	is not evidence of later authorship because we find that sort of thing done
[343] 39:02	in Dynasty 19 and we even signed it done in the same text so I think even hoffmeyer's sort of rejoined or that
[344] 39:14	that the later that they can get it right in say python
[345] 39:20	but they can't get it right later in ethom I think I think it's wrong-headed I think it's wrong-headed I think both
[346] 39:27	forms are right they're both right and they're both Circa Dynasty 19.
[347] 39:34	and we even as I said even in say singular documents like we find in Papyrus Anastasia 3 both forms of a
[348] 39:43	place with a p and without a p are used
[349] 39:49	it just seems to be the writing convention of
[350] 39:54	that late Bronze Age period where the P wasn't necessary
[351] 40:00	you could use it if you wanted to you didn't have to use it if you didn't want to that just seems to be pretty much
[352] 40:06	what it is there's no there's no essentially compelling reason to include
[353] 40:14	the P other than to be formal it's it's basically you're using the
[354] 40:20	piece as the formal name and then you could use do you drop the P when you want to use it informally
[355] 40:26	like for example in in Papyrus Anastasia three our first sort of encounter with p
[356] 40:32	romsis is setep and Ray romsy Mary almond
[357] 40:39	it uses the whole titular area of Ramses II and then it just goes
[358] 40:46	City Ramses truncated to release something very
[359] 40:51	short and informal so I don't think I don't think he has a
[360] 40:58	valid reason for uh uh rejecting connection I think is just more he's
[361] 41:04	just doing Overkill here just so he can he's throwing up the baby with a bath water I don't think it's
[362] 41:10	necessary I think uh gorg's uh proposal here is self-defeating all on its own I mean it
[363] 41:17	gorks gorg's proposal just can't stand it up to the data so I think
[364] 41:22	hofmeyer is just going a step too far he doesn't need to go this far so anyway I hope that answers your
[365] 41:28	question thank you very much for the Super Chat very very much appreciate it
[366] 41:35	next Super Chat here is from Andrew Cahill for five dollars thank you very much for the Super Chat
[367] 41:41	is there anything about ancient Egyptian religion that you find especially interesting that is not widely known
[368] 41:49	among laymen oh well I like I'm very fascinated by
[369] 41:56	Egyptian religion for me what I find always interesting
[370] 42:04	is temples temples are so cool I can just walk through a temple and
[371] 42:10	just see just marvelous marvelous things on the walls uh love love love love temples
[372] 42:20	um when when I see a sacred bark scene
[373] 42:26	and and this is sort of what got me into sacred bucks to begin with uh
[374] 42:32	those layers I when I see a sacred boxing I see layers of Sacred Space
[375] 42:39	likewise when I walk into a temple I am conscious
[376] 42:44	when I go from say the Paris style Hall to the hyper style Hall to the inner
[377] 42:50	Court to the set we're at or the bark Chapel that I'm entering into
[378] 42:57	progressively more sacred places in space and your your average Layman is not
[379] 43:04	going to recognize that they're not going to know where they are in that Temple to know okay this is a place I'm
[380] 43:11	standing in the place right now where only say the most coally consecrated
[381] 43:16	priests would stand versus say out in the uh
[382] 43:22	um uh Paris style Hall where you might get some nobility some soldiers you know some never and never the lower class
[383] 43:28	never the lower classes but basically the middle classes could come and actually attend
[384] 43:33	on special occasions so I think that's one thing that I I
[385] 43:39	think is really really interesting about Egyptian religion is knowing where you are in these temples
[386] 43:46	that's what sort of really is always interesting and and I can just look at these temples and I can see okay there's
[387] 43:52	certain iconography here in this section that you're not going to find in another section
[388] 43:58	so you know just you just as an egyptologist I'm acutely aware of where
[389] 44:04	I am in the temple what school should be going on in this part of the Temple and I think it's fascinating absolutely
[390] 44:12	fascinating to see those sort of layers of Separation that your typical amen is
[391] 44:18	not just going to notice or appreciate unless someone points it out to them
[392] 44:23	so anyway I think that's that's what would be my answer to this is basically you know that whole
[393] 44:30	um that whole sort of onion layers of Sacred Space just very very fascinating
[394] 44:35	stuff thank you very much for the Super Chat very very much appreciated
[395] 44:43	our next Super Chat again here is from Andrew Cahill for five dollars thank you very much Super Chat
[396] 44:49	do you agree with hoffmarsh Theory as to the location of the Seer reads that is somewhere in the bitters Lakes Region uh
[397] 44:56	generally yes generally yes now I think we might just differ slightly on which
[398] 45:02	lake because there's a lot of lakes out there I mean that's I mean it's an estuary I mean it's not just one Lake
[399] 45:08	it's many lakes so we might differ on which like precisely and I don't even think he has
[400] 45:15	a exact location and frankly neither do I but up in that palooziac uh Estuary we
[401] 45:22	would both agree that would be where the Sea of reads is so yes we would agree on this
[402] 45:28	so anyway thank you very much for the Super Chat very very much appreciate it
[403] 45:37	okay another Super Chat here from Andrew Cahill for five dollars thank you very much for the Super Chat
[404] 45:43	as an egyptologist and biblical scholar what is your opinion of The Prince of Egypt thoughts on it compared to the Ten
[405] 45:49	Commandments okay uh you have to understand that my
[406] 45:55	memory of The Prince of Egypt is a little fuzzy I've watched it a couple times but it's
[407] 46:00	been like over two years since I've watched it so it's been a long long time since I've
[408] 46:06	watched The Prince of Egypt Now understand this is a fuzzy memory
[409] 46:12	I just remember thinking there was a lot wrong with The Prince of Egypt okay now I've watched The Ten Commandments a
[410] 46:19	lot more recently and one of the things I was really really impressed with the Ten
[411] 46:26	Commandments was the attention to detail I had actually done
[412] 46:32	I had helped I hope to have done a popcorn review I did this popcorn review on the Ten Commandments
[413] 46:37	but you know YouTube's copyright system just of course kept smacking us around
[414] 46:43	so we couldn't know we were never able to show it we were never able to show our our popcorn review of The Ten Commandments
[415] 46:49	but fascinating how much interesting and accurate detail is in the Ten
[416] 46:56	Commandments fascinating everything from the clothing to the at
[417] 47:04	least at least the Egyptian clothing not so much the Israelite clothing the Israelite clothing was not so accurate
[418] 47:10	but the Egyptian clothing the Egyptian dance the board games now that impressed
[419] 47:16	me that board game of of um of dogs and jackals very accurate
[420] 47:23	very very accurate just very interesting so
[421] 47:30	I think that that there is
[422] 47:38	I I tend to if I wanted to say to somebody what would be your go-to pick for an
[423] 47:44	exodus movie I would say the Ten Commandments now the 1953 I think it's the 1953 version with Charlton Heston
[424] 47:52	um I will say this about this it though it's very long and the the whole love
[425] 47:58	thing in the middle could be cut out you cut that in love got to it is love
[426] 48:03	narrative in the middle of that Ten Commandments you've got a great film on The Exodus it doesn't need that bit in
[427] 48:10	the middle it's long it's drawn out it's obnoxious you know just
[428] 48:17	jump from you know the marriage of zipra right to you know the Mountain of Fire
[429] 48:24	and hey you've you've got a good movie there you've got a really good movie that's only like two and a half hours
[430] 48:32	instead of three three and a half but okay
[431] 48:40	It's a Wonderful film I highly recommend it and I as I said I really wish I could just go through parts of the Ten
[432] 48:46	Commandments without getting copyright struck and uh you know really sort of teased
[433] 48:53	apart from an egyptologist point of view because I think it's fantastic it's really a beautifully and well
[434] 48:59	done movie now uh one of the reasons I think that um
[435] 49:05	The Ten Commandments is really well done too is it had really great egyptologists
[436] 49:10	on staff you know basically Consulting it
[437] 49:16	um I think I think that um like for example I think uh was labib
[438] 49:22	habashi and surely Gardner were cons or was it Raymond Faulkner who are Consultants on that film
[439] 49:28	you know he really picked top egyptologists to consult on it
[440] 49:33	so I think it's very good I liked it I think it's very accurate
[441] 49:39	the I think the the one thing that I think is least accurate is the walls of water
[442] 49:44	I think The Parting of the Regency is probably the least accurate portion of it but every every movie on The Exodus
[443] 49:49	is going to get that wrong because the walls of water weren't aren't like what you see in the films
[444] 49:56	they're really teminos walls they're sort of how do I explain this they're not straight up and down walls they're
[445] 50:02	sloping walls they're they're they're not how do I show this they're they're meant to slope so it's hard to go up the
[446] 50:08	incline so it's that kind of wall not a straight up and down wall
[447] 50:14	so that's a very very different perspective that you'd only get through careful reading of the biblical texts
[448] 50:20	not So Much from the movies plus the water wasn't nearly as deep as they show in the movies so anyway
[449] 50:27	thank you very much for the Super Chat very much appreciate and I hope you found that interesting
[450] 50:34	okay our next Super Chat here is from Mr Rich B.o.B for five dollars thank you very much for the Super Chat
[451] 50:42	and oh
[452] 50:47	I think we've lost some super chats already oh boy
[453] 50:53	just a second here guys might need to cut and paste
[454] 51:01	yeah I have one greens is fine but I think after
[455] 51:07	yeah I lost trunks already yeah I know
[456] 51:14	I had it in
[457] 51:26	yeah it's already timed it out Yee I hate
[458] 51:32	I hate when it does that I have up to I have up to uh the last
[459] 51:40	the first one I have next one I have is Amir ashifra so I'm gonna have to take some time here
[460] 51:46	to cut and paste some stuff so I'll get to your super chat in just a moment here
