[0] 1:48	Heat.
[250] 16:16	in Romans 2:22
[251] 16:18	really is talking about pagan temples.
[252] 16:23	That's what it's talking about here.
[253] 16:26	And don't rob from them. Don't loot
[254] 16:29	them. Don't burn them down. Just let
[255] 16:31	them be.
[256] 16:37	You know, you're not advancing the cause
[257] 16:39	of Christ by destroying their temples.
[258] 16:41	You're just not doing it.
[259] 16:45	You're making the gods martyrs
[260] 16:46	essentially.
[261] 16:49	>> Present the truth.
[262] 16:50	>> Yeah.
[263] 16:51	>> The disciples.
[264] 16:52	>> Yeah.
[265] 16:53	>> Present the truth in righteousness,
[266] 16:56	not in maliciousness.
[267] 17:00	So So that's what it is. I mean, it's
[268] 17:03	there's no other way to cut it. It's
[269] 17:04	talking about pagan temples. You know,
[270] 17:07	you idols, fantastic. You should abhore
[271] 17:10	idols, but don't steal.
[272] 17:14	Don't commit a breach of of of the moral
[273] 17:19	law in your zeal to a poor idols. Okay,
[274] 17:25	it's doesn't do anyone any good. Okay,
[275] 17:28	so I hope that helps. Thank you very
[276] 17:29	much for the super chat. Very much
[277] 17:31	appreciate it.
[278] 17:33	Okay.
[279] 17:40	All right. Next super chat here
[280] 17:46	is from Chiaoi
[281] 17:49	and he asks did the ancient neareastern
[282] 17:52	view of a god's power as proportional to
[283] 17:55	worship received
[284] 17:58	uh that is Neil Gman's American gods. No
[285] 18:01	actually the power of a god was not
[286] 18:04	proportionate at all to the amount of
[287] 18:07	worship it received. That's not an
[288] 18:09	ancient neareastern view. Now, a a god
[289] 18:15	could starve if it didn't have enough
[290] 18:17	worship because it could didn't receive
[291] 18:19	food and drink offerings. But there are
[292] 18:22	some gods that were incredibly powerful
[293] 18:26	that had no worshippers at all.
[294] 18:29	Like for example, GB, the earth god
[295] 18:33	was a, you know, he's god of the earth.
[296] 18:36	He's an incredibly powerful deity. He's
[297] 18:38	one of the original two children of of
[298] 18:44	um of Shu and Tephnot.
[299] 18:47	Okay. Of
[300] 18:50	uh and
[301] 18:52	you know they were the powerful gods
[302] 18:54	powerful enough to make the Osiris
[303] 18:55	deities.
[304] 18:58	Is there a single temple dedicated to
[305] 19:00	GB? No.
[306] 19:03	GB had no temples, no worshippers,
[307] 19:07	none at all.
[308] 19:10	GB didn't even have offerings made to
[309] 19:12	him.
[310] 19:13	GB is a is is a god with absolutely no
[311] 19:17	worship cult at all,
[312] 19:20	but yet was as seen as powerful,
[313] 19:24	sufficiently powerful to create Osiris,
[314] 19:28	Horus the Elder,
[315] 19:31	uh, Seth, Isis, and Nephus.
[316] 19:35	But that power was through the power of
[317] 19:37	procreation.
[318] 19:39	So,
[319] 19:42	um it's kind of it's kind of a um it's
[320] 19:45	kind of a fallacy. And you do see this
[321] 19:46	fallacy pop up from time to time that
[322] 19:49	the
[323] 19:52	um
[324] 19:54	that the gods of the ancient near east
[325] 19:56	needed worshippers.
[326] 19:58	They didn't necessarily need
[327] 20:00	worshippers. They did need the the uh
[328] 20:02	the necessities of life. They did need
[329] 20:05	food. They did need drink. They did need
[330] 20:07	clothing
[331] 20:09	at least to keep their idols from being
[332] 20:11	naked. But they didn't actually need
[333] 20:14	worshippers.
[334] 20:16	Uh in fact, if anything, in many ancient
[335] 20:21	eastern cults, the worshippers were
[336] 20:22	excluded from the temple. worshippers
[337] 20:25	weren't allowed inside,
[338] 20:28	which is really which is really quite
[339] 20:29	interesting because we we now kind of
[340] 20:32	think of gods needing worship, you know,
[341] 20:35	because they're jealous and they want
[342] 20:36	all that worshiping. No, no, they don't
[343] 20:38	want that stuff. No, no, they're they're
[344] 20:41	more pragmatic.
[345] 20:43	Give me food, give me water, give me
[346] 20:45	grain that I can trade for other things,
[347] 20:48	give me clothing, you know, that sort of
[348] 20:50	thing. So,
[349] 20:55	Um so it's very much um the gods of the
[350] 20:59	ancient near east did not need worship.
[351] 21:01	Uh in fact the proxy worshippers that
[352] 21:04	were used like the wrecked birds on the
[353] 21:06	sides of the temples was enough worship
[354] 21:08	for them. That's all the worship they
[355] 21:11	needed
[356] 21:12	was just the the idea of [laughter]
[357] 21:16	dark plate.
[358] 21:18	One mina of filt minion for shamash at
[359] 21:22	table three.
[360] 21:25	[laughter]
[361] 21:25	That's funny. But that's pretty much it.
[362] 21:28	That's that's what that's what the gods
[363] 21:30	of the ancienties needed. They didn't
[364] 21:32	need your worship. They didn't care
[365] 21:34	about your worship. They're the gods.
[366] 21:35	They don't they don't care about your
[367] 21:37	worship. Who are you? who are you that
[368] 21:39	you would worship them? You know, you
[369] 21:42	know, we kind of think of uh that that
[370] 21:44	our worship meant so much to the gods
[371] 21:46	the ancients and it's like no, it was
[372] 21:48	worth almost nothing to them.
[373] 21:52	So,
[374] 21:54	I think Neil Gman's sort of view of this
[375] 21:56	is has sort of dis distorted our view of
[376] 22:00	what the gods of the ancient near east
[377] 22:02	were like. They weren't like that.
[378] 22:04	Didn't need worship. Didn't care about
[379] 22:06	worship. a few icons of the birds on the
[380] 22:10	walls. That's all the worship they
[381] 22:11	needed. That's it. The rest of it was
[382] 22:14	just a presentation of offerings.
[383] 22:21	CBM dos treating worshippers like door
[384] 22:24	dashers. [laughter]
[385] 22:28	Yeah, that's that's more or less what
[386] 22:30	they that's what they view worshippers
[387] 22:32	as, the door dashers. Hey. Okay, you can
[388] 22:37	just leave the food there at the at at
[389] 22:38	the doorway. [clears throat] You can go
[390] 22:39	now. [laughter]
[391] 22:41	Leave the food. There's the door.
[392] 22:47	[laughter]
[393] 22:55	[snorts]
[394] 22:59	All right, let's move on here. I'll take
[395] 23:01	Milo's question here. Um, have you made
[396] 23:03	it through He Who Must Be Named
[397] 23:04	Educational Presentation yet? No, I'm
[398] 23:06	still working on it. Okay, I'm 2/ird of
[399] 23:09	the way through. I'm I'm going to finish
[400] 23:10	it, but I just haven't done it yet. Um,
[401] 23:14	we are going to get the video out on um
[402] 23:20	on uh the spilling of the tea because a
[403] 23:22	lot happened at ETS this year. An awful
[404] 23:25	lot happened this year. So, we will do
[405] 23:29	it and then I'll get back to that. Uh
[406] 23:32	we've also had several other requests
[407] 23:35	for uh various popcorn reviews
[408] 23:40	and all of them are equally meritorious.
[409] 23:43	Okay. So
[410] 23:46	um I haven't forgot about it. Still
[411] 23:48	working on it. Just we are
[412] 23:53	we've been sort of swamped by requests
[413] 23:56	for these sorts of things. Okay.
[414] 23:59	Siri Stark. So many videos, so little
[415] 24:02	time. Oh, yeah. Yeah. Tell me about it.
[416] 24:07	Okay,
[417] 24:09	let's move on to the next one here.
[418] 24:15	Uh,
[419] 24:18	AJ Higgins, composer,
[420] 24:22	for $2. Thank you very much for the
[421] 24:24	super chat.
[422] 24:26	thoughts on on David Wood's ATS Quran
[423] 24:30	lecture.
[424] 24:32	Okay.
[425] 24:34	Um
[426] 24:38	I was there.
[427] 24:40	I was there.
[428] 24:45	Um
[429] 24:50	how do I say this nicely? Um,
[430] 24:56	it sounded really good to me, but I'm
[431] 24:58	not an expert on Quran
[432] 25:01	or Islamic literature.
[433] 25:03	And it got wrecked. It got wrecked.
[434] 25:07	>> Yeah. Um, here's here's what's here's
[435] 25:10	what happened. Okay. Now
[436] 25:15	uh David Woods and and you kind of have
[437] 25:19	to understand let's let's let's put put
[438] 25:20	this first of all in perspective what
[439] 25:23	ETSs is okay the evangel evangelical
[440] 25:27	theological society is an academic
[441] 25:31	conference
[442] 25:34	and academic conferences
[443] 25:37	you basically present your new ideas you
[444] 25:39	present your new research you present
[445] 25:43	your theories and then other people kick
[446] 25:46	the tires on them. That's the entire
[447] 25:48	purpose of these conferences. Okay, this
[448] 25:52	is not these conferences are not there
[449] 25:54	to educate the ley. We do get these
[450] 25:56	people that that are kind of tourists
[451] 25:59	who are not academics. They do come in.
[452] 26:03	They sometimes see the brutality that
[453] 26:05	happens at some of these conferences.
[454] 26:10	think the guys in the audience are being
[455] 26:13	mean without understanding that this is
[456] 26:16	what just what happens at academic
[457] 26:18	conferences. Okay.
[458] 26:20	>> And
[459] 26:22	you
[460] 26:25	>> Yeah. Now you you only have like two
[461] 26:27	minutes to state your opinions and your
[462] 26:29	critiques of the papers. Okay. So you
[463] 26:31	keep that understanding as we talk about
[464] 26:33	this.
[465] 26:35	Now Wood's paper was a bench essentially
[466] 26:39	that
[467] 26:41	talking about the satanic verses.
[468] 26:43	Satanic verses are verses where Muhammad
[469] 26:45	talks to sat is fooled by Satan or he
[470] 26:49	recommends the uh interaction with pagan
[471] 26:53	deities. Okay.
[472] 26:55	>> Sherk
[473] 26:56	>> it's sherk.
[474] 26:58	>> Yeah. And and these are verses that are
[475] 27:00	actually in the Quran.
[476] 27:03	ancient ver ancient uh Islamic scholars
[477] 27:06	all accepted these as bonafide genuine
[478] 27:10	verses.
[479] 27:11	Modern
[480] 27:13	Islamic theologians say they're not
[481] 27:15	original to Quran.
[482] 27:17	And that's where the tension is.
[483] 27:20	Now what David would proposed
[484] 27:23	is that all the corroborating evidence
[485] 27:27	for the legitimacy of the satanic verses
[486] 27:30	comes from the uh tusk fear which is a
[487] 27:34	it's a secondary corpus of literature
[488] 27:36	after the hadith
[489] 27:39	and he basically has said his thesis is
[490] 27:43	that the hadith
[491] 27:45	the takir
[492] 27:48	task and I'm going to butcher these
[493] 27:49	names and there's is one other category
[494] 27:51	of historical literature. All have
[495] 27:53	different kinds of historical
[496] 27:56	historioggraphy and historical
[497] 27:57	verifications.
[498] 27:59	And what modern Islamic scholars are
[499] 28:02	doing is confusing
[500] 28:05	the higher standard of the uh of the um
[501] 28:10	hadith which is the isnad with these
[502] 28:13	other two classes of of of literature.
[503] 28:18	Okay.
[504] 28:19	So they're making a category error
[505] 28:21	essentially. They're treating the tus
[506] 28:23	fear as if it's a hadith when they
[507] 28:26	shouldn't be because it's using a
[508] 28:27	different standard of his historical
[509] 28:29	proof.
[510] 28:30	All right. All of that sounded good to
[511] 28:33	me. Okay.
[512] 28:36	And it's like, okay, if this if this has
[513] 28:38	legs, then then David Wood's got
[514] 28:40	something here.
[515] 28:43	Then came question time.
[516] 28:47	and Iman Ibraim who is a
[517] 28:51	very very good historic uh Islamic
[518] 28:56	scholar uh he works at a Christian
[519] 28:58	seminary but he he's a scholar on Quran
[520] 29:00	and Islam
[521] 29:02	he got up and he shredded Wood's paper
[522] 29:08	absolutely
[523] 29:10	shredded it
[524] 29:13	okay this happens
[525] 29:15	this happens frequently where you think
[526] 29:19	you've done a pretty good paper, you get
[527] 29:21	into a room and somebody in the room is
[528] 29:23	smarter and better educated on this
[529] 29:25	subject than you are.
[530] 29:28	This is why the importance of doing your
[531] 29:29	homework.
[532] 29:31	So,
[533] 29:33	um
[534] 29:36	I don't think I would use
[535] 29:39	Wood's um thesis after that rebuttal.
[536] 29:45	Uh, it's
[537] 29:48	it wasn't good. It was it it's not the
[538] 29:52	worst takedown I saw this year.
[539] 29:55	I saw a takedown that was even much
[540] 29:57	worse than this. Okay. But it was bad.
[541] 30:06	So, um,
[542] 30:09	yeah. Um,
[543] 30:11	it it was it was it was it was really uh
[544] 30:16	Yeah, it was really um Whoa.
[545] 30:21	Yeah, this was
[546] 30:23	uh Yeah, I it's b it basically gutted
[547] 30:26	his entire paper. It It wrecked the
[548] 30:28	paper. It wrecked the thesis. It's so It
[549] 30:32	happens. Yeah, absolutely. It happens,
[550] 30:34	you know. But this is why you do these
[551] 30:36	conferences, too.
[552] 30:38	It's better to have your your your paper
[553] 30:41	wrecked in a conference in a lecture
[554] 30:46	then get it published and have it
[555] 30:48	wrecked in press. Okay.
[556] 30:52	Um
[557] 30:56	uh it's not Raymond, it's Iund. Okay.
[558] 31:02	That's I
[559] 31:04	uh a Y uh M O N D Ibrahim. So I don't
[560] 31:10	know if that's the same person as
[561] 31:11	Raymond, but but that that that was who
[562] 31:14	was doing the um moderation.
[563] 31:24	Um
[564] 31:26	what was the what were the specifics of
[565] 31:28	what good uh wood got wrong according to
[566] 31:31	to Abram? Basically he pointed out that
[567] 31:34	the tusk fear um used the same isnad
[568] 31:38	method
[569] 31:40	as as the hadiths. So he basically
[570] 31:43	pointed out that methodologically
[571] 31:45	the isnad method of of chain of custody
[572] 31:50	is the same for the hadith as it is for
[573] 31:52	the task. So
[574] 31:56	so I think that was the issue there that
[575] 31:59	there's no material difference between
[576] 32:01	them. And if there's no material
[577] 32:03	difference it doesn't matter then if
[578] 32:06	they're using the same method as the
[579] 32:07	hadith because the method is the same as
[580] 32:09	the tus.
[581] 32:11	So, so Ibraim basically um
[582] 32:16	um just said, you know, your your
[583] 32:20	central thesis is um lacks warrant
[584] 32:26	and if lacks warrant, then the thesis
[585] 32:28	falls.
[586] 32:30	So, this stuff happens. But again, it's
[587] 32:33	better that it's done in a in a
[588] 32:35	conference
[589] 32:36	in a conference than
[590] 32:41	Um,
[591] 32:45	Harry Stark asks,
[592] 32:48	"Uh, couldn't errors still appear even
[593] 32:50	after peer review?" Oh, sure they do.
[594] 32:52	You just don't want them to appear
[595] 32:53	there.
[596] 32:55	>> But you you get some major errors
[597] 32:57	before.
[598] 32:58	>> Yeah, that's that's why you do present
[599] 33:00	widely, you know, in these conferences
[600] 33:03	before you you go to publication is so
[601] 33:06	people can kick the tires and people can
[602] 33:08	say, "Well, you know, is that right?
[603] 33:12	Uh,
[604] 33:14	does it follow the evidence? You want
[605] 33:17	people to kick the tires on this? So,
[606] 33:23	AJ Higgins says, "So, Wood shouldn't
[607] 33:25	have posted the video of it on YouTube
[608] 33:28	essentially since it needs to be updated
[609] 33:30	in substance." Yeah. Yeah. I wouldn't
[610] 33:32	have posted that on on YouTube. that
[611] 33:35	would that would in my book constitute a
[612] 33:39	retraction.
[613] 33:41	Okay. Um yeah, the core substance of his
[614] 33:44	lecture got gutted.
[615] 33:47	So, um I think that was not a good idea
[616] 33:51	for him to post the video of it
[617] 33:55	because, you know, that's
[618] 33:58	it. It it it needs more work. At the
[619] 34:01	very minimum, it needs more work. So,
[620] 34:05	um, yeah, I had heard he had done that
[621] 34:07	and I don't think that was a good idea.
[622] 34:10	So,
[623] 34:17	Dark Blade glows, if I remember
[624] 34:18	correctly, no commentary or QA appeared
[625] 34:21	in his video. Oh, I'm not surprised.
[626] 34:25	[laughter]
[627] 34:29	>> Yeah. [clears throat]
[628] 34:30	>> And this is the whole
[629] 34:32	>> Yeah.
[630] 34:32	>> set up. Yeah,
[631] 34:33	>> the conference.
[632] 34:35	>> Well, the conferences make recordings of
[633] 34:37	just the papers. They only make an audio
[634] 34:39	recording. It sounds like the video
[635] 34:42	recording was something wood arranged.
[636] 34:46	So, um
[637] 34:49	>> standard
[638] 34:50	>> but silencing the criticism of that
[639] 34:53	paper when it was a showstoppping thing.
[640] 34:57	Yeah.
[641] 35:00	Uh, Camila Park goes, "That's
[642] 35:02	academically stinky."
[643] 35:05	Yeah, I would say so.
[644] 35:07	Um, I mean, maybe he's been out of the
[645] 35:09	academy too long. I mean, it's possible
[646] 35:12	he's I mean, he never really held an
[647] 35:14	academic post. He he hasn't done much
[648] 35:17	publication. Um, he hasn't given a lot
[649] 35:20	of papers at these things. Um, I mean,
[650] 35:22	I've given a lot of papers at
[651] 35:24	conferences. When I when I first started
[652] 35:26	off uh after graduating with my PhD, I
[653] 35:29	mean I was given two three papers a year
[654] 35:31	and you know
[655] 35:34	it was exhausting but I did learn a lot.
[656] 35:40	Mhm.
[657] 35:43	>> In fact, I've got a supply of papers
[658] 35:44	that I'll probably never uh get
[659] 35:47	published because it's just I've got too
[660] 35:49	many of them. But um but you do want to
[661] 35:55	account for all the criticism.
[662] 35:58	That's important.
[663] 36:00	That's important. And if he's not
[664] 36:01	accounting for the criticism,
[665] 36:04	then it's not ready for prime time.
[666] 36:06	Because here's what I think. Here's
[667] 36:07	here's the problem is,
[668] 36:10	you know, if there's a smart
[669] 36:13	evangelical e uh or or a Christian um
[670] 36:17	Islamic scholar who could point out the
[671] 36:20	errors in your work and other people
[672] 36:22	take your work and use it as an
[673] 36:24	apologetic argument. There's going to be
[674] 36:26	a smart Islamic scholar out there that's
[675] 36:28	going to look at that and do the same
[676] 36:29	thing. And then what what have you done?
[677] 36:33	you've you've set up the other
[678] 36:35	apologists who are copying your work to
[679] 36:39	failure. And I don't think that's
[680] 36:41	academically responsible.
[681] 36:47	Um AJ Higgins, I believe he has a degree
[682] 36:49	in philosophy. How does that impact how
[683] 36:51	he does research in another field? Well,
[684] 36:53	it's not uncommon for for you to get a
[685] 36:56	PhD in one field and go do work in
[686] 36:58	another. That's actually quite common.
[687] 37:00	Um
[688] 37:03	um I don't know exactly what he got his
[689] 37:05	PhD in so I can't say where would be the
[690] 37:10	sort of of a cognate overlap but it
[691] 37:12	isn't uncommon to do work in one people.
[692] 37:15	I mean you get this all the time where
[693] 37:17	you get um say Egyptologists who end up
[694] 37:21	doing work in anthropology
[695] 37:23	or biblical studies.
[696] 37:26	No, they didn't get a degree in those
[697] 37:27	things, but it's close enough that
[698] 37:29	there's some cognate overlap that with a
[699] 37:31	little bit of ramp up, you could do the
[700] 37:33	work. That's really common. It's really,
[701] 37:36	really common.
[702] 37:39	So, but it does mean you have to work
[703] 37:41	harder
[704] 37:43	uh to to be publishable in that field.
[705] 37:48	And
[706] 37:51	um
[707] 37:53	so I know I mean I don't know what to
[708] 37:55	say. It's just um he got he just got
[709] 37:59	sort of got skunked by a guy who knew
[710] 38:02	more, you know. Um and frankly I've done
[711] 38:06	this to people, you know. I walked into
[712] 38:09	Daniel Hayes lecture and I just I just
[713] 38:12	tore his paper apart,
[714] 38:14	you know. And Mark Francois, who is the
[715] 38:17	moderator at that one, you know, he came
[716] 38:18	up to me afterwards and he said, you
[717] 38:20	know, if you do a paper on on the Bible
[718] 38:24	in Egypt and Dr. Faulk walks into the
[719] 38:26	room, you better have your done your
[720] 38:27	homework or you're going to pay the
[721] 38:29	price.
[722] 38:30	Hope so.
[723] 38:32	>> You've been fulf [laughter]
[724] 38:46	that that that there there are just some
[725] 38:47	guys who are really really good at their
[726] 38:49	field. Ibrahim's one of them.
[727] 38:52	You know, Ibrahim's one of them. one of
[728] 38:55	these guys that if he walks if you're
[729] 38:56	doing a paper on Islam and he walks into
[730] 38:58	the room, oh boy, you better have your
[731] 39:01	ducks in a row.
