[0] 0:01	foreign [Music]
[111] 14:38	you had said that they knew the priests would move the statue to speak yeah uh
[112] 14:43	this is the Egyptian priests would have like a draw chord on some of the statues to make like the mouth move
[113] 14:51	was there ever a conflict due to disagreement like someone thinking it wasn't a from a God or heretical um no
[114] 14:58	there wasn't okay uh to to our knowledge there was no disagreement with his
[115] 15:04	practice it was just seen as standard operating procedure within Egyptian temples
[116] 15:12	we have to understand that temples served a lot more than just a religious function
[117] 15:19	they served a Judicial function now judicial function wrapped up in
[118] 15:25	religious skies and religious clothing but a Judicial function not nonetheless
[119] 15:31	okay so you might get two
[120] 15:37	contesting parties going up to the temple to get a judgment
[121] 15:43	uh on in a civil case in a civil legal case and they go the priest and the Priestess
[122] 15:49	okay I've taken your complaint you know and one hour appear before the statue of the god
[123] 15:55	okay so they appear before statue of the god and okay then the decrease priest goes
[124] 16:01	behind the wall starts pulling the draw card and says hey the defendant is guilty you know uh he's got to pay up
[125] 16:10	foreign well this is this is to when it's done in this way it's meant to give the
[126] 16:18	message Authority as having come from the temple not just from some random priest
[127] 16:24	and frankly that's that's kind of priests in ancient Egypt did not have all that much gravitas there were so
[128] 16:32	many of them there were a lot of priests in Egypt
[129] 16:39	so your typical priest couldn't just say to to a contesting party
[130] 16:45	hey you know I I'm I'm the priest of almond and here's my judgment and because the parties will just say
[131] 16:51	well who the heck are you you're just some priest priests had
[132] 16:58	socio-economic status but they didn't have authority
[133] 17:03	priests did not have religious authority over common people and that's something we we kind of
[134] 17:09	mistake when we talk about the priests of Egypt because for example uh Roman Catholic priests had a lot of authority
[135] 17:16	over the common people but Egyptian priests didn't
[136] 17:22	so they had to mitigate that by using this
[137] 17:27	um religious drama where essentially everybody
[138] 17:33	sort of suspended disbelief to accept that this was the verdict so this was
[139] 17:39	the message from the god through the voice of the priest
[140] 17:44	so this sort of gave it a stately religious form that would be more likely to be listened
[141] 17:51	to in in reality it wasn't that much more listened to the words of the priest
[142] 17:56	themselves which is why we know they didn't buy it
[143] 18:02	but that was the attempt that was being made okay so nobody thought it was heretical
[144] 18:10	nobody would it it didn't it never created conflict over any sort of
[145] 18:16	disagreement that this might be wasn't from a god they just would ignore it essentially
[146] 18:24	so when I thank you very much for the question I hope that answered it uh a very interesting question but uh but
[147] 18:29	that's sort of how it worked so I hope that gives you a better sense of of why it worked that way
[148] 18:36	okay so that ends our first three non-super
[149] 18:43	chats now we go to the Super chats our first
[150] 18:48	uh Super Chat here is from ass and we're for 4.99 and he says
[151] 18:56	uh besides Michael Heiser do you know of any Scholars that do good work on Divine
[152] 19:01	Council theology oh um well thank you very much for the Super
[153] 19:07	Chat I'm gonna have to admit here that uh I
[154] 19:12	don't know a lot of Scholars that do good work on the
[155] 19:18	Divine Council theology we have to understand that in some respects Heiser was a pioneer of
[156] 19:26	this pot of this theology now the first thing Heiser is going to say is he's not saying anything
[157] 19:33	new that there's nothing new about the Divine Council theology
[158] 19:39	he's he when he was alive he was very very upfront with this that this is
[159] 19:45	something that theologians had been talking about for centuries you know millennia
[160] 19:51	foreign but he sort of took all that and just wrapped it up in a nice neat package and
[161] 19:58	then basically uh fold the package Okay so
[162] 20:05	there's very few Scholars that were able to popularize this theology there's a
[163] 20:11	lot of Scholars that talk about it in passing I mean even even John Walton occasionally talks about this in passing
[164] 20:18	but none of them really focused on this like Heiser did
[165] 20:26	so it's hard to say if there's if there's anybody doing good work on this
[166] 20:31	at the moment at least none have come to my attention
[167] 20:38	now that doesn't mean anything necessarily but uh to my knowledge I don't know of any
[168] 20:43	that are actually um really doing a lot on this subject
[169] 20:52	um it's it's not a it has never been that popular a subject in Christianity
[170] 20:57	and even in Judaism it's it's it's not the most popular subjects
[171] 21:03	um and it's certainly not the sort of subject that will earn you a teaching post and for many people who go into Academia
[172] 21:10	they they really want to have a teaching post so this is the sort of subject that gets
[173] 21:16	you relegated it doesn't exactly get you a teaching position so
[174] 21:23	um I can't say I know of any really good Scholars that are doing the work on this at the moment but that's not to say that
[175] 21:29	there hasn't been work done and it also doesn't mean that uh people aren't doing
[176] 21:34	it from time to time I mean even I've commented on this so you know I think I think there's just
[177] 21:42	um there's a lot of a lot of work that could still be done but whether or not
[178] 21:47	somebody who's willing to really focus on it as a specialization well that's
[179] 21:53	another matter so anyway thank you very much for the Super Chat very very much appreciated
[180] 22:07	okay the next Super Chat here is also from as aware for 199. thank you very
[181] 22:13	much for the Super Chat what's the Bible's teaching on harsh language ooh ah
[182] 22:23	it depends upon what you mean by half and when Bible translators translate
[183] 22:31	harsh here's the thing just not the Bible does not say a lot on harsh language
[184] 22:40	it it uses one of two words for Harsh
[185] 22:47	which can mean hard severe basically tough to swallow
[186] 22:52	it's a tough to swallow it's a it's a difficult to accept
[187] 22:58	uh message an example of this is like in First Kings 14 6
[188] 23:05	where say the um the wife of jeroboam
[189] 23:12	goes to the prophet abijah and asks hey my son is sick you know is he gonna
[190] 23:19	recover and she of course she's she's doing it in disguise and the Lord says hey
[191] 23:27	you know when she comes to you give her this harsh message
[192] 23:32	okay this difficult to this difficult severe
[193] 23:37	message now I do have to remember that jeroboam
[194] 23:42	was not a great king not a good King so there would have been aspects of that
[195] 23:50	intermingled within the sort of the uh prophetic message but
[196] 23:56	the idea here is that the prophet is commanded to give a harsh or severe
[197] 24:01	message okay on the other hand you also have another
[198] 24:07	term called esev and we find that term in Proverbs 15 1.
[199] 24:15	where it says harsh words in uh create anger
[200] 24:21	okay soft words calm the soul now in this particular
[201] 24:28	case in Proverbs 15 1 the idea here is that esev is hurtful
[202] 24:35	painful portion that way so we got two kinds of
[203] 24:40	harsh here you know one which is more difficult hard severe and the other one which is
[204] 24:48	hurtful painful and harsh in that way so there's a there's a there's a
[205] 24:54	difference it's almost a difference in in the way the Bible treats harsh by
[206] 25:00	intent is the intent of your words to wound
[207] 25:05	or just to provide something difficult for the person to consider or think
[208] 25:10	about if it is the latter then the Bible has
[209] 25:16	nothing nothing bad to say about that honestly sometimes we do have to give
[210] 25:24	people tough medicine you know you know doctors do this all the time
[211] 25:30	you know especially oncologists you know oncologists will call people into the office every day and basically
[212] 25:36	say I've really got a really bad message for you you know you're dying of of liver
[213] 25:43	cancer and it's inoperable sorry uh you got two months to live
[214] 25:49	that's a tough message that's harsh that's really severe
[215] 25:56	you know talk about a hopeless message that's it but doctors do this so people put their
[216] 26:04	Affairs in order to say their last goodbyes you know because the truth here
[217] 26:11	still matters you know you know it it it's important sometimes
[218] 26:16	to say harsh things for the good of the person
[219] 26:22	you know and when done for the good of the person it's not a bad thing it's a noble thing
[220] 26:29	no one wants to do it I mean no one who wants to deliver a message like that
[221] 26:36	but that's that's when harsh words serve a good
[222] 26:42	right and Noble purpose on the other hand
[223] 26:48	if you say a harsh thing to create pain in somebody
[224] 26:55	that's a different matter and the Bible basically says hey you do
[225] 27:01	that you're spoiling for a fight you know you could say to to a guy you know
[226] 27:07	uh you are such a weak man that she your wife left you for an even weaker man
[227] 27:12	okay so you know and and you're gonna create a bar fight out of that
[228] 27:18	you know it's just it's just a stupid thing to say you know you're antagonizing somebody for no good reason
[229] 27:25	okay so the Bible does seem to delineate
[230] 27:30	between the two kinds of harsh the harsh for the person's good and
[231] 27:36	harsh because you said something precipitous you said it out of anger you
[232] 27:41	wanna you wanna lash out yeah the and the Bible says you know you
[233] 27:47	do that you're going to cause anger you're gonna cause a fight and it's going to be all your fault
[234] 27:53	so you know you do have to take the circumstances into account it isn't that the Bible blanket condemns
[235] 28:02	harsh words it can it basically is warning you as a
[236] 28:08	matter of wisdom to judge how you're going to use those words
[237] 28:14	so that's the Bible's teaching on harsh language is it matters on the context it
[238] 28:20	matters on who's good at serving it matters on the purpose of the words
[239] 28:26	is it to help somebody or is to hurt somebody thank you very much for the Super Chat
[240] 28:31	very much appreciate it and I hope that helps
[241] 28:41	all right uh our next Super Chat here is from Jack Ray for five dollars thank you very much for the Super Chat and he is
[242] 28:48	sponsoring a bonbon question
[243] 28:54	and the bonbon question he's going to be sponsoring here is can you explain why one would need a super strong military
[244] 29:01	in Egypt if they want to make any changes to the religious system what's the connection here
[245] 29:07	the connection here is that the military and the religious system in
[246] 29:15	Egypt were not exactly separate okay
[247] 29:23	the religious system was more than just a system of Faith or
[248] 29:29	belief it was also one of the major Distributors of food
[249] 29:35	and that's because the way that Temple offerings work the religious system in in Egypt owned
[250] 29:43	or a controlled huge plots of land so basically they would use that land to
[251] 29:50	cultivate grain and cattle which they would make offerings for those offerings were then
[252] 29:57	given to the priests who were then redistributed it to various people
[253] 30:04	at any point in time the priesthood could cut that off
[254] 30:10	basically give their priests only enough to live on not any excess to sell
[255] 30:16	this would disrupt the food chain in Egypt so if the king acted out a line
[256] 30:25	what the priesthood could do is turn off the tap on the food create Mass
[257] 30:32	starvation and rioting okay try to affect a coup
[258] 30:39	and the kings of Egypt were all aware of this they were all aware of this but usually it was
[259] 30:47	they kept the priests happy so that this never usually happened
[260] 30:52	uh probably the only time it came really close was during The Reign of Akhenaten
[261] 30:59	okay so that's the connection here you need the military to secure the grain sources
[262] 31:07	should there be a Revolt by the priests so that's the reason because the priests
[263] 31:14	control the food the military needed to be a strong
[264] 31:20	military need to be in Egypt if there was any sort of religious reforms
[265] 31:27	because you couldn't always count on the priests now uh you had also though several different
[266] 31:35	approaches to this as well like for example during the reign of amenhotep III article dip the third made
[267] 31:42	a lot of religious reforms he was a big religious reformer we don't hear about
[268] 31:47	this much because of his son Akhenaten but I'm gonna hook up the third was in
[269] 31:53	some ways almost more radical in his reforms than okanakin was
[270] 31:59	at uh Karnak Temple he uh raised the Temple of Luxor to the
[271] 32:05	ground and then moved it 90 degrees and in doing so reduce the number of
[272] 32:10	gods being worshiped there
[273] 32:16	now how amen Hotel III got around this was he increased the amount of benefits
[274] 32:24	the priest got so he bought them out essentially so that's how he achieved his religious
[275] 32:30	reforms was he was able to buy them out and you know keep the priests happy
[276] 32:37	but Okanagan didn't do that Akhenaten risked that revolt
[277] 32:43	so akhenata needed a very strong Army to uh secure the food silos
[278] 32:51	and to keep the flow of food going while he was making his religious reforms that were not at all popular
[279] 32:58	so anyway that's what's going on here and that's why any king of Egypt that want to make
[280] 33:06	a sweeping religious reform also had to have a strong military to back it up
[281] 33:12	and that is to again assure the supply chain of food so anyway thank you Jack wave Ray for
[282] 33:20	sponsoring the Super Chat and thank you Bonbon for the question
[283] 33:30	the next Super Chat is also by Jack Ray and for five dollars thank you very much
[284] 33:36	for the Super Chat and he meant to say sponsor a non-bon
[285] 33:41	bon question on that second Super Chat
[286] 33:46	I love a equal opportunity uh um sponsor
[287] 33:55	and the non-super chat we're gonna sponsor is by frog paste
[288] 34:00	and he asks I heard a claim recently that there were no hieroglyphs of
[289] 34:06	Egyptians cutting stone or nor of the pyramids being built is this true if so
[290] 34:12	why are there not okay now
[291] 34:18	we have to really realize that hieroglyphs are it's a pictographic language it's a picked graphic language
[292] 34:26	you are not going to get whole vignettes normally okay you're not going to
[293] 34:33	normally get whole vignettes of pyramids being built as a hieroglyph it'd be just too complicated
[294] 34:41	how do this have to be simplified for writing people are writing these things
[295] 34:46	every day they're part of the language so any hieroglyph is going to use a re
[296] 34:53	basically a simplified system of pictographs
[297] 34:58	so in all likelihood you're not going to see people
[298] 35:06	um building pyramids as such okay because
[299] 35:12	it'd be too much work to write it out however there are some hieroglyphs that do show
[300] 35:19	Egyptians either cutting or fashioning stone
[301] 35:25	or using tools that we're used to to cut stone
[302] 35:30	so let's talk about some of those because they're actually really interesting
[303] 35:35	so I've got Hawk sign lists here I'm going to raise this up okay
[304] 35:42	and we got right now on let's see let's grab
[305] 35:47	it here uh I hope everyone can see that okay
[306] 35:54	uh signless uh this is the ranged in the order of the Gardner sign list which is
[307] 35:59	an A and then a couple numbers so we have sine a 35 here a man building
[308] 36:06	a wall okay now the wall here is a crenellated wall
[309] 36:12	now these were very very common on say temples and palaces
[310] 36:19	and we find for example a crenellated wall at the uh Mortuary Temple of King zozer at Sakara
[311] 36:27	and that one's made out of stone so what we have here is a man building a
[312] 36:34	stone wall okay that's uh that's the first step okay so
[313] 36:39	that's one thing here okay one thing here but we're not done yet because we've got
[314] 36:46	more stuff that Stone working that's that's that works
[315] 36:51	its way into the hieroglyphs uh the next one is o39 and go flip down
[316] 36:56	oh 39 here oh
[317] 37:02	39. it's a little too far okay
[318] 37:15	okay o39 is just simply a block of stone
[319] 37:21	okay now that's not that's not so important for this but it's going to pop up again as part of
[320] 37:27	another hieroglyph so you see that that that uh stone block there so
[321] 37:33	that would be the product of said don't work but so keep that one in mind so you see
[322] 37:40	the square block there we then go down to u16.
[323] 37:54	now u16 is very interesting all right that's
[324] 38:00	that's this one right here and it shows a sledge with a jackal's
[325] 38:07	head on it with a stone block on it now a sledge is basically a wood sled
[326] 38:16	that was pulled to move stones so here we have one of the tools used
[327] 38:22	for stonework which is being shown here as a sledge carrying a block of stone
[328] 38:30	and it's used in the in the uh term here when Ash which means a sledge
[329] 38:37	okay but we're still not done here there's still a few more
[330] 38:45	which is U24
[331] 38:57	or we'll start with u22 actually u20 oops
[332] 39:04	u22 is a chisel now
[333] 39:10	these are chisels used to carve hieroglyphs into walls to cut out to
[334] 39:16	finish stone blocks so this is the Stone Cutters tool of
[335] 39:22	choice is the Chisel so you know
[336] 39:28	if there's no hieroglyphs of Egyptians cutting Stone well why would they have
[337] 39:34	the Chisel you know the only thing that chisel is good for in Egypt is cutting Stone
[338] 39:40	they don't have a lot of wood lying around you know it's not like they're they're using a lot of chisels to to
[339] 39:46	carve out wood they're using them on Stone and that's the primary purpose of the Chisel in Egypt is to work Stone
[340] 39:54	so and and we find a lot of these tools at sites where there are
[341] 40:00	um especially cold chisels you find a lot of them at sites where they have
[342] 40:05	worked on Stone like for example there was a few founded uh Daryl Medina uh we find them at Aswan
[343] 40:12	so yeah very very common bronze bronze chisels add Stone working sites
[344] 40:19	and then finally probably my favorite here is U24
[345] 40:26	now what's so interesting about this one
[346] 40:32	picture case okay so I'll put you 23 2 back on
[347] 40:38	as well so you can see it properly all right U24 that one's my favorite I love this
[348] 40:45	one because this is actually a
[349] 40:50	um part of a bow drill okay this is part of a bow drill
[350] 40:56	now I've I heard I've seen a lot of um uh Tick Tock videos where they talk
[351] 41:03	about how the Egyptians couldn't cut uh these Stone jars
[352] 41:09	because they didn't have the technology to do it because Stone's so hard this is the tool that they used to cut
[353] 41:17	those jars it's basically a kind of bow drill okay
[354] 41:22	so this is the part of the this doesn't include the bow this is just the drill part so you see that kind of
[355] 41:28	uh semi-circle shape on the top they would put their hand on that at the bottom would be a piece of flint that
[356] 41:36	was um tafted to the shaft and then they just take the bow drill and run across
[357] 41:43	the shaft and it would turn the piece of flint round and round and round and round and it would bore into the
[358] 41:52	the blank of the stone jar So This Is How They hollowed out Stone
[359] 41:57	jars is using this bow drill and we just happen to have it as a
[360] 42:04	hieroglyph and its only purpose is to hollow out Stone jars
[361] 42:10	so here's a great example of a stone cutting tool that we find in hieroglyphs
[362] 42:17	so it's fascinating these are these are fascinating because they all they do appear in the language
[363] 42:25	but they don't appear as basically you know pyramid building things we have to also understand too that
[364] 42:33	that as far as the population is concerned very few people were actually involved
[365] 42:40	in pyramid building okay Mark leaner
[366] 42:46	uh who heads up the excavations at Giza
[367] 42:52	and he excavated the workman's Village at Giza he estimates that there were only ten
[368] 42:57	thousand people who were working on the Great Pyramid that's a really small number if you
[369] 43:03	think about it for a project that size and if you think about it in terms of
[370] 43:09	the population as a whole there aren't that many
[371] 43:14	people per portion involved in the actual construction of the pyramids
[372] 43:20	most of the people who were in uh involved in the construction of pyramids
[373] 43:26	were more involved in the agricultural process of feeding those people not actually building it
[374] 43:33	so it's yeah that was tougher so there was very few people actually
[375] 43:38	directly involved in the construction of a pyramid so the chance of that seeping into the
[376] 43:46	language was not so high but you had a lot of people carving hieroglyphs you had a lot of people
[377] 43:52	building walls these are more the aspects that we find of stonework in ancient Egypt seeping
[378] 44:00	into language so when we I hope that answers your question thank you very much for the question and thank you Jack Ray for
[379] 44:07	sponsoring this question
[380] 44:16	our next Super Chat here is from ass and we're for 9.99 thank you very much for
[381] 44:21	the Super Chat how would you respond to the claim that passages supposedly affirming the
[382] 44:28	existence of other gods for example Divine counsel are really just examples
[383] 44:33	of progressive revelation well
[384] 44:39	uh I don't think the Divine Council and say progressive revelation are mutually
[385] 44:44	exclusive I think that is part of the progressive revelation now what is progressive
[386] 44:52	revelation it's basically saying that you don't get the whole biblical story all at once
[387] 44:59	you don't turn to Genesis 1 and you find in the first page of Genesis 1 Jesus Christ died for
[388] 45:07	your sins or is going to die for for the sins and raise again from the dead and save all mankind okay now you're not
[389] 45:13	going to find that on page one of Genesis what you're going to get is little by
[390] 45:20	little gradual theological development what uh Graham goldworthy says is sort
[391] 45:28	of the Arc of biblical theology it's an arc it starts at creation it
[392] 45:34	Peaks at the crucifixion and resurrection and it then tapers down in
[393] 45:41	the consummation okay so you know that's that's sort of the
[394] 45:48	Arc of biblical revelation and progressive revelation is part of parcel to that idea that Revelation is
[395] 45:56	slowly revealed it's like for example I think that the
[396] 46:01	Divine Council it really hits its peak as far as being a a
[397] 46:09	um topic that's discussed among say the prophets and uh sages around the second
[398] 46:15	temple period right you don't see it in Bronze Age literature
[399] 46:21	not so much anyway I mean you see glimpses of it but it's really not a big Topic in the Bronze Age uh but in Iron
[400] 46:28	Age oh yeah definitely and particularly in the second temple period
[401] 46:34	so you could definitely chalk that one up to progressive revelation you know where it's slowly being
[402] 46:39	unveiled and then its implications then for the crucifixion
[403] 46:46	so absolutely um I I have I have no problem saying that thinking is part of progressive
[404] 46:52	revelation we also have to though be careful into thinking that okay what is what we mean by progressive revelation
[405] 46:58	most theologians are going to say well this is what always had been from the beginning that's only being slowly
[406] 47:06	revealed to us bit by bit not that they're changing it over time but that
[407] 47:12	they're revealing it over time and I have no problem with that I think that's that's perfectly acceptable and I
[408] 47:18	even think that's correct so anyway thank you very much for the uh Super
[409] 47:24	Chat very much appreciate and I hope that helped
[410] 47:33	okay the next Super Chat here is another non-controversial topic
[411] 47:40	from asson where for 199 he goes thoughts on presuppositionalism
[412] 47:45	oh oh
[413] 47:51	okay I'm gonna be straight up with you guys I don't like presuppositionalism
[414] 47:57	I don't like presuppositionalism one bit yeah I know a lot of my colleagues out
[415] 48:03	there adore presuppositionalism especially a lot of my calvinist colleagues
[416] 48:08	I don't have anything against Calvinism by the way but I do have something against presuppositionalism
[417] 48:14	um here's the thing I'm an evidentialist I'm a hardcore evidentialist
[418] 48:24	I think you can know something without recognizing God
[419] 48:30	all right uh I'll be straight up with that
[420] 48:37	I mean I got van till right here
[421] 48:42	all right I got his his introduction to Systematic Theology which is bio the way a terrible systematic theology
[422] 48:52	so um and the reason why it's a terrible systematic theology
[423] 48:57	oh I probably did a fence Ollie but um because really when you look at his
[424] 49:03	Systematic Theology has nothing to do with Systematic Theology it's really more an epistemology it's a systematic
[425] 49:09	epistemology than it is a systematic theology so
[426] 49:17	um so here's here's the thing you know van till is is probably one of the one of
[427] 49:24	the big promoters of uh of um presuppositionalism in the 21st
[428] 49:31	century and he's going to start off by saying there's only two kinds of knowledge okay knowledge about God that
[429] 49:37	comes only from God which they called non-creaturely knowledge and then knowledge of the
[430] 49:43	world which is unintelligible without God which is creaturely knowledge
[431] 49:49	all right and once you agree to you to those propositions those presuppositions
[432] 49:56	you then have to come to the conclusion that the world needs to acknowledge God
[433] 50:04	for it to be intelligible therefore there's a God okay so that's that's roughly roughly the
[434] 50:12	argument of presuppositionalism
[435] 50:17	um so with that said I I have problems with
[436] 50:24	some of those premises I really do um
[437] 50:30	I don't think that the world is unintelligible without God
[438] 50:35	there's ways that we because because just even some basic stuff
[439] 50:42	like I see the color red is intelligible without God
[440] 50:48	you're seeing red you see your your eye perceives the color of red it's getting the signal of
[441] 50:54	the color red and you are perceiving that as a kind of knowledge
[442] 51:01	Okay so you know it doesn't stand well against empiricism
[443] 51:08	so I I think that's that's I think that's that's an issue
[444] 51:13	yeah unless you're colorblind but you're still getting the photons of red there even though you can't interpret it right
[445] 51:19	the problem is with the perception not the stimulus
[446] 51:25	yeah yeah yeah of course now all now I'm finding out that all my uh all my
[447] 51:30	supporters here are colorblind a great example huh okay
[448] 51:39	yeah uh maybe not like this example here for this crowd um okay sorry
[449] 51:48	still stands okay uh the other thing I think is also I mean even even the first premise even
[450] 51:55	the first premise um which is that there's only two kinds
[451] 52:00	of knowledge may not actually be true they're my there's other kinds of
[452] 52:05	knowledge too you know I mean what we have here is a sort of black and white uh uh a false
[453] 52:12	dichotomy whereas you've got knowledge of God and knowledge of the world well what about
[454] 52:19	middle knowledge that's a kind of knowledge the knowledge of of contingency
[455] 52:26	that falls into the category of neither knowledge about God or knowledge of the
[456] 52:33	world necessarily so I think even their very first premise
[457] 52:39	that there's only two kinds of knowledge is deeply problematic
[458] 52:45	furthermore I think the idea that all knowledge of God comes from God
[459] 52:50	is also inconsistent with Romans chapter 1 which
[460] 52:57	basically says you know God's Majesty is in the creation itself
[461] 53:02	that does seem to infer and when they mean directly from God they mean divine
[462] 53:08	revelation scripture well that does seem to at least imply in
[463] 53:14	a say a to Mystic sense that you can learn things about God from from creation you know maybe not a huge
[464] 53:23	vast amounts as you would from say divine revelation but that doesn't mean you can't learn nothing from creation
[465] 53:29	about God so and I know there's some going to be some
[466] 53:35	some later presuppositionalists who say oh well yeah you can you can figure it out from
[467] 53:41	nature because God gave you that sense and that too is a Divine kind of uh uh a
[468] 53:48	revelation from God um yeah but that's sort of straining than
[469] 53:55	that here how is then that any different from you see here's the thing if you s
[470] 54:01	if you admit if you admit that you can learn anything at all about God from nature itself
[471] 54:09	then you also basically are admitting that you can
[472] 54:14	understand knowledge of the world as intelligible without God
