[0] 0:03	and stream is
[277] 14:39	singing We need a holy hand
[278] 14:43	grenade I don't know how to do it now
[279] 14:46	you've got an
[280] 14:48	option I'm going to either you can
[281] 14:51	either visit we have two wise people in
[282] 14:56	our
[283] 14:57	village
[284] 14:59	you can either be go up to the temple on
[285] 15:01	on the uh on the race tell the mount the
[286] 15:05	holy Mount of the
[287] 15:07	goddess and the Priestess will answer
[288] 15:10	for you
[289] 15:12	one give you one word of wisdom but only
[290] 15:17	one word of
[291] 15:19	wisdom
[292] 15:20	or you can talk to our
[293] 15:23	sage and he will answer any question you
[294] 15:27	want
[295] 15:30	I would recommend the
[296] 15:32	sage i' say the
[297] 15:36	sage right can I request one word at a
[298] 15:39	time for several questions the Priestess
[299] 15:43	will give you one word one word of one
[300] 15:45	nugget of wisdom that's
[301] 15:48	all
[302] 15:50	yeah in total or per each one of us
[303] 15:53	because there are enough of us to make
[304] 15:55	us okay total one word for the group
[305] 16:00	don't let Ark
[306] 16:03	speak you can you the sage and the Great
[307] 16:06	and Mighty Sage the wise and Sage will
[308] 16:09	answer any question you ask is the sage
[309] 16:12	also up the mountain or is he just down
[310] 16:14	the street he's down the street oh do
[311] 16:18	that way easier let's go talk to the
[312] 16:21	sage what do you
[313] 16:22	say take a vote Sage
[314] 16:27	Sage
[315] 16:29	um I'll go with the
[316] 16:32	Priestess
[317] 16:34	Pagan who's the last one
[318] 16:38	kidding one more
[319] 16:41	vote okay I I count two to one he's the
[320] 16:46	only person who hasn't voted who John
[321] 16:49	have you
[322] 16:50	vote uh that was for the sage but all
[323] 16:55	right that's three to one three to one
[324] 16:57	to one for the sage
[325] 16:59	okay I wanted to make it walk down the
[326] 17:02	street getting towards the the chief
[327] 17:05	tells you as you walk toward out of town
[328] 17:08	towards the Cave of the
[329] 17:10	Beast you will encounter a little
[330] 17:14	Hut
[331] 17:15	that is the Hut of the
[332] 17:19	sage
[333] 17:21	okay so you walk down the the dirty
[334] 17:26	Street of the village you know it hasn't
[335] 17:28	a long long time and then you enter you
[336] 17:33	you you you see the sign the sage the
[337] 17:38	Hamlet okay what do you
[338] 17:42	do uh Council amongst ourselves before
[339] 17:45	asking him a
[340] 17:47	question well don't forget you can ask
[341] 17:49	him any question you want you know can
[342] 17:51	we bring in the Constable with us no the
[343] 17:53	conable stays at the
[344] 17:55	Village you're on your own
[345] 17:59	do we know who the chickens belong to
[346] 18:01	because I would like to pay for the
[347] 18:02	chickens that the art keeps grabbing it
[348] 18:05	really bothers me morally that that we
[349] 18:08	keep stealing these
[350] 18:09	[Laughter]
[351] 18:11	chickens you go you'll have your chance
[352] 18:13	to pay up very shortly because after the
[353] 18:17	sage you'll need to be
[354] 18:20	equipped because you're gonna go off
[355] 18:22	after a
[356] 18:23	monster so you have nothing but your
[357] 18:25	robes your holy symbol and 50 gold
[358] 18:27	pieces so you can settle the accounts
[359] 18:30	soon we we need to find out what the the
[360] 18:33	monster's weakness is yes but you need
[361] 18:36	to talk to the sage first well we're
[362] 18:39	trying to figure out what we're going to
[363] 18:40	ask the sage yeah can that be a question
[364] 18:43	like is he kill the Beast what can slay
[365] 18:46	the
[366] 18:47	Beast you better not answer time or
[367] 18:49	something because that'll be annoying
[368] 18:50	you got to be specific with our
[369] 18:53	question what weapon can slay the Beast
[370] 18:57	what weapon in a 50 foot vicinity can
[371] 18:59	slay the Beast or simply what's the
[372] 19:02	weakness and there could be multiple
[373] 19:04	applications of weapons so what's the
[374] 19:06	weakness what is what is the beast's
[375] 19:08	greatest
[376] 19:09	weakness yes it's absolute weakness
[377] 19:13	please list all possible weapons that
[378] 19:15	can be used to
[379] 19:18	hurt that we can afford we we have to be
[380] 19:20	able to afford 50 budget because if it
[381] 19:24	ends up being something like well it's
[382] 19:27	Pride or it's srra
[383] 19:31	sauce we have to plan
[384] 19:35	accordingly so what do you think about
[385] 19:38	asking what the beast's greatest
[386] 19:40	weakness
[387] 19:43	is I feel like that gets us most of the
[388] 19:45	way
[389] 19:47	there or
[390] 19:50	could yes have you guys
[391] 19:53	decided remember this is a Speed game
[392] 19:56	I'm impulsive I asked yeah let's do it I
[393] 20:00	ask what the beast's greatest weakness
[394] 20:03	is all right so the the door of the Hut
[395] 20:07	opens and the four of you walk inside
[396] 20:10	the hut and you
[397] 20:13	meet the
[398] 20:16	[Laughter]
[399] 20:20	sage him ask your
[400] 20:26	question what is the Beast greatest
[401] 20:28	weakness oh great
[402] 20:31	Sage
[403] 20:33	SC fantastic right what did he just say
[404] 20:37	stuff it's
[405] 20:40	stuff I ask a second question do you
[406] 20:43	take
[407] 20:44	bribes could
[408] 20:51	be if I offer you one gold piece will
[409] 20:54	you reans another question not including
[410] 20:57	this question
[411] 21:01	does the sage count as stuff and we can
[412] 21:03	offer as
[413] 21:05	sacri yeah with a holy inside him
[414] 21:11	like all right so that's that's how we
[415] 21:13	defeat the Beast we just need stuff
[416] 21:15	we've got chicken that will
[417] 21:23	work let's all take our holy symbols see
[418] 21:26	we should have G for the Priestess that
[419] 21:27	that's we should have done that's that's
[420] 21:29	fine yeah she would have given a one
[421] 21:31	word answer instead of two
[422] 21:35	words I'm
[423] 21:37	okay you want to come with
[424] 21:40	us
[425] 21:43	no so where can we buy
[426] 21:47	stuff The
[427] 21:52	Village okay thank you sir yeah yeah
[428] 21:54	Village time nobody to even pay for the
[429] 21:57	chicken
[430] 21:58	okay okay okay as a sign of good faith
[431] 22:01	I'm going to leave one chicken with this
[432] 22:03	guy I I think he'll I think he'll like
[433] 22:05	it but not both of them I'm keeping one
[434] 22:07	of
[435] 22:12	them I think that's don't eat it looking
[436] 22:18	for oh my gosh it's
[437] 22:22	terrify you're
[438] 22:26	go
[439] 22:28	[Music]
[440] 22:30	we know sir thank you for your time all
[441] 22:33	right let's get out of there I back up
[442] 22:35	very
[443] 22:38	slowly oh
[444] 22:39	no let's go get some stuff yes
[445] 22:44	yeah okay so across the street from the
[446] 22:46	stage is the provisioner right from
[447] 22:49	there you can buy what you need you're
[448] 22:53	going to need to buy some food probably
[449] 22:55	because you're TR you're going to get
[450] 22:57	hungry chicken
[451] 22:59	[Laughter]
[452] 23:01	you're probably going to get needed some
[453] 23:02	weapons maybe depends if you're a
[454] 23:05	pacifist or not you got you got a you
[455] 23:09	got you got a ways ahead do you have a
[456] 23:11	mule for us to carry our stuff oh yeah
[457] 23:15	you're carrying
[458] 23:16	it you got 50 pieces of gold you're not
[459] 23:19	buying much just be well we've
[460] 23:22	collectively got 200 pieces of gold
[461] 23:24	which is which is quite a lot of stuff
[462] 23:26	yeah yeah so you go to the provisioner
[463] 23:30	you see a wood Shack there open the door
[464] 23:33	you walk
[465] 23:35	inside and you see
[466] 23:38	stuff weapons
[467] 23:41	food but there's something a little
[468] 23:44	odd it's not your
[469] 23:47	normal Adventure
[470] 23:50	fair you see
[471] 23:52	it's it's not your typical rations like
[472] 23:54	dried meat chicken cattle that sort of
[473] 23:58	thing
[474] 24:00	vegetables all
[475] 24:03	vegetables carrots potatoes turnips
[476] 24:08	cabbage boil themer says hey there how
[477] 24:13	can I help you do you have
[478] 24:16	corn do you have what corn for my
[479] 24:19	chicken no corn I like some corn we
[480] 24:23	don't have corn do you have any feed at
[481] 24:25	all no feed okay I I'll take three
[482] 24:29	carrots
[483] 24:31	then okay three carrots that'll be three
[484] 24:34	gold
[485] 24:35	pieces wow that's insur and ridiculous
[486] 24:38	here's your three gold pieces
[487] 24:41	hey you're free to go elsewhere if you
[488] 24:43	don't like the price oh wait there's no
[489] 24:45	elsewhere I'm the only provisioner in
[490] 24:49	town and the Beast has driven up prices
[491] 24:52	beautifully so I'm making
[492] 24:55	well oh really the Beast is the
[493] 24:59	[Laughter]
[494] 25:03	government I purchase potatoes we can't
[495] 25:05	also buy you can also buy other things
[496] 25:07	here we can also buy weapons we sell
[497] 25:09	weapons and we sell food but
[498] 25:13	veggies only veggies I me the only place
[499] 25:16	in this town where you can get meat
[500] 25:18	besides the couple chickens that you
[501] 25:19	just stole I'm looking
[502] 25:23	you wait are these your
[503] 25:26	chickens oh the communal Town chickens
[504] 25:30	oh everyone owns those chickens
[505] 25:33	soing
[506] 25:35	them it's it's it's the sort of they're
[507] 25:40	decoys nobody in this town eats
[508] 25:44	meat I
[509] 25:46	see because the smell of blood attracts
[510] 25:51	the
[511] 25:52	Beast hter
[512] 25:56	beans is that blood I smell on
[513] 25:59	you oh can I uh purchase a
[514] 26:03	dagger yes you can purchase a dagger a
[515] 26:06	dagger will cost you two gold pieces all
[516] 26:11	right I will purchase a
[517] 26:14	spear uh who's that speaking that would
[518] 26:17	be me Michael B okay Michael B a speedo
[519] 26:20	cost you eight all right
[520] 26:23	done I will purchase a a sling
[521] 26:29	a sling is three gold
[522] 26:33	pieces Marlo would like to purchase a
[523] 26:38	crossbow you can't have a crossbow we
[524] 26:40	don't sell crossbows do you have I'll
[525] 26:43	take another sling then all right
[526] 26:45	another sling then and a handful of run
[527] 26:49	runner beans if you have them don't have
[528] 26:52	runner beans no we have carrots we have
[529] 26:55	rud bers return tups we have potatoes
[530] 27:00	and cabbage potatoes I'll have to take
[531] 27:03	some turnips then
[532] 27:06	no I'll get the
[533] 27:09	potatoes wait wait one at a time one at
[534] 27:10	a time okay Jonathan what are you buying
[535] 27:13	else I'm getting a bushel of
[536] 27:16	potatoes okay you're getting potatoes
[537] 27:19	that will be 10 gold pieces you got
[538] 27:26	it
[539] 27:28	okay uh Arc what do you else you buy oh
[540] 27:30	by the way Fisher tells you there is one
[541] 27:34	place in town where you can buy
[542] 27:37	these
[543] 27:41	KFC but we wouldn't recommend it okay
[544] 27:45	okay we would not recommend you you you
[545] 27:47	buy a KFC and you'll find a KFC just
[546] 27:51	before you enter the cave
[547] 27:55	okay okay so
[548] 27:58	if you're into that kind of
[549] 28:01	thing you can buy me there
[550] 28:06	awesome but I would really recommend
[551] 28:08	against it all
[552] 28:11	right do you have any
[553] 28:14	Rope
[554] 28:16	Rope okay what did you what were you
[555] 28:18	buying Michael well okay I I'll go ahead
[556] 28:22	and fine um I will ask
[557] 28:24	forlo yeah rope is is also being asked
[558] 28:27	about how much is rope no rope we don't
[559] 28:30	sell rope who doesn't sell rope how
[560] 28:35	sad Poes and stuff
[561] 28:38	um I'll go and we sell vegetables that's
[562] 28:42	all we sell also take a sling because
[563] 28:46	everybody else is doing that and I want
[564] 28:47	to be a cool kid okay um and then want
[565] 28:51	be a cool kid you know you should buy a
[566] 28:54	battle assx or a Morning Star I have a
[567] 28:56	spear I'm already different so so I have
[568] 28:59	the spear that makes me cool and then I
[569] 29:01	get what everyone else is doing too so
[570] 29:03	I'm both conformist and outlier so it's
[571] 29:08	good that's that would be a fun thing
[572] 29:10	too what what do they have in the way of
[573] 29:12	armor here no Armor All right you got
[574] 29:17	your robes that's all the armor you
[575] 29:20	need I also buy a mace then this is
[576] 29:24	Marlo okay uh the ma the closest thing
[577] 29:28	we have is a morning star
[578] 29:30	or that'll be 250 gold pieces never
[579] 29:36	mind oh
[580] 29:38	crap how much is a
[581] 29:41	Tomahawk we don't sell tomahawks closest
[582] 29:43	thing we got is a battle axe okay I will
[583] 29:46	take that's 250 gold pieces I'll just
[584] 29:48	take a dagger as well all right you want
[585] 29:51	dag as well do you have a
[586] 29:55	bag we don't sell bag bags two gold okay
[587] 29:59	all right so Jo uh Jonathan you also
[588] 30:02	have a
[589] 30:03	dagger you are down to 35 gold
[590] 30:06	pieces I use my dagger to cut up the
[591] 30:08	bottom half of my robes form
[592] 30:10	[Laughter]
[593] 30:14	rope um can I have some money from you
[594] 30:19	guys give me that
[595] 30:22	chicken you want to purchase this
[596] 30:24	chicken for money no no I don't want it
[597] 30:29	okay but can I have some money please uh
[598] 30:32	15 gold Pieces perhaps that should
[599] 30:34	probably do it I give him 15 gold pieces
[600] 30:37	all right cool and I'm gonna take who
[601] 30:39	okay just say who gave who 50 gold
[602] 30:42	pieces because I you guys are sort of
[603] 30:44	blending in Marlo gives was it grud yeah
[604] 30:48	grud 15 gold pieces okay oh and I'm
[605] 30:51	going to take that 15 gold and I'm going
[606] 30:53	to put that in my sack where I keep my
[607] 30:54	money then I'm going to tie a knot at
[608] 30:56	the mouth of it and I've got a nice
[609] 30:58	bludgeoning tool
[610] 31:02	then okay we will all the bludgeoning
[611] 31:07	tool but 50 gold pieces isn't gonna be
[612] 31:09	much of a bludgeoning tool yeah it's
[613] 31:11	effective enough yeah these are not very
[614] 31:14	thick gold
[615] 31:15	pieces inflation they start carving off
[616] 31:18	the
[617] 31:19	sides flattening them like real gold
[618] 31:24	pieces so I'm afraid to ask but do they
[619] 31:26	have any bows and
[620] 31:29	arrows here's what he has he's got
[621] 31:32	battle axes quarter stats Spears footman
[622] 31:37	flails knives morning stars and SL
[623] 31:41	that's his inventory I ask him how much
[624] 31:43	a Quarter Staff is a Quarter Staff is
[625] 31:46	five I will take that then this is Marlo
[626] 31:50	I will also take a Quarter Staff
[627] 31:53	actually
[628] 31:56	okay
[629] 31:59	my staff's cooler because it has a
[630] 32:01	pointy at the end I'm gonna grab a stick
[631] 32:04	[Laughter]
[632] 32:07	outside you don't see any
[633] 32:11	sticks
[634] 32:12	[Laughter]
[635] 32:15	darn you notice that the that the that
[636] 32:18	the terrain outside the village is a
[637] 32:20	little bit say
[638] 32:26	desolate so so
[639] 32:29	water oh nice choice
[640] 32:33	water yeah sure we got water for you we
[641] 32:35	got some uh wine skins with water in it
[642] 32:38	I'll take a wine SK cost you they'll
[643] 32:40	only cost you about 15 a
[644] 32:42	piece okay I pay for mine
[645] 32:48	one okay I think that's all my gold
[646] 32:51	after
[647] 32:52	that so uh Jonathan uh
[648] 33:02	okay how much gold do you think you have
[649] 33:05	20 left after this 20 left after this
[650] 33:09	yes uh Josiah theah how many you have
[651] 33:12	left how much were the
[652] 33:14	turnips uh turnips are five a piece and
[653] 33:18	then the
[654] 33:19	sling and the what the
[655] 33:24	sling uh the slings three okay oh so I
[656] 33:28	have
[657] 33:29	uh five uh seven gold pieces
[658] 33:33	left yeah we start 20 minutes late all
[659] 33:36	right oh No7
[660] 33:40	[Music]
[661] 33:46	17 okay our sorry uh grundt how much
[662] 33:50	goal you have
[663] 33:51	left uh how much was a dagger how much
[664] 33:54	was a what a dagger dagger was
[665] 33:59	three I have uh 54 gold pie 54 gold
[666] 34:06	pieces okay and
[667] 34:09	Caleb I have 27 gold pieces um but I
[668] 34:13	think I want to buy some potatoes too
[669] 34:16	okay how many
[670] 34:17	potatoes um I will how much are the
[671] 34:20	potatoes five a
[672] 34:22	piece um I'll go ahead and take two of
[673] 34:25	those how many
[674] 34:27	two two okay you got 17
[675] 34:35	left
[676] 34:36	okay
[677] 34:38	so are you all profis
[678] 34:43	out yep I believe so yep so we got
[679] 34:47	people here who bought turnips and
[680] 34:49	potatoes qu
[681] 34:51	staff um nobody got
[682] 34:55	cabbage nobody got nobody got cabbage
[683] 34:59	nobody got cabbage nobody got
[684] 35:01	carrots Ark got
[685] 35:03	carrots yeah grundt has some carrots gr
[686] 35:07	gr has three carrots three carrots grunt
[687] 35:10	has carrots should we get a cabbage just
[688] 35:13	just in case that's a
[689] 35:16	weakness fine I I'll get a cabbage too
[690] 35:19	how much is
[691] 35:20	that
[692] 35:22	five
[693] 35:24	okay we now have a small supply of
[694] 35:26	vegetabl
[695] 35:28	we
[696] 35:29	grund vegetables
[697] 35:31	awesome all right let's get moving to
[698] 35:35	the and the Beast on the way
[699] 35:38	there all
[700] 35:41	right we let run walk at the
[701] 35:44	head right and you're not sted to notice
[702] 35:47	okay you you leave the
[703] 35:49	village and as you're walking down the
[704] 35:52	road towards the Cave of the Beast
[705] 35:54	starts to get dark oh
[706] 35:57	fire oh yeah we didn't get a torch it's
[707] 36:00	okay some guy has magic over
[708] 36:06	here what are you gonna do now start to
[709] 36:09	get pitch
[710] 36:12	black Marlo what's your character's
[711] 36:14	name uh
[712] 36:17	Marlo oh oh it is okay yeah he he was
[713] 36:20	only who did
[714] 36:24	that okay um well let see here uh I've
[715] 36:28	got a quarter staff and we know we have
[716] 36:31	a rope made of cloth so what we need is
[717] 36:35	something to start a
[718] 36:39	fire and that would
[719] 36:42	be Marlo's
[720] 36:44	[Laughter]
[721] 36:54	magic um Tricky Tricky
[722] 37:00	[Music]
[723] 37:05	well you don't have anything to start a
[724] 37:07	fire with do you no no I
[725] 37:11	don't so you crawl to the side of the
[726] 37:16	road and you start
[727] 37:19	freezing because
[728] 37:24	you oh dear at least we have vegetables
[729] 37:28	okay hang on take off a hit point each
[730] 37:31	for
[731] 37:34	hypothermia all
[732] 37:36	right should we look for the light of
[733] 37:39	the
[734] 37:42	KFC what are you gonna do eat raw
[735] 37:44	chicken um well I have carrots
[736] 37:51	so well this would be a good time to eat
[737] 37:53	what you
[738] 37:54	got eat some potato I'm GNA eat some
[739] 37:57	potato potato time you're gonna eat raw
[740] 38:02	potato oil Mash yeah have you ever been
[741] 38:05	poor yeah you eat some raw potato raw
[742] 38:09	potato oh that's gonna be fun I pass
[743] 38:12	around the turnips keeps the the I'll
[744] 38:14	share the
[745] 38:16	Cabbage AR have you eaten all your
[746] 38:19	carrots uh I'll just have one so far
[747] 38:22	okay so you
[748] 38:23	just how many got left two cars
[749] 38:27	two carrots how many potatoes have you
[750] 38:29	guys got
[751] 38:31	left I have one potato and no cabbage
[752] 38:34	left okay one potato no
[753] 38:37	cabbage
[754] 38:39	Marlo uh I however many turn turnips
[755] 38:42	five gold pieces
[756] 38:45	bought that's one oh okay uh then I
[757] 38:50	share my turnup with everybody so you've
[758] 38:53	got no
[759] 38:55	food no food
[760] 38:58	okay well somehow you guys survive the
[761] 39:04	night you guys somehow have survived the
[762] 39:06	night hooray we
[763] 39:10	[Laughter]
[764] 39:13	win and you walk down the road and then
[765] 39:17	you see this
[766] 39:19	Hut with red and white stripes going up
[767] 39:23	and down the sides with a big sign
[768] 39:29	KFC oh
[769] 39:33	fantastic yeah let's go in
[770] 39:37	there grun runs in ahead of you in time
[771] 39:42	behind the counter you see this little
[772] 39:45	reptilian creature behind the counter oh
