[0] 1:48	Heat. Hey, Heat.
[194] 15:07	year. So, by the time you get into your
[195] 15:09	third, second, and third years,
[196] 15:13	uh it's going to become very slim
[197] 15:15	pickings
[198] 15:17	for what classes you can still take.
[199] 15:21	Uh University of Toronto had two
[200] 15:23	Egyptologists on staff. And this was a
[201] 15:26	problem for a lot of say
[202] 15:29	um the the PhD students and even sort of
[203] 15:33	the more advanced master students there
[204] 15:35	who are doing like two-year programs.
[205] 15:37	What do they take that would fill an
[206] 15:39	Egyptology program when those those
[207] 15:43	professors are teaching core classes? So
[208] 15:49	>> you you have to then yeah you have to
[209] 15:51	look you start having to do cognate
[210] 15:53	stuff. But um that doesn't work so well
[211] 15:58	when um
[212] 16:01	when there's so much to learn in
[213] 16:02	Egyptology.
[214] 16:04	So
[215] 16:07	Ron asked, "So would you lean against
[216] 16:09	going to the University of Pisa?" It
[217] 16:11	depends.
[218] 16:13	[clears throat]
[219] 16:14	Now here's the other thing you
[220] 16:18	>> Here's the other thing you've got to
[221] 16:19	consider, too. Egyptology programs are
[222] 16:22	really competitive.
[223] 16:25	They're very, very competitive. So, you
[224] 16:29	might want to apply for the University
[225] 16:31	of Pisa anyway
[226] 16:33	on the off chance you can't get in
[227] 16:35	anywhere else.
[228] 16:37	It's Egyptology programs are that
[229] 16:40	competitive that you can do a full round
[230] 16:43	of applications and get nothing.
[231] 16:47	So, so that's what I would recommend is
[232] 16:50	apply to the University of Pisa anyway,
[233] 16:55	but again, depending on your program
[234] 16:56	level. Uh, but if you've got an option
[235] 17:01	where there's multiple
[236] 17:04	uh a school where there's multiple
[237] 17:06	Egyptologists on staff and they're good
[238] 17:08	Egyptologists, pick that instead. The
[239] 17:11	one they have at Pizza is good,
[240] 17:15	but he's a by himself.
[241] 17:17	There's only so much teaching load he
[242] 17:19	can do.
[243] 17:24	So, that's my recommendation as far as
[244] 17:26	the uh as far as the University of Pisa
[245] 17:32	and its Egyptology program. I hope that
[246] 17:34	helps. Thank you very much for the uh
[247] 17:36	question. Really appreciate it and good
[248] 17:38	luck.
[249] 17:42	Okay, next one here
[250] 17:45	is going to be
[251] 17:48	um
[252] 17:50	from King Bubby and he asks, "Would you
[253] 17:54	say there's any method to the notion
[254] 17:56	that the ark of the covenant was an
[255] 17:58	idol?" Now, he has a continuation which
[256] 18:01	is actually a second question. So, we
[257] 18:03	will take this question first. Do I
[258] 18:06	think there's there's there's notion
[259] 18:07	that the ark of the covenant was an
[260] 18:09	idol? I'm sure somebody was worshiping
[261] 18:11	it as an idol. Generally though, no.
[262] 18:16	Uh it's from the type of furniture
[263] 18:19	that's involved here, it would have been
[264] 18:21	more or less universally recognized that
[265] 18:25	the furniture itself wasn't an idol
[266] 18:30	because this furniture was ubiquitous
[267] 18:34	uh in Levventine and Egyptian uh ritual
[268] 18:37	cult rituals. Okay. And it was
[269] 18:40	recognized as being sort of the throne
[270] 18:43	of an idol, not an idol itself.
[271] 18:47	So while you might have some glmbba
[272] 18:49	somewhere in Israel worshiping it as an
[273] 18:52	idol, that wouldn't have been normative
[274] 18:54	cult practice.
[275] 18:58	And he follows up with a next question
[276] 18:59	here. And the ban and that the ban on
[277] 19:03	idolatry in the Mosaic law was a later
[278] 19:06	addition.
[279] 19:08	Um, I don't think it was a later
[280] 19:09	edition. It does seem to come directly
[281] 19:11	from Sinai.
[282] 19:14	So,
[283] 19:16	MV Monson goes, I think Dan Mlelen is
[284] 19:19	one who postulated that it was an idol.
[285] 19:21	Yeah, that doesn't surprise me.
[286] 19:23	[laughter]
[287] 19:24	What does he know about the Ark of the
[288] 19:26	Covenant? Zip.
[289] 19:31	[laughter] This is what my This was my
[290] 19:33	specialty. The Ark of the Covenant is my
[291] 19:35	is my specialization.
[292] 19:40	do know saw at all about the Ark of the
[293] 19:43	Covenant.
[294] 19:46	[laughter]
[295] 19:49	Oh boy. All right.
[296] 19:52	So, um I don't think uh the addition of
[297] 19:56	uh the ban on idolatry is a later
[298] 19:58	edition. It doesn't mean there weren't
[299] 20:00	idoltors. There was lots of idoltors in
[300] 20:02	Egypt. You know, just like uh today, you
[301] 20:06	know, heroin's against the law, but get
[302] 20:08	a lot of heroin users.
[303] 20:11	Just because something is against the
[304] 20:13	law doesn't mean people don't do it. Tax
[305] 20:17	evasion against the law. People still do
[306] 20:19	it. [laughter]
[307] 20:27	So yeah, I mean the fact that that the
[308] 20:31	Mosaic law banned idolatry doesn't mean
[309] 20:34	people aren't going to do it. So,
[310] 20:38	[laughter]
[311] 20:43	okay. So, I hope that helped. Thank you
[312] 20:45	for the question. Very much appreciated.
[313] 20:50	Uh,
[314] 20:52	we got Smiley Bon Bon. Hey, Bon Bon.
[315] 20:55	Good to see you. It's been a long time.
[316] 20:58	He asks, "Was God always seen as omni
[317] 21:01	benevolent even in times of of ancient
[318] 21:05	Israelites?"
[319] 21:07	Um
[320] 21:08	whether he not he was seen as as all
[321] 21:12	good um
[322] 21:15	sort of begs the question of was his
[323] 21:18	behavior
[324] 21:20	always portrayed as all good. Now we
[325] 21:22	have to define what we mean by all good.
[326] 21:25	uh which is omni benevolence. I prefer
[327] 21:27	all good over omni benevolence. But um
[328] 21:31	one of the things I will say about the
[329] 21:33	whole all goodness thing is there's two
[330] 21:36	kinds of of of
[331] 21:39	ways to express goodness.
[332] 21:42	Okay. One way is grace.
[333] 21:46	Unmmerited favor. That's a form of
[334] 21:48	goodness.
[335] 21:51	The other form of goodness is justice.
[336] 21:55	Okay. One of the things when we talk
[337] 21:57	about God being all good and the fact
[338] 21:59	and the fact is that the earliest
[339] 22:01	expression of of God's goodness
[340] 22:05	is in Genesis 1 or sorry Genesis 3 where
[341] 22:12	man has sinned and he pronounces
[342] 22:14	judgment.
[343] 22:17	Okay, that's an expression of God's
[344] 22:20	goodness. He also gives him clothes.
[345] 22:22	Okay,
[346] 22:23	the fig leaves are not cutting it
[347] 22:27	and they're itchy, too.
[348] 22:32	So, so that is an expression of God's
[349] 22:35	goodness is God judges man for his sin
[350] 22:41	and then gives them a parting gift as
[351] 22:43	they leave the garden.
[352] 22:46	So,
[353] 22:49	so you know that's one of the things we
[354] 22:51	have to be cognizant of when we talk
[355] 22:54	about the goodness of God is that
[356] 22:59	God didn't have to give us grace.
[357] 23:03	There was no compulsion
[358] 23:06	for God to resolve our sin through the
[359] 23:09	finished work of Jesus Christ. Didn't
[360] 23:11	have to do it.
[361] 23:13	God could have wiped all of us out.
[362] 23:17	He could have said, "Hey man, you messed
[363] 23:19	up. I'm going to I'm going to do summary
[364] 23:21	judgment on on you all and you're done."
[365] 23:25	And that would have still preserved
[366] 23:28	God's
[367] 23:30	omni benevolence
[368] 23:32	because the exercising of justice is an
[369] 23:37	exercise of goodness.
[370] 23:41	But the fact that he didn't do that
[371] 23:45	sort of shows us the kind of God he is.
[372] 23:49	He's a God of mercy. He's a God of
[373] 23:51	grace. Like for example, when when he
[374] 23:55	appears to Moses,
[375] 23:58	you know, he says, you know, God says
[376] 24:01	that I will visit in um visit judgment
[377] 24:06	upon
[378] 24:08	um the evildoer to the third generation.
[379] 24:10	But to the uh but to for those who love
[380] 24:15	me, I will have loving kindness to the
[381] 24:18	thousandth generation.
[382] 24:23	So
[383] 24:25	even in the times of the ancient
[384] 24:27	Israelites, we get statements of God's
[385] 24:30	omni benevolence.
[386] 24:33	So,
[387] 24:35	so I think there's a lot there that we
[388] 24:38	have to sort of keep in mind when we
[389] 24:40	talk about
[390] 24:42	was God seen as omni benevolent. He was
[391] 24:45	seen as really
[392] 24:48	a magnified high goodness,
[393] 24:52	all good as it were. But again, how do
[394] 24:56	we how did how is goodness expressed?
[395] 25:00	It's expressed by grace.
[396] 25:02	It's expressed by favor. And it's
[397] 25:05	expressed by justice.
[398] 25:08	Uh we're kind of uncomfortable with
[399] 25:10	justice these days. We don't like the
[400] 25:12	fact our sin catches up to us. But it is
[401] 25:16	an aspect of goodness and it's an aspect
[402] 25:18	we cannot ignore.
[403] 25:26	All right. So let's move on the next one
[404] 25:28	here.
[405] 25:36	Uh AJ Higgins composer asks why did Amal
[406] 25:40	Marduk release Jeaniah 2 Kings 25:27?
[407] 25:44	Uh
[408] 25:46	let's just take a look at the text here
[409] 25:48	and then
[410] 25:51	second Kings
[411] 25:55	Bible here.
[412] 25:59	Okay. 2 Kings 25
[413] 26:04	57.
[414] 26:08	Okay. Now came about in the 37th year of
[415] 26:11	the exile of Jehoachin, king of Judah in
[416] 26:14	the 12th month on the 27th day of the
[417] 26:16	month that evil that's uh evil Meridok.
[418] 26:20	Yeah. Uh that's Amal Marduk
[419] 26:24	uh king of Babylon and he's the second
[420] 26:25	king of Babylon after Nebuchadnezzar in
[421] 26:28	the year that he became king released
[422] 26:30	Jehoachin, king of Judah from prison.
[423] 26:33	Here's the thing.
[424] 26:36	uh why did he why did he release him?
[425] 26:38	Because he wasn't a threat. That's
[426] 26:41	essentially the reason.
[427] 26:43	Um
[428] 26:45	you know, he wasn't a threat. Uh after
[429] 26:49	after the passing of of Nebuchadnezzar,
[430] 26:52	Israel be was behaving itself. The
[431] 26:55	exiles were not rioting in the streets.
[432] 26:58	There was really no reason to keep him
[433] 27:01	in prison essentially.
[434] 27:04	Uh in fact we do act interestingly
[435] 27:06	enough we do have uh Kapoor tablet
[436] 27:11	where he's given a uh Johin is given a
[437] 27:16	ration of olive oil and that tablet is
[438] 27:18	in the British Museum right now. Really
[439] 27:21	interesting interesting um conform
[440] 27:23	tablet. So
[441] 27:26	uh it actually speaks of this incident
[442] 27:29	where he's given a ration. He's actually
[443] 27:31	given a ration and presumably set up
[444] 27:35	with a home. So,
[445] 27:38	uh, we don't know why, but apparent but
[446] 27:40	it sounds like there wasn't any reason
[447] 27:42	not to not to let him go here.
[448] 27:48	So, I hope that helps and I appreciate
[449] 27:52	the question. And I think this is going
[450] 27:54	the next one here is going to be the ne
[451] 27:56	the
[452] 27:58	uh AJ Higgins also asks why is Ner
[453] 28:02	Glysar of Babylon never mentioned in the
[454] 28:04	biblical text. He seems to be a
[455] 28:06	semi-important character in Babylonian
[456] 28:08	history. The reason is is because
[457] 28:12	the Bible doesn't record everything even
[458] 28:15	some important events.
[459] 28:17	It this is here's the thing. The
[460] 28:18	biblical writers record what they felt
[461] 28:20	was important.
[462] 28:22	Like for example uh um
[463] 28:29	um MPa's conquest of Gazer never
[464] 28:32	recorded in the Bible.
[465] 28:34	King Ahab and his his victory over uh
[466] 28:39	Tiglath Pelazer at the battle of Karkar.
[467] 28:43	That's a huge event. It's one of the
[468] 28:46	most important events in in in biblical
[469] 28:50	history. The battle of Karkar that and
[470] 28:53	the battle of Kamesh. Those are the two
[471] 28:56	big battles of the during the Old
[472] 28:58	Testament period.
[473] 29:01	Is it mentioned at all? No.
[474] 29:06	Carar is never mentioned
[475] 29:10	and it is the absolute pinnacle of
[476] 29:13	Ahab's career.
[477] 29:16	So,
[478] 29:20	so
[479] 29:22	I I think that
[480] 29:26	um
[481] 29:28	that the biblical writers are basically
[482] 29:30	picking out those things that are
[483] 29:33	important for the the religious and
[484] 29:37	moral story of Israel, but they're not
[485] 29:40	going to include everything. They're not
[486] 29:42	going to include every administrator.
[487] 29:44	They're not going to include every every
[488] 29:46	battle. They're not going to include
[489] 29:48	every invader. They're just not going to
[490] 29:50	imp include that.
[491] 29:53	So,
[492] 29:59	so yeah. Uh, hope that helps. Thank you
[493] 30:02	for the question. Really appreciate it.
[494] 30:03	But it just it's one of those things
[495] 30:05	that yeah, we think that some things
[496] 30:07	should be in in the records and they're
[497] 30:09	just not cuz they didn't the ancient
[498] 30:12	writer didn't see it as essential for
[499] 30:15	what they're trying to communicate.
[500] 30:23	>> Yeah.
[501] 30:26	>> Mervonson says, "Imagine someone writing
[502] 30:28	the whole history of America today."
[503] 30:30	Yeah. Yeah. Okay, you're not going to
[504] 30:31	you're not going to include every
[505] 30:32	detail, even the ones you think is
[506] 30:34	important.
[507] 30:38	I mean,
[508] 30:40	[laughter]
[509] 30:41	who is Woodro Wilson's Secretary of
[510] 30:44	State? I don't know.
[511] 30:51	>> I'm patting myself on the back. I know
[512] 30:52	who votes.
[513] 30:57	[laughter]
[514] 31:03	[laughter]
[515] 31:04	>> Well,
[516] 31:08	[laughter]
[517] 31:09	I'm sure there's somebody in the
[518] 31:10	audience is going to look it up on
[519] 31:12	Google right now and put it in the chat.
[520] 31:16	[laughter]
[521] 31:21	>> [laughter]
[522] 31:24	>> CPN versus DOS grow for Cleveland.
[523] 31:27	Boring. [laughter]
[524] 31:29	>> William Jennings Brian.
[525] 31:30	>> Oh, William Jennings Brian. Okay.
[526] 31:38	>> Two years. Huh?
[527] 31:45	[laughter]
[528] 31:47	>> So, it's William Jennings Bryant. But
[529] 31:48	the fact is
[530] 31:51	most of us don't know this on the top of
[531] 31:52	our heads because
[532] 31:54	doesn't really matter to us.
[533] 31:57	[clears throat]
[534] 32:01	And these little administrators here and
[535] 32:03	there didn't matter to the biblical
[536] 32:05	writers either.
[537] 32:09	[laughter]
[538] 32:13	Wait, Abraham Lincoln wasn't a vampire
[539] 32:16	slayer?
[540] 32:18	Oh boy. Oh boy.
[541] 32:21	Uh, I worked for the FX company at one
[542] 32:23	point that uh uh for a special effects
[543] 32:26	company, visual effects company that did
[544] 32:28	that worked on Abraham Lincoln Vampire
[545] 32:30	Slayer.
[546] 32:34	>> It was
[547] 32:37	[laughter] just
[548] 32:38	>> Yeah, the special effects were really
[549] 32:39	good. Just terrible story.
[550] 32:47	Okay.
[551] 32:54	DPN versus DOSS added to the lore. Was
[552] 32:57	Is anyone keeping track of this lore?
[553] 32:59	I'm not. [laughter]
[554] 33:07	>> Yeah. I
[555] 33:08	>> compile it.
[556] 33:09	>> Somebody's got to compile the Dr.
[557] 33:10	folklore somewhere and put it in an
[558] 33:12	archive cuz cuz frankly I'm not keeping
[559] 33:14	track of it.
[560] 33:16	>> Oh god.
[561] 33:19	>> Mrs. Producer isn't keeping track of it
[562] 33:21	either.
[563] 33:23	Okay. Um
[564] 33:27	I mean I don't even have a Wikipedia
[565] 33:28	page but [laughter]
[566] 33:30	which is kind of funny for for for a
[567] 33:33	YouTuber. Um well almost every YouTuber
[568] 33:36	has a Wikipedia page. I don't.
[569] 33:37	>> Are you this?
[570] 33:38	>> Oh yeah. Oh Yeah. Don't I mean I think
[571] 33:41	IP has an has a Wikipedia page. Yeah.
[572] 33:44	Almost every YouTuber does. I don't.
[573] 33:49	Yeah.
[574] 33:51	Kind of glad I don't because I'd have to
[575] 33:54	probably put in a lot of corrections,
[576] 33:55	but hey.
[577] 33:58	Uh.
[578] 34:03	Okay. Uh, next question here from AJ
[579] 34:05	Higgins. What has been the most
[580] 34:07	influential food item you've tried that
[581] 34:09	has altered your conception of reality?
[582] 34:12	Oh, that's easy. Curry.
[583] 34:14	Uh, I first tried curry when I was uh in
[584] 34:19	my 20s and it just blew my mind. The
[585] 34:22	flavor just was amazing. Uh, [laughter]
[586] 34:27	also uh the fact is that you find a
[587] 34:30	version of curry in just about every
[588] 34:32	culture in the world. It's really
[589] 34:35	uncanny
[590] 34:37	[laughter]
[591] 34:40	con mushrooms. No. Tried a lot of
[592] 34:43	mushrooms. Not that kind. Not anything
[593] 34:46	that would alter my reality. Anyway,
[594] 34:51	uh uh uh Tusmatoss. Uh Tui says, "Not
[595] 34:56	mushroom tea or space cake?" Nope. Never
[596] 34:58	tried that stuff. Not interested.
[597] 35:03	Yeah, is fascinating.
[598] 35:07	>> Uh, CPN versus dos curry is just okay.
[599] 35:10	Japanese curry is great though. Um, I
[600] 35:13	have had like Fijian curry. Uh, Fijian
[601] 35:17	curry is awesome. Uh, Nepalese curry is
[602] 35:21	fantastic.
[603] 35:23	Um
[604] 35:26	Um, there's a lot of different curries
[605] 35:29	out there. Just every region of the
[606] 35:31	world has its own curry. Even the United
[607] 35:33	States has a version of curry. They just
[608] 35:35	call it chili.
[609] 35:38	Um
[610] 35:40	it's easier to get Nepalese um
[611] 35:44	uh curry than it is to get Fijian.
[612] 35:47	Fijian curry is awesome. It's
[613] 35:50	slowcooked. The meat just falls apart.
[614] 35:52	It's really intensely spiced. Uh it's
[615] 35:56	beautiful. Beautiful stuff.
[616] 36:02	Uh Rich Adams says, "Just made Thai
[617] 36:06	shrimp and chicken curry." Oh yeah. Oh
[618] 36:08	yeah. There's just so many types of
[619] 36:10	curries around the world. It's it's
[620] 36:11	phenomenal. It's really it's a
[621] 36:14	ubiquitous food. Uh so you know like for
[622] 36:18	example uh as I said you know the fact
[623] 36:21	that the flavor of curry was really
[624] 36:23	intense and really interesting. Um, I
[625] 36:27	mean, it opened my world culinarily, but
[626] 36:29	to find out that it's everywhere just
[627] 36:33	was kind of one of those things that,
[628] 36:34	oh, how did that happen?
[629] 36:37	So, um, so yeah, that's, um, that's sort
[630] 36:41	of the food that sort of changed my
[631] 36:43	opinion of things.
[632] 36:57	Okay,
[633] 36:59	J. Higgins, would would a be curry even
[634] 37:01	be spicy? No. No, it wouldn't. It'd be
[635] 37:05	disappointing.
[636] 37:08	All right, let's move on here.
[637] 37:14	I think there's one more and then I'm
[638] 37:17	going to move on here.
[639] 37:20	Foodie section. Yep, this was the foodie
[640] 37:22	section.
[641] 37:26	Um, Zach asks a really interesting
[642] 37:28	question. Does 1 Corinthians 11:26 mean
[643] 37:32	that after the second coming of Jesus
[644] 37:35	that there won't be communion anymore?
[645] 37:38	Let's
[646] 37:40	look at that.
[647] 37:43	uh 1 Corinthians
[648] 37:47	11
[649] 37:52	26.
[650] 37:53	Okay. And this is talking about what the
[651] 37:57	Lord said at the Lord's supper. And it
[652] 38:00	says, well, verse in 25, we'll use a
[653] 38:03	little context here. In the same way, he
[654] 38:05	took the cup also after supper, saying,
[655] 38:07	this cup is the new covenant in my
[656] 38:09	blood. Do this as often as you drink it
[657] 38:12	in remembrance for me. For as often as
[658] 38:15	you eat this bread and drink this cup,
[659] 38:18	you proclaim the Lord's death until he
[660] 38:21	comes. Okay. the the
[661] 38:28	um
[662] 38:29	the the pivotal word here is going to be
[663] 38:31	until
[664] 38:33	um a
[665] 38:35	okay as far as until it expresses a
[666] 38:39	limit.
[667] 38:41	Okay,
[668] 38:42	so
[669] 38:44	it's basically an remembrance of Christ
[670] 38:48	until Christ comes.
[671] 38:52	He returns at that point. We don't need
[672] 38:55	the remembrance anymore because he's in
[673] 38:56	our midst. He's there.
[674] 39:00	So,
[675] 39:02	it's one of those things where
[676] 39:06	um where communion is sort of a a way a
[677] 39:10	a a way of remembering
[678] 39:13	that Christ finished work and it's also
[679] 39:17	a way of him having communion with us.
[680] 39:21	Okay.
[681] 39:22	Now, I'm not going to get into the real
[682] 39:24	presence thing here or not, but I am
[683] 39:27	going to basically say that once um he
[684] 39:31	returns,
[685] 39:33	it's not necessary anymore.
[686] 39:36	And it's not necessary anymore because
[687] 39:39	he's there.
[688] 39:45	>> Yeah. Yeah.
[689] 39:48	So, that's the instruction. It's until
[690] 39:51	or as far as
[691] 39:54	so,
[692] 39:56	so absolutely um once once the second
[693] 40:00	coming happens, we probably they there
[694] 40:02	might be some people who still celebrate
[695] 40:03	it, but it's not it's not an ordinance
[696] 40:07	at that point. It might be something
[697] 40:09	that's done as a celebration, but it's
[698] 40:11	not an ordinance anymore.
[699] 40:14	So So it's only necessary up until that
[700] 40:17	point. Okay. So that said, thank you
[701] 40:21	very much for the question. We had a
[702] 40:23	really good set of nons super chats
[703] 40:25	here, but we do need to get on to the
[704] 40:27	super chats.
[705] 40:30	Okay,
[706] 40:35	first uh super chat here
[707] 40:38	is from Chowi 415
[708] 40:41	uh Myanmar. Uh question full Mr. EC
[709] 40:46	mode. Oh, let's get him on the screen
[710] 40:48	here. Mr. EC, where are you?
[711] 40:52	There he is. Okay. Could the magi have
[712] 40:55	been connected to the Sabian of Haran
[713] 40:58	given their location in Anatolia and the
[714] 41:00	prominence of astrology? It's possible.
[715] 41:03	Uh the text does say that the Malagi
[716] 41:06	were from Anat.
[717] 41:08	This is often translated as the east,
[718] 41:12	but it specifically is talking about say
[719] 41:16	Turkey and Asia Minor.
[720] 41:19	Haran is technically in Syria, but it's
[721] 41:22	close enough that to to Anatolia that it
[722] 41:27	could have been included in that in that
[723] 41:30	broad sense of Anatle as well. So,
