[0] 0:10	so [Music]
[61] 8:31	were the same say tribal group or tribal people that later show up in israel
[62] 8:37	and we've got to be a little honest about this that you know we got one heck of a timing
[63] 8:43	coincidence but there really isn't a strong um way to tie the two and part of the
[64] 8:50	reason is because the israelites become israelites after the exodus
[65] 8:56	so the canaanites leave egypt they leave avarus they have their wanderings in the
[66] 9:03	wilderness for 40 years and then essentially 40 45 years later they appear in israel as full as israelites
[67] 9:12	so we do have to be honest that's that it's it's hard to to do a one-to-one
[68] 9:18	connection correspondence here but it's more likely than not
[69] 9:23	and what gives us the more likely than not here is the um
[70] 9:30	is the fact that we do have this these these documents these exodus documents from the
[71] 9:36	israelites themselves attesting to this is what has happened
[72] 9:42	and that's the link that is the link that is the evidence that ties the canaanites in egypt to the
[73] 9:50	israelites in israel in canaan and the timing of this is just perfect
[74] 9:57	so you know it's a consistent account if we take all of that evidence together which is
[75] 10:04	the the um abandonment of avarice during mid dynasty 19
[76] 10:11	the exodus account as the bridge and then the mernipi stealer that places
[77] 10:16	israel 40 45 years later in canaan itself
[78] 10:22	so that's a consistent narrative and handel doesn't attack that
[79] 10:27	yes he said who is he
[80] 10:33	oh well hoffmeyer is retired why would he lose his job oh oh okay
[81] 10:40	okay yeah yeah there is that too uh the fact is um
[82] 10:45	my wife just reminded me here that um uh hofmar's actually retired
[83] 10:51	um he wouldn't lose a job anyway you know there's no job there to lose
[84] 10:56	and frankly he retired for family reasons so and he's been retired for a couple years now
[85] 11:03	so you know the whole idea that that hoffmeyer would lose his job because of um
[86] 11:11	if he said denied it otherwise it's just ridiculous it's absolutely ridiculous and and i know and i know uh uh jim
[87] 11:17	personally you know he was my advisor at trinity um the whole idea that that he doesn't
[88] 11:24	believe this he only believes this because of this job is stupid it's stupid and inflammatory
[89] 11:32	so anyway i hope that answers your question thank you very much so let's get to the super chats
[90] 11:39	okay um take off twitch it for the moment here our first super chat comes from
[91] 11:45	brick creation for five dollars thank you very much for the super chat hi dr falk what is your opinion about
[92] 11:52	judges 1126 when japeth talked about the 300-year uh time period does this help date the
[93] 11:59	exodus okay i am going to read judges 11 here
[94] 12:04	because it always helps to go to the text so let's go to
[95] 12:11	judges chapter 11 verse 26
[96] 12:19	okay now
[97] 12:25	i am actually going to go a little before then and this is part of a big speech that
[98] 12:30	jake uh japeth does or jefftha sorry
[99] 12:37	and see where we want to start this
[100] 12:47	okay where is it i am actually going to start
[101] 12:59	see first 22 so they possessed all the territory of
[102] 13:05	the amorites from arnon as far back as jabock and from the wilderness as far as the
[103] 13:11	jordan since now the lord of god of israel drove out the amorites
[104] 13:17	from before his people israel are you then to possess it
[105] 13:22	do you not possess what kimosh your god gives you to possess
[106] 13:28	so whatever the lord our god has driven out before us we will possess it
[107] 13:34	and are you any better than balok's son of zippor king of moab did he ever strive with israel did he
[108] 13:42	ever fight against him and while israel lived in heshban and its village villages and in rare and its
[109] 13:50	villages and all the cities that are on the banks of the arnon 300 years
[110] 13:55	why did you not recover them within that time i therefore have not sinned against you
[111] 14:02	but you are doing me wrong by making war against me may the lord
[112] 14:07	the judge judge today between the sons of israel and the sons of ammon okay
[113] 14:14	uh now my opinion on this text is it actually doesn't help us date the exodus and there's a several reasons why it
[114] 14:21	doesn't actually help us date the exodus in any meaningful way part of what we have here is an
[115] 14:28	unreliable testimony earlier in
[116] 14:34	uh verse one it says now japheth the gilead was a valiant warrior but he was the son of a
[117] 14:42	harlot and gilead was the father of jatha and
[118] 14:49	gilead's wife bore him sons and when his wife's uh sons grew up they drove
[119] 14:54	jephthah out and said to him you shall not have an inheritance in our father's house for you are the son of another
[120] 15:01	woman and quote okay so you know what is the point of this
[121] 15:06	preamble other than to say he comes uh from a legitimate pedigree
[122] 15:12	it's essentially to to cast the character that this was not the
[123] 15:17	sun that was um taught the ways of say the israelites
[124] 15:23	that he sort of cast out and he falls in with bad company essentially but still
[125] 15:29	manages to rise himself up despite being amongst bad company
[126] 15:35	so when we get to his his diatribe down here part of the problem with his diatribe
[127] 15:41	here is that he does not actually he's not a reliable
[128] 15:46	witness he makes several mistakes that say a israelite reader would say oh wait
[129] 15:52	that's wrong that's wrong such as uh when he talks about well didn't uh
[130] 15:58	keemash give you your land when it's the lord in deuteronomy 32 that gives all nations their land
[131] 16:06	the other thing that that's wrong about this too is that kimash wasn't actually the
[132] 16:12	the um the god of these people that he's talking to
[133] 16:17	so you know he he he's he's painted here as an unreliable witness
[134] 16:23	and that's sort of the whole sort of thing about it that's going on so then when you encounter this you know 300
[135] 16:29	years um when japeth is talking
[136] 16:34	it's it becomes very problematic at that point now
[137] 16:40	the dating for japeth is pretty much agreed to be 1100 bc whether you're an early day proponent or
[138] 16:46	a late date proponent the thing is if you're a late date proponent you are placing
[139] 16:53	japeth in that 200 years of the judge's period if you're an early date proponent you're
[140] 17:00	more or less dating it off of say the how the late date scholars have
[141] 17:06	come about and dated japeth so you're still dating it at 1100 bc roughly
[142] 17:13	so this is going to be a problem in how you interpret that 300 years is
[143] 17:20	highly going to depend upon how you um
[144] 17:25	how you've come to arrive at the dating for jephthah if you are a early dater yeah you're
[145] 17:31	going to think this is proof for the exodus if you're a late dater you're just going to see this as more unreliable testimony
[146] 17:39	from jephthah so it does not really help us to date the access in any meaningful way there's
[147] 17:46	much much stronger evidence elsewhere that's that's more reliable that's that's more consistent with what we find
[148] 17:53	in the archaeological record so it isn't it isn't really a it isn't a really good piece of evidence and and i
[149] 18:00	wish it was because you know having something that would say corroborate an account
[150] 18:05	would be really really helpful here but this unfortunate this text unfortunately doesn't do it
[151] 18:10	any thank you very much for the super chat very much appreciate it okay now let's continue with the super
[152] 18:17	chats here okay get back on the twitch it
[153] 18:22	okay the next super chat is from the other
[154] 18:27	paul for australian 10 thank you very much for the super chat did you ever hear the tragedy of darth
[155] 18:34	plagueis the wise oh i did it was heart-wrenching absolutely heart-wrenching
[156] 18:42	those poor poor star wars yeah
[157] 18:49	yep i heard it deeply it deeply deeply saddened me that he found the found the
[158] 18:55	uh the secret to eternal life and could never use it [Laughter]
[159] 19:02	because he got knocked off by darth sidious okay
[160] 19:08	so yes i have heard the tragedy of darth plagueis the wise [Laughter]
[161] 19:13	thank you very much for that cheeky super chat very much appreciate it
[162] 19:21	okay uh tyler uh mckayley uh five dollar super
[163] 19:26	jet thank you very much uh what are your thoughts on sargon of akkad i also really appreciate what you
[164] 19:32	do keep it up okay i i actually have several thoughts on sargon of akkad um
[165] 19:38	his um there's a there's a couple things that that about the sargon of akkad uh story
[166] 19:45	that i think are very very interesting now here's what i don't think is true i like for example i don't think the more the
[167] 19:52	moses narrative is a ripoff of sarca of sargon of akkad's birth narrative
[168] 19:58	um i think sargon of akkad's birth narrative occurs uh very late
[169] 20:03	the earliest copies we have our 7th century bc long after the exodus account
[170] 20:11	but on the other hand i think his birth account is very consistent with say child abandonment in
[171] 20:18	amongst river cultures the other thing i think is really interesting about sargon of akkad
[172] 20:26	is i think he in many respects is the sort of the typical the archetype
[173] 20:33	for say what we what we would call the nephilim and because he is a mother his mother
[174] 20:40	was an adetune priestess who broke her sexual vow
[175] 20:45	gave birth to sargon she puts him into a basket shoves him down the river and he goes
[176] 20:52	flowing down the river and then he grows up to be a mighty warrior
[177] 20:58	a usurper and a conqueror of many nations he's essentially a
[178] 21:04	a disruptive element on say the stability of mesopotamia
[179] 21:10	and this in many ways is sort of the big big fear of mesopotamians in
[180] 21:17	uh with naditum priestesses breaking their vows
[181] 21:23	so i think i think very very in a very strong way sargon of akkad is
[182] 21:30	very archetypal for the nephilim and the sons of god and the sons of gods are
[183] 21:36	just another way of saying priests and we do find several castes of priests in the ancient near east
[184] 21:42	that are called sons of any variety of god like sons of ishtar um sons of
[185] 21:48	ninerta etc so um
[186] 21:53	so that's sort of my thoughts on sargon of akkad um there more can be said on him but but
[187] 21:58	um i hope that answered your question thank you very much for the super chat
[188] 22:06	okay uh gizgo sbol for five dollars thank you very much for the super chat
[189] 22:12	how do you interpret the 430 years of exodus 1240 and galatians 3 17.
[190] 22:18	uh i said do you prefer the long sergeant or the s short sojourn theory
[191] 22:24	okay uh i pick more this the the short sojourn theory
[192] 22:31	um that's because when i look at say when you look at say a text
[193] 22:36	like exodus 1240 when you look at say the septuagint and the saberington pentateuch
[194] 22:44	it says that they spent 430 years in egypt and canaan
[195] 22:50	and both the penta samaritan pentateuch and the septuagint have the and canaan
[196] 22:56	ad so when you look at a text like this
[197] 23:02	um the masoretic text only says uh 430 years in egypt
[198] 23:08	so at this point you have to do some low text critical work to find out what does the original text say
[199] 23:15	and i think given the plurality of witnesses here amongst text families
[200] 23:21	you almost have to conclude that the 430 years is includes
[201] 23:27	both canaan and in egypt now this of course then makes it
[202] 23:33	consistent with galatians 3 17 which implies that the
[203] 23:39	start of the 430 years begins with the promise given to abraham and galatians 3 17 is not exact galatians 3
[204] 23:47	is not exactly specific as to which promise is given to abraham
[205] 23:53	and it almost seems like it's the second one not the first one when the um the
[206] 23:58	clock for the 430 years begins but it does begin with one of those promises according to galatians 3.
[207] 24:05	so that does imply the short sojourn theory so anyway i hope that answers your
[208] 24:12	question thank you very much for the super chat very much appreciate it great question
[209] 24:18	okay
[210] 24:24	gizmo sbl for two dollars thank you very much super chat could the sukul uh kudus
[211] 24:35	okay yes possibly the only problem is there are two other
[212] 24:41	names that are also very close to the the uh um um kedorla
[213] 24:47	la omir uh that are in that say 40-year window of hammurabi
[214] 24:57	and that's really unfortunate i wish there was a sort of one of them that sort of stood out and said okay this is
[215] 25:02	the guy but the fact that we have three really closely named kings happening in
[216] 25:08	that window um does seem to uh confirm that one of them
[217] 25:13	is it one of those edomite kings is that guy but uh unless we get a little more
[218] 25:19	evidence here we're not going to know which one exactly it is um some campaign records uh from ilam
[219] 25:26	would be uh incredibly helpful here but we just don't have that at the moment
[220] 25:32	so it's possible i will say this it is possible but we can't be sure because it could be one of two others also
[221] 25:40	so anyway thank you very much for the super chat very much appreciate it
[222] 25:46	okay uh cataphract three for five dollars thank you very much for the super chat
[223] 25:59	okay exit correction from from uh the um the questioner it should be exodus 21
[224] 26:06	21. so let's take a look at that
[225] 26:13	exodus 21
[226] 26:20	anyone someday i'm going to have a window up here that'll also feature the verse but i haven't gotten to that yet
[227] 26:26	okay i'll start at verse 20 and if a man
[228] 26:32	strikes his male or female servant with a rod and he dies at his hand he shall
[229] 26:37	be punished if however he survives a day or two no vengeance shall be taken for he is his
[230] 26:44	property okay um the meaning here for property is the
[231] 26:50	word here for property in hebrew is kessaf and it's the general meaning is um
[232] 26:58	um silver now the second part of this question is any thoughts on beatings and slavery in
[233] 27:04	old testament in general every culture that ever had slaves
[234] 27:12	and it doesn't matter it doesn't matter if we are talking about say
[235] 27:18	uh the most ancient cultures in the ancient eries that had slaves or say modern slavery today
[236] 27:25	whether you're talking about factory slavery or say penal slavery we have to
[237] 27:30	understand that america does still practice slavery today we practice it in our penal system
[238] 27:36	where you know people are chained in chain gangs
[239] 27:42	and marched out onto the streets of georgia and do road work at the side of the road
[240] 27:49	okay in all cases if a slave refuses to to work
[241] 27:55	beating has always been seen or some sort of punishment has been seen as the
[242] 28:00	normal punishment okay now
[243] 28:06	my thought on on this here there's a few though i have a few thoughts here on um
[244] 28:12	on this which is that this is um the whole the whole ksf
[245] 28:18	property is is is silver it's um
[246] 28:23	it's just general it's a general term for property in general so that's that's not a big deal here
[247] 28:29	but a slave only remains the property of the slave owner in uh hebrew law
[248] 28:36	for as long as the um the slave is a pagan
[249] 28:41	as soon if if the slave somehow con um converts to yahweh worship or becoming a jew
[250] 28:49	then he's no longer property he's a brother and at that point um say the property aspect of slavery ends and then
[251] 28:56	it becomes he he he becomes free at the time of jubilee
[252] 29:02	so um i do have some some some thoughts here and i do see sometimes the whole matter
[253] 29:09	of slavery and old testament mischaracterized it is not necessarily a permanent state
[254] 29:15	of affairs like we do find in say other forms of slavery we also don't find say
[255] 29:21	a lot of chattel slavery also in say he in israelite culture
[256] 29:26	one is not necessarily free to resell slaves in in in among say other hebrews so
[257] 29:33	um there it's not property in same way as having like gold or silver or anything
[258] 29:39	like that where it's instantly interchangeable but we do have here a semantic range where the term property
[259] 29:47	is just means that the the slave master owns the slave but he is not exactly free to do anything with
[260] 29:54	him either he is if if if
[261] 30:00	it's it the israelite culture is probably the only culture in the ancient near east where according to say verse 20
[262] 30:07	if a slave dies then the slave owner is punished
[263] 30:12	you know it's it's the only only culture where that that takes place
[264] 30:18	like even in egypt where if if a slave owner you know kills a slave really nothing happens
[265] 30:24	in reality it's still forbidden to do but there's not really a punishment
[266] 30:30	there other than losing favor in the sight of the authorities so i think we have to be very very
[267] 30:37	circumspect about the role of slavery its economic impacts
[268] 30:42	um and and for example even its redemption there are times when in in
[269] 30:48	hebrew culture where um you know if a slave is set free loves his master
[270] 30:54	he's got the option of remaining the master slave through being a bond servant
[271] 30:59	so in that way slavery is actually redeemed in israelite culture
[272] 31:07	and you know there are times when it's sometimes better to be a slave than just do your own affairs knowing you're going
[273] 31:13	to muck it up so it's it's it's one of those things that
[274] 31:19	i think we have to be very very careful and circumspect and i think a lot of um a lot of um commentaries have
[275] 31:27	you know done this topic injustice really so anyway i hope that answers your super
[276] 31:33	chat uh your question thank you very much really appreciate the super chat
[277] 31:39	okay wow we uh we're we're getting a lot of super chats today uh
[278] 31:44	okay uh okay christopher larson for
[279] 31:50	ten dollars thank you very much for the super chat what are your thoughts on the eindara
[280] 31:55	temple i'm gonna need a little reminder here because i don't actually remember the iron dart templates i've had had to
[281] 32:02	do a whole lot of eindhara temple
[282] 32:08	is
[283] 32:13	okay this is syr in syria this is a little out of my
[284] 32:19	wheelhouse um yeah this looks like it was a hittite
[285] 32:26	temple or maybe a a neo hittite temple i'm not exactly sure
[286] 32:33	but it's oh yes there is one very interesting thing
[287] 32:39	about this temple having brought it back to memory now
[288] 32:46	um one of the features of this temple that's really interesting
[289] 32:51	is it got these giant footprints as you enter the temple uh the footprints of the gods the
[290] 32:58	footprints of the gods this is a this is a feature that you
[291] 33:05	find in say uh temples like a tel dom eindhar is another one where you find
[292] 33:11	this but in these sort of neo-hitai temples you do find these massive massive footprints
[293] 33:19	at the entrances of temple showing that the god has entered the temple
[294] 33:24	so we do find that very interesting feature of the ayandara temple but i
[295] 33:29	can't say i know a whole lot more about the ayundara temple it's been a long time since i looked at the iron darwin temple
[296] 33:35	and that you can obviously get that by the fact i had to even look up what it was so as just as a reminder so um again this
[297] 33:43	is a little out of my wheelhouse but um that's that's the sort of the thoughts i have off the top of my head
[298] 33:48	on irondara but thank you very much for the super chat very much appreciate it
[299] 33:57	uh cnmk for a dollar 99 thank you very much for the super chat
[300] 34:03	did solomon repent of idolatry and lust before death hard to say
[301] 34:09	oh we're not exactly sure we do know that the many wives of
[302] 34:15	solomon turned his heart towards idolatry and it does seem to be something that
[303] 34:20	happened more towards the end of his life than at the beginning solomon is one of these guys that started off well
[304] 34:27	and ended badly um it's hard to know if he repented
[305] 34:32	scripture is a bit silent on this we do know he was the wisest king that ever ruled
[306] 34:38	that his his his wisdom was given to him miraculously
[307] 34:43	and that he was able to increase the influence of the kingdom he
[308] 34:48	inherited but he also had many treaty wives he signed many treaties with many
[309] 34:55	nations and received wives from those nations and they did turn his heart towards
[310] 35:02	idolatry and he did worship in the high places so that's one of those things that we just
[311] 35:08	sort of don't know but we also know that the grace of god does extend to people even when they sin
[312] 35:16	you know and even when they sin towards the last years of their lives like for example i think that for in the
[313] 35:22	case of saul you know saul was sorrowful for his his his sin of consulting a
[314] 35:29	medium at the same time too i think
[315] 35:34	you know his death was a mercy upon him and that um that
[316] 35:41	saul was among say the righteous jews as opposed to say the unrighteous ones
[317] 35:48	so i think solomon would probably fall in the camp of of of righteous and just
[318] 35:54	don't let me just see where what it said uh about the death of um solomon
[319] 36:02	let's see here it would be in i think first kings if i'm right
[320] 36:09	let's see about the death of solomon here he passed solomon chapter six so let's
[321] 36:17	see chapter eight
[322] 36:22	uh solomon you see find the death of solomon here what does the text say about the death
[323] 36:28	of solomon
[324] 36:42	it's quite there get the job poem
[325] 36:52	okay
[326] 37:01	all right uh the death of solomon is in uh first kings 11 uh
[327] 37:08	versus um um 40 to 43 uh we can probably
[328] 37:15	uh solomon sought therefore to put jeroboam to death but jeroboam arose and fled to egypt to shisha king of egypt
[329] 37:22	and he was in egypt until the death of solomon now the rest of the acts of solomon and
[330] 37:28	whatever he did and his wisdom are they not written in the acts of solomon
[331] 37:33	or the book of the acts of solomon thus the time that solomon reigned in ju in jerusalem over all israel was 40
[332] 37:40	years and solomon slept with his fathers and was buried in the city of his father
[333] 37:47	david his son rio boehm reigned in his place now when you see that sort of slept with his father's it usually
[334] 37:54	implies that he is amongst the righteous dead um
[335] 38:00	you don't always see that um that that that statement applied especially with with bad kings
[336] 38:06	but we we can't be sure we we ultimately cannot be sure uh if he repented
[337] 38:13	so anyway thank you very much for the super chat very much appreciate it
[338] 38:18	okay a white girl with instagram black screen five dollar super chat thanks for all
[339] 38:25	your work well thank you very much for the super chat uh your super chats help us to do the work and make this all
[340] 38:31	possible we really appreciate every super chat uh every donation on our patreon account
[341] 38:38	we also appreciate all the uh donations to our gofundme really everything that
[342] 38:44	you guys do for us really helps this ministry helps keep us going
[343] 38:49	we try to make ourselves available as a resource to your subscribers
[344] 38:56	to the community at large and even to other channels and other
[345] 39:01	christian ministries so uh we really appreciate all the support and the thanks it just warms our
[346] 39:08	hearts that we have we've been able to help help others at least a little bit in in their walk with
[347] 39:14	christ so thank you very much for the super chat and thank you for the encouragement
[348] 39:22	okay john febeck uh for 4.99 thank you very much the super chat
[349] 39:30	uh exodus 3 6 god says to moses i am the god of your father do you see evidence
[350] 39:36	of continued worship of god in a virus similar to how the patriarchs did
[351] 39:41	now let's go look at that text because i have a feeling something there is not
[352] 39:46	quite right three six
[353] 39:54	okay now behold the whole i am the god of your father the god of abraham the god of
[354] 40:01	isaac and the god of jacob and
[355] 40:08	let's see here let's look at the hebrew directly
[356] 40:18	okay there is i am the god
[357] 40:26	uh of your father is singular construct okay
[358] 40:32	now we don't see uh the the sort of the the issue sort of
[359] 40:38	here is that i am the god of your father it doesn't exactly say
[360] 40:44	which father uh the problem with when we when we look at say a hebrew text when it talks about
[361] 40:50	your father is that you're you're not always um
[362] 40:59	we're not always sure exactly which father is being mentioned here
[363] 41:05	so is it is it talking here about his father amram
[364] 41:10	is it talking about his father levi we're not sure
[365] 41:18	so the problem is a father does not necessarily mean the
[366] 41:24	the the man who gave birth to you it could mean your grandfather it could
[367] 41:30	mean your great grandfather it could mean any ancestor actually so we have to sort of be a little
[368] 41:36	careful here when we look at this because
[369] 41:42	it doesn't necessarily imply that there's continuity um
[370] 41:49	so we don't actually find any evidence of worship of yahweh out of ours none
[371] 41:57	absolutely none we find worship of other gods at a virus we find a lot of worship of baal and we
[372] 42:03	find some worship of reshef and we find some worship of astarte and we also find lots of worship of
[373] 42:09	egyptian gods but there's zero evidence of yahweh worship at avarus
[374] 42:16	so i would in this particular case when he when he says to moses i am the god of your father i don't think he's talking
[375] 42:22	about i'm here i think he's maybe talking about levi instead so because we do seem to find the whole
[376] 42:29	sort of culture once they move to a virus start to worship
[377] 42:35	other canaanite deities so anyway that's how i would sort of take this verse
[378] 42:41	so anyway thank you very much for the super chat very much appreciated
[379] 42:46	and we now have uh 501 mobius here good to see you
[380] 42:51	friend for 10 thank you very much um i haven't checked out your game yet
[381] 42:56	still going to do that but i haven't got to it yet it's been really a hectic week okay
[382] 43:03	while peramsi's only lasted until 1075 to 1060 bc when the now silted up uh
[383] 43:11	how long did pithom last uh have they discovered ruins in the wadi tomb a lot um yes
[384] 43:18	i'll answer the uh uh former question first or the last question first uh yes
[385] 43:23	they have found the cytopithome it's at the site of tel el ritaba so yes they
[386] 43:28	have found the ruins of pithom uh the um
[387] 43:35	the cytopithon lasted longer than paramses and it actually goes uh into the third intermediate period
[388] 43:42	and then it ceases during the saiyide period so um
[389] 43:48	around dynasty 22 it's it sort of comes to an end so that's sort of when when pitholm
[390] 43:56	that's sort of the last gasps of pithom at that point so pithom is actually earlier than p
[391] 44:03	ramses is actually much earlier than p ramses we also we see pithom start around say dynasty 11
[392] 44:11	and then say as i say continue into the beginning or cease at around in in around dynasty
[393] 44:18	22. so it has a it has a really good run
[394] 44:24	but we don't know now they're still actively excavating um uh pitholm it's
[395] 44:30	right now being excavated by uh the the the check uh uh check uh
[396] 44:37	concession it's uh um
[397] 44:44	currently uh annual field reports are being published uh and there's new stuff coming out of
[398] 44:49	the wadi tumula all the time and especially from pithom uh they found some mud brick
[399] 44:55	architecture at pithom uh they have found the temple of atum
[400] 45:00	there uh they're they're just coming up with really really exciting stuff there so uh very interesting stuff coming out
[401] 45:07	of out of uh pithom so it's at the uh uh teletubba that's that's the site of
[402] 45:13	pithom so anyway thank you very much for the super chat very much appreciated great
[403] 45:18	question okay
[404] 45:25	a tony g for 9.99 thank you very much for the super chat
[405] 45:30	who was the queen of sheba where is sheba and in relation to the queen of punt
[406] 45:39	okay i'm going to answer that last question first no relation to the queen of punt
[407] 45:44	okay uh punt is uh actually uh uh in africa it's in eastern africa
[408] 45:52	it is uh south of nubia uh sheba is in the saudi arabian
[409] 46:01	peninsula uh it was the it's the country of sabah
[410] 46:07	there's several uh old arabic countries uh in that peninsula such as hadramut
[411] 46:15	and she was essentially uh one of the queens
[412] 46:20	of the king of sheba that was sent on part of the diplomatic
[413] 46:27	mission to israel essentially to start a um
[414] 46:34	a trade with israel to get say incense
[415] 46:40	uh imported and through the fertile crescent so it's essentially
[416] 46:47	a trade negotiation and the queen here is acting as a
[417] 46:53	as more or less an ambassador she's more or less an ambassador that's being used
[418] 46:59	to um to sort of grease the wheels to get a
[419] 47:05	better deal uh for um letting the incense travel through
[420] 47:13	uh israel because during the time of solomon solomon had a chokehold on all
[421] 47:18	the trade that went through the fertile crescent that's how he got so wealthy was he would tax caravans because he
[422] 47:24	controlled all the roots going through the fertile crescent
[423] 47:30	so that is why that diplomatic missions went through and that's ultimately in
[424] 47:36	an agreement was established and um everyone benefited from the extra trade
[425] 47:43	so anyway i hope that answers the question thank you very much for the super chat
[426] 47:49	very much appreciate it okay
[427] 47:54	the next one here
[428] 48:04	next uh super chat is from
[429] 48:09	josh get show for 10 thank you very much for the super chat hey dr folk i was reading up on an
[430] 48:16	article that proposed that avarus was named after the biblical uh joseph
[431] 48:22	uh ish every hebrew man in hebrew i'm guessing matches in name to avarus
[432] 48:29	thoughts nah no um
[433] 48:34	oh uh-uh uh the etymology doesn't work here honestly
[434] 48:39	um the problem is avarus is sort of a a
[435] 48:45	later day of sort of a later name that's applied to it um it actually had another name um
[436] 48:52	um in in egyptian times so uh
[437] 48:58	it's it's a corruption of a name that more or less means the two gates
[438] 49:03	but i best recall so i don't think that this is um this is
[439] 49:09	going to to work in the long run so um no it's the etymology here is all wrong
[440] 49:16	uh even if you had could do the that that sort of um um etymology
[441] 49:23	you would still have to contend with um um certain things such as this the the
[442] 49:29	incompatibility between the sheen and the scene the um
[443] 49:36	yeah it doesn't strike me that this is going to work etymologically
[444] 49:41	but anyway thank you very much for the super chat um i will at some point do a little more on
[445] 49:48	the etymology of the names of these cities but um that's that's one of those later
[446] 49:53	sort of to-do uh videos but um thank you very much for the super chat i very much appreciate it but i
[447] 50:00	don't think this is going to work uh the fact is too that the name of avarice long sort of predates joseph as well and
[448] 50:07	we have got to keep that in mind too that um avarus as a city you know is
[449] 50:14	goes all the way back to the 11th dynasty it's a middle kingdom city uh originally and then you know by the
[450] 50:21	time joseph comes in during say the 15th dynasty it's already well established
[451] 50:26	its name is established and also its reputation is established at that point
[452] 50:32	so um thank you very much for the super chat i very much appreciate it but those are my
[453] 50:39	thoughts
[454] 50:44	matthew harrell 499 good to see you here i'm glad you made it tonight hi dr falk if youtube allows could you
[455] 50:52	explain the near eastern context of genesis 38 8-10 well let's see what
[456] 50:57	genesis 38 8-10 actually says genesis
[457] 51:04	38 oh oh spicy
[458] 51:09	um oh that is that uh
[459] 51:16	okay um this is talking about the uh about
[460] 51:22	onan okay now we will explain this in the most
[461] 51:28	pg-13 way we can um essentially what happens is we're
[462] 51:34	talking here about uh leverage marriage and what leverage marriage is is when
[463] 51:40	your um brother when your your brother dies
[464] 51:47	um and you are unmarried you are supposed to marry his widow to
[465] 51:52	um to replace him essentially in the clan you are you are supposed to do the duty
[466] 51:58	of having not only your first child then is becomes your brother's child to replace his number
