[0] 1:06	Heat. Heat.
[53] 9:35	dialog chats unite.
[54] 9:41	Okay. Uh the second uh order of business
[55] 9:45	is Lord of Steel and Sky uh is going to
[56] 9:49	be released on the 15th of July. Now
[57] 9:52	what does this mean? This means that for
[58] 9:55	you who've order it, some of you will be
[59] 9:58	getting this book by the next live
[60] 10:00	stream. So we're there. We're at the
[61] 10:03	release date. So, this is really cool.
[62] 10:07	So, um if you haven't ordered a copy,
[63] 10:09	please do so. And when you do uh read
[64] 10:12	it, please leave a review cuz all those
[65] 10:14	reviews really really matter. Okay, so
[66] 10:20	that is uh the business portion here.
[67] 10:25	So, let's get into the um rules and then
[68] 10:28	we'll get into the questions.
[69] 10:30	Okay. Uh super chats have priority.
[70] 10:34	Always do. Uh we will at least
[71] 10:36	acknowledge every super chat. We might
[72] 10:38	not take the question. Uh but we'll
[73] 10:41	acknowledge it. Uh non-super chats we do
[74] 10:44	take, but we have to put a Q and a colon
[75] 10:46	in the front of it. If you don't, we
[76] 10:48	don't see it. That's essentially what it
[77] 10:51	boils down to. And um
[78] 10:56	if um
[79] 10:59	if you do put it on super chat, we don't
[80] 11:01	guarantee we take it either.
[81] 11:03	So just because you post a question,
[82] 11:06	doesn't mean we'll take it. We usually
[83] 11:08	take any question that's interesting,
[84] 11:11	that hits my fancy, that's within my
[85] 11:13	expertise and wheelhouse. But there are
[86] 11:16	some questions that either don't
[87] 11:18	interest me or outside my wheelhouse or
[88] 11:22	just isn't something I've I've got a
[89] 11:25	huge amount of knowledge about and those
[90] 11:28	we might just bypass. So,
[91] 11:32	um,
[92] 11:34	only post non-s super chats once.
[93] 11:36	Posting them multiple times will get
[94] 11:37	them, uh, disqualified for the night.
[95] 11:41	Uh, if you reference something in the
[96] 11:42	Bible, we ask that you add some context.
[97] 11:44	So, we need what book it's from, what
[98] 11:46	chapter, and what verse.
[99] 11:50	Uh, you can sponsor non-s super chats,
[100] 11:53	but we ask that you copy the nons super
[101] 11:55	chat question into the super chat. so we
[102] 11:59	don't have to hunt for it. It just makes
[103] 12:01	things so much easier for us. And
[104] 12:03	finally, for any question, one question
[105] 12:06	per chat. Uh no question stacking
[106] 12:10	because that is that's not fair to
[107] 12:13	anyone. Okay, so that's that's the
[108] 12:17	rules. Well, let's get into the
[109] 12:18	questions.
[110] 12:21	All right, the first question here is
[111] 12:23	from
[112] 12:25	uh 501 Mobius.
[113] 12:28	And he actually asks a pretty good
[114] 12:31	question here. How come Yenoam is
[115] 12:34	mentioned in a number of Pharaoh
[116] 12:35	conquest lists, including MPa, but no
[117] 12:38	one can identify its location?
[118] 12:41	The reason is because in a lot of cases
[119] 12:46	the um the lists where they're found in
[120] 12:49	are very fragmentaryary.
[121] 12:52	So
[122] 12:54	we don't have a good idea what it's
[123] 12:57	between. Where are its extremities?
[124] 13:00	So we do find it in a lot of conquest
[125] 13:03	less but we'll find it like on a uh
[126] 13:06	fragmentaryary block somewhere. and we
[127] 13:08	don't know where it fits in the greater
[128] 13:10	puzzle of the list. And because we don't
[129] 13:13	find it in the greater puzzle of the
[130] 13:15	list, it's really, really hard to say,
[131] 13:17	oh, it's between this town and this
[132] 13:18	town.
[133] 13:20	So that's what makes Yanowam so
[134] 13:22	difficult. We also don't have a good
[135] 13:25	idea of where what town it exactly
[136] 13:28	correlates to in say the biblical
[137] 13:31	context either. We got guesses, but
[138] 13:34	we're not sure and we don't really know.
[139] 13:37	So,
[140] 13:39	um,
[141] 13:41	given the path that we have from EPA,
[142] 13:43	that's probably going to be the best
[143] 13:44	guess we've got. Uh, it just again, it's
[144] 13:47	it's not something where we have it in
[145] 13:49	C2 with the rest of the captive circles.
[146] 13:52	So, if we don't have it in C2 with the
[147] 13:54	rest of the captive circles,
[148] 13:57	we're sort of left guessing where it is.
[149] 13:59	So,
[150] 14:01	uh, and that's just that's just
[151] 14:02	sometimes the difficulty of of geography
[152] 14:05	of ancient geography is you just you
[153] 14:08	just don't know where things fit in with
[154] 14:10	in context to other places. So, they can
[155] 14:12	be difficult to find. So, anyway, I hope
[156] 14:14	that helps. Thank you for the question.
[157] 14:17	Really appreciate it.
[158] 14:20	Okay, next one here
[159] 14:23	is from King Bubby. Now, this is a
[160] 14:26	complicated question and it's going to
[161] 14:28	require some setup. He asks, "What do
[162] 14:31	you think is the best method of
[163] 14:32	harmonizing both accounts of King
[164] 14:36	Ahaziah
[165] 14:38	of Judy of Judah's death?" 2 Kings
[166] 14:42	2:27-28
[167] 14:43	and 2 Chronicles 22:8-9.
[168] 14:47	Okay, let's pull up our Bible and let's
[169] 14:49	read both passages
[170] 14:52	and then let's try and make sense of
[171] 14:53	these. Okay? Because on the surface they
[172] 14:56	are there is inconsistencies here, but I
[173] 15:00	also think too that the inconsistencies
[174] 15:02	can be resolved very easily
[175] 15:05	um at least for the most part. But
[176] 15:08	second Kings, we'll start with the
[177] 15:09	second Kings passage chapter um 9
[178] 15:17	uh 27 which says then Ahaziah the king
[179] 15:22	of Judah saw this. He fled by the way of
[180] 15:25	the garden house and Jah pursued him and
[181] 15:27	said shoot him too in the chariot. So
[182] 15:31	they shot him at the ascent of Gur which
[183] 15:34	is at Elim. But he fled to Megiddo and
[184] 15:37	died there. Then his servants carried
[185] 15:40	him in a chariot to Jerusalem and buried
[186] 15:43	him in his grave with his fathers in the
[187] 15:45	city of David. Okay. Now most scholars
[188] 15:48	think that the 2 kings 9 passage it's
[189] 15:51	really includes 9 and 10 is probably the
[190] 15:55	more historical
[191] 15:57	at least um the the more precise
[192] 16:00	granular account of this
[193] 16:03	but then we look at say 2 chronicles
[194] 16:06	here 2 chronicles 22
[195] 16:11	uh 8-9
[196] 16:15	which says it came about that When Jahu
[197] 16:17	was executing judgment on the house of
[198] 16:19	Ahab, he found the princes of Judah and
[199] 16:22	the sons of Ahaziah's brothers
[200] 16:24	ministering to Ahaziah and slew them. He
[201] 16:28	also sought Ahaziah and they caught him
[202] 16:30	while he was hiding in Samaria.
[203] 16:34	And they brought him to Jahu, put him to
[204] 16:36	death and buried him. For they said, "He
[205] 16:40	is the son of Jehoshaphat who sought the
[206] 16:42	Lord with all his heart." So there was
[207] 16:46	no one in the house of Aziah to retain
[208] 16:48	the power of the kingdom. All right. Now
[209] 16:51	the the critical issues here
[210] 16:54	are that where did uh did did he get
[211] 17:01	killed in a chariot? Was he brought to
[212] 17:05	Joo?
[213] 17:07	And
[214] 17:09	um where did he die? Okay, so those are
[215] 17:14	the really big questions.
[216] 17:16	Now, if you follow the sequence of
[217] 17:19	events really closely, you can kind of
[218] 17:22	see how the second chronicles narrative
[219] 17:25	fits dovetales with the uh second king's
[220] 17:28	chronic uh suggestion. Okay. Now the
[221] 17:33	first thing is that the context leading
[222] 17:37	up to this passage is Jehoram, king of
[223] 17:40	Israel, attacked Syria
[224] 17:44	and got wounded in the process.
[225] 17:48	So he has to go back and um
[226] 17:53	his ally
[227] 17:55	Ahaziah king of Judah decides to visit
[228] 17:59	him
[229] 18:01	and it's during this visit that there's
[230] 18:04	this uprising by Jahoo. Okay. So now
[231] 18:10	when it talks about
[232] 18:13	um Ahaziah caught while hiding in
[233] 18:16	Samaria, we have to understand one thing
[234] 18:19	about Samaria. Uh that term in 2
[235] 18:22	Chronicles
[236] 18:24	uh uh 22:9. Samaria is both a city and a
[237] 18:30	region.
[238] 18:32	Okay?
[239] 18:33	We don't know from 2 Chronicles 22:9 if
[240] 18:36	it's the city being referred to or the
[241] 18:39	region.
[242] 18:41	If it is the region,
[243] 18:43	then the death in 2 Kings 9:27-28
[244] 18:48	still makes sense. Okay, so here's the
[245] 18:52	sequence of events.
[246] 18:55	Jehovah fights in Syria, gets wounded.
[247] 18:58	He's visited by Ahaziah
[248] 19:00	not with his army but with a retinue.
[249] 19:03	Okay, so he's not Aziah is not bringing
[250] 19:06	his own whole army with him. He's just
[251] 19:08	bringing a retinue to visit a friend.
[252] 19:11	Okay.
[253] 19:13	And
[254] 19:14	then what happens is there's an uprising
[255] 19:18	while Ahaziah is in the northern kingdom
[256] 19:20	of Israel.
[257] 19:22	And
[258] 19:24	um Jahu calls
[259] 19:27	um um Jehoram and Ahaziah out for a nice
[260] 19:34	talk.
[261] 19:35	It's a trap. And quite literally says in
[262] 19:38	the in the text, it's a trap. Okay, Joo
[263] 19:42	springs the trap and kills Jehoram right
[264] 19:46	there with an arrow in his chariot and
[265] 19:49	then
[266] 19:51	um he uh Aziah flees. Now J uh Jehoram
[267] 19:57	and Ahaziah are literally brought to
[268] 20:01	Joo. There's a revolt going on. Okay,
[269] 20:06	they're brought with their retinu.
[270] 20:09	So yeah, King Akbar
[271] 20:13	pretty much it's a trap.
[272] 20:16	So they are brought to Joo. Jahoo sends
[273] 20:21	out a servant. The servant gets Jehoram
[274] 20:24	and Ahaziah to bring them to Jahoo. Ju.
[275] 20:29	So that that brought to Joo we find in 2
[276] 20:32	Chronicles 22 is actually found in 2
[277] 20:37	Kings 9, but it we're not this doesn't
[278] 20:41	say he was brought. It says a servant
[279] 20:43	took him to to
[280] 20:45	Joo. So he was brought
[281] 20:49	and then Joo has an arrow. An arrow
[282] 20:54	pierces Ahaziah
[283] 20:57	who flees.
[284] 20:59	And in 2 Chronicles 22:9 where it says
[285] 21:03	Jahoo put Aziah to death.
[286] 21:06	Well, he did by shooting an arrow. He
[287] 21:09	just didn't happen to die right in front
[288] 21:11	of him.
[289] 21:14	Flees, makes it to Megiddo, and dies
[290] 21:17	there. And then his body is interred in
[291] 21:21	Jerusalem. Okay, so
[292] 21:25	the two narratives do make sense and
[293] 21:28	they dovetail
[294] 21:29	if they're read in context to each
[295] 21:32	other. So I I don't think this is a a a
[296] 21:36	difficult harmonization to do. Um I can
[297] 21:39	see why some people might struggle with
[298] 21:41	this, but it's not an overall difficult
[299] 21:44	harmonization.
[300] 21:46	So it makes sense once you get sort of
[301] 21:48	the big picture of what's going on in
[302] 21:50	the scene.
[303] 21:54	Ryan Cohen Camp. I was a king like you
[304] 21:58	until I took an arrow in the chest.
[305] 22:03	Very Skyrim vibes there. I was an
[306] 22:06	adventurer like you until I took an
[307] 22:08	arrow to the knee.
[308] 22:11	For those of you who don't know,
[309] 22:14	okay,
[310] 22:16	>> some of us were wondering.
[311] 22:18	>> Some of us were wondering. Okay, cool.
[312] 22:23	Okay. So, uh, King Bubby, I hope that
[313] 22:26	answers your question. Thank you so very
[314] 22:28	much for the question. It's a great
[315] 22:29	question. It just needs a lot of sort of
[316] 22:32	teasing out to to arrive at the answer.
[317] 22:36	Okay, so hope that helps. Thank you so
[318] 22:38	much.
[319] 22:40	Uh, we want to thank Jack Ray here for
[320] 22:43	gifting the channel 10 ancient Egypt and
[321] 22:44	the Bible memberships. And he gave these
[322] 22:47	on Wednesday, I think Wednesday or
[323] 22:49	Thursday. Uh so uh this was long before
[324] 22:53	the live stream. So for those of you who
[325] 22:54	were lurking in the live chat
[326] 22:58	and there were people lurking for this.
[327] 23:01	That's what was shocking. No live stream
[328] 23:03	was happening, but they were lurking in
[329] 23:05	the live chat and Jack Ray pops us on
[330] 23:08	and all of a sudden they're all gone
[331] 23:09	within a couple minutes.
[332] 23:11	Was crazy.
[333] 23:14	>> Stella got to get in on that
[334] 23:16	>> lurkers. Yeah.
[335] 23:19	Yeah, Jimmy the Jew uh from Philly says,
[336] 23:21	"You rock, Jack Ray." Yeah, he really
[337] 23:22	does rock. Uh thank you.
[338] 23:25	>> You got one.
[339] 23:26	>> Yeah. Well,
[340] 23:27	>> he's a recipient of the last.
[341] 23:33	>> So anyway, uh thank you so much, Jack,
[342] 23:36	for those uh memberships and you gave
[343] 23:38	some more tonight, too. And we'll we
[344] 23:39	will thank you as we get along to that.
[345] 23:43	Okay, next one.
[346] 23:44	>> Common lurkers.
[347] 23:46	>> Common lurkers.
[348] 23:49	by commoner.
[349] 23:50	>> My common lurker.
[350] 23:54	Okay.
[351] 24:02	Uh CPM versus DOS. You never know when
[352] 24:03	you will get a free membership or get
[353] 24:05	exposed for lurking.
[354] 24:08	Yeah, it will expose you for lurking.
[355] 24:10	That it will do.
[356] 24:11	>> But to all the lurkers, jump in and have
[357] 24:13	fun.
[358] 24:14	>> Hey, but to all the all the lurkers jump
[359] 24:16	in and have fun.
[360] 24:21	Okay, next one here is by Harry Stark.
[361] 24:23	Any thoughts on Rufus?
[362] 24:25	I think that's just turning a a piece of
[363] 24:28	software that turns a
[364] 24:31	USB drive into a boot drive. That's what
[365] 24:34	I think it is. It's a imaging software.
[366] 24:36	I have no real opinions on it one way or
[367] 24:38	the other.
[368] 24:41	Okay, next one here.
[369] 24:47	Ary Stark, why is it difficult to
[370] 24:49	convert Muslims? Uh,
[371] 24:52	it boils down to cultural apologetics.
[372] 24:55	Cultural apologetics is the um is the
[373] 24:59	idea that certain cultures have
[374] 25:01	apologetics that resonate with them as a
[375] 25:06	culture.
[376] 25:07	Okay?
[377] 25:09	So unless you can address somebody on
[378] 25:13	that level of um their culture,
[379] 25:18	there are certain religions that are
[380] 25:19	very very difficult to evangelize to
[381] 25:23	uh because of that cultural apologetic.
[382] 25:27	Now in some cases that cultural
[383] 25:29	apologetic includes if you convert you
[384] 25:32	get ostracized from your family
[385] 25:36	>> in the case of Islam
[386] 25:37	>> or killed. Yeah. Yeah. Um in some cases
[387] 25:41	if you convert to another religion,
[388] 25:44	you're killed for it.
[389] 25:47	Um this is what happens to apostate
[390] 25:50	children in Muslim countries. A lot of
[391] 25:52	them will get killed for it.
[392] 25:56	So
[393] 25:58	um in in Islam, the uh the cultural
[394] 26:01	apologetic is I don't want to die.
[395] 26:07	Doesn't matter what I believe. I don't
[396] 26:08	want to die. That's a strong
[397] 26:12	disincentive to convert.
[398] 26:14	Just saying.
[399] 26:18	Uh I think if there was more freedom to
[400] 26:20	convert, you would see more Muslims
[401] 26:23	doing so.
[402] 26:25	But um if if a h ah I mean I have a
[403] 26:29	friend who converted from Islam to
[404] 26:32	Christianity and you know he says you
[405] 26:35	know his father was was thinking of
[406] 26:37	killing him.
[407] 26:40	His own father was thinking of killing
[408] 26:41	him. That's
[409] 26:44	>> he and his father talked and his father
[410] 26:46	actually told him I've decided not to.
[411] 26:49	>> Yeah. Yeah. I mean he when he talked to
[412] 26:51	his father he is his father said you
[413] 26:53	know I decided not to kill you. It's
[414] 26:56	like
[415] 26:57	yeah. So, so in a lot of places in a lot
[416] 27:01	of cultural apologetics this stuff is
[417] 27:03	very serious.
[418] 27:06	Um like for example even among and and
[419] 27:09	you don't just find it in say the say
[420] 27:12	the developing world or in Islamic
[421] 27:14	nations you find it in in certain um um
[422] 27:19	cultural apologetics in uh North America
[423] 27:22	too. Like you there's a very strong
[424] 27:24	cultural apologetic in Mormonism.
[425] 27:28	Very strong. And here's here's the
[426] 27:30	thing. The stronger the community
[427] 27:32	support network, the stronger the
[428] 27:36	cultural apologetic. And what I mean by
[429] 27:38	a stronger community support network is
[430] 27:41	the the stronger the network that keeps
[431] 27:43	you inside the group,
[432] 27:46	the more it's more that's the case.
[433] 27:49	Um you'll find this in Mormons. You find
[434] 27:52	this among Jehovah's Witnesses where
[435] 27:54	you're absolutely ostracized and banned
[436] 27:57	from communicating with any apostate.
[437] 28:00	Yeah. Yeah. Jehovah's Witnesses are like
[438] 28:02	that too. Mormons are like that. So if
[439] 28:05	you deconvert
[440] 28:07	um Yeah. That's um that's an issue. But
[441] 28:10	also a lot of these people if they go to
[442] 28:13	a Christian church that community
[443] 28:16	support of helping you find a job
[444] 28:18	>> Yeah.
[445] 28:19	>> Uh people talking to you like your
[446] 28:21	family just isn't there in Christian
[447] 28:24	churches.
[448] 28:24	>> Yeah. There that is that is a point. Uh
[449] 28:26	Mrs. Producer says that the Christian
[450] 28:29	church it doesn't have very strong
[451] 28:32	support networks.
[452] 28:34	uh they won't find you a job if you're
[453] 28:37	if you're if you're um
[454] 28:41	uh unemployed. You know, they might not
[455] 28:44	even help you get food if you're if
[456] 28:47	you're hungry. So there is some
[457] 28:50	disincentive
[458] 28:51	to become Christian per se because of of
[459] 28:56	say the very very weak community support
[460] 28:59	networks that you find amongst say
[461] 29:00	Christian uh um congregations. So
[462] 29:04	>> that Hispanic community you were doing
[463] 29:07	your internship in because they kept
[464] 29:09	having potlucks
[465] 29:11	and
[466] 29:13	welcomed us.
[467] 29:14	>> Yeah. Yeah. So but that but that's the
[468] 29:17	reason why uh you find uh it difficult
[469] 29:21	to convert Muslims. It's really that
[470] 29:23	there you have to deal with the cultural
[471] 29:24	apologetic. Um well Dark Blade says here
[472] 29:28	another issue with conversion is that
[473] 29:30	Quran causes Muslims to heavily have
[474] 29:33	heavily distorted conceptions of what
[475] 29:35	Christians believe. But that's part of
[476] 29:36	the cultural apologetic.
[477] 29:39	You see you have to understand the logic
[478] 29:41	here. You have to understand the logic
[479] 29:43	here. The logic here is that the Quran
[480] 29:47	knows more about Christians than
[481] 29:50	Christians know about themselves.
[482] 29:53	Okay, that's the cultural apologetic.
[483] 29:57	Quran knows more about Christianity than
[484] 30:00	Christians know about Christianity.
[485] 30:03	So when the Quran presents a distortion
[486] 30:08	of Christian faith, they take it that
[487] 30:11	that's what is actually true about
[488] 30:14	Christianity because the Quran cannot
[489] 30:16	lie.
[490] 30:19	So because the Quran cannot lie,
[491] 30:22	the more you protest
[492] 30:25	that this is not what you believe, the
[493] 30:28	more they say, "Oh, you see Ron's right.
[494] 30:32	You don't know what you believe.
[495] 30:38	>> Nice catch.
[496] 30:40	>> It's a beautiful catch 22. It creates a
[497] 30:43	tautology
[498] 30:45	and unless you start
[499] 30:48	getting to them at their level, at their
[500] 30:52	what they find has
[501] 30:56	has traction.
[502] 30:58	It's very difficult to do. And what I've
[503] 31:01	said before about Islamic apologetics is
[504] 31:05	it's a life commitment. It really is.
[505] 31:07	It's it's not just an apologetic
[506] 31:09	exercise. It's a life commitment.
[507] 31:12	You have to really commit your life to
[508] 31:15	doing a Islamic apologetics if you want
[509] 31:18	to have traction in that community
[510] 31:20	>> because you have to spend that time
[511] 31:22	immersing yourself in understanding
[512] 31:25	their culture.
[513] 31:26	>> Yeah.
[514] 31:27	>> Not just the Quran culture.
[515] 31:29	>> Yeah. It's more than just understanding
[516] 31:31	the Quran. You also have to understand
[517] 31:33	the culture too. And if you don't
[518] 31:35	understand the culture, really difficult
[519] 31:38	to get it get traction and that takes a
[520] 31:41	long long time to learn.
[521] 31:45	Okay, so I hope that helps Harry. Um
[522] 31:48	really appreciate the question and we'll
[523] 31:50	be moving on here.
[524] 31:54	He asks another tech question. Again,
[525] 31:56	we're not a tech channel. I don't know
[526] 31:57	why he asked me all these tech
[527] 31:58	questions.
[528] 32:01	>> Because I'm a tech bro
[529] 32:04	on this channel.
[530] 32:06	>> Is Linux better than Windows and MacOSS?
[531] 32:10	Um
[532] 32:17	uh
[533] 32:19	let's start a religious war here.
[534] 32:23	I am going to say I use both. I use both
[535] 32:27	Linux and I use Mac O sorry uh Windows.
[536] 32:31	I don't use Mac OS. I don't care. I
[537] 32:33	can't afford to get into the Mac OS
[538] 32:35	ecosystem. Macs are just too expensive.
[539] 32:40	Um
[540] 32:43	Linux is very very good for certain
[541] 32:45	functions.
[542] 32:46	Really really good for certain things.
[543] 32:51	Um it's also very not so good for
[544] 32:54	certain things.
[545] 32:57	Um,
[546] 32:58	now,
[547] 33:00	um, what I'm going to say is the big
[548] 33:04	thing that's held Linux back is actually
[549] 33:08	it's its software.
[550] 33:10	Um, the best productivity software has
[551] 33:14	always been on Windows. Okay?
[552] 33:18	Uh but I will say this now there are now
[553] 33:22	alternatives to some of those um
[554] 33:27	productivity software that you can get
[555] 33:29	on Linux and I think Linux is is
[556] 33:32	catching up as far as its software
[557] 33:36	availability.
[558] 33:37	Okay.
[559] 33:40	Um
[560] 33:42	so
[561] 33:44	um I I I've used Linux professionally.
[562] 33:48	I've administered uh Linux on large
[563] 33:51	scales. Um the largest supercomputer in
[564] 33:54	the world was a glorified Linux box.
[565] 33:58	Uh I have I have done a lot of work on
[566] 34:01	Linux and I like Linux and I even like
[567] 34:03	using it as a desktop
[568] 34:06	but some of the software that I still
[569] 34:09	depend on is only available on Windows
[570] 34:14	and that is an issue for me. So,
[571] 34:18	it's why on my desktop I still use a
[572] 34:20	Windows machine. I use Windows 10. I
[573] 34:23	have not converted to Windows 11. Um,
[574] 34:28	Windows 11 has some annoyances that I
[575] 34:30	still have not have not gotten over yet.
[576] 34:33	Um,
[577] 34:36	yeah, you know, you can dual boot, but I
[578] 34:38	find in practice I don't. Um, I mean, I
[579] 34:41	set up this machine as a dual boot
[580] 34:43	originally, never used the Linux side of
[581] 34:45	it and then just wiped out the dual boot
[582] 34:49	just to get space back.
[583] 34:54	But I use it on my servers.
[584] 34:56	I use it on all my web servers. I use it
[585] 34:59	on my firewall.
[586] 35:01	I use a lot of Linux. I have more Linux
[587] 35:05	machines in my house than I have PCs.
[588] 35:10	Okay.
[589] 35:12	But I use it for some things and some
[590] 35:14	things that works really really well.
[591] 35:17	Some things Windows is better.
[592] 35:21	So, hope that helps. Thank you for the
[593] 35:25	uh for the question. Really appreciate
[594] 35:27	it.
[595] 35:37	Uh Dan Hogan says, "What is your theory
[596] 35:40	your view of the theory that a catastro
[597] 35:42	catastrophic climate event such as the
[598] 35:45	Younger Dryus impact is the inspiration
[599] 35:47	for various flood creation destruction
[600] 35:49	myths worldwide?
[601] 35:51	I think it lacks evidence.
[602] 35:54	Um
[603] 35:56	I know this is a favorite theory of that
[604] 35:58	cook uh Graham Hancock.
[605] 36:01	It's I mean it's his I mean it is one of
[606] 36:03	his big theories but it really does lack
[607] 36:06	evidence. It seems sort it's one of
[608] 36:09	those things that seems sort of
[609] 36:10	convincing on the surface
[610] 36:13	but we don't actually find it in the
[611] 36:18	dirt in the archaeology.
[612] 36:22	So, it's one of those things that really
[613] 36:24	lacks evidence
[614] 36:27	and I'm not willing to sort of pick up a
[615] 36:29	theory that makes sweeping conclusions
[616] 36:32	based upon very slim evidence. So,
[617] 36:40	uh Dr. Amy Martinez asks, "Uh, does
[618] 36:43	younger dus even coincide with large
[619] 36:45	scale flooding events?" Not to my
[620] 36:47	knowledge.
[621] 36:49	Um, but again, I it's one of those kind
[622] 36:51	of kooky theories
[623] 36:53	um that
[624] 36:56	Okay, here we go again. Could be.
[625] 37:02	It's one of those kind of things. So,
[626] 37:06	you know, it's possible.
[627] 37:10	Okay. Is there evidence for it? No, but
[628] 37:12	it we haven't disproved it. So, could be
[629] 37:21	I I I just can't get into theories like
[630] 37:24	that. They just I would rather say
[631] 37:27	nothing about it than to support a
[632] 37:30	theory where it's just so there's
[633] 37:33	there's nothing nothing there.
[634] 37:36	So,
[635] 37:39	>> um it's the it's the idea that the Black
[636] 37:43	Sea deluge um ironical gaps. What about
[637] 37:46	the Black Sea Deluge? Does it have
[638] 37:47	better evidence? It does actually
[639] 37:48	slighter better evidence.
[640] 37:51	The Black Sea deluge is the idea that
[641] 37:53	the Mediterranean was once higher than
[642] 37:55	the Black Sea and then it broke through
[643] 37:58	kind of a mud dam and flooded the Black
[644] 38:00	Sea, raising the sea level up and
[645] 38:04	basically wiping out some villages.
[646] 38:08	Now, they have found some remnants of
[647] 38:10	villages under the water in in the Black
[648] 38:13	Sea. So, that one's at least got some
[649] 38:15	evidence to it, but um I I don't think
[650] 38:19	that's really related to flood events,
[651] 38:20	the big flood events either. So, you
[652] 38:22	know,
[653] 38:24	so I wouldn't want to overread that,
[654] 38:27	right? So,
[655] 38:30	all right, let's move on here.
[656] 38:35	Uh 501 Mobius.
[657] 38:38	Uh, do you think the iron fitted
[658] 38:40	chariots that the Canaanites had at Bian
[659] 38:43	could mean that they had iron tipped
[660] 38:45	javelins?
[661] 38:46	Oh, yeah. If if they had if they had uh
[662] 38:49	iron fitted chariots, they probably also
[663] 38:51	had iron tipped uh javelins, too. Um,
[664] 38:56	but uh the the thing what what made iron
[665] 38:59	fittings
[666] 39:01	on chariots so important is it's we're
[667] 39:03	talking here the axle assembly. the axle
[668] 39:06	assembly, maybe the tread. Okay. Very
[669] 39:09	few parts of those iron fitted chariots
[670] 39:12	were actually iron. Um, where you needed
[671] 39:16	it most was the axle assembly because
[672] 39:18	the axle assembly had the most wear and
[673] 39:21	tear um to
[674] 39:25	um where you needed that strength of the
[675] 39:28	fittings.
[676] 39:30	So, but yeah, if if they're using iron
[677] 39:32	on
[678] 39:34	um on the chariots, they're probably
[679] 39:36	also using it on on the javelin. And
[680] 39:38	it's and this uh where we find that in
[681] 39:41	the text, you're already in the Iron
[682] 39:43	Age. So, yeah, they're already using
[683] 39:45	iron weapons to some extent at this
[684] 39:47	point. Um,
[685] 39:50	now we have to understand that when we
[686] 39:51	talk about Iron Age and Bronze Ages,
[687] 39:56	it doesn't mean bronze was entirely
[688] 39:58	abandoned.
[689] 40:00	Okay? What it means is that you're
[690] 40:03	starting to see uh bronze being phased
[691] 40:06	out and iron starting to be adopted.
[692] 40:12	So, some of them could have had iron
[693] 40:14	tipped javelins. Some of them might have
[694] 40:16	had still had bronze tip javelins.
[695] 40:18	Doesn't you know just because you the
[696] 40:22	technologies overlap doesn't mean one
[697] 40:25	immediately supplants the other.
[698] 40:28	Okay. So I hope that helps. Thank you
[699] 40:30	very much for the question. Really
[700] 40:31	appreciate it.
[701] 40:36	Ah Justin the Rhino asked the question.
[702] 40:40	What instruments were used by Egyptians
[703] 40:42	the most commonly versus what elite of
[704] 40:46	Egypt used? I don't understand the
[705] 40:49	question. What kind of instruments?
[706] 40:50	Medical instruments, musical
[707] 40:52	instruments,
[708] 40:54	dental instruments,
[709] 40:59	measuring instruments.
[710] 41:03	Yeah, it's probably musical, but um
[711] 41:08	well, they they had people at surgical
[712] 41:10	instruments,
[713] 41:13	you know,
[714] 41:15	it's not an it's not an unc it's not an
[715] 41:17	unfair question,
