[0] 2:51	Heat. Heat.
[180] 15:00	uh uh basically
[181] 15:03	>> another sacred
[182] 15:05	not
[183] 15:05	>> it's it's it's it's not a lost chamber.
[184] 15:08	It's I don't think it's a I don't think
[185] 15:09	it's a chamber. I don't think it's a
[186] 15:12	passageway. What I think it is I think
[187] 15:14	it's an area of of low density stone.
[188] 15:18	Low density stone or gravel fill. That's
[189] 15:21	what I think it is.
[190] 15:23	So,
[191] 15:25	um, so, uh, yeah, I know that's not a
[192] 15:28	very romantic answer, but the void is
[193] 15:30	so, um, amorphous
[194] 15:33	that it doesn't look like a passage to
[195] 15:35	me. It really looks like an area of low
[196] 15:39	density stone. At at the very at the
[197] 15:42	very maximum, at the very minimum,
[198] 15:44	gravel fill is what it might be. So, um
[199] 15:47	we do know they did use gravel fill
[200] 15:49	sometimes in pyramids like uh some of uh
[201] 15:53	Cinefru's pyramids use gravel fill. So,
[202] 15:58	so yeah, I think that's I think that's
[203] 15:59	what what the void is.
[204] 16:04	>> It's not
[205] 16:05	>> it's it's not a a a a um alien landing
[206] 16:09	port. No,
[207] 16:14	that's where they're hiding the ark.
[208] 16:15	Don't you know?
[209] 16:20	I learned something. That's not a
[210] 16:21	compliment.
[211] 16:25	Okay.
[212] 16:28	Uh, next one here is a serious question
[213] 16:31	from 501 Mobius. Okay. uh set for refer
[214] 16:35	uh first relief from Carneack Temple
[215] 16:38	illustration from ah Gardner and this
[216] 16:40	he's talking about the the famous uh map
[217] 16:44	of um the way of Horus and the way of
[218] 16:47	Horus is this map that shows all these
[219] 16:50	different forts from Charu all the way
[220] 16:53	to Canaan okay
[221] 16:56	and he's talking about here the letter C
[222] 16:58	now letter the uh gardener when he did
[223] 17:00	the map he assigned a letter to each
[224] 17:02	fortress
[225] 17:03	And there's little inscriptions
[226] 17:06	uh beside each fortress.
[227] 17:09	Now
[228] 17:11	uh there is some suggestive gouging that
[229] 17:14	Gardner assumed was an inscription
[230] 17:19	and that inscription was represented by
[231] 17:22	the letter C. Okay. Now
[232] 17:27	this is going to also be a really really
[233] 17:29	disappointing answer. Okay, this is
[234] 17:33	going to be the night of disappointing
[235] 17:35	answers, I think.
[236] 17:37	I don't think there was an inscription
[237] 17:39	there
[238] 17:41	cuz I think Gardner made a mistake.
[239] 17:45	Now, he
[240] 17:48	um we have to understand that Charu
[241] 17:51	is not two fortresses. It's one fortress
[242] 17:56	divided by a river. Okay.
[243] 18:00	The Egyptians wrote Charu
[244] 18:02	on the um
[245] 18:05	on the eastern fortress for the eastern
[246] 18:08	fortress but not the western fortress
[247] 18:11	because frankly it's the same fortress
[248] 18:15	and Gardner didn't know that at the time
[249] 18:19	cuz they hadn't excavated Charu yet.
[250] 18:21	They didn't know that this was the case.
[251] 18:24	So, I think that
[252] 18:27	uh Gardner assumed
[253] 18:30	that this was just the um
[254] 18:35	just the um an unnamed fortress that
[255] 18:40	that had basically had a separate name
[256] 18:42	than Charu. uh we know that now that
[257] 18:45	Charu had that was and we call this in
[258] 18:48	uh it's Thabea A and Thabua B and both
[259] 18:53	these two fortresses make up the single
[260] 18:56	composite fortress of Charu. It's
[261] 18:59	basically a a border fort that used a
[262] 19:03	bridge as its choke point.
[263] 19:06	though you wouldn't get a an an an easy
[264] 19:09	crossing there if you tried to go across
[265] 19:12	that that canal because that canal was
[266] 19:14	crocodile infested.
[267] 19:16	But what you
[268] 19:19	Oh, here. Oh, that's
[269] 19:21	um But what you did have is a bridge
[270] 19:24	that crossed through you had to pass
[271] 19:27	actually passed through fortress B to
[272] 19:30	get to fortress A or vice versa. and
[273] 19:35	passing through those fortresses meant
[274] 19:36	you had to cross the bridge.
[275] 19:39	So, I think this is just the fact that
[276] 19:41	that um Gardner made a mistake here. He
[277] 19:44	didn't know that this was one fortress,
[278] 19:45	not two. He looked at the map and saw
[279] 19:48	what he thought was two fortresses. So,
[280] 19:51	and and he writes about it in that
[281] 19:53	respect that he thinks they're two
[282] 19:54	fortresses, but we now know that they're
[283] 19:57	one. So, I don't think there was any
[284] 19:59	writing there for for inscription C. And
[285] 20:02	if there was, it'd be very hard to say
[286] 20:04	what it was because again, uh there does
[287] 20:07	seem to be some sort of gouging out
[288] 20:09	there. So, uh I hope and and and those
[289] 20:12	gouging outs don't always mean that
[290] 20:15	something was scrubbed intentionally.
[291] 20:18	Sometimes it's erosion. Like for
[292] 20:20	example, we have to understand that that
[293] 20:22	wall was not in place. That's a
[294] 20:25	reconstructed wall.
[295] 20:28	So if that block had been tumbled
[296] 20:30	somewhere and had been um naturally
[297] 20:34	eroded, it would look very similar to
[298] 20:37	that sort of gouging out. So um we have
[299] 20:41	to we have to we have to understand that
[300] 20:42	that wall was reconstructed from loose
[301] 20:45	blocks like all most of Carnac was.
[302] 20:50	So um I hope that helps. Thank you for
[303] 20:52	the question. Very much appreciated.
[304] 20:58	Okay, I'm going to take this question
[305] 21:00	from Harry Stark because he's been
[306] 21:02	asking this now for over two, three
[307] 21:04	months.
[308] 21:06	And he asks, uh, which Christian
[309] 21:08	emperor, king or queen, was the closest
[310] 21:11	in being the ideal Christian ruler? That
[311] 21:14	is almost an impossible question to
[312] 21:17	answer
[313] 21:19	because
[314] 21:21	bad rulers are really easy to identify.
[315] 21:25	really easy to to identify
[316] 21:28	good rulers less so
[317] 21:32	now yes Ryan the the the easy answer to
[318] 21:35	this is Jesus but you can you can add
[319] 21:37	you can add ask well who's who's the
[320] 21:41	ideal political figure Jesus
[321] 21:45	>> who's the ideal healer
[322] 21:47	>> who's the ideal healer Jesus
[323] 21:50	>> the best New Testament theologian
[324] 21:53	>> who's the best New Testament theologian
[325] 21:54	ologian Jesus. Who's the best Old
[326] 21:58	Testament theologian? Jesus.
[327] 22:02	Every question can be virtually answered
[328] 22:05	by that.
[329] 22:09	Okay. It doesn't enlighten though very
[330] 22:12	much.
[331] 22:14	Okay. Now, what he's Harry's talking
[332] 22:16	about here is secular rulers. Okay.
[333] 22:20	um to be to be fair to his question. The
[334] 22:23	problem is there's no way to answer this
[335] 22:26	really because even good rulers
[336] 22:30	have stains in their history because all
[337] 22:34	have sinned and fallen short of of the
[338] 22:36	glory of God. Even even Christian
[339] 22:39	rulers. though it's not a question
[340] 22:42	anybody can answer really well because
[341] 22:45	if you answer oh this such and such
[342] 22:47	emperor was the best emperor you'll get
[343] 22:50	somebody who goes oh but didn't he do
[344] 22:51	this massacre here
[345] 22:56	because they all did massacres
[346] 22:58	regardless of whether they're Christian
[347] 22:59	or not you know they all had their
[348] 23:02	stains and and and sins and some private
[349] 23:06	some public so it's not a question
[350] 23:09	anyone can
[351] 23:10	But you could boy, you can definitely
[352] 23:13	tell the bad ones. You can tell the bad
[353] 23:15	ones a lot easier than you can tell the
[354] 23:17	good ones. So, hope that helps. But
[355] 23:19	unfortunately, it's not one I can
[356] 23:21	answer.
[357] 23:24	Okay, next question here from Golden
[358] 23:27	Wind,
[359] 23:29	and he asks, I just need to make a
[360] 23:31	switch here to my viewport here.
[361] 23:36	Okay.
[362] 23:39	How many courses semesters of biblical
[363] 23:41	Hebrew and coined Greek does it take to
[364] 23:43	be ready for PhD in Old Testament or New
[365] 23:46	Testament?
[366] 23:48	Um,
[367] 23:51	PhD in Old Testament requires two years
[368] 23:54	of Hebrew. Uh, PhD in in New Testament
[369] 23:58	requires three.
[370] 24:00	Uh depending on where you go, some
[371] 24:03	programs require you to know both Hebrew
[372] 24:05	and Greek, in which case again two years
[373] 24:08	for Hebrew, 3 years for Greek. Hope that
[374] 24:11	helps. Thank you for the question.
[375] 24:19	Uh Golden again here.
[376] 24:22	uh thoughts on online MA programs and
[377] 24:25	the uh theology philosophy with thesis
[378] 24:28	from schools like University of
[379] 24:30	Edinburgh, especially when you can't go
[380] 24:32	back to school full-time in person
[381] 24:34	because of job or other commitments.
[382] 24:37	Okay. Um
[383] 24:39	this is not again going to be a very
[384] 24:42	satisfying answer. We just we are just
[385] 24:45	having that kind of night, aren't we?
[386] 24:47	The night of unsatisfying answers.
[387] 24:50	I don't like online programs for masters
[388] 24:54	and PhDs. Uh graduate programs
[389] 24:58	um I really in fact dislike online
[390] 25:01	programs for graduate programs. The
[391] 25:04	reason why
[392] 25:06	is because
[393] 25:09	those programs are not about knowledge
[394] 25:12	transfer.
[395] 25:15	Um
[396] 25:17	they are not about knowledge transfer.
[397] 25:19	They're about building relationships.
[398] 25:23	And
[399] 25:27	what you're doing at the master's level
[400] 25:29	is you are
[401] 25:31	starting to build professional
[402] 25:33	relationships.
[403] 25:35	That's the point of a master's degree is
[404] 25:38	to build professional relationships.
[405] 25:41	Okay? So,
[406] 25:43	if you're doing this thing online,
[407] 25:45	you're not building professional
[408] 25:47	relationships. You're not learning to
[409] 25:49	work with professors. You're not I mean,
[410] 25:52	you're just in a in a in an online class
[411] 25:54	or a a Zoom call every so often. You're
[412] 25:59	not building a professional relationship
[413] 26:01	at that point.
[414] 26:03	So, it really defeats the whole purpose
[415] 26:06	of graduate education. And we call it
[416] 26:09	graduate education, but it really should
[417] 26:11	be called professional development.
[418] 26:13	That's really what uh graduate programs
[419] 26:17	should be called. Professional
[420] 26:18	development. You are being
[421] 26:20	professionally developed as a scholar to
[422] 26:23	work with other scholars to uh work with
[423] 26:27	sources to receive um you know to be
[424] 26:33	able to ask those awkward questions when
[425] 26:37	um uh in oblique ways in classrooms. Um,
[426] 26:41	you know, there's there's a whole skill
[427] 26:44	set you are learning
[428] 26:46	that has nothing to do with information
[429] 26:49	transfer.
[430] 26:52	You can
[431] 26:54	programs are fantastic for information
[432] 26:56	transfer. That's what they're good at.
[433] 27:01	Unfortunately,
[434] 27:03	information transfer is the small piece
[435] 27:06	of the pie when it comes to graduate uh
[436] 27:09	programs.
[437] 27:10	So you're missing out on
[438] 27:14	70% of the of your education
[439] 27:19	if you take an online graduate degree
[440] 27:22	because it's not giving you the
[441] 27:25	professional development. It's only
[442] 27:27	giving you the information transfer.
[443] 27:30	So
[444] 27:33	yeah, Dark Blade has it right here. uh
[445] 27:36	you can get a hundred on each assignment
[446] 27:38	and test and your teacher still might
[447] 27:40	have no idea who you are. Yeah,
[448] 27:44	that's a problem
[449] 27:47	because here's the thing. One of the
[450] 27:49	things you are expected if you do an MA
[451] 27:52	program is you're going to need those
[452] 27:54	teachers to write you recommendations
[453] 27:57	to go on if you want to go on. If your
[454] 28:00	teacher has no idea who you are, doesn't
[455] 28:04	know how you work as in in a in a
[456] 28:07	professional academic setting,
[457] 28:10	uh he's going to be who are you?
[458] 28:15	What did you do?
[459] 28:18	So, yeah, it's just it's not a good
[460] 28:22	thing. And I think I think a lot of
[461] 28:24	people are cheating themselves by taking
[462] 28:26	these online masters programs. They're
[463] 28:29	not really all that great.
[464] 28:32	Okay. So, uh it is very less than ideal.
[465] 28:40	Uh Daniel Hogan says
[466] 28:44	yeah. Uh he goes agree with Dr. Faulk on
[467] 28:47	online MA less than idea. Had a
[468] 28:49	face-to-face program from 2018 to 2020.
[469] 28:54	Last nine months were in lockdown. very
[470] 28:56	different program. Remote online only
[471] 28:59	would be even worse. Yeah, it would be
[472] 29:03	uh I was fortunate to have all my uh
[473] 29:06	graduate education face to face. So, um
[474] 29:10	I think I think it's really I think it's
[475] 29:12	really unfortunate when people think
[476] 29:15	they're getting the same kind of degree
[477] 29:17	from an online program that they're
[478] 29:19	getting from a face tof face program.
[479] 29:20	It's not the same.
[480] 29:22	Well, I mean, we had we uh Mrs. producer
[481] 29:25	and I had a discussion tonight about
[482] 29:29	some of the let's just say
[483] 29:31	extracurricular behavior of one of our
[484] 29:34	professors.
[485] 29:36	You know, we wouldn't have known that if
[486] 29:39	we hadn't um if we hadn't uh known this
[487] 29:45	person in that professional setting, if
[488] 29:48	that wasn't face to face education.
[489] 29:51	So,
[490] 29:56	so, uh, yeah, it's not ideal.
[491] 29:59	Okay. Uh, let's move on. The next one
[492] 30:01	here, uh, Striding Hermit, uh, uh, gives
[493] 30:05	us a $5 super chat. Thank you very much
[494] 30:07	for the super chat. Happy Friday, Fall
[495] 30:09	Clan. Happy Friday to you. And he has a
[496] 30:12	writing question. What motivates you or
[497] 30:16	inspires you to write?
[498] 30:20	Insomnia.
[499] 30:23	Actually, what inspires me to write? Uh,
[500] 30:26	well, I write a lot when I have
[501] 30:28	insomnia. I mean, I'm I'm an insomniac,
[502] 30:30	so um I uh do have a tendency to write a
[503] 30:35	lot when uh I can't sleep. But, um what
[504] 30:41	really motivates and inspires me to
[505] 30:43	write is getting into the mind of the
[506] 30:45	characters. I'm I'm a I'm a I'm a
[507] 30:48	character junkie. I I love interesting
[508] 30:51	characters. I love how throw a situation
[509] 30:54	at a a a character and see how they
[510] 30:58	react.
[511] 31:00	For me, that's it's it's like it's like
[512] 31:03	building a little ant farm. You set up
[513] 31:05	the ant farm and then you see how the
[514] 31:06	ants behave.
[515] 31:09	So for me, writing is kind of like that
[516] 31:12	where I have a theme, I have a I have a
[517] 31:16	problem, I have characters, and I see
[518] 31:19	how my characters react to the problem
[519] 31:21	within the confines of the of the theme.
[520] 31:24	So for me,
[521] 31:26	uh what really really motivates me is
[522] 31:29	basically seeing how my characters
[523] 31:32	behave in the world that I create for
[524] 31:34	them. So hope that helps. Thank you very
[525] 31:38	much for the super chat. Very much
[526] 31:39	appreciated.
[527] 31:41	But it is still insomnia.
[528] 31:48	Okay.
[529] 31:51	A ministries for $4.99. Thank you for
[530] 31:53	the super chat. He asks, "How did the
[531] 31:56	pharaoh govern Egypt when traveling to
[532] 31:58	perform religious duties?"
[533] 32:00	He had vizers
[534] 32:02	and a bureaucracy, a really really big
[535] 32:06	bureaucracy.
[536] 32:08	A lot of Egypt could just run itself to
[537] 32:11	be honest. Uh if the king wasn't on the
[538] 32:14	throne or he was absent or he was um
[539] 32:19	lost his marbles,
[540] 32:21	there was a massive
[541] 32:24	bureaucracy that kept Egypt running.
[542] 32:28	And the second in command, the vizier
[543] 32:31	was essentially Pharaoh when Pharaoh was
[544] 32:35	away.
[545] 32:37	Uh he had the power of the seal ring. He
[546] 32:40	could enact laws um again at the uh at
[547] 32:45	the um Pharaoh's discretion.
[548] 32:48	But uh when the pharaoh was uh away, for
[549] 32:52	example, he would have to travel the
[550] 32:54	temples of Egypt performing uh
[551] 32:56	ceremonies uh rituals at every major
[552] 33:01	uh temple along the Nile. And in that
[553] 33:03	event, it would be the visitors.
[554] 33:06	Sometimes there was one visitor,
[555] 33:07	sometimes there was two visitors who
[556] 33:09	would manage the affairs of state while
[557] 33:13	he was on religious duty.
[558] 33:15	The short answer is he was good at deleg
[559] 33:18	>> Yeah, he was good at delegation.
[560] 33:19	Exactly.
[561] 33:25	>> Uh Ryan Cohen asked the follow-up
[562] 33:26	question.
[563] 33:28	Was there anything that only the Pharaoh
[564] 33:31	could do?
[565] 33:33	Yes, there were things only the Pharaoh
[566] 33:36	could do.
[567] 33:38	Um
[568] 33:41	there was um
[569] 33:45	um like for example he couldn't uh the
[570] 33:49	pharaoh could not uh only only the
[571] 33:51	pharaoh was allowed to um
[572] 33:55	act as high priest of every cult in
[573] 33:58	Egypt. So a vizier could not fill that
[574] 34:00	role for him. He had to do that himself
[575] 34:03	and he usually had a great queen with
[576] 34:06	him to do it. So this was this was one
[577] 34:08	of the rules of the pharaoh and the
[578] 34:10	great queen is they had to um both
[579] 34:15	um
[580] 34:18	um do this. Okay. So
[581] 34:22	uh it's one of those things where you
[582] 34:24	just um only the pharaoh could be could
[583] 34:27	fill that religious duty because the
[584] 34:30	pharaoh was not only the military
[585] 34:32	dictator, he was also the high priest of
[586] 34:35	every cult in Egypt.
[587] 34:37	So that's something that was only the
[588] 34:40	pharaoh could do. The vizier couldn't do
[589] 34:41	that. Wasn't permitted to do that. Uh
[590] 34:46	only the pharaoh could designate an
[591] 34:47	error.
[592] 34:50	Uh he only the pharaoh could could for
[593] 34:52	example do the um uh um appoint a crown
[594] 34:56	prince. A vizier could not appoint a
[595] 34:58	crown prince.
[596] 35:05	Uh, Dark Blade goes, "Were Vizier
[597] 35:07	allowed to start wars with other
[598] 35:08	nations?" No. No. Uh, Vizier was not in
[599] 35:12	command of the military either.
[600] 35:15	So, um, a Vizier could mount a defense
[601] 35:19	easily. I mean, the Vizier were allowed
[602] 35:21	to mount a civil defense. So if there
[603] 35:22	had been an invasion while the um while
[604] 35:26	the pharaoh was on um on uh ritual um
[605] 35:31	yes the the f the vizers could mount a
[606] 35:33	civil defense but he couldn't they
[607] 35:36	couldn't say go to war and and they
[608] 35:38	couldn't start campaigns of their own.
[609] 35:41	So the power of the visitors was
[610] 35:42	actually quite limited. But in every
[611] 35:45	other respect they had the authority of
[612] 35:47	Pharaoh. They could enact laws. They
[613] 35:50	could do um adjudicate taxation
[614] 35:52	disputes. There's a lot that they could
[615] 35:54	do that say
[616] 35:57	um the normal day-to-day operations of
[617] 35:59	the court.
[618] 36:01	So
[619] 36:03	hope that helped. Um, thank you very
[620] 36:06	much for that uh follow-up question and
[621] 36:10	um uh at Mysteries, thank you very much
[622] 36:12	for that super chat.
[623] 36:19	Okay, next one here is from
[624] 36:23	Striding Hermit who asks a member
[625] 36:24	question here.
[626] 36:26	Uh, is it due to the powers and
[627] 36:28	principalities that we divide amongst
[628] 36:30	ourselves? No, it's not. It's because of
[629] 36:32	sin.
[630] 36:35	Not everything is demons and not
[631] 36:37	everything is the forces of darkness.
[632] 36:40	Some of it is us.
[633] 36:42	Good portion of it is just plain humans
[634] 36:45	being garbage to each other. You know,
[635] 36:49	sin is one of those things where, you
[636] 36:51	know, um
[637] 36:54	we do evil all on our own with with, you
[638] 36:57	know,
[639] 36:59	no regard to others.
[640] 37:02	And that's just the way evil is. It just
[641] 37:04	is that where you you're doing evil to
[642] 37:08	somebody else.
[643] 37:10	Um, and you know, it was one of those
[644] 37:14	things.
[645] 37:17	Okay. Uh, next one here. I see a couple
[646] 37:19	of follow-up questions here. Uh, Dark
[647] 37:22	Blade goes, "Could Vizier judge
[648] 37:24	criminals?" Uh, depends on the case.
[649] 37:27	Uh if the case is a um
[650] 37:33	if the case is say a um either a civil
[651] 37:38	matter or a um
[652] 37:42	a financial dispute or something along
[653] 37:44	those lines, then yes, a visier could
[654] 37:47	adjudicate that. If it's a capital
[655] 37:50	offense,
[656] 37:52	like for example, stealing the bronze
[657] 37:54	toothpick of the king, that's a capital
[658] 37:57	offense that could get you the death
[659] 37:58	penalty.
[660] 38:01	Or
[661] 38:02	um an attempted se uh essay uh outside
[662] 38:07	of one's social class,
[663] 38:09	that is a capital offense. In the case
[664] 38:12	of capital offenses, vizier could not
[665] 38:15	judge that. That was something that only
[666] 38:17	the king could judge. So if it involved
[667] 38:19	life or death then it's a it's a matter
[668] 38:22	of the king to to judge. If it's if it's
[669] 38:26	a pettier ma matter then the vizier can
[670] 38:28	more than uh is able to judge that.
[671] 38:32	Annie Manu asks were there two vizier?
[672] 38:34	It depends on what period of time. Some
[673] 38:38	periods had two vizier some periods have
[674] 38:39	one. The mill kingdom yeah there was one
[675] 38:41	vizier. During the um new kingdom there
[676] 38:44	was two. So um old kingdom where would
[677] 38:48	also have been presumably one vizier. So
[678] 38:51	this is just going to depend upon what
[679] 38:53	what time period we're talking about. So
[680] 38:57	um essentially as the kingdom grows and
[681] 38:59	gets bigger the administrative apparatus
[682] 39:02	needs two vizier at that point. So um
[683] 39:07	during the middle kingdom it's important
[684] 39:08	to remember that middle kingdom and
[685] 39:10	earlier the Nile Delta wasn't so
[686] 39:13	occupied. It was more of a a hinterland
[687] 39:16	where that was used as a um hunting and
[688] 39:19	fishing reserve more than it was a place
[689] 39:23	where people settled and occupied. But
[690] 39:26	when you get into the new kingdom, it
[691] 39:28	becomes heavily occupied and at that
[692] 39:30	point the land sort of divides
[693] 39:33	into administrative zones. So even
[694] 39:36	though the lower the delta had always
[695] 39:38	been considered to be lower Egypt, it
[696] 39:41	was a lot more sparsely occupied than
[697] 39:43	most people realize right up until the
[698] 39:46	say the new kingdom period.
[699] 39:51	Okay, let's move on the next one here.
[700] 39:58	Uh 18 ministers for 199. Thank you for
[701] 40:01	the super chat. Thoughts on the folk
[702] 40:03	writing unit?
[703] 40:05	Okay, for those of you who weren't uh
[704] 40:08	tuning in last year or sorry uh last
[705] 40:10	year, last week, might as well be a
[706] 40:14	year, right?
[707] 40:16	Uh a folk writing unit is 384 words.
[708] 40:21	Now, what is a why 384 words? Uh this
[709] 40:26	was a a a a convention that a something
[710] 40:30	that I developed when I was doing my my
[711] 40:32	PhD thesis. um a PhD thesis at um the
[712] 40:37	University of Liverpool is 100,000
[713] 40:39	words. So how long would it take me to
[714] 40:44	write a 100,000 words in or how how many
[715] 40:47	words would I have to write every day if
[716] 40:51	I wanted to complete my PhD of 100,000
[717] 40:53	words in 10 months? It worked out to
[718] 40:56	about 384 words. Now, this is really if
