[0] 0:00	e
[104] 15:32	the same room Dr David Faulk in the same room is with Dr Fulk or David Fulk funny
[105] 15:37	that have you seen the two in the same room No but somebody has
[106] 15:48	one oh yes well we been in the same room
[107] 15:53	yes well yeah we have been in the same room
[108] 16:01	okay so um yeah pompe got it in the end
[109] 16:08	but but he didn't get like insta death and that's what a lot of people
[110] 16:13	talk about here yeah yeah he got it in the end I mean he was assassinated but
[111] 16:22	um but uh yeah it was uh
[112] 16:31	uh so it was one of those things we don't actually have any records of anybody dying in the holy holies okay
[113] 16:38	there's no record of anyone ever dying in the holy holies uh this whole idea that
[114] 16:46	somebody uh that they they'd have to wrap a rope around your foot of the high priest when he went in that's just myth
[115] 16:52	that's a cool story cool story not true Okay so
[116] 17:00	um it seems that entering the holy of holies was less serious than actually
[117] 17:05	touching the Ark of the Covenant in an improper way
[118] 17:11	so that's about all we can say about that so I hope that helped thank you
[119] 17:16	very much for the question very much appreciated hyack asks wouldn't death in
[120] 17:25	the holy of holies make it unclean yes it would yeah
[121] 17:30	that's a problem too yeah it would make it ritually unclean
[122] 17:36	so it's probably why God didn't kill people in the holy
[123] 17:47	holies yeah yeah dead body icky icky
[124] 17:52	yes okay let's get get to the super
[125] 18:00	chats first cuz we got a lot of them tonight a lot of super chats so we'll probably be buzzing through these a
[126] 18:06	little faster than normal I want to thank Jack Ray for his uh gift of 10 uh Egypt in the Bible uh
[127] 18:15	uh memberships thank you very much your support of the channel means a lot to us it helps us a lot so thank you so very
[128] 18:25	much I see Addison we's in the house
[129] 18:32	all right next Super Chat here is from Andrew Tinsley for $5 thank you for the Super
[130] 18:38	Chat do we know what ancient Egyptian music sounded like would the would the
[131] 18:43	Psalms as originally performed how sounded similar to it uh we don't know
[132] 18:48	exactly what Egyptian tunings were uh we have some ideas of their
[133] 18:56	instruments they'll use a timberl which is kind of a Shaker uh they will use they had the
[134] 19:04	liar which is a harp harp-shaped object um they had
[135] 19:10	drums but we don't exactly know how they tuned it uh we do know that the uh
[136] 19:19	later uh say Arabic period uh Egyptian scales were slightly different
[137] 19:27	than the Western ones so it's it doesn't it doesn't follow the same scale uh
[138] 19:34	progression so we're not exactly sure if that was an Arabic thing or if that was
[139] 19:41	an Egyptian thing
[140] 19:47	but um Pou says everyone guesss is pentatonic scale because it's almost a
[141] 19:52	human Universal the the the the Arab the Egyptian scale though is different it's not pentatonic
[142] 20:00	so um and I'm not my I'm not great on music theory anyway but I just happened
[143] 20:06	to know that it wasn't pentatonic uh so even though everyone
[144] 20:12	guesses pentatonic it probably wasn't but we're not exactly sure what it was
[145] 20:19	so yeah would be great if it was pentatonic but uh we're we're just not
[146] 20:25	sure we don't know for certain the scales just seem to be different and in
[147] 20:31	what way are they different is hard to say so we just don't have enough
[148] 20:37	information
[149] 20:43	here okay so thank you very much for that super chat I hoped it helped unfortunately we just don't know on this
[150] 20:51	case uh I want to thank TBD for becoming a paid member at the SE Seth level thank
[151] 20:56	you very much for doing that we really appreciate it uh it does help to
[152] 21:02	basically stretch Jack R's gifts to people who haven't yet become members so
[153] 21:07	we appreciate it and thank you so very
[154] 21:13	much tpd for $5 thank you for the Super Chat uh sponsoring uh
[155] 21:20	kavar would the ancient Israelites have have had a similar gen genetic makeup to
[156] 21:26	the ancient Canaanites during the time of The Exodus and Conquest yes they would have okay and there's a couple
[157] 21:33	reasons why the ancient Israelites would have had a similar genetic makeup
[158] 21:39	okay the first reason is they were amorites and amorites originally come
[159] 21:46	from that Norther that that that area of of Northern Levant Syria okay so um and
[160] 21:56	then from there they spread all over the place okay so there was that Amorite ancestry
[161] 22:04	in the Israelite lineage that has that Neolithic lentine DNA which is shared
[162] 22:11	with the Canaanites uh the second reason is once they got into the promised land they
[163] 22:19	entered marriage with the Canaanites they didn't wipe out all the Canaanites they married them which even though the
[164] 22:26	Bible warns that's what they did anyway way so it's one of those things where they
[165] 22:33	got a kind of a double dose of Canaanite DNA first from their Amorite ancestry
[166] 22:38	and then from their intermarriages so genetically they should look almost exactly the same as
[167] 22:45	Canaanites that's that doesn't that doesn't show you that that there's a lot
[168] 22:50	of of differentiation here but it does show that there is a common ancestry and a common
[169] 22:55	pedigree so I hope that helps thank you very much for the Super Chat very much appreciate and thank you for sponsoring
[170] 23:01	that
[171] 23:07	question okay the next one here is from TBD for $5 thank you very
[172] 23:13	much for the Super Chat how do large ages work when they are stated in narrative and not
[173] 23:19	genealogy for example Abraham's age when ishmail and a Isaac were born uh very
[174] 23:25	much the same way where you would have a line of Abrahams not just one so it it's
[175] 23:33	probably the case that like Abraham lives to 250 I mean that's a really
[176] 23:39	really long time so there's probably more than one Abraham so there's
[177] 23:45	probably a line of Abrahams so it happens the same in narratives though as it does in
[178] 23:50	genealogies so it's it's very very similar in in its treatment and approach
[179] 23:56	because again the tribal Chief is inheriting the line he's inheriting the
[180] 24:02	line including the age 175 okay I stand
[181] 24:13	corrected yeah so you know he lives he lives to a long
[182] 24:21	time but he he's probably representing a line of Abrahams not just Abraham
[183] 24:30	so yeah take that
[184] 24:39	comment It Go Pack says Pharaoh having H
[185] 24:45	H having the hits for Abraham's old wife tell me how that works yeah yeah
[186] 24:51	exactly no uh that's that's not that's not how this works okay
[187] 25:00	yeah I mean I I've heard a lot of a lot of people go say you know well she looked young for her
[188] 25:06	age yeah um Pharaoh with his choice of of wives
[189] 25:15	yeah um no
[190] 25:21	no let's get real about this
[191] 25:36	okay so anyway I hope that helps thank you very much for the Super Chat very much
[192] 25:45	appreciate uh Daniel for $5 asks which prophetic books do you think were
[193] 25:51	written before the Exile uh I think I the Major Prophets particularly um Isaiah and Ezekiel
[194] 25:59	so that's where I would start with is I would say those two books probably stand
[195] 26:04	you know as your preeminent prexil books
[196] 26:09	and frankly most people think this in the scholar Community uh you do see this
[197] 26:15	there's some debate whether uh there was a first a second Isaiah and some people will say that first Isaiah was written
[198] 26:22	pre- Exile second Exile or second Isaiah was post Exile but um
[199] 26:29	there's very little um very little debate as to whether first Isaiah was
[200] 26:35	prexil so that's what I kind of think here is that uh Isaiah and Ezekiel were both
[201] 26:43	prexil so so basically the Major
[202] 26:51	Prophets see anything else we consider um
[203] 27:01	yeah that would be probably my take on it uh Ecclesiastes would probably be pre
[204] 27:12	Exile and a couple of the minor profits might be pre exiled
[205] 27:19	but but I'm really not too sure the dating of those
[206] 27:25	so uh that's where I'd stand on that thank you for much for the Super Chat very much appreciate hope that
[207] 27:34	helps okay uh tbd's 5-year-old for $5 thank you for the Super Chat I hope you
[208] 27:41	like this picture uh love you guys always we have one question why did God create the world to have
[209] 27:49	relationship uh our God is a God that thrives on relationship he he wants to
[210] 27:55	have relationship with his creations and this this is how he he manifests his
[211] 28:00	love is by creating he creates beings that he can have relationship with so
[212] 28:07	it's one of those things that well to have relationship he has to do make
[213] 28:12	created beings um I mean he he has relationship with the Trinity the Trinity hasn't but
[214] 28:18	he wants more relationship which is why he made the spirit Critters it's also why he made
[215] 28:24	us is to have relationship so it's a manifestation of his love so I
[216] 28:33	hope that helps thank you very much for Super Chat very much appreciate
[217] 28:41	it and I got a super sticker from tbd's 5-year-old 2 for 149 thank you for the
[218] 28:47	super sticker uh unicorns with with rainbows
[219] 28:57	lovely fantastic uh there is a picture of a unicorn on
[220] 29:05	the um on the black Obelisk of Shaner III it's really uncanny yeah there is a
[221] 29:13	there is a unicorn on that on that Stila so and it's being brought to Shaner as
[222] 29:21	tribute and uh BC plot twist we're gods of imaginary
[223] 29:28	friends could [Laughter] [Music]
[224] 29:34	be yeah that could be wouldn't deny
[225] 29:40	it okay so um uh yeah we do actually see a
[226] 29:47	unicorn on a ancient inscription uh who's Obelisk a Shaner
[227] 29:54	III it's the black ob Obelisk of Shaner III
[228] 30:00	um it's actually housed at the British museum I
[229] 30:05	think um but there's a copy of it in the um in the uh Chicago Museum if you want
[230] 30:13	to see it so yeah it's pretty cool it's pretty
[231] 30:20	cool all right next Super Chat here oops that off is from
[232] 30:28	Daniel for $10 thank you for the Super Chat do you think IP's gospel
[233] 30:34	reliability Series has been good or does it need Improvement I haven't watched it
[234] 30:40	honestly uh um I don't actually watch all of IP's
[235] 30:48	content um so I I really don't know uh how good
[236] 30:56	it is or not again I don't watch everything he does he's pretty careful though so I I tend to like his stuff uh
[237] 31:04	he does work on it a lot so and he does consult experts often when he does these
[238] 31:12	things doesn't always which you should do but most of the time he does so um I
[239] 31:21	would say overall um linguist ammo says here
[240] 31:29	uh watched his Matthew video and it was pretty good okay I'll take his word for it
[241] 31:35	um so um Slammer says
[242] 31:44	except uh when he gets to the Greco Roman bios yeah I just I said I haven't seen it so I don't
[243] 31:52	know so can't I can't really comment on this one way or the other because I haven't watched
[244] 31:58	so but hope that
[245] 32:06	helps uh yeah he's usually very reliable linguis ammo uh as said he has changed
[246] 32:14	his opinion on the Sodom and Gomorrah piece too finally that took a
[247] 32:19	lot that took a lot to uh yeah that Sodom and Gomorrah piece
[248] 32:26	wasn't good
[249] 32:35	so uh yeah I'm glad he's changed his mind on that all right so let's get to the next
[250] 32:42	one here
[251] 32:50	oops and the next one here is
[252] 32:55	from uh Daniel for $5 thank you very much for the uh Super Chat he says any
[253] 33:01	advice on writing sermons yes A good sermon takes 15 to 20 hours
[254] 33:07	to write so uh I
[255] 33:13	would take your time you're going to be spending most of that 15 to 20 hours
[256] 33:19	just understanding your text you just you need to to go through
[257] 33:25	that text and go through it in the original Lang anges okay yeah don't use AI yeah that's not a
[258] 33:32	good place to start uh but go through the text in the
[259] 33:37	original languages and really sort of piece out what it's
[260] 33:43	saying then use at least five
[261] 33:49	commentaries so there
[262] 33:54	is it's a lot of work it's a lot of work to put together a sermon it takes a long
[263] 34:00	time as I said 15 to to 20 hours so yeah this is why the Pastoral
[264] 34:08	profession is a full-time job because you're spending all that
[265] 34:14	time in the scriptures really trying to piece it out
[266] 34:20	really trying to engage it um trying to figure out as I said most of your time's
[267] 34:25	going to be trying to figure out what is the the Holy Spirit saying through the
[268] 34:31	text and then and the one other thing one other thing I would add to this
[269] 34:37	stick to your text okay stick to your text you know
[270] 34:44	and it's basically uh read the text explain the text apply the text it's as simple as
[271] 34:51	that but don't go outside of your text you know you might yeah you might want to
[272] 34:57	occasionally do a um reference another passage somewhere else in the Bible that
[273] 35:03	applies to your text but stick to your text it's a lot stronger your your
[274] 35:08	sermon will be a lot lot stronger if you just stick to the
[275] 35:18	passage yeah this is why expository preaching is much Superior to
[276] 35:25	topical because if you stick to your passage you're going
[277] 35:30	to um you're going to basically use what
[278] 35:35	the holy spirit is saying without proof texting the problem with topical sermons
[279] 35:42	is they tend to proof text so you're taking passages out of their context and then you're not getting
[280] 35:50	God's word you're getting you the word of the pastor and when you preach you really want to be focused on
[281] 35:57	communicating what God is saying in the text so that's my advice for for writing
[282] 36:05	sermons again uh it's going to take you 15 to 20 hours to do because this is a
[283] 36:10	lot of work you're going to most that's going to be spent on understanding your text
[284] 36:17	read the text
[285] 36:23	um yeah who shapes the barber yeah yeah but
[286] 36:34	um yeah as my producer said here this is how the pastor grows in relationship with God okay is by doing this
[287] 36:42	expository preaching uh poule adds here expository
[288] 36:49	preaching Pro helps protect the congregation from peculiar soap boxes it does yeah yeah don't go talk topical I
[289] 36:58	mean there's a couple occasions where topical sermon is okay but for the vast
[290] 37:03	majority of your preaching preach
[291] 37:11	Expositor okay so I hope that helps thank you very much for the Super Chat very much appreciate
[292] 37:20	it okay uh Tom W for $2 thank you very much for the Super Chat do you you think
[293] 37:28	David wrote the davidic Psalms I think he wrote some of them um I'm not sure if
[294] 37:33	he wrote all of them but he I think he definitely wrote some of them they're
[295] 37:38	very old they're very old so that would not surprise me if he wrote
[296] 37:44	them but there's a lot of Psalms that were written by others too so it's
[297] 37:49	probably not just David who wrote them but uh a lot of Psalms were written by
[298] 37:55	David so again I think I think uh a lot of them did I think some may have been
[299] 38:03	um um written by others but you know uh I think it's one of those those
[300] 38:10	cases where David had time on his hands and he could write
[301] 38:16	okay so why not I I haven't seen a really great
[302] 38:22	argument against davidic authorship of of the Psalms so
[303] 38:28	so uh I have I have I I have every expectation that he would have written
[304] 38:33	at least some of them all
[305] 38:41	right next one here is from Tom wanek for $2 thank you for the
[306] 38:46	Super Chat any thoughts on Chad bird ulti scholar on YouTube Don't not
[307] 38:52	familiar with him I haven't watched his material so not having watched his material is it's hard for me to
[308] 39:00	say excuse me okay so I can't comment on his
[309] 39:05	material because I've not seen it Daniel uh for $10 thank you for the
[310] 39:12	Super Chat do you think Peter wrote second Peter if so why is it so similar to
[311] 39:19	Jude yes I think he did write it uh but I think he used in a Manu Anis too okay
[312] 39:27	so I think he had a secretary help him out on this
[313] 39:33	so so I think this is one of those cases where say probably first Peter was
[314] 39:38	written by Peter himself but second Peter was written with the health of an em manues
[315] 39:46	so were these entirely Peter's words is hard to say was Peter influenced by Jude could
[316] 39:54	be uh it's it's it's difficult to say exactly um what the relationship here
[317] 40:02	between second Peter and Jude is at the same time too uh I don't have
[318] 40:08	any reason to to doubt the authorship other than just to look at the styles of
[319] 40:13	the two Epistles and you know you really do get the sense that they're written by
[320] 40:19	different people but that can also as I said be explained by emmanu Wiis a
[321] 40:24	scribe that helped them out which is very common in that day and age um this this happened frequently where a and and
[322] 40:32	we even see this done by the prophets prophets do this too where you have the
[323] 40:37	prophet speaking and the Scribe taking it all down so you're going to get different
[324] 40:45	styles of say Greek between the two because of
[325] 40:50	that so I hope that helps I do think though that second Peter was written by Peter
[326] 41:09	okay 18 Ministries from 1999 thank you for that generous Super Chat thanks to the context on how a
[327] 41:16	functional creation has no say in the origins debate unlike material creation but I still didn't get what a
[328] 41:24	functional creation is laugh out loud what is it mean the designation or
[329] 41:29	purpose identity um that's going to be difficult to
[330] 41:36	say um the the general idea of a
[331] 41:41	functional creation is
[332] 41:47	that in the created order you're designating certain things to have a
[333] 41:53	function that's basically in a nutshell you're not really say doing it from
[334] 42:00	scratch but you're basically saying hey I made this this is how I'm assigning it
[335] 42:07	so it's God more or less basically putting his stamp on the creation creative order and said I did this for
[336] 42:14	this purpose so it's it's it's something that's meant
[337] 42:20	to to specify the ends or Theology of a
[338] 42:27	thing so essentially what's the purpose of creation
[339] 42:34	okay so so it's basically God say taking his creation and basically saying I have
[340] 42:40	designated for this this like the land I've created the land and I am
[341] 42:47	designating it for the land animals I created the sea I'm designating that for the sea
[342] 42:54	creatures so that's sort of the purpose of functional
[343] 43:00	creation then he creates the sea creatures and says okay I'm going to fill that that that space now with
[344] 43:06	creatures and that are going to function in there so the purpose of the sea
[345] 43:11	creatures is to fill the sea
[346] 43:18	so so that's really what um that's really what functional creation is it's
[347] 43:25	just that assigning that purpose to Creation it's not so much to explain the
[348] 43:33	order of creation so that's why we have to make that distinction here between say a
[349] 43:41	functional creation and a um um a scientific creation as it
[350] 43:51	were so I hope that helps thank you very much for the Super Chat very much appreciated
[351] 44:01	uh 18 Ministries for 499 thank you again how should we understand the distinction of clean versus unclean animals in a pre
[352] 44:09	Israelite context in Genesis 7:2 right let's pull that
[353] 44:14	up take a look okay
[354] 44:22	Genesis 7 verse two six seven all right and this is the
[355] 44:30	instructions to Noah you shall take with you of every clean Animal by sevens male
[356] 44:35	and female and of the animals that are not clean to a male and his female all
[357] 44:42	right I would I would say here that this is a
[358] 44:49	retro uh [Music] basically I don't think Noah had a
[359] 44:57	strong dis distinction of clean and unclean but again this is setting up
[360] 45:04	this Genesis 1 through 11 is setting up the whole Temple Sacred Space kind of
[361] 45:12	rubric so that's what's being set up here is Sacred Space so for that purpose there's going
[362] 45:21	to need to be that distinction of clean and unclean so so I think what's happening
[363] 45:28	here is that it's being retroed into the text when uh Moses's scribes are writing
[364] 45:35	this out they're basically saying to the
[365] 45:41	people of Israel who are reading this okay there's going to be a lot more emphasis placed upon clean than
[366] 45:50	unclean so when we load the animals onto the bark here onto the uh onto the ark
[367] 45:57	you're going to have the clean ones in sevens so they get a leg up and the unclean
[368] 46:05	impairs and they just take their chances okay so this is this is really a way of
[369] 46:14	saying and because we have to keep in mind something too about the arc as well
[370] 46:19	it's a sacralizing converter okay the arc is a sacralizing converter it's meant to make things
[371] 46:28	ritually appropriate for sacred use okay so when you get the animals
[372] 46:35	aboard you get the clean ones but they still have to be made ready for sacred use likewise for the unclean animals
[373] 46:43	same deal but because the unclean animals are not going to be used in Temple
[374] 46:50	ritual those are just sort of prepared and and the numbers don't have to be
[375] 46:56	sort of as heavily skewed in that direction
[376] 47:01	so I think this is just a retr essentially I don't think I don't think Noah really thought about this in terms
[377] 47:08	of cleaning I don't think he had those categories when he loaded the arc but it's one of those things that Moses is
[378] 47:17	sort of tweaking the story for his ritual use so
[379] 47:30	so anyway I hope that helped thank you very much for the Super Chat very much appreciate
[380] 47:37	it uh 18 Ministries for 199 uh thank you for the Super Chat
[381] 47:43	thoughts on the serpent as a chaos Monster Genesis 3 uh he's not a chaos Monster okay he's
[382] 47:50	not a chaos Monster uh he's a cheram okay now this is going to we're going to
[383] 47:56	have to get get into here the difference between what is a cherubim and what is a chaos
[384] 48:02	Monster a chaos Monster is a side effect of
[385] 48:08	creation when God creates he doesn't just create material things he creates
[386] 48:17	material and immaterial in a sort of simultaneous creative
[387] 48:23	act so when he does this there's these side
[388] 48:29	effects and you've got the you've got the material creation but you also have
[389] 48:36	the chaos monsters that have resulted as the side effect of that
[390] 48:42	creation that eventually need to be vanquished
[391] 48:47	because they eventually cause creation to fall down this is where the also the say the
[392] 48:54	Council of gods comes in okay those chaos monsters have to be
[393] 49:01	eliminated and replaced you can't just eliminate those chaos monsters because they're there as
[394] 49:09	a part of creation without the chaos monsters creation falls down so you need the Council of gods to
[395] 49:17	prop up the creation after the chaos monsters are
[396] 49:22	eliminated so this is different from a
[397] 49:27	cheram so the serpent is a cheram and he's
[398] 49:32	essentially uh he's designated as the sort of uh spirit
[399] 49:39	Critter that keeps Sacred Space holy basically purify Sacred Space in an
[400] 49:47	inward Direction he's they're different than seraphim seraphim basically makes
[401] 49:52	space holy from the outside so they keep out Unholy things so sarap keep out holy
[402] 49:57	things a cherub them keep things within their wings holy
[403] 50:04	so Emily toescu says a threshold Guardian oh yeah oh yeah definitely it's a threshold Guardian oh they both are
[404] 50:12	both a seraphim and the cherubim are threshold Guardians they keep they keep
[405] 50:17	space clean as I said one by blasting everything unclean with fire to keep it
[406] 50:24	from coming in the other one just sort of finds specks of impurity and just picks
[407] 50:30	it out so so the serpent is one of these um
[408] 50:38	spirit creats that Mak space holy that was his job and it's a different job than say
[409] 50:46	the Divine Council the Divine Council they their job was to prop up creation
[410] 50:52	after the chaos monsters were eliminated so
[411] 50:57	sort of bringing this all back the chaos uh the serpent is not a
[412] 51:03	chaos Monster he's not a chaos Monster he's something else he's a different kind of spirit Critter but the chaos
[413] 51:09	monsters are also Spirit Critters and when they're eliminated they need the uh the that's
[414] 51:17	where they sort of the the the Council of gods comes and it has to take their place
[415] 51:24	now when they refuse to to do this that's where you get the rebellions going on okay
[416] 51:35	so Mama Spirit creators and Chaos monsters should be Channel lore we need artwork
[417] 51:43	of a spirit Critter versus a chaos Monster [Laughter]
[418] 51:48	[Music] battle yeah in my cop's free time
[419] 51:57	[Laughter] yeah we would do more merch on this
[420] 52:03	stuff if if it's sold
[421] 52:08	better okay so I hope that helps thank you very much for the Super Chat very much
[422] 52:16	appreciated uh at Ministries for $499 thank you very much for the Super Chat John Walton says that the sin in Genesis
[423] 52:23	114 isn't Pride could you EXP explain that point am I off Bas in understanding
[424] 52:29	it as greed selfishness rather let's take a look at the
[425] 52:36	passage Genesis 11
[426] 52:41	verse4 and this is at Babel and verse four reads and they said
[427] 52:47	come let us build for oursel a city and the tower whose top will reach into
[428] 52:53	heaven and let us make for ourselves a lest we be scattered abroad over the
[429] 52:59	face of the whole earth okay
[430] 53:05	now I don't think it's pride and I and I will agree with him and I don't know
[431] 53:10	what he said about this so I'm going to I'm I'm kind of doing this off the cuff
[432] 53:16	I don't know what Walton said about this per se so I can't comment on what he said
[433] 53:23	but it does defy Genesis
[434] 53:28	91 which is the command to be fruitful and multiply and fill the
[435] 53:33	Earth so they're supposed to spread out so it does show a lack of trust so
[436] 53:41	these guys are basically expressing a kind of fear they're a lack of faith
[437] 53:50	so so they're basically saying okay we're going to make this this this religion here
[438] 53:58	and in order to sort of you know boost our our
[439] 54:04	standing and um prevent us from getting scattered you know cuz they're thinking
[440] 54:11	okay if we get scattered we're going to be easy picking and uh we're going to fall essentially
[441] 54:17	we're going to we're going to be we're going to be um
[442] 54:24	um picked off one by one so there is very much a sense of
[443] 54:31	fear In this passage so
[444] 54:37	um I think it's one of those things where I'm not so sure if it's greed or selfishness that might be reading into
[445] 54:43	the text a bit but I do think um I do think a lot of this is just based
[446] 54:52	upon Disobedience okay they're supposed to SC matter they're supposed to fill the
[447] 54:58	Earth that's what they're supposed to do according to Genesis 9 so and they're not doing it so I don't think you even
[448] 55:05	have to go as far as to say this is sin or greed or selfishness it's just plain
[449] 55:10	Disobedience and I think that's all you need to to say about this so there is there are Temptations
[450] 55:18	here to sort of try to explain the text more than it needs to so I think this is
[451] 55:24	just one of those cases where yeah they just disobeyed pure and simple
[452] 55:30	disobeyed so I hope that helps thank you very much for the Super Chat very much
[453] 55:41	appreciated uh 18 Ministries from 199 why did God scatter them in Genesis
[454] 55:47	116 and 116 says behold they are one people and they all they all have the
[455] 55:54	same language this is and this is what they began to do and nothing which they
[456] 56:00	purpos to do will be impossible for them okay well first of
[457] 56:05	all he scatters them to fulfill the command in Genesis 9 and Genesis
[458] 56:14	9 reads uh verse one and God blessed Noah and his sons and said to them be fil
[459] 56:21	fruitful and multiply and fill the Earth so they're supposed to go out everywhere
[460] 56:27	they're supposed to fill the Earth they're not supposed to hang around one place so he scatters them to basically
[461] 56:35	fulfill that purpose of filling the Earth but he also confuses the language
[462] 56:41	too to delay their development that's the other thing there
[463] 56:49	is an element here of trying to delay them so uh
[464] 56:56	and we see this here in the uh last half of of verse six and this is what they
[465] 57:02	began to do and now nothing which they purpose to do will be impossible for
[466] 57:09	them yeah that should scare people silly I agree with my producer here yeah that should scare people
[467] 57:15	silly it's one of those things where if they have it doesn't say everything is
[468] 57:22	possible but it does say that if they put their m uh if they're speaking with one language and Mankind puts it mind to
