[0] 0:00	a
[141] 19:03	Downs are is a wind comes from the East and blows down on the waters causing the
[142] 19:11	height of the water to decrease and push and actually push the waters aside uh
[143] 19:18	wind set Downs have been observed in Lakes uh in the Eastern Nile it's also
[144] 19:24	been observed on the Mediterranean Coast there was a set down that actually hit
[145] 19:29	the Mediterranean Coast that caused the coastal tie to go down by
[146] 19:35	4T now if you understand how much waterers involved there that's that's quite a
[147] 19:41	bit so these are well-observed well-known phenomenon now um they are
[148] 19:48	it's a phenomenon that we find in the Eastern Nile uh so it all sort of fits into that
[149] 19:56	whole wind came from the East and blew the waters apart that we find in Exodus
[150] 20:04	14:21 okay so I hope that helped thank you very much for the super chat or
[151] 20:10	sorry the question non Super Chat question I hope that helped and there's been actually several scientific papers
[152] 20:16	on it you can go to plus one and you can find actual scientific papers on this so
[153] 20:22	this is this is a well-known meteorological phenomenon everyone accepts that it's a real meteorological
[154] 20:28	phenomena it's not even the remotely controversial at this point that this happens in the Eastern
[155] 20:33	n n Delta so thank you very much for the question very much
[156] 20:39	appreciated okay uh now on to the super
[157] 20:45	chats our first uh Super Chat here is from pennil Theologian for five British
[158] 20:52	pounds thank you for the Super Chat 1 Corinthian uh 1 Chronicles 21 1-6
[159] 20:58	2 Samuel 24 1-9 what is the problem with the census seems normal government
[160] 21:05	business to me why Satan in one text and God in the other now that's that's
[161] 21:11	actually a that's a complicated question right there okay
[162] 21:18	now kings were not supposed to take censuses and there's actually a reason
[163] 21:25	why um it it formed a kind of extra
[164] 21:32	taxation above what they were supposed to bring okay so it was an actual way of
[165] 21:39	getting harsher taxation out of people so it was there was two reasons why
[166] 21:45	governments took took sens uh censuses first was to tax the second was to go to
[167] 21:53	war so in the case of what David did he was not taking a census to
[168] 22:01	tax he was taking a census to gauge his ability to to do further War
[169] 22:08	campaigns and the problem here was that God had kind of said well you've you've
[170] 22:14	gone to war enough's enough okay you've you've achieved your goals it's you
[171] 22:20	don't need to expand anymore there was a time when the land
[172] 22:25	needed to be at peace too and David was just not that kind of King you know he
[173] 22:30	was the sort of King that was ever looking at more conquests building his kingdom and and
[174] 22:37	and keeping the war
[175] 22:45	going yeah yeah as my producer says in just War Theory it's articulated that the the
[176] 22:53	goal of of War always has to be long-term peace
[177] 22:58	and David was had lost sight of that when he took the census okay
[178] 23:07	so um keeps learning someone told me census was about loyalty check well it
[179] 23:14	is in the in in in a way in a way it's it's kind of
[180] 23:21	that because because when you go into a town and you take a census what you're doing is you're basically saying okay
[181] 23:28	who's the men here of eligible age that can go to war or who are the families
[182] 23:34	here that can be taxed either way by signing
[183] 23:40	up yeah you're showing your loyalty even though it's it's it's required it's it's
[184] 23:45	a mandatory loyalty check not an optional one so we have to be a little
[185] 23:51	careful what we mean by loyalty check here cuz it these were never optional okay when when a government
[186] 23:57	official came into your town and took took a census and you qualified to be have your name written on the role you
[187] 24:04	couldn't opt out it wasn't a matter that that you could opt out okay
[188] 24:11	so um so that was the problem here was that he was David was getting ready for
[189] 24:17	more war and God was trying to tell David
[190] 24:23	okay it's time time's up now the question why Satan in one
[191] 24:29	uh one text and God another Okay the reason is because of
[192] 24:36	um of um what's it called now primary versus secondary causation okay it's
[193] 24:43	it's the same reason When God says I want to put a a a stumbling into was it
[194] 24:50	uh king um I want to send a false prophecy to
[195] 24:56	such and such a king don't remember the name the king exactly and he asks for volunteers and one of the one of the uh
[196] 25:03	Council says yeah I'll do it I'll do this evil deed
[197] 25:09	okay this is this is what was going on here you know God's taking a volunteer
[198] 25:15	here to put aatan basically an adversary to to provoke him provoke his
[199] 25:24	pride into taking that census he's preparing for war
[200] 25:32	anyway dark blade early in his Reign David did Wars that were prohibited by God 2 Samuel 8 2:3
[201] 25:40	Deuteronomy uh 5:9 yeah yeah he did he did some some Wars he yeah it was King
[202] 25:47	Ahab that that was yeah exactly yes it's exactly uh
[203] 25:53	gaas Octavius says no wonder he couldn't buildt the temple yeah yeah he was he was always had that mindset
[204] 25:58	War everything his whole Pride his whole sense of IDE identity was oriented
[205] 26:06	around his ability to war fight conquer
[206] 26:13	and and and God didn't want that for the long-term stability of the
[207] 26:21	Kingdom so he had to take David down AEG and this is how how he chose to do
[208] 26:29	it so uh so I hope that helps thank you
[209] 26:36	very much for that Super Chat we really appreciate it and uh again it it it's
[210] 26:42	this is this is feeding into a natural inclination that David already has his
[211] 26:49	his his human inclination is to go to war God is just providing the the sort
[212] 26:57	of the um the impetus the the opportunity here
[213] 27:04	to to for for David to go with that inclination so he can address a greater
[214] 27:12	problem so that's what's going on here all right so I hope that helps thank you
[215] 27:18	very much for the Super Chat very very much appreciate it hey the next Super Chat here is from
[216] 27:27	TBD for $10 okay and he
[217] 27:32	asks I saw a headline online the long lost sarcophagus of Ramsey II finally
[218] 27:38	been found the article says nearly one entire side was found exciting new
[219] 27:44	discovery or Sensational media claim um well here's the thing with the
[220] 27:50	sarcophagy and I think this is one of the things is that we're not talking here about s a
[221] 27:56	sarcophagus we're talk here about sarcophagi kings in Egypt were not
[222] 28:03	buried in just one sarcophagus but in
[223] 28:10	several there would be like four five sarcophagy for every one
[224] 28:17	king I mean we've got like five for King tutd I believe and that's not even including
[225] 28:24	the outer um the the um there there's
[226] 28:30	there's for King Tut there was three inner one one granite and then I believe
[227] 28:36	three outer shrines okay so that's not including the
[228] 28:41	outer shrines so like for example we find pieces of mpus sarcophagy all
[229] 28:49	sarcophaguses all over the place you know they're reused in other people's
[230] 28:54	tombs that they're they're spread out all over King's Valley and in
[231] 28:59	museums the same with se's um sarcophagus as well
[232] 29:07	so so it's very likely they could have found one of his s or piece of one of his sarcophaguses there's also one in
[233] 29:14	the in the in the um Egyptian museum as well
[234] 29:22	um why do they need so many that's a good question um bubble machine ask why
[235] 29:28	do they need so many every sarcophagus is a proxy body
[236] 29:36	okay so it was thought that your sarcophagus
[237] 29:42	allowed you to come back from the dead and inhabit the physical world and
[238] 29:48	interact with this physical world in some way so you would have many
[239] 29:54	sarcophagy to essentially be to act as redundant
[240] 30:01	bodies so somebody destroys one sarcophagus okay you got another one someone destroys that one you got
[241] 30:07	another one so having a lot of sarcophaguses meant
[242] 30:14	you had a lot of redundancy in your
[243] 30:21	burial because here's the thing if if if all your images are
[244] 30:26	destroyed you know for first of all the somebody could have gone out and and destroyed your sarcophagy and
[245] 30:33	then they could have destroyed your statues in your tomb and then they could have destroyed your reliefs in your tomb
[246] 30:41	and after that you're out of luck you have no way to become come back to this
[247] 30:46	world to receive your ritual offerings and ritual drink and you'll starve in the afterlife and nobody wants to starve
[248] 30:52	in the afterlife okay so again it's this is just a matter redundancy that people did
[249] 31:00	that the Kings did this the more statues you've had of yourself the more images
[250] 31:05	that you had on the walls of your tomb the more coffins you had the greater the redundancy all right so I hope that
[251] 31:12	helped thank you very much for that followup question really interesting
[252] 31:18	question dark blag you're stuck as Osiris is farand pretty much
[253] 31:30	yeah Osiris is Farm Boy forever and he doesn't even feed
[254] 31:40	you Osiris is one of the stingiest farm owners
[255] 31:45	ever
[256] 31:53	ever okay let's get back to the super chats here
[257] 32:03	uh okay uh The Cameo part for $2 thank you very much for the Super Chat question can be found below because me
[258] 32:11	be poor all right and you did a really generous act for someone here and I know
[259] 32:16	it he asks a Discord user asks will Christian elected officials go
[260] 32:25	to hell if they vote to protect or expand legal unal living of The
[261] 32:34	Unborn all right I know who asked that question by the way um because he's asked me that a
[262] 32:40	dozen times now I am there there are times when you
[263] 32:47	have to answer the question and times when you have to answer the questioner
[264] 32:55	okay and in this particular case we're going to answer the questioner not
[265] 33:00	necessarily the question because he's asked this question of me so many times in private he's asked my producer this
[266] 33:07	question so many times in in private he keeps getting the same answers in
[267] 33:13	private and he just doesn't like the answers all right so we're gonna we're
[268] 33:20	going to cover a couple matters first okay which is the whole question of of
[269] 33:29	of sin okay and repetitive sin so we'll
[270] 33:34	go to First K Chronicles or sorry Corinthians bring up our Bible
[271] 33:39	here uh 1 Corinthians 6 9- 10 and do you not know that the
[272] 33:48	unrighteous shall not inherit the Kingdom of Heaven kingom of God do not be deceived neither fornicators nor
[273] 33:57	idolators nor adulterers nor feminite nor men who
[274] 34:03	like other men nor thieves nor the covetousness Covetous nor drunkers nor
[275] 34:10	revilers nor swindlers shall inherit the kingdom of God okay then First Timothy 18 ups that
[276] 34:20	antie first Timothy 1
[277] 34:26	18-1 but we know that the the God is good if one uses it lawfully realizing
[278] 34:32	the fact that the law is not made for the righteous man but for those who are Lawless and rebellious for the ungodly
[279] 34:38	and sinners for the holy and profane for those who kill their fathers and mothers
[280] 34:44	for murderers and immoral men and men who
[281] 34:50	like men and kidnappers and liars and perjurers whatever else is contrary to
[282] 34:55	sound teaching okay now the problem here with the
[283] 35:04	questioner is he wants to skirt that line he has political
[284] 35:11	Ambitions okay he has political Ambitions and he wants to know how close
[285] 35:17	he can get to those lines before he crosses the amnesty now let's just Define what the
[286] 35:25	amnesty is okay to be saved you have to agree to the
[287] 35:31	amnesty which is you have to side with God against
[288] 35:37	sin that's the amnesty it's not necessarily following all the Commandments okay this is why we we say
[289] 35:44	that that salvation is a relationship it's a relationship where
[290] 35:49	we agree with God against sin
[291] 35:55	Okay so if if we agree with God against
[292] 36:03	sin so
[293] 36:08	um hey honey are you paying attention to the chat you need
[294] 36:17	to okay so uh
[295] 36:28	so if if someone decides to skirt the
[296] 36:33	line of the amnesty as close as they can without trying to cross
[297] 36:40	it that's a dangerous game it's a really really dangerous game it's like saying I
[298] 36:48	want to serve God only as far as it will help my political
[299] 36:54	Ambitions but I don't want to go so far far as to lose my salvation because I'm rebelling against
[300] 37:02	God and God's idea of sin okay so if you are if you are voting as
[301] 37:13	an elected official to protect or expand the unal
[302] 37:19	living of The Unborn you are not siding with God
[303] 37:25	against sin your side fighting with sin against God for political
[304] 37:35	Ambitions so then the question is if you what side of the amnesty are
[305] 37:42	you on so I if you're not on God's side of
[306] 37:50	the amnesty you're somewhere else you're somewhere else
[307] 37:59	so he's asked this question repeatedly he gets the same answers every time he
[308] 38:06	doesn't like the answers so it's kind of like a little bit like a kid who went to to Mommy to ask permission and mommy
[309] 38:13	said no you can't do it so he tries to go to Daddy and then keeps pestering daddy
[310] 38:19	saying can I do this can I do this and he keeps saying no no no he's just
[311] 38:25	trying to wear you the questioner down so that at some point daddy will just give in because
[312] 38:33	it's negotiable for some reason when Daddy might have really
[313] 38:39	really good reasons for saying no so that's really what's going on here
[314] 38:46	with this questioner and he's not going to get a different answer out of us essentially
[315] 38:59	so he's had his answer he's had it before and it's going to be Contin to be the same answer on this you can't side
[316] 39:07	against God uh against God in favor of sin and expect to be covered by God's
[317] 39:14	grace God's grace are for those who want to side with God against
[318] 39:24	sin that's how you are in relationship with God is to be in in in in in one
[319] 39:33	Accord with God's thinking about Sin that's what it means to be in
[320] 39:38	relationship with him if you're doing something else you're
[321] 39:44	elsewhere so I know you uh the K part asked this
[322] 39:51	on behalf of someone else and I
[323] 39:58	it's unfortunate that he's asked you to do this
[324] 40:05	um you did it uh camil par we don't blame you for this he just sort of used
[325] 40:12	you here um but I do appreciate that you're willing to do this for another
[326] 40:18	member of the community I think you did a tried to do a really really good deed
[327] 40:23	but he's also had to be told now too okay so anyway I want to thank you very
[328] 40:28	much for the Super Chat we appreciate you supporting the channel in this way
[329] 40:34	um and it's it's sort of unfortunate that he had it it happened this way okay
[330] 40:40	so thank you very much and we really appreciate your support of the
[331] 40:50	channel okay next one here is from at Ministries
[332] 41:00	uh where do Abraham and Sarah quote laws to each other I wish I would given me
[333] 41:05	more time for this question it actually happens fairly
[334] 41:10	often in the Genesis narrative okay but it's one of those things I kind of have to go through the texts and read them
[335] 41:17	again to to get them all okay but I'll give you two examples
[336] 41:23	here um uh first of all they're going to quote
[337] 41:29	to each other the code of hamurabi section 146 and 147 now they're not quoting these exactly they're
[338] 41:35	paraphrasing him okay and the quote of hammer Robi says
[339] 41:42	if a man married an adum and she's given a slave girl to her husband and she has
[340] 41:47	born children but after words that slave girl
[341] 41:53	makes herself equal with her mistress now we see this happen with Sarah and
[342] 42:01	Hagar Hagar Bears the child and now she makes herself equal to Sarah or Superior
[343] 42:09	as it were and this is what the law of hamar Robi says so because she has born
[344] 42:17	children her mistress may not sell her for silver she shall place a slave Mark upon
[345] 42:24	her and counter among the slave girls if she has not slow born children her
[346] 42:30	mistress may sell her for silver okay so this is this is the recourse that she
[347] 42:37	has is to enforce the slave mentality so when Hagar runs off afraid
[348] 42:47	of Sarah because she thinks she's going to get a branding and a beating she's not
[349] 42:53	wrong she's not wrong uh so she's going to come back she's
[350] 42:59	going to get a branding and a the probably one of the worst beatings of her
[351] 43:05	life um but that's going to be that's go that's coming out of the laws of hamar
[352] 43:12	Robi subsections 146 to 147 but she can't sell her and that's she can't get dispose of
[353] 43:20	her either okay uh the other law that comes into play here is the law of lipit
[354] 43:28	Ishtar subsection 25 which says if a man takes a wife and
[355] 43:34	she Bears him a child and that child is still alive and a slave woman also Bears
[356] 43:42	children to her master then the father shall Grant freedom to the slave woman and her
[357] 43:48	children the slave children shall not divide the inheritance with her ex Master's children now notice the word
[358] 43:57	carefully here and this is how we know it's a quote is it's
[359] 44:04	not it's a voluntary granting so you can grant the slave
[360] 44:12	freedom but she doesn't have to accept it under the law of lipid
[361] 44:17	Ishtar but they read this in a certain way that's beneficial to them they force
[362] 44:23	her out they drive her out so here's the thing the slave
[363] 44:30	woman if she takes the in the freedom deal her children don't
[364] 44:36	inherit if she doesn't take the slave deal her or the freedom deal her chair
[365] 44:43	children can inherit so the law of lipid Ishtar is
[366] 44:49	what they're quoting to each other when they say we will free Hagar whether she wants it or not
[367] 45:00	they're defeating so they're quoting to each other the letter of the law while
[368] 45:06	at the same time ignoring the spirit of the law it's so dirty it's so so
[369] 45:18	dirty Yeah Yeah by knowing all the codes they cherry pick
[370] 45:25	them as we can see the according to the law of hamurabi here you know if if if
[371] 45:31	if she gets up okay brand her stick her back in the slave pool but you can't
[372] 45:37	sell her you can't just get rid of her and even even the law of lipid ishar
[373] 45:45	says you can't get rid of her so
[374] 45:52	basically no no no she was yeah she was not going to get H was not going to get first
[375] 45:58	wife uh positioned like she would have in Egypt now the problem is Canan is a
[376] 46:05	hinter land it's a hinter land it's not governed by any
[377] 46:12	laws the and and and if anything the laws in
[378] 46:18	Canaan as were administered by the Canaanites were a lot closer to the Egyptians than they were to the
[379] 46:25	Mesopotamians but but it was still a lawless land as such um the Egyptians had already been
[380] 46:34	through several times conquering lands during the Middle Kingdom in
[381] 46:39	Canaan so the residents were somewhat familiar with they were more familiar
[382] 46:45	with Egyptian laws than they were say with Mesopotamian laws but with that
[383] 46:51	said Abraham was an Amorite he would have been much much more familiar with Mesopotamian law that
[384] 46:58	was his that was his
[385] 47:03	wheelhouse so anyway those are two laws that Abraham and Sarah quote and how
[386] 47:10	they applied and misapplied those laws okay so I hope that helped thank you
[387] 47:16	very much for the Super Chat very much appreciate
[388] 47:22	it okay
[389] 47:30	next Super Chat here is from at Ministries for 499 thank you for the Super Chat how should Christians understand
[390] 47:38	the difference between the needs of the many versus the needs of the in individual where should we fall in that
[391] 47:45	debate that's not an or situation that's a yes situation okay
[392] 47:53	um there are considerations in the Bible of both individual
[393] 48:00	rights and Community rights as well as individual guilt and Community
[394] 48:07	guilt they both apply and they're both used in the Bible okay and they're using
[395] 48:14	the New Testament also when judgment comes upon the church
[396] 48:21	in the Book of Revelation it's not individuals it's the churches that are
[397] 48:27	being judged so there there are both here
[398] 48:35	Community rights and and responsibilities and guilt as there is
[399] 48:42	individual rights responsibilities and guilt okay so it doesn't just deoy the
[400] 48:48	whole the whole rubric of of needs rights responsibilities guilt
[401] 48:57	it applies to the many as well as the individual so where should we fall on
[402] 49:04	that debate with balance okay we should we shouldn't say
[403] 49:10	okay the many are the more important rights in the same way we shouldn't say the individual is more important than
[404] 49:16	rights they're both important in their respective ways so that's where I sort of settle on
[405] 49:24	this issue I hope that helps thank you very much much uh like in fact I'll give
[406] 49:29	you an Old Testament uh one where say community rights and
[407] 49:34	Community guilt over ways uh there's a certain law where
[408] 49:41	there's a murder found outside the town and they don't the town's people
[409] 49:46	don't know who the Killer is so they can't bring the killer to
[410] 49:52	Justice the town has to take an ox out to the place where it was murder where
[411] 49:58	the murder took place they need to wash their hands and basically say we don't know who who killed this person break
[412] 50:05	the head of the ox as an
[413] 50:10	atonement saying hey you know we as this community don't know who this is so the
[414] 50:17	guilt cannot rest on us it's a beautiful example of that where Community guilt
[415] 50:25	could apply if they knew who did it if they didn't
[416] 50:30	do the proper atonement so so it it it's a it definitely shows
[417] 50:37	us that there are instances of community guilt oh there's another passage in the
[418] 50:44	New Testament that says judgment begins with the church that's where it begins it begins
[419] 50:50	with the house of God so there are a lot of examples
[420] 50:58	in we see also other kinds of community um guilt and responsibility as well like
[421] 51:04	for example whole Clans could bear the responsibility of a single
[422] 51:12	wrongdoer like for example if if one member of a clan does a sexual
[423] 51:20	assault on another person from another clan that whole clan could get wiped out
[424] 51:27	and that was just expected in that day and age so there's there's a balance here
[425] 51:34	that we need to do when we talk about Community guilt Community rights
[426] 51:39	Community responsibilities Community needs versus the needs of the individual
[427] 51:47	the responsibilities and the guilt of the individual so again it's a balancing
[428] 51:52	act and you have to do it by a case by case basis all right so uh it's a very
[429] 51:58	important topic in ethics I want to thank you very much for that question it
[430] 52:03	was a great question and I hope that
[431] 52:09	helped 18 Ministries for 199 thank you for the Super Chat how do you use a
[432] 52:15	squat toilet it put your life in your hands
[433] 52:21	when you use a squat toilet think of it this way it's a hole in the ground okay you don't sit on it
[434] 52:30	you quite literally squat over it and do your business
[435] 52:37	okay if you're if you're from the West you don't know how to use it okay uh it
[436] 52:44	would it's very difficult to use if you're from the West there are actually a lot of
[437] 52:51	tutorials on YouTube if you want to learn how to use it
[438] 52:59	um they are not nice they do not oh they're they're
[439] 53:06	disgusting um I know people from the East cap saying they're more hygienic than Western toilets but oh no oh I've
[440] 53:14	seen some pretty nasty ones of my
[441] 53:19	time okay Robert L do the sculpted ceramic
[442] 53:24	foot pads actually help
[443] 53:32	all I don't think so really
[444] 53:39	but oh no it's the problem is the problem is
[445] 53:44	if you're a Westerner you you don't squat I mean most people in the East
[446] 53:50	they learn to squat as children and it's one of those things
[447] 53:55	that unless you develop the muscles to squat as a child you don't have you will
[448] 54:03	never develop those muscles or you're very unlikely to develop those muscles to do that efficiently okay
[449] 54:11	so you you can't I mean if you're really if you're really dedicated to learn how to
[450] 54:18	squat you can do it but wow it is difficult for a Westerner to do again we
[451] 54:24	have never developed those muscles and there's a certain time in your life when it is most optimal to learn to to
[452] 54:32	develop those muscles uh as you're basically as a young child
[453] 54:46	so yeah time time your habits well is what I would
[454] 54:54	say yeah your your hotel will have a western toilet your your uh if you go on
[455] 55:02	our Egypt and the Bible tour uh just understand that I the only place I know of that I know for sure is going to have
[456] 55:10	squat toilets not Western toilets is the visitor center at Tannis that's the only
[457] 55:15	place I know for sure will have a squat toilet everywhere else should have Western
[458] 55:22	toilets they really need to fix that at Tannis
[459] 55:28	Dylan bigs so westerners would just fall over in the toilet 90% of the time yeah pretty
[460] 55:33	much and that and that's the biggest risk is you're going to lose your balance and fall
[461] 55:39	over now of course the worst thing that can
[462] 55:45	happen to you is you happen to have mummy tummy
[463] 55:51	and you have to use one of these then things get really messy
[464] 55:57	okay really messy and really uncomfortable
[465] 56:08	okay so that would just that is not a good thing not a good thing we'll leave it at
[466] 56:17	that yeah you but there will be mess Western toilets in most places in Egypt
