[0] 0:00	[Music] foreign
[49] 7:11	communication is one way not two-way there at least we hope it's one way but
[50] 7:19	foreign so anyway I hope that was an interesting question thank you very much for that question
[51] 7:28	our next uh non-super chat here is also from bonbon and here she asks how did commoners in
[52] 7:36	ancient Egypt perceive corruption were they even aware of it and if so did
[53] 7:42	it impact their faith in the pharonic system
[54] 7:48	it didn't impact their faith in the pharaonic system they were part of the corruption in the
[55] 7:55	system okay corruption was everywhere in Egypt it was completely systemic from your
[56] 8:04	lowest commoner all the way up to the king himself corruption was Rife in Egypt
[57] 8:12	and it would be until the first anti-corruption laws were enacted by hormeb
[58] 8:18	so everybody participated in the system of corruption
[59] 8:24	if you were a commoner and let's say you wanted your kid to have an apprenticeship
[60] 8:29	the way you did this is you you got a donkey you pack the donkey
[61] 8:36	with Goods excuse baskets clothing
[62] 8:42	trinkets wine bread salted meat anything you
[63] 8:48	could think of that would be of interest to the guy you're trying to bribe
[64] 8:54	so apprenticeships in ancient Egypt weren't earned on Merit
[65] 8:59	they were Bots a parent would buy an apprenticeship for their kid
[66] 9:07	so this is really really common in Egypt and it is completely systemic
[67] 9:12	uh so your your typical commenter just thought this was part of the system this is the way you did business was you
[68] 9:19	bribed your way through and to some extent Egypt is still like that
[69] 9:26	today you know it's it's very very common if you want to go somewhere in in Egypt off
[70] 9:33	the beaten Trail you have to bribe someone to go there to take you there
[71] 9:39	so that's not uncommon even today
[72] 9:47	just the way the things work in Egypt so you know this is normal this is
[73] 9:53	normal people don't just do their jobs they're often received creativities
[74] 9:59	for doing you certain aspects of their job
[75] 10:04	so very very common it's still practice in Egypt today but it was even more so
[76] 10:10	back then so it it really did not impact their
[77] 10:18	faith in the pharonic system uh among priests what did impact their faith in the
[78] 10:25	pharonic system was more the loss of power
[79] 10:31	by the king and the loss of status in Egypt itself that was a much much bigger
[80] 10:37	impact on that shook the institution of the king much much more so than the
[81] 10:44	systemic uh corruption that was everywhere so anyway thank you very much for the
[82] 10:50	question I hope that helped you understand each of the bit better a great quick question
[83] 10:59	okay our third on Super Chat here comes from darkblade
[84] 11:06	and he asks who do I blame for almond hotep II being
[85] 11:12	commonly associated with 1446 BC which was before his Ascension and birth
[86] 11:20	the guy you need to blame for this is a Scottish Theologian by the name of James Orr
[87] 11:26	in 1906 he published a book called the
[88] 11:32	problem of the Old Testament and it was a bestseller in North America
[89] 11:39	it was very critical of Burton methods of higher scholarship
[90] 11:45	higher criticism Source criticism documentary hypothesis and because it
[91] 11:51	was critical of these aspects it received a very ready audience
[92] 11:57	who was not quite prepared for the assault on say biblical
[93] 12:05	Authority that was posed by these liberal theories
[94] 12:12	but it also had this one new theory in it that proposed that The Exodus took
[95] 12:21	place in 1446 roughly and that Ahmed hooked up II was the
[96] 12:27	Pharaoh of The Exodus so before James Orr no one had ever heard of this Theory
[97] 12:33	so he's the guy you can blame and again the date of of his publication
[98] 12:38	was in 1906. snow any thank you very much for the question very very much appreciate it
[99] 12:50	our next non-super chat here is from uh Gabriel syme and he asks
[100] 12:58	if you were a Biblical minimalist what discoveries in the last 50 years would be most likely to swing you to the
[101] 13:05	maximal size thanks for your work well ah
[102] 13:10	probably the big one in the last 50 years would have to be the discovery of the teldan Stila
[103] 13:16	now we have to understand 50 years ago people were still doubting whether or not there was a King David
[104] 13:23	you know they were they were pretty much convinced that some sort of
[105] 13:28	monarchy existed in Judah and in Israel at least the divided monarchy
[106] 13:34	but no one was really a lot of people were not convinced especially with the rise of biblical minimalism in the 1970s
[107] 13:42	that that there was a United monarchy that there was a king David and anything below be um
[108] 13:49	anything dating to Solomon or older was seen as more or less myth
[109] 13:55	while the tel Dan steal it changed all that it really did it was sort of the turning point and it
[110] 14:01	was discovered in 1993. so it's at that point where the pendulum
[111] 14:06	starts to swing the other direction we start getting all this strong evidence for a davidic United monarchy
[112] 14:14	and at that point we now are no longer debating whether or not David existed
[113] 14:19	we're now more or less debating who was David what was his scope what
[114] 14:25	was his influence so this has been a dramatic change from he didn't exist at all to
[115] 14:32	well did he have a small kingdom do you have a big Kingdom you know and or
[116] 14:38	something in between you know so what's the scope of the influence here
[117] 14:43	so I think that's that's the that's the big discovery that tell Dan Stila there have been of course a lot of other
[118] 14:49	steel uh other things but uh not in the last 50 years that's probably the big one in the last 50 years
[119] 14:55	so anyway thank you very much for the question uh very much appreciated
[120] 15:06	okay and our final on Super Chat here is from a e nerd and he asks why are
[121] 15:13	ancient near Eastern grammars outside Hebrew Aramaic so high context
[122] 15:19	great question in regards Acadian and Alice Egyptian
[123] 15:25	aren't too bad oh I hate Allen's I hate Allen's textbook I don't like it at all
[124] 15:32	but others are beasts I need more hand-holding when I'm learning a language
[125] 15:37	okay uh hungar is Acadian text is probably the
[126] 15:43	preeminent uh what would call reference grammar now when it comes to learning languages
[127] 15:52	we academics tend to break it down into two
[128] 15:58	sort of categories you've got say grammars they're just for
[129] 16:04	teaching purposes you know they're they're introductory grammars they're supposed to get your feet wet a Collier and Manley's book on reading
[130] 16:11	hieroglyphs is kind of one of those introductory books that's used to sort of get your feet wet
[131] 16:16	in Egyptian and I think that one's excellent that one is really excellent um but it doesn't attempt to give you
[132] 16:22	all the details either you then get these big comprehensive
[133] 16:28	complicated grammars that are very high context
[134] 16:33	but they're they have they serve a different purpose than say an
[135] 16:38	introductory grammar those sort of big comprehensive grammars are meant to be what's called reference
[136] 16:45	grammars they're supposed to include every little aspect of the language that
[137] 16:50	you can go back later and look up should you need to understand a fine fine point
[138] 16:56	of language hunegards Acadian grammar is actually a
[139] 17:01	reference grammar it's not really an introductory grammar uh Allen's Egyptian is kind of somewhere
[140] 17:08	in between I just don't like his approach to teaching Egyptian Gardener's
[141] 17:13	grammar on Egyptian is a reference grammar it's it's very dense very packed
[142] 17:21	and has all the little details you need for understanding every Nuance of the language at least as far as he
[143] 17:27	understood it at his point in time there's been some changes to uh how we understand Egyptian today
[144] 17:34	especially with the introduction of polotsky's stuff so
[145] 17:44	but those reference grammars are meant for people who are not just learning the
[146] 17:50	grammar but are sort of academics who are being taught by an instructor
[147] 17:56	who are sort of narrowing the exercises down so it's more manageable for the student
[148] 18:02	and then at the end of that course the student has the grammar that if they want to continue learning more or
[149] 18:09	looking up fine points they've got that reference grammar that they can always look back upon
[150] 18:15	so there's there's a there is a difference between a reference grammar and a um
[151] 18:22	as I say an introductory grammar so that's probably one of the reasons
[152] 18:30	why you find that some grammars here are much much
[153] 18:35	um much more High context and less suitable for self-learning
[154] 18:40	so that's what I would say is say a reference grammar is less suitable for self-learning than say a reference grammar
[155] 18:48	so I would I would suggest that when you do learn a language you start with an introductory grammar and then progress
[156] 18:55	to the reference grammars and you might find it a lot easier to learn so anyway I hope that helped thank you
[157] 19:02	very much for the question it's a great great question because it can leave you very very bewildered if you don't know
[158] 19:08	the difference between the two so it's a great question and I'm glad you asked it
[159] 19:17	okay so we're now going to move on to the
[160] 19:23	super chats okay
[161] 19:31	yes please okay so uh our first Super Chat and I
[162] 19:37	just need to add a couple more here just give me a moment because we had some last minute
[163] 19:44	additions here so I'm gonna do this just give me a second here
[164] 20:18	I just need to update a couple of the images here
[165] 20:24	got home kind of late from work tonight because my boss kept me in the light so
[166] 20:30	the normal prep time that I would usually do to get all this set up ahead of time I
[167] 20:36	did not have the luxury to do so
[168] 20:44	let's just say just take me a moment here and
[169] 20:52	oh there was also one other non-super chat I wanted to take two before we got
[170] 20:58	into the Super chance
[171] 21:06	okay
[172] 21:15	I was at the big I saw this earlier on and I wanted to
[173] 21:21	take this I thought it was really a good question
[174] 21:28	which is actually from let me explain followers of the shepherd uh this is a non-super chat that was at the beginning
[175] 21:34	of the stream here that I thought was actually really good too uh this may be an impossible question to
[176] 21:40	answer but who is the first Egyptian well that is an impossible answer we don't know and where did the term derive that we
[177] 21:47	can answer we can answer where the term Egyptian comes from it comes from actually the Greek giftos
[178] 21:56	and giptos is the Greek uh translation of coptos
[179] 22:02	and coptus is a city in in Egypt
[180] 22:08	uh it's the city of God min so the it doesn't actually come from the
[181] 22:17	word for Egyptian does Egypt does not come from the word for Egyptian it comes from the word for coptos
[182] 22:24	so we know that came with say Hellenistic um
[183] 22:30	uh the Hellenism of Egypt by say the Greeks During the alexandrian period or
[184] 22:38	the um the ptolemaic period so that's where the term Egypt comes
[185] 22:44	from comes from giptos which comes from coptos which is the city of min
[186] 22:51	so that's where the term Egyptian comes from now the Egyptians themselves refer
[187] 22:57	to Egypt uh by by a couple of terms uh Kemet is probably the the black land
[188] 23:04	they also called it a tawei the two lands in fact tawei is actually a more
[189] 23:11	common term for Egypt than Kemet so while there's a lot made of say uh
[190] 23:17	say chem and Kemet it's the Egyptians more often call Egypt tawei the two
[191] 23:24	lands Upper and Lower Egypt so anyway I hope that answers your question it's a great question uh thank
[192] 23:31	you very much for the non-super chat
[193] 23:37	ha ha oh boy
[194] 23:44	uh faces giggle giggle Min is great well I'll let people look up that the picture
[195] 23:51	of men for themselves [Laughter]
[196] 24:01	okay oops all right uh let's get to the super chats here our first Super Chat
[197] 24:06	here is from Ben Jay for 19.99. thank you very much for the Super Chat
[198] 24:12	and he asks do you take the creation of man and woman in Genesis 2 7 and 22 as
[199] 24:19	literal dust a and rib or more archetypal or figurative language
[200] 24:25	well that's that's going to be really really difficult to answer honestly
[201] 24:32	I don't have a position on this uh my position on Genesis is it is mytho
[202] 24:39	history okay that it is using analogical language to
[203] 24:46	explain some very very complicated things so there's going to be stuff like it is
[204] 24:55	possible that what the text isn't tempting to say is that Eva's form out
[205] 25:00	of something like a rib flesh from flesh
[206] 25:06	and that would really really fit with the analogical language that we do find in Genesis
[207] 25:12	uh we even see this in say Egyptian attacks where when it talks about say
[208] 25:19	the Flesh of someone it talks about the rib you know this is a very very common
[209] 25:26	ideogram that's used in Egyptian so it wouldn't surprise me if Moses is using a very very similar
[210] 25:34	concept as he's writing about say the creation of Adam and Eve
[211] 25:42	so there's analogical language being used here so I think I think I would I would tend
[212] 25:49	to shy away from a strict literal interpretation here
[213] 25:56	but it's also going to be more analogical and archetypal than maybe
[214] 26:02	safe figurative so I'd also shy away from The Other Extreme which is it's only figurative
[215] 26:09	there is something going on here that we cannot completely comprehend
[216] 26:17	here because we don't have all the information
[217] 26:22	it could be literal I mean that's that's a possibility it could be figurative that's also a possibility because we but
[218] 26:29	we just don't have the data uh so I think of Middle Ground is
[219] 26:34	probably more appropriate here which is we know that the Israelites used analogical language in these narratives
[220] 26:43	so I think an analogical approach is much more respectful to the text
[221] 26:48	and the original author's intent
[222] 26:53	well we definitely do return to dust that's that's for sure yeah we do return to literal dirt so you
[223] 27:01	know Dust We Were Made dust we will return you know that's yeah
[224] 27:07	so I I understood yeah so there's a case here for both sides
[225] 27:13	so with that said that's where I would sort of lie on this issue is that uh I
[226] 27:20	think I had a good middle ground analogical position here does the most Justice to the text
[227] 27:25	and that's what I always want to do is I want to respect the text in its original context
[228] 27:32	and with the authority uh the author's intent most plainly in sight
[229] 27:38	so anyway I hope that helped thank you very much the Super Chat very very much appreciate it
[230] 27:44	okay the next Super Chat here comes from uh Rorick for 4.99 thank you very much
[231] 27:50	for the Super Chat what are your thoughts on the claim that the law of Moses influenced later Greek
[232] 27:56	philosophers such as Plato on their beliefs on God and the divine
[233] 28:02	uh not so much Plato
[234] 28:08	and he's actually not a later Greek philosopher anyway he's one of the more early ones
[235] 28:14	um you do have the pre-socratics okay and they're there very early but I don't like by the time Plato
[236] 28:22	arrives on the scene the Septuagint has not been written yet so I don't think that the law of Moses
[237] 28:30	is going to play a huge effect in Plato's thinking
[238] 28:36	now when you get to the later poets the late Hellenistic poets oh yeah yeah
[239] 28:43	there's there's definitely influence of the Septuagint
[240] 28:49	but you know you're talking here second third centuries BC or later
[241] 28:55	uh what was the name of it who wrote there was a poet who did carpe
[242] 29:02	diem he was very very influenced by the Septuagint
[243] 29:10	yeah remember just off the top of my head his name
[244] 29:24	Horus yeah yeah a guy with a a great put with an Egyptian name
[245] 29:33	influenced by the Septuagint go figure yes
[246] 29:39	yeah that was it yeah horse is actually gonna is very very influenced by the Septuagint
[247] 29:46	so um yeah so yes there is there's definitely Greek
[248] 29:52	poets and maybe some later philosophers that are going to be influenced by the Septuagint and the Torah
[249] 29:59	but early uh early philosophers like the presocratics and even the Pythagorean
[250] 30:05	School such as Socrates Plato and Aristotle they're not going to be influenced
[251] 30:11	because they come too late or too early they're too early for for any of that influence to take place because they
[252] 30:18	just don't have the Hebrew texts in their own language once it does enter
[253] 30:24	into their own language oh yeah oh yeah all bets are off at that point and we do have evidence of say the law
[254] 30:33	of Moses being in Greek circulation by easily the second century BC
[255] 30:41	so when I I hope that answers your question thank you very much for the Super Chat very very much appreciated
[256] 30:52	our next Super Chat here is from Kwame Adu 007 for five dollars thank you very much for
[257] 30:58	the Super Chat hi Dr Falk what makes you certain that tarot of erkish is Tara father of
[258] 31:05	Abraham okay several lines of evidence here okay uh first of all
[259] 31:11	it's one heck of a coincidence that the name Teru and Tara are so similar
[260] 31:19	the other thing is that Hera is from ER Kesh deem okay ER of the caldes at least
[261] 31:28	that's how it's been been preserved Kash dim well erkash and er Kash dim are
[262] 31:36	incredibly close the only difference is you've got that dollar and maim at the end of Kash d
[263] 31:44	now is that scribal updating possibly that's potentially scribal updating
[264] 31:50	it's also possible that there was a a difference here in say
[265] 31:58	um in maybe orthography that changed like for example it could have been
[266] 32:05	uh or Kesh Aram you know the D could have uh or the a
[267] 32:12	race could have been miswritten as a dollar and then you've got say erkashdeen
[268] 32:18	Alf may have dropped out who knows okay so there is there is some linguistic uh
[269] 32:27	philological possibilities here that show that urkesh and erkash team are so
[270] 32:34	close that they are probably the same thing
[271] 32:39	there's also the geographic factors of this as well which is that er uh Terra comes from
[272] 32:47	Mesopotamia well Leonard woolies ER or assumer is
[273] 32:53	not in Mesopotamia it's outside of Mesopotamia it's west of Mesopotamia
[274] 32:58	whereas cash is in northern Mesopotamia
[275] 33:04	the other thing too is there's a chronological Factor here whereas Abraham is contemporary with
[276] 33:10	Hammurabi uh Tara is contemporary with uh
[277] 33:19	a zimmery Lim king of Mari and this is in the early days of
[278] 33:28	Hammurabi so if you think about it chronologically you would have Tara Hammurabi and zimmri
[279] 33:36	Lim contemporary and then after say the conquest is in relim you have Abraham
[280] 33:42	being contemporary with the later reign of Hammurabi
[281] 33:50	so you got that as well you also got a parallel in biography
[282] 33:57	whereas you have Tara he's a potentate he's a
[283] 34:03	sort of a king maker in in say erkesh
[284] 34:09	and he's basically trying to move his his his town to support the king of Mari
[285] 34:17	they don't want anything to do with that they want to they want to join the elamites so there's a rebellion
[286] 34:23	uh Tara's son gets killed and he has to hightail it out of town
[287] 34:29	and he writes the king of Mari and says the king of Mari I am now a hapiro a
[288] 34:35	Sojourner and he goes to Syria in essence he goes to haran
[289] 34:43	exactly like what we see in the biblical text for Tara
[290] 34:49	and that's where he's basically he holds up so it would be an incredible coincidence
[291] 34:55	that you had two people one from our Crush one from urkesh Team
[292] 35:02	they leave their place under less than ideal circumstances both have a dead son
[293] 35:08	both settle in Syria at the right place at the right time
[294] 35:16	it would be an incredible coincidence if all of that was just say overlapping
[295] 35:22	biographies no it's possible well I think that the the the
[296] 35:27	possibilities here are so small that I can I pretty much think that that
[297] 35:33	we've got the guy here so you know that's that's what I think is
[298] 35:40	going on here is that I mean we're not told why Tara
[299] 35:45	Abram's father left ER okay but at the same time too we also kind of
[300] 35:52	figure in this that it wasn't under the best of circumstances because you don't just don't pick up a city and go sojourning for no good reason
[301] 36:01	okay so I think there's really compelling evidence here to say that that Terra of
[302] 36:08	urkesh is Tara father of Abraham so anyway I hope that helped thank you very much for the Super Chat very very much
[303] 36:15	appreciate it okay the next Super Chat here is from
[304] 36:22	Acid we're 4.99 and he wants me to make this statement [Laughter]
[305] 36:31	gonna do it Addison Weir wants me to say that I
[306] 36:40	affirm which I don't American yet at early date Exodus jped
[307] 36:46	which would be make me uh schizophrenic uh start raving mad as well as as well
[308] 36:53	housing formulated and uh the ancient astronaut theory hypothesis
[309] 37:00	um [Laughter] oh
[310] 37:05	none of that now interestingly enough if you start
[311] 37:11	teaching at uh various institutions of say Christian Higher Learning
[312] 37:19	each one of those institutions wants you to sign a doctrinal statement
[313] 37:25	this is one of those little dirty secrets of higher education higher education
[314] 37:30	is each one of those institutions have their doctrinal statement that their their
[315] 37:36	asking you to believe wholeheartedly without reservation
[316] 37:43	you know and you'll find that you know if you move from school to school you'll be asked to be a calvinist an Iranian
[317] 37:50	a mullenist uh pre-trib post-trib mid-trib a trip
[318] 37:58	youngest creationist theistic evolutionist uh
[319] 38:03	you know and they're there that you you're you're being asked to wholeheartedly support
[320] 38:11	diametrically opposite theological positions
[321] 38:17	you know and it's just like you know this is one of the things I think needs
[322] 38:23	to end in Christian higher education is the whole doctrinal statement thing uh it was meant for a good purpose it
[323] 38:30	definitely was meant for a good purpose and I think there's an idea here that you know okay the extensions of the
[324] 38:37	Christian faith okay I can get behind a doctrinal statement for that but when you start getting into these
[325] 38:42	little minutia that you do find in a lot of seminaries doctrinal statements you
[326] 38:48	know you're asking your your instructors to
[327] 38:54	basically support wholeheartedly contradictory
[328] 38:59	ideas and you're going to get either dishonesty
[329] 39:05	people are just going to say yeah I'll sign anything or you're gonna get
[330] 39:11	uh basically people who are going against the conscience I think both are very bad
[331] 39:20	so while As and we're here is trying to yank my chain I think there's something really really serious here that's
[332] 39:26	underneath the surface you know so you know yeah sorry sorry to
[333] 39:32	to turn this chain yanking into a a real real issue but I think this is a real issue and I think I think this is
[334] 39:38	something that American Christianity has to pay more attention to
[335] 39:43	yeah the first yeah
[336] 39:49	affirm the primaries of the faith the primary doctrines of the faith the
[337] 39:54	essentials affirm the essentials and then these preferences the secondaries
[338] 40:01	there's nothing wrong with a school saying hey we got these preferences and we wish if you teach her you don't have
[339] 40:07	to believe the preferences but we prefer you teaching this manner I have no problem with that if that's
[340] 40:13	what they want to do but when you start having people absolutely May sign a statement saying
[341] 40:19	that they affirm every minor Doctrine in in your faith statement there's then no
[342] 40:24	room for conscience or for biblical exegesis
[343] 40:29	or new information I think I think that's very very problematic
[344] 40:37	and this is one of the reasons why I I've had some so much difficulty with theological con uh colleges because a
[345] 40:44	lot of them hold to say the early Exodus date as an essential
[346] 40:49	or young Earth creationism as an essential what it does is it promotes biblical
[347] 40:56	teachers why yeah because we know people who have gotten jobs and they don't
[348] 41:01	I I don't have a position on on the creation of the Earth
[349] 41:07	I'm not a younger creationist I'm not enrolled with creationists I'm not a theistic evolutionist I'm not an evolutionist
[350] 41:12	I'm not a creationist of any kind I take no position on this
[351] 41:19	but when I get a doctrinal statement asking me to a firmal position I it sort
[352] 41:24	of you know raises the hair on the back of my neck just because I think it's really really
[353] 41:30	bad and it creates problems
[354] 41:35	so anyway uh thank you very much the Super Chat and very very much appreciated
[355] 41:45	foreign next Super Chat here
[356] 41:51	is from
[357] 41:57	here uh Aston we're for 4.99 another one oh
[358] 42:06	wait hold it we're getting that
[359] 42:12	exegetical apologetic says could be mug
[360] 42:22	discern truth from what could be [Laughter]
[361] 42:29	I have t in here tonight
[362] 42:34	okay that was fun all right uh oops skip that down
[363] 42:40	all right and now he wants me to affirm another statement my apparent love for the History Channel
[364] 42:49	errors Ancient Aliens the greatest show of all time or did I miss one here
[365] 42:54	this one um yes I did sorry sorry Addison he wants me to declare that patterns of
[366] 43:01	evidence ABR Answers in Genesis and the History Channel to be the greatest scholarly sources of all time
[367] 43:09	well I'm not sure if I can do that because we have got a popcorn video
[368] 43:15	coming up where we will feature best archaeologist ever
[369] 43:24	ever [Laughter] I'm going to leave it at that
[370] 43:30	best archaeologist ever [Laughter]
[371] 43:37	as gonna be March's popcorn review so uh looking forward to that
[372] 43:44	uh this should be this should be really really something so again the popcorn keeps the secrets
[373] 43:51	we won't be uh confirming or denying any guesses but we are going to be putting it up the
[374] 43:58	notice notification up there very very soon for it so again this is coming in March
[375] 44:05	snow or we were in March already but but we're a couple weeks before now
[376] 44:10	so when I uh this this will be very exciting so I can't declare any one of
[377] 44:15	these is necessarily going to be the greatest archaeologist ever
[378] 44:21	but these are all candidates [Laughter]
[379] 44:28	patterns of evidence definitely ABR most certainly Answers in Genesis could be
[380] 44:35	and the History Channel well we've already done the History Channel so that's that's uh they they could come up again
[381] 44:42	who knows who knows uh although the History Channel is very litigious to be honest uh
[382] 44:50	yeah when we did the History Channel one they came down almost like a ton there they they copyright clamp down on us
[383] 44:56	like a ton of bricks you know they were not good to us uh a lot of the stuff by uh History
[384] 45:03	channel is owned by a E entertainment and they don't want anybody clipping any
[385] 45:10	of their stuff without obtaining rights and paying them a lot of money
[386] 45:16	so that one is probably not going to be done again just because getting past
[387] 45:23	their copyright claim system is just really really difficult really difficult
[388] 45:31	so we probably won't be doing another History Channel One just because of the
[389] 45:36	the mess that they they made for us last time
[390] 45:41	so anyway uh thank you very much the Super Chat very very much appreciate it okay
[391] 45:48	it gives us a third Super Chat on a similar vein for 4.99 thank you much Super Chat
[392] 45:54	again he wants me to express my deep deep love when the history channel airs Ancient Aliens the greatest show of all
[393] 46:01	time well you know what it has been pretty good for this channel
[394] 46:07	I will say that because Mr empty conjecture was inspired
[395] 46:13	by the History Channel so if the History Channel and Ancient Aliens didn't exist
[396] 46:20	didn't exist we wouldn't have Mr empty conjecture so he's the guy from whom we got our
[397] 46:27	inspiration for Mr empty conjecture from so you know that the hair uh the the the
[398] 46:33	could be tagline that's we got that from uh suklos
[399] 46:38	so [Laughter] so you know it's just it's it was it was
[400] 46:45	a great thing it was a great addition to this Channel and um created a a phenomenon that's you know
[401] 46:53	basically been a running joke on this channel so and we very very much have loved that running joke
[402] 47:01	so anyway thank you very much for the uh Super Chat very very much appreciated
[403] 47:08	and we got another one here from Acid we're actually a serious question this
[404] 47:13	time for 4.99 thank you much for the Super Chat how do we know when literary parallels
[405] 47:19	are the result of intertextuality rather than coincidence okay that's a really really difficult
[406] 47:27	question to answer because you could actually have
[407] 47:32	intertextuality take place subconsciously or unconsciously
[408] 47:37	somebody May read something forget what source is from and then engage it in a
[409] 47:44	text or make reference to it in a text without citing the original Source or copying it for beta
[410] 47:51	so that is a form of intertextuality even if it is something that is
[411] 47:59	is subconscious or unconscious and this is one of the problems when we
[412] 48:06	try to def you know try to untease
[413] 48:11	intertextuality from coincidence it's because many of say the underlying
[414] 48:18	beliefs in a culture have say
[415] 48:24	a common source but it's not a common source that's basically passed directly but indirectly
[416] 48:32	uh this is called in say uh religious studies the pool of ideas
[417] 48:42	essentially every culture has a pool of ideas and religions are throwing ideas into
[418] 48:49	the pool they're also taking ideas out of the pool to incorporate into their own religion
[419] 48:56	and um the re-enchantment of the West as the
[420] 49:02	name of the book uh what was his name now um
[421] 49:08	yeah the re-enchantment of the West is the name of the book uh by brilliant
[422] 49:14	scholar let me just look it up here and just just give me a moment to look this one up
[423] 49:20	Christopher Partridge yeah Christopher Partridge did a lot of work on this
[424] 49:25	and his books are excellent Christopher partridge's books are excellent I would highly recommend them
[425] 49:33	but he talks about this pool of ideas where various religious groups are
[426] 49:40	taking ideas in and and uh out of the pool and adding their own ideas back in
[427] 49:46	and this has been true of all cultures going back to the beginning of time so knowing that this is how ideas are
[428] 49:54	being transmitted it makes it very very difficult then to to determine what's a coincidence and
[429] 50:00	what's intertextuality this is why it's almost always more safe to to say
[430] 50:08	to look uh claim intersexuality and coincidence
[431] 50:14	because all these ideas just permeate a culture and it's not an accident it's not an
[432] 50:20	accident people are reading these various texts and they're retelling these stories
[433] 50:26	and those stories become part of the pool of ideas
[434] 50:31	you know it may have been originally going back 10 generations to a Sumerian
[435] 50:38	source that nobody reads in the original language anymore but they're still telling the tales 10 Generations later
[436] 50:44	well if they're still telling the tales 10 Generations later those ideas are in the culture even if the original text is
[437] 50:53	no longer Extant so in that case you still have
[438] 50:58	intertextuality it's just not direct to the original source
[439] 51:05	so with that said it's impossible to tell if it's a coincidence or intertextuality but it's
[440] 51:13	better to bet on intertextuality because at least then you say there's
[441] 51:18	some cause for those ideas which is that pool of ideas that was described by Christopher
[442] 51:24	Christopher partridge so anyway thank you very much for the Super Chat I hope that answered the
[443] 51:30	question again it's it's the safe bet intertextuality is always the safe bet
[444] 51:37	it's it's safer than saying it's coincidence it's safer than saying it's copying
[445] 51:43	so again it's this it's the safe skull scholarly safe Choice here so anyway thank you very much for the
[446] 51:50	Super Chat very very much appreciate it okay
[447] 51:56	now we're on to stream me right here okay
[448] 52:03	our next Super Chat here is from Angel wvm for five dollars thank you very much
[449] 52:09	for the Super Chat and he asks are the differences between First Kings 4 26 and 2nd Chronicles 9 25
[450] 52:18	an example of 40 being used as a cultural idiom okay let's pull up the text here because
[451] 52:24	these two texts are different in in a way an important way
[452] 52:30	okay so we'll pull up our text here uh First Kings
[453] 52:42	or and
[454] 52:49	26 and Solomon had 40 000 stalls of horses
[455] 52:55	for his chariots and 12 000 Horsemen okay
[456] 53:04	then we have second chronicles uh nine
[457] 53:12	and twenty oops 25.
[458] 53:18	now Solomon had 40 000 stalls for horses and chariots and 12 000 Horsemen and he
[459] 53:24	stationed them in the Chariot cities with the king in Jerusalem okay
