[0] 0:24	Hey. Hey. Hey.
[178] 12:29	So, current morality, other texts,
[179] 12:33	traditions,
[180] 12:35	all that stuff.
[181] 12:37	Um,
[182] 12:39	then you've got solar scripture. Solos
[183] 12:41	scripture considers tradition, other
[184] 12:44	stuff first
[185] 12:46	and then makes scripture the final
[186] 12:49	authority.
[187] 12:51	And then you've got something called
[188] 12:53	nuda scriptura which is you don't
[189] 12:55	consider anything but scripture.
[190] 12:59	Okay. So you got three classifications
[191] 13:00	there.
[192] 13:02	Primoscriptura, new to scriptura and
[193] 13:04	solar scriptura. Okay.
[194] 13:08	Um
[195] 13:10	I think the best of the three to prevent
[196] 13:13	drift is actually solos scriptura
[197] 13:17	because what you're doing is you are
[198] 13:18	consulting church fathers. You're
[199] 13:20	consulting church tradition. You are
[200] 13:22	consulting
[201] 13:24	uh other texts. You're consulting
[202] 13:27	historical con documents and historical
[203] 13:29	contexts. And then scripture weighs in
[204] 13:33	on the final final statement. Okay. So,
[205] 13:40	um I I think I said think solos
[206] 13:43	scriptura is the best and I think most
[207] 13:46	um most churches when it comes to push
[208] 13:50	or shove will usually end up going solar
[209] 13:52	scriptura
[210] 13:54	uh just because at the end of the day
[211] 13:56	now there are some some churches that do
[212] 13:59	go primoscriptura like high anglicanism
[213] 14:03	we can see the drift that's happened
[214] 14:04	there
[215] 14:05	and then you've got a um Roman
[216] 14:09	Catholicism that doesn't do any of the
[217] 14:10	three. They don't do prima scripture,
[218] 14:13	they don't do solo, and they don't do
[219] 14:14	nuda. They do a balance of of tradition
[220] 14:18	and scripture.
[221] 14:20	But a lot of churches, you know, even if
[222] 14:22	they reject soul scripture formally,
[223] 14:26	they'll often retreat in that position
[224] 14:27	because it's the safest position to
[225] 14:29	retreat into. And that tells you how how
[226] 14:32	stable it is uh to prevent drift that
[227] 14:36	that many churches will go
[228] 14:39	use that as their default position even
[229] 14:42	if they don't accept it which is very
[230] 14:44	strange but it does happen.
[231] 14:47	So I hope that helps. Thank you for the
[232] 14:49	question. Very much appreciated.
[233] 14:55	Next question here. Is David the only
[234] 14:57	one in his family who has a degree
[235] 14:59	related to the Bible? Uh no, Mrs.
[236] 15:01	Producer has a uh diploma in systematic
[237] 15:05	theology. Uh but apart from us two,
[238] 15:08	we're the only ones in my among my
[239] 15:10	relations that have a a degree related
[240] 15:14	to the Bible. So it's me and Mrs. Mrs.
[241] 15:17	Producer and that's it. So hope that
[242] 15:19	helps.
[243] 15:25	Next one from Golden Win. Hi Bubble
[244] 15:28	Trouble. How's it going?
[245] 15:31	Uh Goldwin asks, "Dr. Faulk, if you have
[246] 15:34	to be a Roman Catholic, a Eastern
[247] 15:37	Orthodox, or Oriental Orthodox, which
[248] 15:40	one would you be?" None of the above.
[249] 15:43	But of those three, the one I'd least
[250] 15:46	want to be is Roman Catholic.
[251] 15:50	Here's the reason. Okay?
[252] 15:54	It's nothing to do necessarily with with
[253] 15:56	Roman Catholicism, per se. It's that as
[254] 15:59	a convert, I have to believe everything
[255] 16:03	they say.
[256] 16:06	Everything.
[257] 16:08	I'm not going to agree with everything
[258] 16:10	on any church ever.
[259] 16:15	So,
[260] 16:19	that sort of strikes Roman Catholicism
[261] 16:22	right off the list for me. There's no
[262] 16:24	way I could ever convert to Roman
[263] 16:26	Catholicism because I could never agree
[264] 16:28	with everything they say.
[265] 16:32	And I you know what I would have that
[266] 16:33	same point of view if any other church
[267] 16:37	said that that to convert you had to
[268] 16:38	agree with everything
[269] 16:41	like that ain't happening.
[270] 16:47	So,
[271] 16:52	so, uh,
[272] 16:55	uh, Jack Ray,
[273] 16:59	uh, says, "I can't agree 100% with
[274] 17:02	everything I say." Yeah, well, me
[275] 17:04	neither.
[276] 17:05	And if I can't agree with everything I
[277] 17:07	say, I'm certainly not going to agree
[278] 17:08	with everything Roman Catholicism says.
[279] 17:18	I don't know. Given the choice, none of
[280] 17:20	the above. None of the above. But the
[281] 17:23	one I can just absolutely strike off the
[282] 17:25	list is is Roman Catholicism. It's just
[283] 17:27	it ain't it ain't happening for me. Just
[284] 17:30	not happening.
[285] 17:34	All right, moving on.
[286] 17:37	Next uh nons super chat here is from
[287] 17:40	Golden Wind who asks in your opinion
[288] 17:42	what is good and bad about Anglican
[289] 17:44	Lutheran reformed Baptist Methodist
[290] 17:48	traditions respectively
[291] 17:50	and you're expecting me to answer that
[292] 17:53	in 3 minutes or less
[293] 17:56	>> on 48 hours without sleep.
[294] 17:58	>> On 48 hours without sleep that should be
[295] 18:00	fun and exhaustive and exhausting.
[296] 18:05	I want to hear this.
[297] 18:07	>> I am not going to answer this question
[298] 18:08	in full. Okay. Not doing it. Uh but I
[299] 18:12	will I will pick the first one.
[300] 18:14	Anglicanism. Okay.
[301] 18:19	CPM versus DOSS. Well, get the get some
[302] 18:22	popcorn. This will be a 16-hour stream.
[303] 18:26	>> No, it won't.
[304] 18:27	>> It will not.
[305] 18:28	>> David will fall on his face.
[306] 18:31	>> I will absolutely collapse if I try
[307] 18:33	that. I'm not doing that.
[308] 18:36	Okay.
[309] 18:39	Uh,
[310] 18:42	mama says, "Bon papa worked overtime
[311] 18:44	this week, so he's headed to bed." Oh,
[312] 18:49	but the rest of us are are listening
[313] 18:50	watching. I wish I could go to bed.
[314] 18:54	>> To the question.
[315] 18:55	>> Back to the question. Yeah, I'm going to
[316] 18:57	I'm I'm going to I'm going to be
[317] 18:58	distracted like a like a like a
[318] 19:00	squirrel. So, it's just like I'm
[319] 19:03	>> question.
[320] 19:04	>> Okay. Okay, the p question is backed up.
[321] 19:06	Okay, so we're just going to take the
[322] 19:07	first one. Anglicanism. Uh what's good
[323] 19:10	and what's bad about it?
[324] 19:12	Okay. Uh I'll start with what's good. Uh
[325] 19:15	the Westminster confession. Really good.
[326] 19:18	One of the best theological
[327] 19:21	statements I've ever read. Westminster
[328] 19:24	confession is a gold mine of theological
[329] 19:28	wisdom.
[330] 19:30	It is absolutely incredible. Okay.
[331] 19:35	Mama says, "Doc, I can tell you are
[332] 19:38	loopy. You This better be your shortest
[333] 19:40	stream ever."
[334] 19:45	>> They have wine for
[335] 19:47	>> says they have wine for communion. Yeah,
[336] 19:49	that's a good thing.
[337] 19:50	>> Okay.
[338] 19:51	>> Um, the other thing I would say that is
[339] 19:53	very good about Anglicanism is their
[340] 19:54	liturgy. Their liturgy is is comparable
[341] 19:59	to any form of worship I've seen. It's
[342] 20:01	really good. I like their liturgy. I
[343] 20:05	think they have an absolute
[344] 20:09	banger liturgy. Okay.
[345] 20:13	So, uh that's what I would say is really
[346] 20:15	really good about uh Anglicanism. Now,
[347] 20:20	what's bad about Anglicanism?
[348] 20:22	Primiscriptura.
[349] 20:26	It had their use of primis scripture has
[350] 20:28	allowed all sorts of of liberalism and
[351] 20:33	rot to creep into the church into the
[352] 20:36	Anglican church. It has absolutely
[353] 20:38	become a
[354] 20:41	um a cesspool.
[355] 20:44	It's become a cesspool of sin and
[356] 20:46	depravity.
[357] 20:49	That's what is
[358] 20:52	um that's what I think is is wrong with
[359] 20:55	Anglicanism. It's become a cesspool of
[360] 20:57	sin and depravity and it's celebrated.
[361] 21:01	It's c the sin and depravity is
[362] 21:03	celebrated within Anglicanism again
[363] 21:05	because of their use of primure.
[364] 21:08	Scripture is not the final authority.
[365] 21:10	It's where they start and then they add
[366] 21:12	anything else they want to it. So,
[367] 21:16	so, um,
[368] 21:20	so yeah, that's that's the good and
[369] 21:21	that's the bad about Anglicanism. Again,
[370] 21:23	the good thing, their liturgy is
[371] 21:25	phenomenal
[372] 21:27	and their Westminster's confession is
[373] 21:30	one of the best statements of theology
[374] 21:31	I've ever read. Too bad they don't
[375] 21:33	follow it.
[376] 21:35	So,
[377] 21:37	uh,
[378] 21:43	Dark Blood goes, "Is Anglicanism the
[379] 21:46	denomination that the famous Jesus was
[380] 21:48	trans cleric came from?" Yeah. Yeah.
[381] 21:56	Uh, AJ Higgins asks, "Anglicant
[382] 21:58	Episcopal is um nonaca."
[383] 22:03	Yeah. Yeah. Yeah. It's non- Anglican
[384] 22:06	communion of North America. Uh the
[385] 22:08	Anglican Communion of North America is a
[386] 22:10	breakaway
[387] 22:12	um group of Anglicans.
[388] 22:16	Now, I will say this about some of those
[389] 22:19	breakaway groups too is they still have
[390] 22:22	some of the same problems
[391] 22:27	as say mainline Anglicanism.
[392] 22:32	They didn't really fix the problem. They
[393] 22:35	just sort of removed themselves from out
[394] 22:38	of it, but the the underlying issues are
[395] 22:42	still there.
[396] 22:44	So I think I think in about 100 years
[397] 22:47	the ACNA is going to be in the same
[398] 22:50	state as it was before. So
[399] 22:53	So um anyway, I hope that helped. Thank
[400] 22:56	you very much for the question. Really
[401] 22:58	appreciate it.
[402] 23:03	All right, let's go. The next one here
[403] 23:08	is from uh Daniel Hogan for $4.99. Thank
[404] 23:13	you very much for the super chat.
[405] 23:15	Quite hypothetically, we're you were
[406] 23:17	given $20 million and guaranteed all
[407] 23:22	necessary permits for one archaeological
[408] 23:24	dig site. Where would you dig and why?
[409] 23:29	Okay. Um,
[410] 23:32	I think the place I would dig
[411] 23:37	is
[412] 23:39	in the sand south of the Puzzlesiac
[413] 23:42	estuary.
[414] 23:45	And I would be looking for one of two
[415] 23:48	towns.
[416] 23:50	Okay. I would be looking for either
[417] 23:53	Balsafan or Phahiro.
[418] 23:59	and finding those would be a major coup
[419] 24:05	because then you've got a really good
[420] 24:07	case for an Exodus route.
[421] 24:11	So,
[422] 24:13	I have an idea where they are roughly,
[423] 24:16	but I do not have
[424] 24:20	uh
[425] 24:26	um
[426] 24:28	Okay. Um, let's see.
[427] 24:32	Can't get that up for some reason.
[428] 24:37	Go. Okay. Barb says, "Okay, so not tell
[429] 24:40	ye." Uh, tell Yehudia has already been
[430] 24:43	excavated once. Um, Petri excavated it.
[431] 24:48	Uh James Hoffmire tried to go back to
[432] 24:51	Telyhudia, but Telyhudia is a I say this
[433] 24:57	um it's a politically sensitive site. Uh
[434] 25:00	it's in Cairo. It's it's near Cairo
[435] 25:03	anyway. It's actually near Helopoulos.
[436] 25:06	And um
[437] 25:09	it is a temple of Yahweh.
[438] 25:12	So, um, the Egyptians don't want you
[439] 25:15	excavating that cuz it will create
[440] 25:17	internal strife.
[441] 25:20	So,
[442] 25:23	um,
[443] 25:25	so yeah, they they just do not want you
[444] 25:27	excavating that
[445] 25:38	CPM versus DOS. I found I got a shovel I
[446] 25:41	found on the freeway in $15. Yeah,
[447] 25:43	that's that ain't going to that ain't
[448] 25:45	going to fun to dig.
[449] 25:50	All right. Uh but yeah, uh that's that's
[450] 25:52	where I would dig. I dig south of the
[451] 25:54	the Puzzles Estuary. No one's dug there
[452] 25:57	before.
[453] 25:58	Uh it'd be a really really great place
[454] 26:00	to dig. Um there's been there was towns
[455] 26:04	there and you know your chance of s
[456] 26:07	finding something really good out there
[457] 26:09	is pretty high. So
[458] 26:15	okay and then Daniel asks a follow-up
[459] 26:18	question
[460] 26:20	in this hypothetical you and your team
[461] 26:22	have unrestricted access to the site for
[462] 26:25	10 seasons. Oh then definitely I'd
[463] 26:27	definitely do that southern puzzles.
[464] 26:30	>> Oh yeah 10 seasons. Well, I mean, if you
[465] 26:32	get $20 million, you are a research
[466] 26:34	millionaire at that point. You know, if
[467] 26:37	you got $20 million guaranteed and in
[468] 26:39	the bank to fund a chair, you're not
[469] 26:43	digging for 10 seasons. You're digging
[470] 26:46	for 20
[471] 26:48	because what happens is you get they put
[472] 26:51	that in the bank and then they just take
[473] 26:52	off the interest and you get paid the
[474] 26:54	interest.
[475] 26:56	>> So, that doesn't guarantee you for for
[476] 26:58	10 seasons. that guarantees you for 20
[477] 27:02	or more. Basically, as long as you want
[478] 27:05	to dig, as long as you live. Of course,
[479] 27:08	once you die, that gets passed on to the
[480] 27:09	next the next chair. But
[481] 27:14	so, yeah, that's a that's a lot of money
[482] 27:16	for research.
[483] 27:19	So, yeah, that much money will will get
[484] 27:21	you a lot more digging out than just 10
[485] 27:23	seasons.
[486] 27:25	>> Interesting.
[487] 27:28	that 20 million tax by Egypt or Canada?
[488] 27:30	>> Uh, Dark Blade goes, "Is that $20
[489] 27:32	million taxed by Egypt or by can?" It's
[490] 27:36	not taxed.
[491] 27:40	>> It's like a trust. So, it goes into a
[492] 27:43	university trust and university trusts
[493] 27:47	are not taxable.
[494] 27:51	So, they collect the whole cashw. And
[495] 27:54	here's how these trusts work. Okay.
[496] 27:57	While the guy is still alive, the guy
[497] 28:00	who who you've intended it for, he gets
[498] 28:02	the money. Okay.
[499] 28:06	Once the um once the the the um
[500] 28:10	recipient the intended recipient dies,
[501] 28:13	then the university gets the money.
[502] 28:16	So
[503] 28:18	yeah, it is a farmer tax exemption for
[504] 28:20	for research institutions.
[505] 28:23	Uh Chad Linux goes, "How long is a
[506] 28:24	typical season?" Usually four to six
[507] 28:27	weeks. Usually four to six weeks. It's
[508] 28:29	not that long.
[509] 28:34	It's four weeks if you teach classes.
[510] 28:36	It's six weeks if you don't.
[511] 28:43	Okay. Next move on. Next one here.
[512] 28:47	Uh, Justin the Rhino asks, "Is it
[513] 28:50	possible for de demonic entities to lie
[514] 28:53	in a way to use Jesus to tell a
[515] 28:56	halftruth
[516] 28:58	to use that to leave people to believe
[517] 29:00	something that sounds correct but is
[518] 29:01	against God?" For example, uh, uh,
[519] 29:04	Mormonism. Sure. Absolutely. It's
[520] 29:07	absolutely possible to to create a phony
[521] 29:11	Jesus that's sounds sort of like the
[522] 29:14	truth but isn't. happens all the time.
[523] 29:18	Uh the one thing that demon demons
[524] 29:21	cannot do is they cannot declare Jesus
[525] 29:24	Christ to be Yahweh or Lord. That's it.
[526] 29:27	That's about all they're not permitted
[527] 29:29	to do. So
[528] 29:36	Brian Cohen Camp quote demons can't lie
[529] 29:39	if you do the rituals properly. End
[530] 29:41	quote. That one beanie guy. Oh yeah, the
[531] 29:43	one that said that the demon told him
[532] 29:45	that uh Islam was the true religion.
[533] 29:50	It's like what?
[534] 29:52	>> Demons.
[535] 29:54	>> What?
[536] 29:59	>> Yeah. Yeah, those rituals aren't worth
[537] 30:01	much.
[538] 30:08	But yeah, demons lie all the time.
[539] 30:10	That's what they're that's what they're
[540] 30:11	good at. Um they'll lie just for the
[541] 30:15	heck of it. Uh the only thing they
[542] 30:18	cannot do is they cannot declare Jesus
[543] 30:19	as Lord. That's that's it. That's that
[544] 30:21	seems to be a hard limit.
[545] 30:23	>> Shocking.
[546] 30:28	>> Yeah. Magic is more of a suggestion.
[547] 30:30	More like guidelines.
[548] 30:35	Yeah. Rituals are more like guidelines.
[549] 30:40	All right,
[550] 30:42	moving on here. King Bubby asks,
[551] 30:46	uh, thoughts on Dave Faria? Professor
[552] 30:48	Dave? It's crazy how he's gone off the
[553] 30:49	deep end with wokeism and anti-Trumpism.
[554] 30:52	And frankly, I don't care about any of
[555] 30:53	those other two things. Uh, my issues
[556] 30:56	with Dave Fina is, well, he's he teaches
[557] 31:01	I mean, he teaches chemistry at a
[558] 31:04	community college with a master's
[559] 31:06	degree. He he's not a PhD. doesn't he
[560] 31:08	hasn't done the final work to to do that
[561] 31:12	and he calls himself professor
[562] 31:15	uh
[563] 31:17	because he can't call himself doctor
[564] 31:20	>> he does that
[565] 31:22	>> he does actually teach at a community
[566] 31:24	college
[567] 31:26	um but then again the um because you're
[568] 31:31	only teaching at a community college and
[569] 31:32	not at a graduate school they only
[570] 31:34	require one degree up for that and not a
[571] 31:36	terminal degree So,
[572] 31:41	I don't take the guy seriously. So, I
[573] 31:45	don't even think he's really a good
[574] 31:47	science educator. He's not a good
[575] 31:48	science educator even. So, he's not a
[576] 31:51	good science educator. He's not really
[577] 31:53	good when he goes off topic. Um,
[578] 32:04	so
[579] 32:07	I don't pay him any attention. I don't
[580] 32:09	watch him and I don't pay him any
[581] 32:10	attention because he's not really
[582] 32:11	important to anything I do. So,
[583] 32:14	all right. Next on, moving on.
[584] 32:19	Uh Justin the Rhino asks, "Can demonic
[585] 32:22	deities that can't possess Christians
[586] 32:25	still affect a Christian physiology
[587] 32:27	through chemical alterations such as
[588] 32:30	hormones and such to give a false
[589] 32:32	feeling that pushes them to sin?
[590] 32:38	I think that would be a stretch even for
[591] 32:40	a demon.
[592] 32:42	Now, a demon can plant thoughts in your
[593] 32:44	brain to tempt you that it can do, but
[594] 32:48	that's more of a psychic thing than it
[595] 32:50	is a um um than it is a physiological
[596] 32:54	thing. I don't think there's anything
[597] 32:56	that a demon can do physiologically to a
[598] 32:59	Christian. um except maybe perhaps brute
[599] 33:02	force trauma. You know, a demon might be
[600] 33:06	able to throw something off a pot off
[601] 33:08	the wall at you and and and
[602] 33:10	physiologically alter you through brute
[603] 33:12	force trauma, but that's really that's
[604] 33:16	really more or less the extent of it. Um
[605] 33:21	he can't go into you and and and mess
[606] 33:23	around with your organs. He can't do
[607] 33:24	that. Uh, a demon also can't possess you
[608] 33:28	for the same reasons.
[609] 33:31	A but he can also inspire somebody to
[610] 33:35	beat you on the head with a baseball
[611] 33:36	bat.
[612] 33:39	So,
[613] 33:45	so and he can put thoughts in your your
[614] 33:48	mind to tempt you. That he can do.
[615] 33:51	But any any spirit can do that.
[616] 33:57	So,
[617] 33:59	uh, physiological chemical alterations,
[618] 34:01	no. Blunt force trauma. Yeah, sure.
[619] 34:07	Um, tempting you, yeah, sure. That's
[620] 34:11	really the extent of it, though.
[621] 34:17	All right, next one here is also from
[622] 34:18	Justin the Rhino.
[623] 34:21	He asks, "Can a person possessed by a
[624] 34:24	demonic entity cast out another demonic
[625] 34:28	entity possessing another person as a
[626] 34:30	form of mockery to God?"
[627] 34:35	It would be very unusual for that to
[628] 34:39	happen. In fact, Christ says, "Can can
[629] 34:42	Satan drive out Satan?
[630] 34:45	A house divided against itself will
[631] 34:47	fall."
[632] 34:50	Oh, we have to understand that when a
[633] 34:52	demon takes over a person,
[634] 34:56	that raises the stakes that raises the
[635] 34:59	stakes in the game.
[636] 35:02	You know, it it raises the stakes for
[637] 35:04	the human and it raises the stakes for
[638] 35:05	the demonic entity. Okay? So,
[639] 35:10	a demonic entity is not going to drive
[640] 35:12	out another demonic entity. It just
[641] 35:15	isn't going to happen
[642] 35:18	because it just um
[643] 35:24	it won't be a mockery to God to do that.
[644] 35:27	What it will do is it will weaken their
[645] 35:29	own position.
[646] 35:31	So you're just you're just not going to
[647] 35:33	ever see that happening even if it was
[648] 35:35	possible. So
[649] 35:38	yeah, Andy Gone Wild wouldn't want to.
[650] 35:41	Yeah.
[651] 35:49	Mama says, "Doc, that is a good
[652] 35:50	question. Can Satan actually drive any
[653] 35:52	demons out of anyone?" And the answer
[654] 35:54	is, um, practically no. Possible, maybe.
[655] 36:03	>> No. There are
[656] 36:07	conspiracies one of a better word where
[657] 36:09	that's part of
[658] 36:12	to look like
[659] 36:14	>> well Christ says that that doesn't
[660] 36:15	happen.
[661] 36:19	>> I'm thinking of what goes on in a lot of
[662] 36:24	with local.
[663] 36:26	>> Yeah. Even that though those are usually
[664] 36:28	temporary.
[665] 36:29	>> Yeah.
[666] 36:29	>> Those are those are paliotative. They're
[667] 36:31	not those are not true through through
[668] 36:35	castings out.
[669] 36:38	>> Uh Mama also asks
[670] 36:41	um does he even have that authority? And
[671] 36:44	that's a really actually a great
[672] 36:45	question. There is a question um does
[673] 36:50	Satan have authority over demons?
[674] 36:53	Um how much of of the forces of Satan
[675] 36:57	are voluntary?
[676] 37:00	You know, that's one of those things
[677] 37:01	that
[678] 37:03	um
[679] 37:05	that
[680] 37:08	given that
[681] 37:10	the fall of spirit world is a kind of
[682] 37:14	anarchy,
[683] 37:16	it's not really a kingdom as such. It's
[684] 37:19	more of an anarchy.
[685] 37:22	Uh there has been questions raised upon
[686] 37:25	how much power does Satan have even
[687] 37:28	within his little confines.
[688] 37:30	Now there there are questions whether
[689] 37:32	the ARK has that kind of power because
[690] 37:34	the ARK in a sense
[691] 37:39	rule by brute force
[692] 37:42	and Satan could have the power of an
[693] 37:44	ARK. That's possible.
[694] 37:47	But even then there's there seems to be
[695] 37:50	limits as to how much control
[696] 37:54	even the ark or Satan has over say the
[697] 37:58	whole uh unified forces of darkness. It
[698] 38:03	doesn't seem to be a a well-ordered
[699] 38:05	army.
[700] 38:06	Okay. It doesn't seem to be that that
[701] 38:09	doesn't seem to be the situation
[702] 38:11	happening here.
[703] 38:19	Yeah.
[704] 38:22	Where's that?
[705] 38:23	>> Uh oh. 840. Okay. Uh Andy Gone Wild says
[706] 38:29	this is like asking if a drug dealer
[707] 38:30	would help people get off of drugs.
[708] 38:32	Yeah. The answer is they had they could,
[709] 38:33	but no, they wouldn't.
[710] 38:42	Mega,
[711] 38:46	>> where you see that?
[712] 38:47	>> Bubble uh Trouble 840 also.
[713] 38:52	>> Bubble Trouble says, "Isn't he just like
