[0] 0:00	all right [Music]
[101] 14:54	so when I uh yeah that's what I would say too but I hope that helps thank you
[102] 14:59	much for the Super Chat very much appreciate it
[103] 15:06	okay uh the next Super Chat here is from Warrior of the most high
[104] 15:12	and yes when you become a a um
[105] 15:17	remember you can put in a essentially a Super Chat that looks like this so
[106] 15:24	anyway uh here we go how and when did you meet Ravi Zacharias
[107] 15:31	if I remember correctly you once mentioned that you had met him in person
[108] 15:37	oh boy well it was real short and real brief
[109] 15:43	and he did not want to be disturbed and now I know why
[110] 15:51	he did alert hurt a lot of people okay
[111] 15:59	no we'll give them the background yeah let me give them all the background
[112] 16:04	uh I met Ravi Zacharias when he came onto
[113] 16:09	the campus at uh Trinity Evangelical Divinity School where I was doing my mdiv at the time
[114] 16:16	okay I was just a student I had just come I I knew he was on
[115] 16:22	campus I mean it was just sort of everyone was talking about how Ravi Zac arrest was on campus
[116] 16:27	uh Ravi was actually a former alumnus of uh was an alumnus of of Ted's
[117] 16:35	he he had earned his mdiv there okay so so he he was former a former
[118] 16:43	student of that esteemed Institution well I was going to the same I was going
[119] 16:48	there as a student so you know I just got out of class and I walked and it was actually with were you there
[120] 16:55	with me oh okay
[121] 17:02	yeah I I he was outside the chapel he was outside the chapel I was talking on
[122] 17:07	one of his cell phones is now Infamous cell phones
[123] 17:13	and I sort of hung around him for a moment and it was really clear he did not want to be disturbed like okay
[124] 17:22	I don't know what's so important on the other end of that phone call but all right if you want to brush off a
[125] 17:29	student that's fine by me and so it's like okay I just continued
[126] 17:35	walking but oh yeah even then you you could just
[127] 17:41	tell who the guy was I mean he's the only guy on on campus that would I mean
[128] 17:47	would be dressed in a suit that good okay I had a very curious amount of
[129] 17:54	personality and um man the guy had nice suits I'll say that
[130] 17:59	you know he was he was he was sharply dressed in a gray suit
[131] 18:04	but then again you see where he put his priorities and none of this should surprise anybody
[132] 18:11	now we knew we do know he used these his cell phones to contract his mistresses
[133] 18:17	uh abroad so that was probably why he did not want
[134] 18:24	to get Disturbed now of course I feel don't feel so bad about you know making him feel
[135] 18:30	uncomfortable here's this Divinity student staring at him while he's calling his mistress
[136] 18:38	[Laughter]
[137] 18:44	so uh again so that's my that's my one interaction
[138] 18:50	with Ravi Zacharias
[139] 18:57	so anyway I hope that um made your day
[140] 19:02	um a thousand clever boy says I'm glad you
[141] 19:08	made him feel uncomfortable [Laughter] me too
[142] 19:14	[Laughter] he should have been ashamed of himself
[143] 19:19	he should have been ashamed of himself it serves him right I I totally agree
[144] 19:28	so anyway that is my one anecdote where I bumped into Ravi Zacharias
[145] 19:38	Slammer and said Deerfield probably didn't have any massage parlors uh no
[146] 19:44	certainly not you did not you feel definitely left for a massage parlors
[147] 19:55	that's why he had to keep taking flights to uh Louisiana
[148] 20:03	so anyway so so anyway
[149] 20:08	I want to thank you very much for that Super Chat very much appreciate it and that's the story
[150] 20:23	so anyway let's get to the next Super Chat
[151] 20:40	Kitty
[152] 20:48	alrighty super chats here
[153] 21:02	okay the next Super Chat here is from in Japan raphae for five dollars thank you
[154] 21:09	very much for the Super Chat were you ever enter ever into Iron
[155] 21:14	Maiden when they released their Egyptian themed uh album Power Slave no I was no
[156] 21:20	I was never into Iron Maiden for some reason I just did not get into the music
[157] 21:28	I I just never had exposure to them so now interestingly there you mentioned
[158] 21:36	Iron Maiden they were just in Vancouver like a couple days ago I was actually uh taking the sky Train
[159] 21:43	past uh BC Place Stadium and there was a big crowd you know I stopped in there because
[160] 21:50	that's the Costco I go to that's my local Costco
[161] 21:57	Uber confirmed Dr Falk shops at Costco
[162] 22:03	but across the street is BC Place and there's a huge crowd out there I
[163] 22:08	couldn't quite figure out the crowd I mean it was a weird mix of like old people and teenagers I mean it was just
[164] 22:14	like okay what's what's going on here so you know I finished shopping off at
[165] 22:21	Costco and I go back on the sky dream and then I see this big sign Iron Maiden
[166] 22:27	okay
[167] 22:33	so BC Place I'm famous
[168] 22:38	well we get our fame or we can
[169] 22:43	[Laughter]
[170] 22:52	so so that's sort of that's as close as I've ever gotten to Iron Maiden essentially outside of a
[171] 23:00	stadium which means I haven't gotten I've never seen them at all so for me it's just
[172] 23:08	aren't they uh BC aren't they a bit old iron walking aids more like it well
[173] 23:15	uh certainly you could you could tell you could tell the mix of the crowd was like that I mean it was basically people
[174] 23:22	my age people my age and it was a very mixed crowd very mixed crowd so
[175] 23:31	um yeah but then again all those all those rockers from the 1980s are
[176] 23:38	some of them are starting to push up daisies because let's face it you know we're all Mortal we're all mortal and
[177] 23:45	time is time is hard on us all still anyway no I never got into Iron
[178] 23:51	Maiden was not quite my listening style at least nothing I heard sort of caught me so
[179] 23:58	anyway uh thank you very much for the Super Chat very much appreciated and uh hope
[180] 24:04	that answers the question okay Cody McGee for 199 question below
[181] 24:10	and he asks a serious question
[182] 24:16	he asks in your genealogies video you mentioned how shieltiel son of jeconiah could have
[183] 24:24	been married to nary's daughter would this mean that Jesus was a blood descendant of jeconiah
[184] 24:31	if so how would this work given the curse in Jeremiah 28 22 to 28 to 30. all
[185] 24:37	right let's bring up the passage Jeremiah
[186] 24:46	22. and 28 to 30.
[187] 24:56	book here do
[188] 25:04	okay Bible here
[189] 25:16	okay and the text reason will start at verses verse 28.
[190] 25:21	is it is this man kunaya a despised shattered jar or is he an undesirable vessel
[191] 25:31	well we're gonna get to that why have he and his descendants been
[192] 25:36	hurled out and cast into a land that they had not known oh land land land hear the word of the
[193] 25:43	Lord thus says the Lord write this man down childless
[194] 25:48	a man who will not prosper in his days for no man of his descendants will
[195] 25:54	prosper sitting on the throne of David or ruling again in Judah
[196] 26:00	all right so what's going on here
[197] 26:08	now we have one of the things we have to understand about any curse in the Bible is that it is not absolute
[198] 26:17	any curse in the Bible can be moderated by measures of Grace
[199] 26:22	like for example we see in Isaiah 39 7 where the descendants of Hezekiah
[200] 26:30	are declared that they will be made eunuchs but not all of them become eunuchs
[201] 26:38	okay so we have to be a little careful here not to overread the text
[202] 26:45	all all say curses here have limits
[203] 26:52	and what limits it is Grace there seems to be exceptions to most curses in the
[204] 26:59	biblical text so we have to keep that in mind when we look at a cursed text
[205] 27:04	that even though it might sound absolute to our ears it's not necessarily so
[206] 27:10	Grace can change anything like for example it says that um mobile enter the
[207] 27:17	congregation for 10 Generations well David is a fourth generation
[208] 27:22	moabite how is he allowed in the assembly race
[209] 27:30	now um this is um the Kanaya here is actually not a
[210] 27:37	jeconiah okay so that's one of the things we have to keep in mind that we have we can't confuse Kanaya with jeconiah of the
[211] 27:45	genealogies the the man Jack and I uh kunaya is
[212] 27:52	identified as the son of jehoiakim so this is jehoiah chin
[213] 27:59	okay and we know that jehoshin had seven sons
[214] 28:04	according to First Chronicles 3 17. so there are descendants of this man
[215] 28:13	so what we're getting going to get at here is as we read the verse we have to keep in mind here that there's nuances
[216] 28:20	here verse 28 like for example is this man Kanaya a despised shattered jar
[217] 28:28	yes and no okay um easy is not he he is not sort of the
[218] 28:36	perpetrator of the crimes but he is the guy who's pulling the bag
[219] 28:42	or hizzy an undesirable vessel I mean if we back up even a bit more here
[220] 28:51	uh verse 24 as I live declares Lord even though son of jehoiakim a Judah or a
[221] 28:59	Signet ring on my right hand yet I pull you off and I shall give you over into the hand of those who are seeking your
[222] 29:05	life yes into the man into the hand of Those whom you dread even the hand of
[223] 29:11	Nebuchadnezzar King of Babylon and into the hands of the Chaldeans
[224] 29:16	I shall hurl you and your and your mother who bore you into another country where you were not born and there you
[225] 29:23	will die which is what happened to joyachin but as for the land which they desire to
[226] 29:30	return they will not return to it well okay ultimately his descendants did
[227] 29:36	return is this man a despised cheddar jar
[228] 29:42	in this particular case probably but the implication is no
[229] 29:49	or is he an undesired a desirable vessel again it's a rhetorical question the
[230] 29:54	answer is again no why have he and his descendants been hurled out and cast into a land that
[231] 30:01	they had not known because of the sins of his parents and the sins of the nation again this is old
[232] 30:08	Covenant this is old Covenant creep in it where it's not just you who are responsible for your sins but the sins
[233] 30:14	of your parents you're responsible for the sins of your parents you're responsible for the sins of your grandparents Etc and you see that in say
[234] 30:22	Jeremiah 31 31. so verse 29 o land land land hear the
[235] 30:30	word of the Lord thus says the word of the Lord write this man down childless now this is not saying he's going to
[236] 30:36	have no descendants that's not saying this at all in fact we know from the book of Chronicles again the man had lots of
[237] 30:42	children and not all of them were made eunuchs some of them would be produced
[238] 30:51	but if the text defines what it means by that a man who will not prosper in his days
[239] 30:58	so it's right down that so think of it this way it's not saying the Texas here
[240] 31:04	is not saying that he won't have any children it's that he won't have any Legacy
[241] 31:10	posterity being childless here is a euphemism for
[242] 31:15	posterity basically what sort of what sort of family have
[243] 31:23	what sort of a claim what sort of Legacy will he leave I mean he is technically the last living
[244] 31:29	king of Judah and he's going to end up having nothing
[245] 31:34	he's going to be eating from Nebuchadnezzar's table and we know that this was the case because there's actually connect from
[246] 31:41	tablets showing that he got a ration of wine oil and grain
[247] 31:48	and bohem and his his children
[248] 31:53	so and it goes on for no man of his descendants will prosper sitting on the
[249] 31:59	throne of David or ruling again in Judah again this is true in a very literal sense
[250] 32:06	that none of the descendants of the davidic Kings end up ruling Judah again
[251] 32:13	yeah some of them become governors but none of them become king
[252] 32:20	none of them will sit on the throne of David or ruling again over Judah
[253] 32:25	but this is again true of all the davidic line this is why when we when we look at say
[254] 32:32	the the um how this works in the case of Jesus
[255] 32:39	as a blood descendant of the Lion of David he's not he's not part of the tree he's
[256] 32:45	he's um a sucker suckling off the side of the tree you know basically the the tree has
[257] 32:53	been cut off but a shoot grows out of the stump
[258] 32:59	this is called the um the branch of Jesse
[259] 33:04	okay so that's the image just trying to portray that the line of Kings is gone nobody will sit on the davidic throne
[260] 33:11	over Judah but Christ will still have his particular destiny
[261] 33:17	as king of kings Lord of lords and the descendant of David
[262] 33:23	so it's one of those things where the curse is not absolute and no curse in the Bible is absolute
[263] 33:31	so we have to take for example sort of we we have to weigh here what is the
[264] 33:37	what's the prophetic line of of Christ versus the limitations of any sort of
[265] 33:43	curse so anyway I hope that helps explain what's going on in the text here that
[266] 33:48	there's limits to the curses no curse in the Bible's absolute there's always exceptions
[267] 33:54	just as Hezekiah didn't have all his offspring neutered
[268] 34:00	uh same that jeconiah did not uh sorry
[269] 34:06	um did not have all his children neutered in the same way and thus the
[270] 34:11	line of the davidic line was preserved so and I I hope that helps thank you
[271] 34:17	very much to the Super Chat very much appreciated
[272] 34:25	all right ass and we are for 4.99 so since Monday how many death threats have you received none and I hope to keep it
[273] 34:32	that way please don't provoke that okay uh we've had some threats
[274] 34:39	but not from the ABR crowd fortunately uh ABR crowd does not go after you
[275] 34:45	physically okay I won't say which crowd has
[276] 34:51	but um ABR does not threaten your life they threaten your pro your they threaten
[277] 34:57	your economic well-being they attack you financially that's how AVR does its thing
[278] 35:05	so uh so just to make it clear they don't
[279] 35:11	do that that's not their Style and thank God
[280] 35:19	but you know they'll they'll attack your reputation they'll attack your
[281] 35:24	um Financial Security that they'll attack they have no problem with that that's what much more what they do
[282] 35:30	uh so I wanted to thank you for the Super Chat very much appreciated
[283] 35:37	as somewhere for 4.99 should I send ABR your latest video just to stir the pot no need they already
[284] 35:44	know they're well aware they're well aware of what's going on my channel they monitor my stuff all the time
[285] 35:51	monitor their stuff they monitor me I monitor them they know what's going on in my world I
[286] 35:58	know what's going on in their world it's kind of like it's kind of like they taunt
[287] 36:03	we know what each other is doing so
[288] 36:10	so you know yeah that's uh there's no need to stir the pot they already know
[289] 36:17	so thank you for the Super Chat very much appreciated
[290] 36:27	David Bond for five dollars thank you very much the Super Chat do you judge people for using begs the
[291] 36:34	question incorrectly or do you judge people who nitpick since usage is
[292] 36:40	sometimes said to determine meaning I I judge people who use a black and
[293] 36:46	white fallacy only two options in this question
[294] 36:52	[Laughter]
[295] 37:04	seriously I don't I don't judge people who who use that begs the question incorrectly you know because there's
[296] 37:11	frankly there isn't actually a proper idiom in English for raising a question
[297] 37:18	um you know we'll sometimes say demands the question or raises the question and it doesn't sound quite right in
[298] 37:25	English so people do um use the you know what they think
[299] 37:32	sounds like begging the question you know it's like yeah it's not big in the question I know it's not begging the question
[300] 37:39	so I I myself have tried to make it make it a point not to do that myself not to
[301] 37:44	misuse the term begging the question people do it all the time in English
[302] 37:51	at the same time too um I don't nitpick on stuff like that
[303] 37:58	I would rather nitpick over what they're actually saying than over
[304] 38:05	um semantics of English you know there's it takes energy to nitpick
[305] 38:11	yeah [Laughter]
[306] 38:17	it takes energy to nitpick it and I just don't have the energy to nitpick more frankly to judge on people's
[307] 38:23	English so you know I don't do either I don't do either
[308] 38:31	now content oh yeah if you get the content wrong
[309] 38:36	yeah sure I'll point that out all day long you know if you make mistakes a fact uh
[310] 38:42	mistakes of logic you know frankly somebody's using the term begging the
[311] 38:48	question incorrectly isn't actually committing a logical fallacy they're
[312] 38:56	they're creating basically a an error of diction or grammar really
[313] 39:03	they're they're they're misusing an idiom
[314] 39:08	and for me that's such a peccadillo it's just not worth my time I've got bigger fish to fry than that
[315] 39:19	so anyway I hope that helps thank you very much for the Super Chat very much appreciate it
[316] 39:36	uh call me Ado 007 for five dollars thank you very much the Super Chat
[317] 39:41	hi Dr folk what did God mean in Genesis 11 6 that nothing men imagine will be
[318] 39:48	impossible oh oh that is an interesting little Passage
[319] 39:54	this is at the Tower of Babel you bring up the passage here
[320] 40:00	this 11.
[321] 40:13	all right I'll bring up I'll start reading it at first four here and they said come let us build for
[322] 40:19	ourselves a city and a tower whose top will reach to the heaven into heaven
[323] 40:24	and let us make for ourselves a name lest we be scattered abroad or the face
[324] 40:29	of the Earth and the Lord came down to see the city and the tower which the sons of men had
[325] 40:35	built all right interesting here here's here's a very
[326] 40:41	very interesting thing here um we'll see um and
[327] 40:49	we see here the sons of men tons of men that's again
[328] 40:56	we've talked in on this channel about the sons of God but we've also touched on say the
[329] 41:02	daughters of Adam this is the sons of Adam okay
[330] 41:08	the particular of what's going on here is we have a
[331] 41:14	this is a religious thing so when it says come let's build for
[332] 41:19	ourselves a city and a tower it means ziggurat essentially whose top will reach into heaven now
[333] 41:25	it's not saying it's going to go up into heaven that's what I was saying it's going to reach into heaven so it's going
[334] 41:31	to allow men to to do religious rituals up to the gods or God at per se
[335] 41:40	and they're doing it for a specific reason they're doing it to make a name for
[336] 41:46	themselves to make themselves famous so they don't be scattered because
[337] 41:52	they're resisting the urge here to be scattered across the Earth you know they're they were told you know when
[338] 41:58	they came out of the Ark to be fruitful and multiply and spread out over the Earth they're resisting that call from
[339] 42:04	God to do that so they're making a city here they're making a religious
[340] 42:10	institution to keep the people United and in one place
[341] 42:18	verse six says now this gets to your passage as I say this fascinating Passage
[342] 42:24	and the Lord said behold they are one people and they all have the same language
[343] 42:30	and this is what they began to do and now nothing they purpose to do will be
[344] 42:37	impossible for them okay the idea here is
[345] 42:43	they've they're all speaking the same language they're all starting to cooperate
[346] 42:49	and they're cooperating as one people absolute Unity
[347] 42:57	and they're able to share all everything they know in one language
[348] 43:05	so the concern here
[349] 43:10	is that that men will because they have that
[350] 43:15	Unity across the whole scope of humanity they could start conceiving things and
[351] 43:22	making them possible just by sheer force of will
[352] 43:27	one of the things we have to understand is like in the 20th century even the 21st century we've essentially
[353] 43:34	become a um how do I say this
[354] 43:41	we've become a global people United by one language
[355] 43:49	the world speaks English this is a freak of colonialism
[356] 43:55	but an accident colonialism but it has turned out that we today
[357] 44:02	uh essentially are speaking one language every sort of major civilized country
[358] 44:09	in the world has some percentage of people that speak English
[359] 44:16	and we have seen a vast technological change
[360] 44:22	in Improvement engineering wonders things people would have never imagined
[361] 44:27	to be even possible people are doing today
[362] 44:33	so you know there's actually a real concern here that okay they're building the Tower of
[363] 44:39	Babel today tomorrow they're building nukes
[364] 44:46	this is what's going on here is that that that Unity of language and purpose
[365] 44:51	can lead to much greater technological change than man is really
[366] 44:58	ready for so that's what's going on here is that
[367] 45:06	there's there's that potential for a man to destroy himself
[368] 45:13	so this is this is this is that this is what it means that nothing men imagine
[369] 45:18	will be impossible okay because again they have they'll have the
[370] 45:25	resources they have the communication and they have the unity of purpose
[371] 45:30	and that's really what Babel's BR doing here is it's destroying that when they come down and they they confuse their
[372] 45:36	language now the languages of the world did not really come from Babel and this is not
[373] 45:43	actually the the origin of language but it is
[374] 45:48	basically it's trying to communicate that through the changing language
[375] 45:54	God is disunifying the people disunifying mankind
[376] 45:59	Gathering them out and he's scattering him now so they
[377] 46:06	can't build weapons of mass destruction or do other things that are potentially
[378] 46:13	extremely harmful that they're not ready to do
[379] 46:19	it's not that those things won't eventually come be part of man's
[380] 46:26	um technological prowess but it is saying that
[381] 46:32	like all things there's a time and a place so anyway I hope that helped thank you
[382] 46:39	very much for the Super Chat very much appreciated it's a fascinating passage really really fascinating Passage
[383] 46:46	and it shows the power of of basically language and purpose really it does
[384] 46:53	so thank you for the Super Chat very much appreciated
[385] 47:06	okay next Super Chat here
[386] 47:17	is from Paul Thompson who became a member here uh does this count as a super chat if so
[387] 47:24	please sponsor aeiou and their question grateful to
[388] 47:30	have been gifted my membership well we love the fact that you've been gifted to membership so thank you Jack Ray
[389] 47:39	oh I found it it's at the beginning um
[390] 47:44	this question right here okay uh it's a hi Dr Falk Macabre
[391] 47:50	question Deuteronomy 22 21 is interpreted as relating to the cross and
[392] 47:55	Christianity but what about its initial context did the Israelites execute
[393] 48:02	display criminals by hanging or impaling now
[394] 48:07	um I'm not sure this is the right passage
[395] 48:13	this might be the wrong Passage though this might actually I might
[396] 48:19	actually need to have this one clarified because when I go to Deuteronomy
[397] 48:27	22 verse 21.
[398] 48:36	um I get a very very different passage here which says then they shall bring out the
[399] 48:43	girl to the doorway of her father's house and the men of her City shall Stone her to death because she was
[400] 48:48	committed an act of folly in Israel by playing the Harlot in her father's house thus you shall Purge evil from among you
[401] 48:55	so I'm not sure how this this verse relates to the passage
[402] 49:01	so um I think you might mean a different
[403] 49:06	Passage let's see if there's anything else that could possibly fit this here
[404] 49:15	numbers 22.
[405] 49:22	no yeah I just I I would need I would need
[406] 49:28	that passage clarify before I comment on this so unfortunately I'm gonna have to give this question a Miss just because the
[407] 49:34	passage doesn't relate in any way the question as far as I can tell
[408] 49:40	so there's a verse uh Paul Thompson okay there's a verse about cursed for hanging
[409] 49:46	on the tree yeah okay uh let's see if we can find that then that's what he's talking about here but
[410] 49:53	it's not in Deuteronomy I don't think at least not that part
[411] 49:59	so let me do a quick search here
[412] 50:05	thank you patui all right so it's Deuteronomy
[413] 50:12	21 23. all righty okay that makes a difference
[414] 50:23	yes do check your Bible verses before you're posting your questions okay
[415] 50:34	uh verse 22. we'll start verse 22 and so if you've
[416] 50:40	done like 21 22 to 23 we would have found this easily okay so the the
[417] 50:45	passage says and if a man has committed a sin worthy of death and he is put to death
[418] 50:50	and you hang him on a tree his corpse shall not hang all night on a tree but you shall surely bury him the same
[419] 50:57	day for he is hanging he who is hanging is accursed of God so you shall not do
[420] 51:04	defile the land which the Lord your God gives you as an inheritance okay
[421] 51:11	here's what's going on in the ancient world in the ancient world people would do
[422] 51:18	this now again this is you you've you've articulated that this is a Macabre question and
[423] 51:23	that is definitely true okay
[424] 51:28	typically the way executions were done in ancient Israel was by stoning
[425] 51:34	they'd basically take you out and they'd Stony basically hurl stones at you until you're dead
[426] 51:39	but they would also take your body and hang it somewhere as an example
[427] 51:45	so they put a note on you essentially they'd write on a little sheet of paper parchment
[428] 51:51	and pin the offense to you as they sort of hang up
[429] 51:58	and my producer ads and all Israel shall be afraid
[430] 52:08	it did have a quieting effect you're right you're absolutely right it did have a wedding effect okay however
[431] 52:17	once that that sort of that purpose of you know the stoning and the hanging was
[432] 52:24	done you are supposed to take that corpse down and give it a proper burial
[433] 52:33	because the Justice had been served at that point
[434] 52:39	Justice that had been served and the the body was richly unclean
[435] 52:46	it's ritually unclean so you did have to to
[436] 52:54	um to take that body down to prevent the land itself from being defiled
[437] 53:02	okay so
[438] 53:07	so there was limits to what you could do with a dead body and again a lot of this is to prevent
[439] 53:14	barbarism just prevent barbarism okay so they didn't hang people they didn't
[440] 53:21	execute people by hanging that wasn't something Israelites did they'd execute You by stoning
[441] 53:27	or sometimes strangulation they did do that too on very rare occasions like for example the penalty for adultery was
[442] 53:34	strangulation but once that was done they'd hang your corpse until sunset
[443] 53:42	and with the note just to show everyone don't do it
[444] 53:47	be afraid to sin and then they take you down they bury you okay
[445] 53:52	so um but here's the thing the whole idea
[446] 53:59	of this uh relating to Christ This is a what's called a typological Act it's topology
[447] 54:07	it's topology so that when it comes time for you know uh Jesus's execution
[448] 54:15	you know once he's dead the and you got the the pass so you got
[449] 54:20	the you got the um the sabbath coming Sabbath's coming I
[450] 54:28	mean you can't have a criminal hanging on a cross over Sabbath that would be that would be horrible
[451] 54:35	so you know they insist that they kill them before the end of Sabbath and before the beginning of Sabbath and then
[452] 54:41	you know they can take the bodies down
[453] 54:47	but that original context was to be a sign essentially to to warn others not
[454] 54:53	to sin and but it was again for a very very short public display
[455] 55:01	basically to show that that the deed had been done the act of punishment had been done the
[456] 55:07	guilty had been punished and then they receive a proper burial
[457] 55:14	and then it's also as my producer points out again it's to show that justice has been done
[458] 55:21	so it wasn't just to create fear it was to show that Justice had been served
[459] 55:26	so anyway that hope that answers your question thank you very much for the question and thank you for the sponsored
[460] 55:31	Super Chat
[461] 55:37	okay
[462] 55:51	okay Kwame Adu 007 for five dollars thank you very much for the Super Chat
[463] 55:57	why would the Sadducees not believe in angels or Spirits if they are present in
[464] 56:03	Torah oh oh that's an interesting question
[465] 56:12	in some way I mean yeah you can't you can't separate Sadducees from sort of
[466] 56:17	the temple cult essentially they were the they were the Levites that still served
[467] 56:25	in the temple and everything they did was sort of revolved around this
[468] 56:32	now they had sort of they had a hellenized kind of Judaism
[469] 56:40	so they were not divorced from in many ways the administrative infrastructure
[470] 56:47	of Hellenistic world
[471] 56:52	so you saw sometimes sometimes see the term scribes and and you know Pharisees
[472] 56:59	okay and or scribes and Sadducees the whole idea here is
[473] 57:07	um the the herodians the herodians that there was a very very close ties to the
[474] 57:15	herodians which are essentially hellenized um scribes essentially Israelites who
[475] 57:22	had basically become inculcated in say the literature of the Hellenistic world
[476] 57:31	so the Sadducees had become basically effective materialists
[477] 57:38	through their hellenization and because they've become effective
[478] 57:44	um materialists they didn't believe in an afterlife
[479] 57:51	okay they didn't believe in angels didn't believe in spirits they still believed in God
[480] 57:58	but that there was no other Spirits or Angels or anything else running around
[481] 58:03	in many respects their view was a monolithic monotheism
