[0] 0:00	all right
[241] 29:38	she was sold she was a concubine and he may not be a priest but he is a
[242] 29:45	levite so he is supposed to be um he is supposed to be doing religious
[243] 29:52	Services you know he is supposed to be a religious figure within Israel
[244] 30:02	yeah it's just this is just this is awful yeah and and it does sort
[245] 30:08	of mimic what happened at Sodom and Gomorrah so it just sort of shows how badly the
[246] 30:16	and again we were talking here about the Book of Judges so and the end of the Book of Judges you know
[247] 30:22	um like say the Book of Joshua where you have say you start with good good tribes
[248] 30:29	then with bad tribes here you have you know um
[249] 30:34	um good judges and it ends with no judges and Anarchy essentially
[250] 30:40	so you know this is this is the end of the Book of Judges where bad things are
[251] 30:45	happening so anyway I hope that answered your
[252] 30:51	question it is it is very much cultural context but it is a cultural context that deals with the shame culture
[253] 30:57	and unless you look at this through the lens of a shame culture you can't really understand it
[254] 31:02	so anyway I hope that answers your question I know you got a few more on this particular passage we're going to get right to them I uh really really
[255] 31:09	appreciate it I hope that helped okay so the next one here
[256] 31:15	book uh judges 1929 is it literal did a
[257] 31:20	lot he did he lied to the Israelites to spark anger by sending them pieces
[258] 31:25	making it seem like it was the benjaminites yes it was so the verse here in question is
[259] 31:32	um so we'll read a little more of the passage uh verse 27 when the master arose in the morning and
[260] 31:38	opened the door and went out on his way then behold his concubine was lying at
[261] 31:43	the doorway of the house with her hands on the threshold and he said I said to her get up let us and let us go but
[262] 31:51	there was no answer that he placed her on a donkey and the man arose and went to his home okay so
[263] 31:57	she's not dead now she's not dead she he just she's just unresponsive he throws her on on
[264] 32:03	the donkey like a wet sack verse 29 when he entered his house he
[265] 32:09	took a knife and laid hold of his concubine and cut her into 12 pieces he
[266] 32:15	laid hold of her you know he used a strong force the the
[267] 32:22	Hebrew here is kizak he's restraining her as he chops her up
[268] 32:30	this is this guy is a dirt bag
[269] 32:35	this guy is a dirtbag and he cuts him up into 12 pieces limb by limb and sends her throughout the territory of Israel
[270] 32:42	okay so absolutely he's lying about this
[271] 32:48	and verse 30 and it came about that all who saw it said nothing like this has ever happened or been seen from the day
[272] 32:54	of the sons of Israel came up from the land of Egypt to this day consider it take counsel and speak up
[273] 33:01	so basically this is a morality tale this is basically saying hey this is the
[274] 33:06	worst one of the worst things that's ever happened in the history of Israel think about it
[275] 33:13	talk about it and speak up don't let Injustice go unaddressed in
[276] 33:19	your midst so
[277] 33:25	so there's there's a lot here that's going on so yes he did
[278] 33:32	essentially he did essentially lie to the Israelites basically saying that the benjaminites did this
[279] 33:37	this levite did this yes the benjaminites did
[280] 33:45	savager absolutely and left her with on unresponsively I mean they did brutal
[281] 33:51	things to her but they didn't kill her the Levi killed her
[282] 33:57	they're both wrong they're both evil men you know the benjaminites were evil and
[283] 34:04	then so was this levite this is how badly the morality of of Israel had
[284] 34:10	slipped
[285] 34:15	so anyway uh yes he basically was using the
[286] 34:23	he's using these to provoke anger in the Israelites so that he could extract his
[287] 34:28	revenge on the benjaminites so and after this this is the last we
[288] 34:34	hear about this this levite he just starts a war and just slips away and you
[289] 34:39	he's just he's like he's like that that that little little weak kid on the on on the
[290] 34:46	playground that likes to get two two big strong guys to fight just for his personal entertainment
[291] 34:53	that's what this guy is
[292] 34:59	yeah yeah but he was sending a message
[293] 35:05	and he was a and and he was trying to get revenge to uh ameliorate his shame
[294] 35:13	no he wasn't no he wasn't revenging his concubine he didn't give uh I'll put Gaius octavius's
[295] 35:21	comment here the levite could have said all that without killing the poor woman yes he could have but he didn't care about the poor woman
[296] 35:28	he didn't care about in fact the whole reason he went back to gecker was again because of Shame
[297] 35:34	you know she played the Harlot because he's a dirt bag and
[298] 35:40	Lee she leaves him and now he's shamed that his slave uh because his concubine
[299] 35:46	has has left so he's going back to to retrieve his property
[300] 35:53	again he's covering up his shame you know you even have to ask what's a
[301] 35:59	Levi doing with a concubine in the first place you know so
[302] 36:09	uh so you know there's yeah he could have sent messages but
[303] 36:14	without a body part uh it wouldn't have had the same dramatic effect
[304] 36:20	but then again that's how this levite's thinking he's selfish
[305] 36:27	he's he's completely self-centered he only cares about him and he doesn't care
[306] 36:32	who he hurts in the process this is just this is just what that Dirtbag did
[307] 36:41	okay so we'll take the next Super Chat here It's the final follow-up to this
[308] 36:51	up here
[309] 36:58	okay and then I'll get Robertson for another Swedish 50 squeeze Runners thank you very much for the Super Chat
[310] 37:05	and he says judges 20 20-28 why did not God allow them to win directly and does
[311] 37:11	all this tie to a bigger meaning behind it all and do you have a favorite Psalm
[312] 37:17	yes I do have a favorite Psalm I like Psalm 1. it's my favorite song okay
[313] 37:22	uh but the the the greater meaning okay let's let's take a look at that passage here
[314] 37:28	so we're stepping into Judges chapter 20 here joining 228
[315] 37:35	okay and the men of Israel went out to battle against uh Benjamin and the men of
[316] 37:42	Israel arrayed for battle against them at gibia and the sons of Benjamin came out of gibia and felled on the ground on
[317] 37:49	that day 22 000 men of Israel but the people the men of Israel encouraged themselves and raid for
[318] 37:55	battle again in the place where they had raid themselves the first day and the
[319] 38:00	sons of Israel went up and wept before the Lord until evening and inquire the Lord saying shall we
[320] 38:07	again draw for battle against the sons of my brother Benjamin and the Lord said go up against him okay
[321] 38:14	and then the sons came up against the sons of Benjamin the second day and
[322] 38:20	the Benjamin went out against them from gibia and the second day and fell to the ground again eighteen thousand men of
[323] 38:26	the sons of Israel all these drew the sword then all the sons of Israel and all the
[324] 38:32	people went out to came to Bethel and wept the thus they remained there even before the Lord fasted that day until
[325] 38:39	the evening and they offered burnt offerings and peace offerings before the Lord
[326] 38:45	and the sons of Israel inquired of the Lord for the Ark of the Covenant was there in those days and Phineas the
[327] 38:51	Elder the Phineas the son of eliasers Aaron's son stood before to minister
[328] 38:56	those days saying shall I yet again go to battle against the sons of my brother
[329] 39:02	Benjamin or shall I cease and the Lord said go up for tomorrow I will deliver them into your hands okay
[330] 39:11	now there was there's a a little bit of of nuance In
[331] 39:18	this passage here the the sons of Israel
[332] 39:26	didn't inquire of the Lord should they go at the beginning
[333] 39:32	okay they more or less go
[334] 39:37	their first their first inquiry of the Lord is actually in verse 18. where it says now the sun's arose and
[335] 39:43	went to Bethel and inquired of God and said who shall go up first for us to
[336] 39:49	battle against the sons of Benjamin the Lord said Judah shall go up first
[337] 39:57	that's why they didn't get the victory they didn't ask
[338] 40:03	they presumed okay they're supposed to ask of the Lord
[339] 40:10	do we go to war and then God could hand them the victory
[340] 40:30	yeah yeah we have we have a similar instance of this in say the book of uh I
[341] 40:35	think it's uh either I think it's Samuel where where uh it's David uh goes up to
[342] 40:43	um presume sort of that uh and I with an identical uh tactical
[343] 40:49	situation and um he inquires the Lord and the Lord says no we want you to do I want you to
[344] 40:55	do something else and and we see this we see this happen when there are say these presumptuous
[345] 41:02	battles Saul does this and loses at times you know they'll presume that it's in
[346] 41:08	their prerogative to go to war so in this particular case the
[347] 41:13	Israelites didn't ask they just said okay who shall we send first
[348] 41:19	they already made the decision without God so there wasn't a way that God would
[349] 41:25	hand them an easy victory because there's not um
[350] 41:30	there's not that everyone here is gone off the rails everyone here has gone off the rails the
[351] 41:37	Levites have gone off the rails the benjaminites have gone off the rails the other the other tribes of Israel have
[352] 41:43	gone off the rails they're going all going off the rails in different ways and it ends up in this huge mass of
[353] 41:51	bloodshed believe it's a murdering dirtbag
[354] 41:57	the benjaminites are worthless men worthless men
[355] 42:05	the Israelites are bloodthirsty as well they want they want
[356] 42:10	retribution you know because because of this this act
[357] 42:16	but they didn't ask God because they didn't ask God they couldn't get the victory not immediately
[358] 42:22	and then when they finally do ask God
[359] 42:28	you know when they do ask shall we go again the Lord says okay yeah go up against
[360] 42:34	them this time I will deliver him into your hands
[361] 42:39	so it's a matter of process okay it's a matter of process there's a
[362] 42:46	process in ancient Israel for going to war the process as you inquire of the Lord
[363] 42:52	do I or do I not go to war if I go to war if you say yes how do I
[364] 42:58	go to war so these are important considerations when you look at these biblical
[365] 43:03	narratives so
[366] 43:09	anyway
[367] 43:17	um take that too uh follow up button on Super Chat here Saint Ronin the shadow
[368] 43:22	Saints says now how did the Levites get judged in the same way
[369] 43:29	okay the 12 tribes were there that's what the text says so
[370] 43:34	there were there were Levites that were also dead on the deck because of that one levite
[371] 43:41	so it's not just it's not just you know the benjaminites and
[372] 43:48	they get judged here but all of Israel is facing a certain judgment
[373] 43:54	um again no one's acting the way they should so there's this is not a happy ending as
[374] 44:00	it were which is why again we are being we being told really early
[375] 44:06	on in say um that verse 30 of chapter 19 consider it
[376] 44:14	take counsel speak up all right so
[377] 44:23	so this is this is just this is you know
[378] 44:29	it's a it's a it's a basically a statement that they said at that time but they also you know were not
[379] 44:38	acting in righteousness either so
[380] 44:43	you know um it's one of the worst events that ever happened in in Israel
[381] 44:49	uh bar none so anyway I hope that helped thank you
[382] 44:54	very much for that question very much appreciated but yeah they're they're dead on the deck too essentially they
[383] 44:59	lose a lot of people um everybody loses a lot in this one
[384] 45:05	um cousin we have in verse say uh judges 20 verse two and the chiefs of all the
[385] 45:12	people even all the tribes of Israel took their stand in the Assembly of the people of God 400 000 foot soldiers who
[386] 45:19	drew the sword so the Levites are there also
[387] 45:24	yeah they're also there to paying the price for their their dirt bag brother
[388] 45:31	so anyway um we're gonna end this question here
[389] 45:36	thank you very much for the questions we really appreciate it
[390] 45:48	okay
[391] 45:58	so we're apps
[392] 46:07	hey we have here BC for two dollars Australian sponsoring question by Nino KR 777 about
[393] 46:14	David's son all right
[394] 46:20	and he says asks why did God kill David's son why was he part of the
[395] 46:26	Judgment against David's sin okay well uh
[396] 46:32	foreign something had to happen for there to
[397] 46:38	have been judgment against David something had to happen that hurt
[398] 46:44	okay we have to remember in the case of the Judgment against
[399] 46:50	um David's son son of David and Bathsheba that Bathsheba was wife of Uriah the
[400] 46:57	hittite it was a righteous Gentile he was a righteous Gentile
[401] 47:04	and he had served faithfully and loyally
[402] 47:11	yeah he was one of his top military men and David has him killed to cover up his
[403] 47:19	infidelity okay David's infidelity yeah
[404] 47:26	so uh when you have something that outrageous where everybody knows about
[405] 47:33	it and Nathan the prophet made sure everybody knew about the sin
[406] 47:39	you know he Nathan goes into David's Court and he says a terrible crime has been
[407] 47:46	done in Israel terrible sin and Nathan says
[408] 47:51	there is a man who has a hundred sheep and he kills his neighbor
[409] 47:58	to get his one sheep one sheep he covets
[410] 48:05	and then David says who is this man he has done this terrible crime and Nathan
[411] 48:10	points the finger goes Batman is you
[412] 48:16	yeah that definitely takes cajones so
[413] 48:21	David has condemned himself and Nathan basically says that you have condemned yourself
[414] 48:29	how do you punish a king how can a king be punished he can't he's
[415] 48:34	not going to do a capital punishment against himself because that's that's the that's the price for murder
[416] 48:40	okay it's the price for murder it's the
[417] 48:46	it's the when somebody murders somebody according to Torah law
[418] 48:52	the death penalty must apply and it's it's one of the few Torah laws that
[419] 48:57	cannot be um just you know covered over with a an
[420] 49:03	offering or a or Price a fine murder requires blood
[421] 49:11	murder requires Blood for Blood it says it's Lex teleonis
[422] 49:16	and it's it's the maximum because of the severity of this crime
[423] 49:22	so the fruit of that infidelity will then
[424] 49:27	have to be the next step so because David's sin was so great
[425] 49:35	God used a great judgment in this particular case the death of his
[426] 49:42	son for son with Bathsheba now
[427] 49:47	there is God ends up redeeming that
[428] 49:52	that sin okay he redeems it uh because Bathsheba will then
[429] 49:59	subsequently give birth to Solomon who then becomes the the main part of
[430] 50:05	the davidic line but David has to pay a price
[431] 50:11	he has to face judgment for what he's done and a lot of a lot of love the things
[432] 50:18	that David has done have resulted in judgments that don't affect him directly
[433] 50:24	you know and and best this is something that David does tell me what David does you know when uh
[434] 50:29	when he uh takes the census against God's command what does he do he's given a choice of
[435] 50:35	what what he what what judgment he gets he picks he picks
[436] 50:41	um he picks the plague that hits the people you know he's not paying the price
[437] 50:46	personally so you know he's responsibility
[438] 50:54	most of the time for some of his bad actions so this is one judgment where he can't
[439] 51:00	duck he can't duck this
[440] 51:07	he's going to pay this one directly so
[441] 51:12	that's why the sun is part of the Judgment it's not that the son himself is being punished for it but David
[442] 51:19	himself has to pay a price and that's that's what's going on here
[443] 51:25	he's got to be punished and that's
[444] 51:31	that's the that's what God chooses to punish him with so anyway I hope that answers your
[445] 51:36	question thank you very much for the question and thank you very much for the Super Chat BC I hope that helped
[446] 51:49	wow you guys are really picking the Rogues Gallery this week aren't you
[447] 51:55	okay Jesse Stone for 9.99 thank you very much for the Super Chat and he says I've heard you say that I
[448] 52:03	say Kenneth kitchens this is uh kitchen's book on the reliability of the Old Testament could use some updates yes
[449] 52:08	it could any specific examples that you can think of oh yeah definitely uh would you would
[450] 52:15	love to see you do a series interacting with some of kitchen's book okay now that book is 600 pages okay
[451] 52:21	um I don't think I'm gonna be interacting with that very soon what it needs is more
[452] 52:28	uh most of the stuff in there is still valid I would think but there's
[453] 52:35	there's been a lot of discoveries made a lot of discoveries made since he wrote that book in I think 2006
[454] 52:42	so I mean a lot of Waters passed under the bridge in that time so
[455] 52:49	there's a lot of stuff that needs to be added a lot of stuff
[456] 52:54	so I think it's not that it's it's it's horribly out of date as for its content
[457] 53:00	no more no longer being useful it's more out of date in that we've had so many subsequent discoveries that
[458] 53:08	it it needs to be expanded to to 800 a thousand Pages essentially
[459] 53:14	it's not big enough to cover the subject anymore
[460] 53:22	oh yeah there's no evidence for the Bible but hey you know we can fill a thousand pages with all these
[461] 53:28	discoveries yeah
[462] 53:33	yeah so that's that's what I think can really do this has been a lot of extra research and a lot of new scholarship so
[463] 53:40	absolutely there's there's definitely a need for it to be updated it won't be updated unfortunately
[464] 53:46	but um I think somebody will eventually write a book that supersedes it but it's
