[0] 1:05	[Music]
[244] 27:36	uh we're not sure how uh how uh at what time that developed because
[245] 27:42	it but we do have records of it uh into say the ptolemaic period when they actually
[246] 27:48	this became a very very big thing so they did have a kind of soap
[247] 27:54	interesting question thank you very much for it now i just saw a super chat here
[248] 28:00	actually two super chat one from senola apologetics thank you very much good to see you
[249] 28:08	uh my beautiful daddy falk is in the house
[250] 28:14	daddy okay should exodus 6 3 be translated as
[251] 28:20	a question as heiser argues did i not reveal them my name lord oh
[252] 28:27	okay uh i got a small bone to pick with highs around this one
[253] 28:34	now here is my problem with this is that there's a lot of mischief that
[254] 28:41	could come out of this form of exegesis now there's a small truth here
[255] 28:50	context can sometimes determine that a declarative statement can be read
[256] 28:57	as a question but hebrew also has question markers
[257] 29:03	now in this particular passage there are no question interrogative markers
[258] 29:08	there's nothing here that that immediately marks it out as a question
[259] 29:15	even the context here doesn't exactly mark it as a question no translation has
[260] 29:22	has regarded this as a question until
[261] 29:28	this you know this past you know decade or so where hyzer and the source
[262] 29:34	he's using argue for this being a question now the problem i have with this
[263] 29:41	particular form of exegesis is you can turn any declarative
[264] 29:46	statement into a question negating it
[265] 29:52	and i think that's very deeply problematic you know just like for example you know
[266] 29:59	genesis 1 1 in the beginning god created the heavens and the earth
[267] 30:05	you can negate that by turning it into a question in the beginning did god create the
[268] 30:11	heavens and the earth now you've got an atheist bible okay you know you can turn
[269] 30:19	any statement in the bible into a negation by turning it into a question and how you
[270] 30:26	don't turn to negate it is by adding an extra negation to it
[271] 30:33	so i i think this is really really deeply problematic and if we start using this form of
[272] 30:41	exegesis all over the place there's no there's no end to the sort of mischief this can cause so i think heiser's
[273] 30:47	method here is is deeply problematic and i would like even if he wants to go in this direction
[274] 30:53	i'd like to see him do it in a different way just because i don't like um
[275] 31:00	where this leads but thank you very much for that question it's a very interesting question
[276] 31:06	and and and i have to say this i do like a lot of heiser's work i think a lot of heist's work is very brilliant
[277] 31:14	i think his his work on the urban and the thumbnail is is is incredibly interesting incredibly
[278] 31:20	insightful and and i agree with it i agree with his his idea of the divine counsel in job
[279] 31:27	okay i think i think he's got he's there there's merit to some of what he says so i do agree with it but i also think
[280] 31:34	he's um he's sort of the biblical studies equivalent of hans gudega now if you're an
[281] 31:42	egyptologist you instantly recognize the name hans gurika gudeka was an egyptologist that was
[282] 31:49	incredibly creative but not always rigorous and he would
[283] 31:55	goodika would come up with these fascinating um creative explanations i should go oh
[284] 32:02	wow that is so interesting and then you start looking at the details and you go yeah
[285] 32:09	it's not really well supported or gee i don't think that really um goes where
[286] 32:16	it where the evidence leads and and you sort of go you sort of get to the point where you
[287] 32:22	where you sort of get with goodika and it's like well it's fascinating
[288] 32:27	but i have to keep it at arm's length because it might not be well supported
[289] 32:34	or might have problematic consequences i think heiser is biblical studies answer to
[290] 32:41	egyptology's hans goodaka so he's an interesting read he's got some very good points he's got some very
[291] 32:47	excellent insights but sometimes he takes it too far
[292] 32:52	sometimes the creativity overrides a really good sense so but thank you
[293] 32:58	very much for the super chat it's great to see you on the live stream love having you here
[294] 33:05	okay another super chat uh brian peachy for two dollars thank you very much
[295] 33:11	where do you think the tower of babel was located
[296] 33:17	i think it was located probably somewhere in in southern mesopotamia that's where
[297] 33:23	i think it was located now where exactly i'm not sure uh it was probably
[298] 33:29	a ziggurat that's probably the best we can probably figure it out uh one of the things i think about the
[299] 33:36	text is that um is is very interesting is that
[300] 33:42	it's often um it's often a misinterpreted text of the
[301] 33:48	whole tower of babel incident is is often very much misinterpreted now it's often read as as people
[302] 33:55	building this this huge massive tower to to to reach into outer space and that's not
[303] 34:02	what's happening in tower in the tower of battle whole tower battle story the whole tower of babel story is
[304] 34:09	to make a platform and sort of an ecumenical path a
[305] 34:15	platform to unite humanity to reach up to god
[306] 34:21	and that's really what it is it's a kind of alternative worship very similar to the high places
[307] 34:29	you know god had not prescribed the tower of babel humanity collectively decided to
[308] 34:36	do the tower of babel so and it was to to prevent being dispersed
[309] 34:42	it was to make a name for themselves it was to essentially subvert the plan of god
[310] 34:47	so i think it's a it's it's it's not meant to be a massive
[311] 34:54	uh architectural feat it's meant to be more of an ecumenical feat and i'm not
[312] 35:00	saying ecumenicalism is wrong but that seems to have been sort of the the point of the tower of babel
[313] 35:06	narrative so it doesn't have to actually have been a big tower it could have been any old
[314] 35:11	ziggurat that could have sufficed here so uh knowing that that most ziggurats
[315] 35:18	were were done in mesopotamia it would then make sense that it would be located
[316] 35:23	somewhere in mesopotamia probably either in sumer uh perhaps in akkad or some some place
[317] 35:30	in southern mesopotamia so that's my thoughts on that thank you very much for the super chat very much appreciated
[318] 35:39	okay ah we got a five dollar super chat from
[319] 35:44	uh michael beason thank you very much uh good to see you again what does
[320] 35:52	yave have against honey nut cheerios
[321] 35:59	[Laughter]
[322] 36:04	that is very funny i very much appreciate that any cultural insights that explain why
[323] 36:12	no honey in cereal offerings yes
[324] 36:17	they were richly in pure now honey itself is not
[325] 36:24	ritually impure but raw honey can be ritually impure in some
[326] 36:31	cases one is not always sure it contains the parts of bees
[327] 36:37	you do find dead bees occasionally in honey and anything that has
[328] 36:44	um dead insects and it is ritually unpure
[329] 36:49	uh in fact you're you're not allowed to actually eat it's not kosher to to eat honey bees
[330] 36:57	it's not how sure to eat most insects in in levitical law
[331] 37:04	uh exception being locusts you can eat locusts for some reason don't know why you can eat locusts but you can't eat
[332] 37:10	bees and honey can contain the parts of bees so it is actually not richly pure uh the second thing
[333] 37:16	is that when honey is mixed with a cereal offering it's usually then a
[334] 37:22	burnt offering at that point as well so um that's the probably the only
[335] 37:28	reason that i can think of that honey is is not committed as part of uh temple offerings
[336] 37:38	now it is it is considered to be a pure food to eat otherwise
[337] 37:43	but there does seem to be a difference in say ritual purity standards between
[338] 37:48	what a person can eat and what's presented in temple offerings like for example
[339] 37:56	an auction that has pulled a load uh may have at one point pulled the course
[340] 38:01	corpse and is ritually unpure so an auxin can't be used any auxin cannot
[341] 38:09	be used as a um as an offering that once it is pulled alone
[342] 38:15	because there's always that risk that it might have pulled a body and be richly contaminated so
[343] 38:21	[Music] in that case that oxen can be sacked
[344] 38:26	or butchered and eaten as normal food and that's no problem you cook it yeah no one it's not a problem for
[345] 38:33	levitical law but you can't bring it and use it as a temple sacrifice
[346] 38:38	so there does seem to be this this dichotomy between foods that are holy and foods that are
[347] 38:44	clean and you do find that that sort of dichotomy here
[348] 38:50	between what is holy what is clean what is unclean and what is toei vote
[349] 38:56	abomination and no one can touch abomination you can touch something
[350] 39:02	that's unclean and then be ritually purified then you have what's clean what's normal
[351] 39:08	and then you have what's holy and that can be used in temple uh rituals so honey falls into that category of
[352] 39:15	something that's clean but not holy so that's why it can't be mixed with grain
[353] 39:20	for um that's why honey nut cheerios will just never suffice as as temples uh
[354] 39:27	temple offerings uh sorry kelloggs [Laughter]
[355] 39:34	great question i love that question and thank you very much for the super
[356] 39:40	chat okay captain ahab for five dollars thank you very
[357] 39:47	much for the super chat hello dr falk and you even spelt my name right wonderful
[358] 39:53	you must have studied a lot of ancient egyptian texts and inscriptions yeah any personal favorites
[359] 40:01	um wow there's a lot of really good good descriptions out there the annals
[360] 40:08	of topmost is the third are always a good read um i happen to like that the wisdom the wisdom literature is very fun
[361] 40:14	um i do actually very much like uh the wisdom literature like uh nefertiti um abanomope
[362] 40:22	uh ipaware those those are great texts to read i i always get a kick out of reading those texts
[363] 40:27	uh when a moon is just great for a laugh when a moon is just hysterically funny
[364] 40:33	i love i i think i think if there's one text i think more people should read is when a moon
[365] 40:38	when a moon is is crazy funny uh soon away is interesting i'll give
[366] 40:44	you that um the the tale of sin away is very very interesting and and i liked reading sin away
[367] 40:53	so there's a sample of some of my favorites um even some of tomb robbery papyri were
[368] 40:59	very very interesting i got a lot out of reading like bridge museum
[369] 41:04	zero zero five four which is one of the tomb robbery papyri so i do have my favorites and
[370] 41:11	uh just gave them to you so thank you very much for your super chat very much appreciate it okay
[371] 41:24	uh super chat from carlo for two dollars do you see genesis one as a response to
[372] 41:30	enuma elish uh yes it is a response to enuma elish
[373] 41:35	and it's also response to just about every other creation
[374] 41:40	myth out there genesis 1 is definitely polemic against all sorts of creation
[375] 41:47	myths and it's not just illumina elish it's inky and the magic hoe
[376] 41:52	it's um the raw myth it's the uh canoe myth
[377] 42:00	it's of this is the fact that when the israelites are
[378] 42:06	the sons of jacob and the um um the canaanites that were living in a
[379] 42:13	virus left egypt they came out with a mixed multitude and the mixed multitude included libyans
[380] 42:20	uh other canaanites egyptians um
[381] 42:27	bushites nubians magic it's a mixed multitude it's a it's a it's a early israel was really the first
[382] 42:35	multicultural country it had a huge diversity of people coming out of egypt
[383] 42:44	each one of those particular groups had their own creationists
[384] 42:49	each one of those had different ideas of what the creation myth was
[385] 42:55	so in many respects genesis 1 is that retelling of the creation story
[386] 43:03	in such a way that it is also polemic against all the various myths of the
[387] 43:09	ancient near east so it is it is definitely a polemic against
[388] 43:15	enuma elish but also every other creation myth as well and in a way this is uh an
[389] 43:22	attempt to take that mixed multitude and create a melting pot
[390] 43:28	they're creating uh early israel is essentially a melting pot of cultures
[391] 43:33	taking a this this huge mosaic of cultures and creating out of it one nation one
[392] 43:39	culture so it's very very much a response but it's also an anti-myth and what i
[393] 43:46	mean by anti-myth is an alternative myth and i don't mean myth here in the sense of being fiction i
[394] 43:53	mean myth as in being a um reception history where
[395] 43:58	history is being explained in a way that makes sense to them so it's it's it's it's arguing it in a
[396] 44:05	way that it takes what they knew of creation would have been passed down to them
[397] 44:12	the sons of jacob and customizing it in such a way that it could sort of address
[398] 44:18	every other myth that was um say opposed
[399] 44:25	to the god that they are now worshiping god that led them out of egypt
[400] 44:32	so that's what's going on in genesis 1. it's an interesting question thank you
[401] 44:39	very much for the super chat i very much appreciate it thank you very much oh and great question
[402] 44:49	ah jd freeze for two dollars thank you very much for your super chat why did pyramid construction end it was
[403] 44:57	expensive that's that's really the answer
[404] 45:05	it's a short answer it's a conscious answer but that is actually the answer because it was very very expensive
[405] 45:11	uh egypt actually suffered inflation it had an economy that lasted three
[406] 45:17	thousand years at the beginning of the pyramid age uh during dynasty three and four
[407] 45:23	labor was cheap they could build these big massive stone pyramids because labor was
[408] 45:31	incredibly cheap that didn't last very long um the
[409] 45:38	pyramidakufu the largest of the pyramids in egypt nearly bankrupted the economy of egypt
[410] 45:45	so that's why all the subsequent pyramids are smaller than that one
[411] 45:51	it's because economics sort of played in a role now when you look at the pyramids of say
[412] 45:56	the middle kingdom they're economizing at that point
[413] 46:02	they're no longer making pyramids out of pure stone they're making pyramids out of mud brick
[414] 46:08	the core is mud brick and the outer casing stones are are stone
[415] 46:15	these pyramids had a tendency to fall apart there were some pyramids that persisted
[416] 46:22	into dynasty 13 and they're getting smaller and smaller made out cheaper and cheaper materials until you have the
[417] 46:28	very last pyramid that was built by uh okamosa the first uh
[418] 46:34	actually in i believe he built it at abidos if i am not mistaken or he might have
[419] 46:40	also built one at thieves i can't remember but he was the last pyramid builder and his pyramid was i believe it was
[420] 46:48	uh 40 feet by 40 feet something like that it's tiny and that's the last pyramid that egypt
[421] 46:54	builds after that what they do is they put these little tiny pyramids
[422] 47:00	on top of their funerary temples and i mean tiny as in like one foot by one foot
[423] 47:06	um and it's and it's interesting because one of the reasons why kings valley was
[424] 47:12	started is because it was selected as a site because it had a mountain
[425] 47:17	overlooked it looking it that was shaped like a pyramid and each tomb in the valley of the kings
[426] 47:25	actually had a little temple in front of it in front of the entrance and on top of
[427] 47:30	that temple the doorway to to that temple was that little tiny pyramidion so
[428] 47:38	that's and so it was essentially pure economics that brought
[429] 47:45	pyramid construction to an end it was just plain too expensive to continue to do it
[430] 47:51	this is why eventually you had as i said cheap mud brick pyramids followed by rock cut tombs and
[431] 47:57	that's the reason great question thank you very much for the super chat
[432] 48:02	very much appreciate it
[433] 48:07	okay uh five dollar super chat from moises salazar
[434] 48:12	i had heard that genesis 1 admits a second third or even fourth reading interpretation and how it correlates to
[435] 48:19	other creation stories um
[436] 48:25	well genesis 1 is very complicated it's very very complicated uh especially when you start taking it
[437] 48:30	in light of say chapters two and three it gets complicated very very fast
[438] 48:38	so i would but at the same time too i'd have to be a little cautious here as to what
[439] 48:45	exactly we mean by third or fourth readings or interpretations because you know that's going to boil
