[0] 0:08	well there you
[75] 4:19	healer's kit when it's rocking back and
[76] 4:21	forth water wait we're on dry land okay
[77] 4:25	I keep my healers kit in my oversized
[78] 4:28	reticule at my hip so I'm able to reach
[79] 4:31	in and I can we have a Man Overboard we
[80] 4:34	lost Man
[81] 4:36	[Laughter]
[82] 4:38	Overboard well I can't help with that
[83] 4:40	I'm just a 54 year old English woman we
[84] 4:42	had a
[85] 4:44	lifesaver oh you're 54 meditation you're
[86] 4:47	gonna love this because the year is
[87] 4:52	852
[88] 4:55	DC okay and you are on the coast of
[89] 5:01	get on the coast of
[90] 5:03	Ireland where's
[91] 5:06	P he hasn't shown up yet oh no no we
[92] 5:11	lose oh
[93] 5:14	no I know how the story
[94] 5:18	end so you are your your ship is rocking
[95] 5:22	back and forth heaving to and fro The
[96] 5:25	Breakers come over half the crew is
[97] 5:29	washing the water and you hit a
[98] 5:33	rock
[99] 5:38	bang my seat belt
[100] 5:40	[Laughter]
[101] 5:43	on stay safe oh oh no Apostle Paul we
[102] 5:47	need
[103] 5:48	help I will say a prayer to my Patron
[104] 5:52	for
[105] 5:54	i p four di
[106] 5:57	huh from four di to
[107] 6:01	I don't think that
[108] 6:05	helped you're going
[109] 6:07	down are you say this thing broke
[110] 6:11	already I knew we should have asked Jack
[111] 6:12	Ray for more
[112] 6:14	sponsors this piece
[113] 6:17	junk hey you're you're you're Seminary
[114] 6:19	students you don't get to go on the
[115] 6:21	luxury boats the ones that hold together
[116] 6:23	when they hit the rock oh no I
[117] 6:27	forgot I I will money existed I will
[118] 6:31	find the Mast and I will
[119] 6:35	uh is the Rope I can tie myself to the
[120] 6:39	Mast you want to tie yourself to a
[121] 6:41	sinking
[122] 6:43	ship I'm looking for just rocking I'm
[123] 6:46	looking for the nearest piece of buoyant
[124] 6:49	wood are we wearing the water well
[125] 6:51	there's lots of it in the
[126] 6:55	water you can see the boy wood in the
[127] 6:58	water
[128] 7:02	okay all those heavy robes draging you
[129] 7:05	down
[130] 7:07	lovely all right like I look around what
[131] 7:09	do we see what do we see I need we gotta
[132] 7:11	think quick gotta look here okay Mama
[133] 7:14	what do you do all right grabbing
[134] 7:17	Driftwood and
[135] 7:20	praying you do know that Driftwood isn't
[136] 7:22	B right no I don't mean like drifting
[137] 7:26	wood what that's on oh drifting wood you
[138] 7:29	said Driftwood
[139] 7:31	sorry well you grab the Driftwood pulls
[140] 7:33	you under yeah yeah yeah
[141] 7:37	no you might want to let go of the
[142] 7:39	Driftwood no just take your chance of
[143] 7:42	swimming grabing it I take a piece of
[144] 7:45	buoyant wood in each one of my arms and
[145] 7:47	I say hey stack mama get on we can kick
[146] 7:53	together I kind of like I kind of
[147] 7:55	weighed my way towards them I'm assuming
[148] 7:58	there room on that
[149] 8:01	do since we're all like missionary
[150] 8:03	friends do we know each other's names oh
[151] 8:06	yeah you know each other's names we've
[152] 8:08	got tarker the
[153] 8:10	small we've got
[154] 8:12	Leroy and we got Mary
[155] 8:15	Bennett what was the second one Leroy
[156] 8:19	Leroy MB grab on this is
[157] 8:23	boy let me remove this outer layer of
[158] 8:28	Rob do I have
[159] 8:30	your Eastern Orthodox drip it looks so
[160] 8:34	[Laughter]
[161] 8:41	cool as you're drag as your uh H hanging
[162] 8:46	on to that that jutsum and
[163] 8:48	flum uh you see a barrel just Bobby just
[164] 8:53	happily I look at the others dibs get
[165] 8:56	the barrel
[166] 9:00	grab grab on to it while also grabbing
[167] 9:03	on to the the things that we're already
[168] 9:05	attached to absolutely save the barrel
[169] 9:07	of
[170] 9:09	beer we gotta make sure we get this to
[171] 9:11	David I don't know who that Ireland
[172] 9:13	we're gonna need
[173] 9:17	that the
[174] 9:20	sacrament we need to offer
[175] 9:23	something to my
[176] 9:27	God feel very Tucky I will grab my book
[177] 9:32	strap that I have out of out of my
[178] 9:34	reticule and like doing my best I'll try
[179] 9:37	to lash together as many pieces of wood
[180] 9:39	as possible to start creating like a
[181] 9:42	larger
[182] 9:45	raft you know I happen to have some very
[183] 9:49	special dice here oh my I have the irum
[184] 9:54	and the thumin yeah I need to buy those
[185] 9:57	um can I roll perception to see if
[186] 9:59	there's any land
[187] 10:02	nearby yeah you can throw it that's
[188] 10:06	wisdom
[189] 10:13	right where'd you roll so do I add my
[190] 10:16	wisdom modifier to it no just give me a
[191] 10:20	straight rules nine nine on a what type
[192] 10:23	of dice
[193] 10:24	D20
[194] 10:26	D20 you know what you see fog oh no guys
[195] 10:32	I think we're going the right
[196] 10:34	direction uh are you senses passive
[197] 10:36	intelligence investigation I'm no better
[198] 10:39	I rolled a eight looking for like I said
[199] 10:43	we're going the right way
[200] 10:45	MB trust me my God would never lead us
[201] 10:52	astray onward all right Mama uh Hy stack
[202] 10:56	what' you roll
[203] 10:59	I don't have a one of those 20 side die
[204] 11:01	if I will roll for you
[205] 11:05	okay surely we can trust the DM you get
[206] 11:08	you get a
[207] 11:10	two yeah I I didn't hear a roll I didn't
[208] 11:14	hear a roll this is passive intelligence
[209] 11:16	and I get a
[210] 11:17	two I could roll for him I'm a
[211] 11:21	teammate I do have 20 of dice he's got
[212] 11:25	he got an 18 if you go with my role
[213] 11:29	just said my God will never lead us
[214] 11:31	astray is Tak us a
[215] 11:34	prayer oh you said you said your God
[216] 11:37	will never lead you astray is that taken
[217] 11:40	as a
[218] 11:40	prayer uh well I I know MB was praying
[219] 11:46	already because if any one of us has to
[220] 11:49	die I'll take
[221] 11:51	it whatever two or more gathered he is
[222] 11:55	with us let us together
[223] 11:59	well I know Paul went through a ship Oh
[224] 12:02	Our dear Lord please Deliver Us from
[225] 12:05	this perilous storm for we know that you
[226] 12:08	conquer the wind and the waves and we
[227] 12:10	shall look upon you in our times of
[228] 12:12	hardship in your name we pray amen amen
[229] 12:17	amen and thank you let's Okay a big wave
[230] 12:21	comes and washes over you guys it's
[231] 12:24	working ride the wave ride the wave I
[232] 12:27	got the be plan
[233] 12:30	I got the beer this is how he works it's
[234] 12:35	okay we just need Faith there's seaweed
[235] 12:38	in your hair I like it there we can cook
[236] 12:42	it later our Lord provided us
[237] 12:45	substance means we're close to
[238] 12:49	land now you see a big fin sticking out
[239] 12:52	of the water oh even more food sharks
[240] 12:55	prevent
[241] 12:56	cancer I don't Shar up Island right I
[242] 12:59	don't know what
[243] 13:00	cancer there
[244] 13:02	is the Greenland
[245] 13:05	shark oh no listen I don't know what
[246] 13:08	cancer is yet but I hear sharks prevent
[247] 13:10	cancer if you eat them the Lord's
[248] 13:12	providing it hasn't been invented yet
[249] 13:15	but the Lord has guided
[250] 13:16	me I don't have any sharp weapons that I
[251] 13:20	can use you hit it in the nose I have I
[252] 13:23	have my walking stick and I'm like
[253] 13:27	holding on to some wood with one arm and
[254] 13:29	I've got my walking stick and I'm ready
[255] 13:30	to walk that thing if it comes near me
[256] 13:34	okay another wave crashes over all three
[257] 13:36	of
[258] 13:37	you I still got the beer still got the
[259] 13:43	beer still got your walking stick I'm
[260] 13:46	stilling
[261] 13:50	you are
[262] 13:52	other are are there other people out in
[263] 13:55	the water or just us oh no just you
[264] 13:58	three oh no you see the wreckage of the
[265] 14:01	ship about a mile away now oh it's been
[266] 14:04	pushed
[267] 14:06	away
[268] 14:07	okay can I roll another perception check
[269] 14:10	to see if we can see which way we need
[270] 14:13	to try and go obviously away from
[271] 14:17	the sure
[272] 14:20	okay I love it wait a
[273] 14:26	second I rolled an 11
[274] 14:30	okay you're old than
[275] 14:31	11 you see a vague Ripple on the
[276] 14:38	horizon vague Ripple MB what do you see
[277] 14:42	I see a vague Ripple on the horizon what
[278] 14:45	does that mean let us stand together and
[279] 14:49	go now you're all starting to notice
[280] 14:52	you're getting really cold
[281] 14:55	yes
[282] 14:57	yeah really really really
[283] 15:00	cold hey should we try to ride that
[284] 15:02	creature maybe I don't
[285] 15:06	know all three of you are right now
[286] 15:08	bobbing
[287] 15:09	in the Irish
[288] 15:12	sea think about it what what what what
[289] 15:17	what what month is
[290] 15:19	it does it
[291] 15:22	matter I don't know I've never been to
[292] 15:24	Ireland I'm a Seminary Student we just
[293] 15:28	keep pushing
[294] 15:30	the
[295] 15:32	hyp okay okay so our movements are
[296] 15:35	getting sluggish find movements are
[297] 15:37	starting to get sluggish yeah okay as
[298] 15:40	we're going uh I I raise up another
[299] 15:43	prayer and cast bless
[300] 15:47	on it's
[301] 15:50	uh I guess everyone because it's a
[302] 15:52	sphere spell I cast bless on us like it
[303] 15:56	has an AAL okay
[304] 15:59	cast BL all right guys I did what I
[305] 16:02	could let's move to the fog and
[306] 16:04	hopefully the giant the giant fin will
[307] 16:07	save us somehow so are you gonna stay in
[308] 16:09	the water guys I mean I'm gonna try and
[309] 16:12	like Bob on top of my thing as I use my
[310] 16:14	no we want we're gonna get out of the
[311] 16:17	water if there's the option to get out
[312] 16:18	of the
[313] 16:19	water what how do you get out of the
[314] 16:22	water can we climb on top of the
[315] 16:24	creature or inside the barrel okay I'm
[316] 16:29	bobbing on the
[317] 16:31	barrel how big is this
[318] 16:34	Barrel it's about 12
[319] 16:37	inches okay now okay we were we had
[320] 16:40	different ideas of what a barrel is okay
[321] 16:44	so I'm not Bing on the barrel if it's
[322] 16:48	filled with Pickles we could scare away
[323] 16:49	the
[324] 16:51	shark are we able to identify the type
[325] 16:54	of
[326] 16:56	fin I just told you what kind of
[327] 16:58	creature was a shark okay great it's a
[328] 17:00	shark
[329] 17:02	yeah
[330] 17:04	uh MB is getting kind of
[331] 17:09	old she's not got much padding so I
[332] 17:12	think she's about ready to go anyway so
[333] 17:15	she's just like whatever I'm gonna try
[334] 17:17	and go to the shark and see if it'll
[335] 17:19	lead me to Shore or if I can get it to
[336] 17:22	swim for me or climb on top of it I'm
[337] 17:24	just gonna try Mar no I got no options
[338] 17:28	you got the Ripple on the one side you
[339] 17:31	have the shark behind you oh okay toward
[340] 17:35	the Ripple because that could be from
[341] 17:36	another boat even it could be okay how
[342] 17:40	do you do
[343] 17:41	it uh trying to think I don't have any
[344] 17:45	this I wouldn't have any gunpowder they
[345] 17:47	didn't even have it back
[346] 17:49	then uh it'd be wet anyway yeah I think
[347] 17:53	it would be all of us like trying to
[348] 17:55	kick together using the boards that I've
[349] 17:57	lashed together with my extra book book
[350] 17:59	strap to to like try to go toward the
[351] 18:02	Ripple all right time to do a roll okay
[352] 18:07	oh
[353] 18:10	okay all of us are just Mary I with
[354] 18:14	Constitution
[355] 18:16	actually start with she's tough old
[356] 18:20	broad all right what rule sir it's going
[357] 18:23	to be a perception rule
[358] 18:25	D20 okay
[359] 18:29	10 very Midland as as as middle as her
[360] 18:33	middleaged self all right uh Hey stack
[361] 18:37	you were the one that didn't have the
[362] 18:39	dice that's right okay I will roll for
[363] 18:46	you you get another
[364] 18:49	two change the dice this is why you
[365] 18:52	bring your own
[366] 18:56	dice all right at your turn think I
[367] 18:58	heard the
[368] 19:01	dice another
[369] 19:04	nine well what is with you people you
[370] 19:07	are the
[371] 19:08	unluckiest Seminary students I've ever
[372] 19:10	seen our
[373] 19:12	God and not very
[374] 19:15	perceptive Jonah had better luck yeah
[375] 19:18	Jonah had better
[376] 19:20	luck let's keep kicking and see if we
[377] 19:23	can get closer to it we're going to die
[378] 19:26	if we don't okay you're at least mom's
[379] 19:29	moving yeah oh no I said I was moving
[380] 19:32	towards the rle for a while move let's
[381] 19:35	kick and we're kind of hitch together
[382] 19:38	this this
[383] 19:39	is just trying our
[384] 19:42	best just trying your best huh s well
[385] 19:46	and praying praying at the same time
[386] 19:49	okay praying okay good let's let's you
[387] 19:52	pray and roll the
[388] 19:54	dice all right guys round
[389] 20:00	Miracle she's wondering what's going on
[390] 20:03	I'm actually in one of the girls
[391] 20:06	11 okay ATS roll
[392] 20:11	11 I got will roll at
[393] 20:14	18 let's go 15 really we must have
[394] 20:19	closer the Lord has heard us 18 we'll
[395] 20:22	let we'll we'll call that we'll call
[396] 20:24	that a good perception
[397] 20:27	role I have a good idea stack P stack
[398] 20:30	notice is as he's swimming his feet are
[399] 20:33	touching the
[400] 20:36	bottom I Stand Up You Stand
[401] 20:41	Up Guys guys the water comes up to your
[402] 20:44	about your height of your chest guys I
[403] 20:47	think I figured out what's going
[404] 20:49	on I think we're we're near
[405] 20:55	land great perception save me life Robin
[406] 21:00	I did roll a 15 that time I run I
[407] 21:04	run I I check on sure she's okay she's
[408] 21:08	olding
[409] 21:12	slogging I got you Mary it's okay get
[410] 21:16	you out of here Mary Did You
[411] 21:18	Know Mary did you know that you in
[412] 21:21	shallow water which is why the boat R
[413] 21:26	ground no
[414] 21:30	to sure to sh okay all right I we get on
[415] 21:36	Shore we run you get on Shore welcome to
[416] 21:41	Ireland does does anyone have anything
[417] 21:44	that they could use to light a fire so
[418] 21:46	that we could dry
[419] 21:48	ourselves I I can't remember if I put a
[420] 21:51	Tinder I think I have a Tinder Box on my
[421] 21:53	list but we got to find wood and we're
[422] 21:55	soaking wet so
[423] 22:00	and
[424] 22:02	look look for ring out can I check if
[425] 22:06	hay stacks um his Orthodox drip uh his
[426] 22:10	robe washed up with
[427] 22:12	us no it didn't wash up with you hard I
[428] 22:22	tried uh you see a couple of of dumpy
[429] 22:27	men looking at at you strangely from the
[430] 22:30	top of a of a
[431] 22:33	hill would you like to know about our
[432] 22:35	Lord and
[433] 22:37	savior who's
[434] 22:40	that okay Mary speaks you speak
[435] 22:43	English of course we speak English we're
[436] 22:47	not uh uh ignorant
[437] 22:50	peasants why do you sound
[438] 22:54	French I'm terrible at accents I don't
[439] 22:57	speak yet
[440] 22:58	the linguist is a terrible
[441] 23:01	ACC the linguist can't can't do an
[442] 23:04	accent to save his life Y
[443] 23:07	imagine
[444] 23:09	us please help us we've come to spread
[445] 23:13	the the word of the Lord and died in
[446] 23:15	doing so who's
[447] 23:18	that that's me trying an accent so we're
[448] 23:20	all Christian
[449] 23:22	right I would
[450] 23:24	assume Christian land it's about to be
[451] 23:28	have you heard of St Patrick he's coming
[452] 23:31	we've come to warn
[453] 23:33	you ask if we could warm ourselves by a
[454] 23:36	fire while we tell about who we are and
[455] 23:38	why we're there s come on to the
[456] 23:42	Village
[457] 23:44	yay hope they don't eat us can I roll
[458] 23:47	inside on these people to check if
[459] 23:49	they're
[460] 23:53	cannibals just in case do that Mary
[461] 23:57	still has her walk
[462] 24:01	can I roll
[463] 24:04	Insight sure you can roll
[464] 24:07	Insight all right that
[465] 24:09	fell
[466] 24:12	19 they're not cannibals okay good good
[467] 24:16	yes they might be murderers but they're
[468] 24:19	not cannibals they might be murderers
[469] 24:21	but they're not canals guys I think
[470] 24:24	they're
[471] 24:26	great I've always wanted be burnt at the
[472] 24:29	steak
[473] 24:30	guys well this is we came for
[474] 24:34	vage okay so you follow them to the
[475] 24:37	village and you find
[476] 24:40	[Music]
[477] 24:42	another another eight people that look
[478] 24:45	exactly like him so in terms do they
[479] 24:50	what do you mean by exactly yeah they're
[480] 24:53	about 4 and a2t Tall red hair red
[481] 24:59	beards are they like
[482] 25:01	CL pygm inbreds are they
[483] 25:06	clones this is Ireland there's no
[484] 25:10	clones got to go to London for
[485] 25:14	clones I will introduce hello what what
[486] 25:17	is your name good
[487] 25:19	friends
[488] 25:22	Patrick like the saint oh I know what
[489] 25:26	this is I know what what's going on here
[490] 25:30	I'm looking M Mary and are you all
[491] 25:33	Patrick We're All
[492] 25:36	Patrick all right are there any
[493] 25:42	patricias I'm pretty sure if we catch
[494] 25:45	one of them we can make a
[495] 25:46	[Laughter]
[496] 25:49	wish are there any
[497] 25:52	rainbows have you heard of Lucky
[498] 25:56	Charms they sound ically
[499] 25:59	delicious I still want to warm Myself by
[500] 26:02	the
[501] 26:02	fire get Dy and introduce ourselves with
[502] 26:06	our
[503] 26:06	names okay so you enter enter their
[504] 26:09	Village and you notice that there's five
[505] 26:12	Huts there and uh there's a place where
[506] 26:18	they would have a bonfire there oh dear
[507] 26:22	humans in the
[508] 26:23	bonfire with a big steak in the center
[509] 26:27	ah
[510] 26:30	lovely so okay do I see any comes out
[511] 26:35	okay but his name is Patrick hi
[512] 26:38	Patrick Patrick wants to know what are
[513] 26:41	you three strange people doing
[514] 26:45	here you know we Messengers God kind a
[515] 26:49	long
[516] 26:50	story The Creator things both the heaven
[517] 26:53	and messenger from
[518] 26:56	God who is this God
[519] 27:01	so so have
[520] 27:03	you so are you familiar with cuul
[521] 27:07	cane no wrong
[522] 27:11	continent in the living room right
[523] 27:13	now watching
[524] 27:16	cat a giant
[525] 27:18	cat giant cat that's how Patrick got rid
[526] 27:22	of the snakes he leashed the cats on
[527] 27:26	him m a shape ch
[528] 27:28	she's turned into a
[529] 27:30	cop so wait but where are we from are we
[530] 27:34	from like Mainland you're from England
[531] 27:37	aha okay
[532] 27:39	so I I I don't think that what do you
[533] 27:43	guys think of the
[534] 27:47	British no mighty
[535] 27:53	tasty
[536] 27:54	uhhuh
[537] 27:56	well we
[538] 27:59	we are we are citizens of a different
[539] 28:04	Kingdom the kingdom of God I
[540] 28:08	see you're citizens of the Holy Roman
[541] 28:12	Empire uh no well it's not holy it's not
[542] 28:16	Roman and it's not an Empire but
[543] 28:19	yes well technically no and how is king
[544] 28:24	shamain um he chilling we vibing and
[545] 28:27	stuff you know
[546] 28:29	I've never met him he sends his
[547] 28:34	regards well I sent his last brings a
[548] 28:36	messageer of peace I sent his last
[549] 28:39	messenger back in
[550] 28:42	pieces like like what what are we
[551] 28:44	talking about
[552] 28:46	here why did you do that transformed
[553] 28:50	again so what kind of pieces are we
[554] 28:52	talking
[555] 28:53	about like itty bitty ones
[556] 28:58	so
[557] 28:59	what delicious so what's his name
[558] 29:04	Patrick no see that was his problem so
[559] 29:08	we're all
[560] 29:10	Patrick Yeah I hi hi I'm
[561] 29:16	Patrick I did say my
[562] 29:20	Patrick okay now you guys do have I
[563] 29:24	asked him if he's ever if he found his
[564] 29:26	Lucky Charms all right our our mission
[565] 29:30	is
[566] 29:31	to uh you mentioned it earlier DM but
[567] 29:34	what was the specific
[568] 29:36	phrasing bring the gospel have to
[569] 29:38	evangelize the the
[570] 29:41	natives so do you have any
[571] 29:46	Gods so like for
[572] 29:49	example um tell us about them you told
[573] 29:53	me you don't worship CU Kain even though
[574] 29:55	I was under the impression that he's an
[575] 29:56	Irish God so like
[576] 29:58	what what else do you
[577] 30:00	have we've got uh D
[578] 30:04	the we've got
[579] 30:07	um um the uh the uh the green man so
[580] 30:13	have you heard about
[581] 30:15	yesu who uh have you heard the the guys
[582] 30:18	that you sent back in pieces did they
[583] 30:20	tell you about
[584] 30:23	Jesus so like Jesus is better than all
[585] 30:25	the people that you just named
[586] 30:28	you tell me about
[587] 30:30	this so do you make
[588] 30:34	safic all right ah
[589] 30:38	Mary yes give us your give us your
[590] 30:42	best uh your best most I mean we value
[591] 30:45	here in this Village
[592] 30:47	creativity give us your most
[593] 30:50	creative
[594] 30:52	pitch Mary will pull out her for Di
[595] 30:56	sermons
[596] 30:58	she knows it by by uh you know by rope
[597] 31:02	practically but she feels more
[598] 31:04	comfortable having it in her
[599] 31:06	hands and she will open it up to one
[600] 31:10	that will be uh specifically about the
[601] 31:13	need for salvation and God providing it
[602] 31:16	and she will go ahead and she will read
[603] 31:19	off of that and uh you know doing her
[604] 31:23	best to contextualize it for the
[605] 31:26	situation and uh I think that would what
[606] 31:29	be a performance check maybe I don't
[607] 31:32	know um and she knows it so well that
[608] 31:37	she will be like gesturing and looking
[609] 31:38	at the crowd and she won't make any uh
[610] 31:42	she's not going to fluff it up her sugar
[611] 31:44	coat it either she's just going to be
[612] 31:46	like look you all know you do bad
[613] 31:49	things and you know that there's some
[614] 31:51	things you can't fix out of your own
[615] 31:53	power and your Gods can't do it because
[616] 31:55	you're having to do things for them that
[617] 31:58	get them to like you this God already
[618] 32:00	loves you and you put them to sleep just
[619] 32:04	kidding probably but she's trying her
[620] 32:07	best she's you
[621] 32:12	know and so she'll she'll probably
[622] 32:14	she'll probably do the Roman Road you
[623] 32:17	know the the the different
[624] 32:20	scriptures uh that would have to do
[625] 32:22	terrible that was
[626] 32:24	terrible well she has a Charisma of five
[627] 32:28	so well that that figures there would
[628] 32:32	never there was never much
[629] 32:34	hope we have a very very special dice
[630] 32:38	here the conversion dice oh no which
[631] 32:42	will which will determine the success of
[632] 32:45	your attempts so do does since we're
[633] 32:48	here does she get
[634] 32:53	Advantage am I
[635] 32:55	flanking let's see who how your your
[636] 32:58	first attempt to to to do the gospel
[637] 33:03	message you've turned one of the
[638] 33:06	Patricks into a
[639] 33:07	heretic oh we lost they ate
[640] 33:11	one we got one
[641] 33:13	heretic oh well so wait like he has like
[642] 33:16	a false
[643] 33:18	Doctrine oh yeah
[644] 33:22	absolutely believer in in in the uh the
[645] 33:25	shape shifting mama
[646] 33:32	okay let me ask you your turn for for
[647] 33:35	for for a a pitch to convert the natives
[648] 33:40	who so you take another Patrick aside
[649] 33:43	and you
[650] 33:46	ask who who who's being
[651] 33:50	asked
[652] 33:52	um which way I Leroy Leroy okay your
[653] 33:58	opportunity to give your
[654] 34:00	creative your creative Evangelistic
[655] 34:03	message to a
[656] 34:04	Patrick I come up to Patrick I pick up a
[657] 34:07	three-leaf Clover and I discuss God the
[658] 34:11	Father his son Jesus Christ and the Holy
[659] 34:13	Ghost and and how they work as but Leroy
[660] 34:17	that's partialism
[661] 34:20	Patrick that's how do you know how do
[662] 34:23	you
[663] 34:24	know that's partialism Patrick are you
[664] 34:27	saved
[665] 34:31	I am I might be an ignorant person but
[666] 34:33	I'm not stupid like partialism that's
[667] 34:36	not in the scriptures I don't know what
[668] 34:37	that
[669] 34:38	means have you ever heard of
[670] 34:43	modalism
[671] 34:44	heresy smells like heresy I I see I seem
[672] 34:49	to remember seeing a a a pantomime of
[673] 34:54	this so your attempt to try to convert
[674] 34:57	the the Patrick using partialism
[675] 35:01	resulted in a
[676] 35:04	atheist what's a
[677] 35:06	[Laughter]
[678] 35:07	partial how did the indigenous know a
[679] 35:10	partialism you turned a pagan into an
[680] 35:12	atheist man that's
[681] 35:14	crazy
[682] 35:16	naist I'm
[683] 35:20	sorry okay uh your turn to herker the
[684] 35:24	small now you have to do AIC
[685] 35:31	what is your creative uh Evangelistic
[686] 35:37	message um is the bonfire
[687] 35:40	lit it could
[688] 35:44	be all
[689] 35:46	right oh just to raise the
[690] 35:49	sticks um should you get too
[691] 35:54	many eist and htics
[692] 35:58	could be
[693] 36:00	dicey
[694] 36:02	literally
[695] 36:06	literally um I'm larg in stature I don't
[696] 36:09	know about you
[697] 36:11	guys 18
[698] 36:13	minut where's your where's your message
[699] 36:16	Patrick is
[700] 36:17	waiting let me ask you Patrick do you
[701] 36:21	sacrifice to your
[702] 36:23	gods don't
[703] 36:25	you actually I don't
[704] 36:28	you see because my God understands that
[705] 36:30	the the blood of bulls and goats can
[706] 36:33	never sa satiate uh the sin debt that I
[707] 36:36	have towards him but in his infinite
[708] 36:40	love
[709] 36:41	Mercy uh yeah we don't count uh so you
[710] 36:44	see though I though I'm a priest I have
[711] 36:48	a my go they they'll take
[712] 36:50	clerics well my God took the high priest
[713] 36:55	the greatest of clerics
[714] 36:57	who presented himself up as an offering
[715] 37:00	and I go and I approach who this
[716] 37:03	called uh he you know he he's the first
[717] 37:07	and the last the beginning of the end El
[718] 37:09	Roy El Shai uh his name is his name is
[719] 37:13	The Great I
[720] 37:15	Am and he sent his son Jesus the Christ
[721] 37:19	to be my sybt that I wouldn't have to
[722] 37:23	offer sacri or become a sacrifice I
[723] 37:26	don't understand you me give you a
[724] 37:28	demonstration and I walk towards the py
[725] 37:31	and I say hey Leroy help me
[726] 37:34	[Laughter]
[727] 37:40	out are you wanting me to push you in
[728] 37:43	don't know what he said it's not
[729] 37:45	lit it's not lit I thought it was lit oh
[730] 37:50	if it's LIT All right so then it's not
[731] 37:53	it could be
[732] 37:55	though so then I say
[733] 37:59	uh imagine if you
[734] 38:03	will you committed a great crime and
[735] 38:06	your punishment was to be burned alive
[736] 38:08	at this
[737] 38:09	stake but your judge came and I like
[738] 38:13	walked towards the p and released you
[739] 38:16	from your bonds and took your place and
[740] 38:18	was burnt alive for you now that's an
[741] 38:21	image of what my god did for me and he's
[742] 38:24	able to do the same thing for you and
[743] 38:26	your brethren
[744] 38:28	should you repent and believe in the
[745] 38:30	name of his son Jesus Christ imagination
[746] 38:34	is not evidence
[747] 38:38	Patrick your
[748] 38:40	convert your your your
[749] 38:42	Patrick is indifferent to your
[750] 38:45	message is not a heretic so
[751] 38:52	no so what what if can we offer for us
[752] 38:56	to be to serve these people do you have
[753] 39:00	any sick amongst you
[754] 39:02	yes of course we do um May you bring
[755] 39:06	them
[756] 39:08	forward what you GNA do to
[757] 39:11	them uh show you the glory and Majesty
[758] 39:14	of my God you can't even Define your God
[759] 39:18	I don't have
[760] 39:20	to I just I'll just show you that's very
[761] 39:23	strange very strange do you not hear my
[762] 39:26	accent
[763] 39:29	let me see this sick let me see the sick
[764] 39:32	before you well it ain't your turn okay
[765] 39:36	hey
[766] 39:37	Mary is gets the next Patrick sorry
[767] 39:41	[Laughter]
[768] 39:44	cat all right can you take the cat out
