[0] 0:19	Oh,
[70] 7:56	Uh we ask that uh when you if you
[71] 7:59	sponsor a non-s super chat, which is
[72] 8:01	totally doable, that you copy the
[73] 8:03	question into the super chat so we don't
[74] 8:05	have to go hunting for it. And then
[75] 8:07	finally, we ask that you put one
[76] 8:09	question per chat. Okay? So no question
[77] 8:13	stacking. So don't try to force 10
[78] 8:16	questions into a single chat because
[79] 8:20	that's not fair to everyone else. Okay?
[80] 8:22	So with that said, let's get into the
[81] 8:24	questions. I'm going to start the night
[82] 8:26	with a few non-s super chats here.
[83] 8:32	And the first one here is from
[84] 8:35	uh Dart Blade.
[85] 8:38	And it's not so much a question as a
[86] 8:40	request.
[87] 8:41	He says, "Please pray for my dad's
[88] 8:43	health. He was previously having
[89] 8:45	seizures and we recently found out he
[90] 8:47	has the C-word, though the prognosis is
[91] 8:49	said to be good." Okay. Uh we would
[92] 8:52	encourage everyone on the channel to to
[93] 8:55	pray uh pray for his his father. If
[94] 8:57	you're on if you're on our discord
[95] 8:59	server, please add that also to the
[96] 9:01	prayer requests uh channel so that uh
[97] 9:05	that our community can pray for your
[98] 9:07	father. Okay. So we wish him the best of
[99] 9:10	health and we will pray for him.
[100] 9:18	Okay. Next nons super chat here is from
[101] 9:22	501 Mobius. Okay. He asks, "Under the
[102] 9:26	Hixos rule, could the sons of Israel
[103] 9:28	have more than one wife?"
[104] 9:31	We don't have a lot of documentation
[105] 9:33	from the second intermediate period. So,
[106] 9:37	um it's hard to say, but if it follows
[107] 9:41	Egyptian culture in general, they would
[108] 9:44	not have been permitted to have more
[109] 9:45	than one wife. Okay. So it it depends if
[110] 9:48	they followed
[111] 9:50	more Semitic cultures or if they
[112] 9:53	followed Egyptian culture. I have a
[113] 9:55	feeling they followed Egyptian culture
[114] 9:56	here. We don't have a lot of evidence
[115] 10:00	for polygamy
[116] 10:02	um in in the second intermediate period.
[117] 10:07	So so given that I would I would suspect
[118] 10:11	that the the sons of Israel followed
[119] 10:13	Egyptian customs in this respect. Okay.
[120] 10:17	So, I hope that helped. Thank you for
[121] 10:19	the question. Really appreciate it.
[122] 10:25	Okay.
[123] 10:33	I'll also take this third nons super
[124] 10:36	chat here. Then we'll go into the super
[125] 10:38	chats.
[126] 10:40	Um, see here.
[127] 10:45	Did the Nineveites worship a fish god?
[128] 10:47	No. Okay. [laughter]
[129] 10:50	They did not worship a fish god. Um
[130] 10:53	there were um wise men called the
[131] 10:56	Anunnaki that were dressed in a fish
[132] 10:59	costume, but they didn't worship a fish
[133] 11:01	god. Uh the Ninevites worshiped many
[134] 11:04	gods. The probably their primary deity
[135] 11:06	was uh Asher uh which was kind of a
[136] 11:09	warrior deity.
[137] 11:11	So um they worshiped gods like Marduk,
[138] 11:13	Shemesh, Enlil,
[139] 11:16	um Ishtar. Um there was a variety of of
[140] 11:20	of deities in the in the in the Assyrian
[141] 11:24	pantheon, but none of them were fish
[142] 11:26	gods. So, um, this was something this
[143] 11:29	was something that came out in the, uh,
[144] 11:34	in the late 19th century where
[145] 11:37	or I should say the the early 19th
[146] 11:39	century where it was believed that um,
[147] 11:43	that Deeon was a fish deity
[148] 11:47	and um, because Dag is the Hebrew word
[149] 11:50	for fish, well, Dagon wasn't a fish
[150] 11:52	deity, but it's sort of kind of just
[151] 11:57	sort of stuck. It sort of stuck to it.
[152] 12:02	Um,
[153] 12:03	but no, you know, they did they didn't
[154] 12:07	worship a fish deity. So, you know, it's
[155] 12:10	just one of those things that, as I say,
[156] 12:11	it's one of those those those
[157] 12:14	scholy myths that never died.
[158] 12:17	And it didn't it didn't help either that
[159] 12:19	um that um
[160] 12:24	um the Anunnaki were dressed up like a
[161] 12:28	fish. Okay.
[162] 12:34	So
[163] 12:37	>> no no the Anunnaki the Anunnaki uh are
[164] 12:40	are portrayed in reliefs as men wearing
[165] 12:43	a fish costume.
[166] 12:49	No, an Anunnaki is not a god.
[167] 12:52	They're they're more like like um um how
[168] 12:55	do you say demigods?
[169] 12:58	They're they're more demigod status than
[170] 13:00	they are full gods.
[171] 13:07	Dark blade. You mean got questions
[172] 13:10	ministries? It's wrong.
[173] 13:14	Could be. Could be. [laughter]
[174] 13:23	[laughter]
[175] 13:27	Yeah,
[176] 13:31	I think it's Akalu, not Anunnaki.
[177] 13:33	They're pretty much the same thing. It's
[178] 13:36	just one comes before or after the
[179] 13:38	flood, but they're the same thing.
[180] 13:49	All righty, let's move on. Mama mermaids
[181] 13:52	confirmed.
[182] 13:54	[laughter]
[183] 13:55	They were men, so mermen men.
[184] 14:03	Okay.
[185] 14:13	Let's see.
[186] 14:26	Ah,
[187] 14:30	Nineveh.
[188] 14:38	No, there's
[189] 14:45	>> [laughter]
[190] 14:47	>> That's
[191] 14:51	Ninua
[192] 14:52	is the Acadian of Nineveh.
[193] 14:55	I don't see anything here that would
[194] 14:59	suggest that the name Nineveh um
[195] 15:06	there's nothing to suggest that Nineveh
[196] 15:08	meant house of fish. Uh, hay stack. I
[197] 15:10	think that's probably not correct. Um,
[198] 15:18	so
[199] 15:23	did they struggle with the fish sin of
[200] 15:26	fish slapping? I [laughter] don't know.
[201] 15:28	I don't think so. But hey,
[202] 15:32	so Veggie Tales lied to me. [laughter]
[203] 15:36	Could be.
[204] 15:40	We're gonna have so many fish buns
[205] 15:41	tonight. This is We're off to a great
[206] 15:44	start here. Great start.
[207] 15:48	[laughter]
[208] 15:53	Yeah. I I I mama root root word fallacy.
[209] 15:57	Yeah. Root word fallacy. It's exactly
[210] 15:59	what it is.
[211] 16:02	[laughter]
[212] 16:06	Lots of jokes.
[213] 16:10	>> [laughter]
[214] 16:13	>> foodie section could be. Hey, fish is
[215] 16:16	yummy stuff. I'm just floundering here.
[216] 16:24	Okay. Um, well, that was um an
[217] 16:27	interesting digression here,
[218] 16:30	Carp.
[219] 16:33	All right, let's get to the super chats.
[220] 16:37	Um,
[221] 16:38	first super chat here
[222] 16:44	is 501 Mobius for $10.
[223] 16:47	And he asks if it is true if Pharaoh
[224] 16:51	means ruler of upper mobo
[225] 16:54	upper and lower Egypt. It doesn't. Okay.
[226] 16:59	Pharaoh doesn't mean that.
[227] 17:02	So your your potassis here is not
[228] 17:05	correct.
[229] 17:07	um
[230] 17:09	then no Hixos king or king Egyptian king
[231] 17:11	during the time would be considered a
[232] 17:12	pharaoh and that but that's still true
[233] 17:16	even though your protasus is incorrect
[234] 17:18	here okay
[235] 17:20	pharaoh does not mean ruler of upper and
[236] 17:23	lower Egypt nubidi means ruler of king
[237] 17:27	of upper and lower Egypt okay pharaoh
[238] 17:30	means big house
[239] 17:33	that's what it means it means the big
[240] 17:35	house big biggest big estate.
[241] 17:39	So that was what pharaoh means.
[242] 17:41	Nessubidi means king of upper or lower
[243] 17:43	Egypt. Now
[244] 17:47	um
[245] 17:49	no Hixos king or Egyptian king during
[246] 17:52	that time would be a pharaoh anyway
[247] 17:56	because the term pharaoh comes later.
[248] 18:01	It comes after the second intermediate
[249] 18:03	period. Uh the term Pharaoh is first
[250] 18:05	introduced by Tmosis III.
[251] 18:09	So
[252] 18:11	So you got that that going on there
[253] 18:14	where you know it's it's a kind it's an
[254] 18:16	it would be an anacronistic thing to
[255] 18:19	call a king of of of the Hixos a pharaoh
[256] 18:23	or or anyone previous to Tutmos III.
[257] 18:27	But they would all be have been called
[258] 18:29	Nessubidi
[259] 18:30	even though technically they would not
[260] 18:32	have been kings of upper and lower Egypt
[261] 18:36	as such. So,
[262] 18:39	so I hope that helps. Thank you very
[263] 18:42	much for the super chat. Very much
[264] 18:43	appreciate it.
[265] 18:51	Okay, the next one here is from Tim Yara
[266] 18:54	for five British pounds. Thank you so
[267] 18:56	much for the super chat. Is Isaiah 9:6
[268] 19:00	committing committing a heresy of
[269] 19:03	confusing persons of the Trinity when he
[270] 19:05	calls the child an an everlasting
[271] 19:07	father? Well, let's take a look at that.
[272] 19:11	Pull up the Bible here.
[273] 19:14	Isaiah
[274] 19:24	9 verse 6. It's 9:5 in the He in the
[275] 19:27	Hebrew, but we'll take take it six here.
[276] 19:30	For a child will be born to us, a son
[277] 19:32	will be given to us, and the government
[278] 19:33	will rest on his shoulders, and his name
[279] 19:35	will be called Wonderful Counselor,
[280] 19:37	mighty God, eternal father, Prince of
[281] 19:39	Peace. Okay. Now, [snorts] here's kind
[282] 19:43	of what's going on here. Uh, you're
[283] 19:46	suggesting here the heresy of
[284] 19:48	patroposianism.
[285] 19:51	This was Professor Woodbridge's favorite
[286] 19:53	uh heresy, Patroposianism.
[287] 19:57	He would talk about this one frequently.
[288] 20:00	It's the idea of of confusing the
[289] 20:03	various persons of the Trinity. So it'
[290] 20:05	be like looking up at the cross of
[291] 20:07	Christ and saying that the father is
[292] 20:09	being crucified up there. So that's
[293] 20:11	that's patropianism
[294] 20:13	when you confuse the persons of the
[295] 20:15	trinity. Now
[296] 20:17	is what's happening in Isaiah 96
[297] 20:20	pastianism?
[298] 20:23	So say that three times fast.
[299] 20:30	It's not quite modalism. It's not
[300] 20:32	modalism, but it is it's it's it's own
[301] 20:34	heresy. It's it's it's a little
[302] 20:36	different
[303] 20:38	Patrick. [laughter]
[304] 20:44	Okay. So,
[305] 20:50	so um
[306] 20:52	what's going on in this what's was how
[307] 20:56	it's translated is eternal father
[308] 21:00	is um um abi alom.
[309] 21:05	Now the problem is this translation.
[310] 21:09	The problem is not the it's it's not the
[311] 21:12	um not the Hebrew that's at fault here.
[312] 21:15	It's the English
[313] 21:18	because the the father here is in
[314] 21:21	construct position. Abi
[315] 21:25	okay. So it shouldn't actually be
[316] 21:28	translated eternal father. It should be
[317] 21:32	translated father of eternity.
[318] 21:37	See what they did in the translation
[319] 21:38	here is inverted the construct position.
[320] 21:43	So it shouldn't be eternal father, it
[321] 21:45	should be father of eternity.
[322] 21:49	So
[323] 21:52	So again, we're we're we're in a place
[324] 21:54	here where probably this is probably a
[325] 21:56	tra traditional rendering
[326] 21:58	and god save us from traditional
[327] 22:01	renderings. They just muck things up.
[328] 22:06	Okay. So,
[329] 22:10	um, so it's the the verse here is not
[330] 22:12	committing patroposianism.
[331] 22:14	What's happening is our English
[332] 22:15	translation has messed this up again.
[333] 22:23	[laughter]
[334] 22:28	Says, "Sorry, I'm really tired and slap
[335] 22:30	happy." Fish slap happy even. Okay.
[336] 22:37	Darkling says, "Check Bible Hub says
[337] 22:40	it's it's uh um Abby O." Sorry, Abiode.
[338] 22:44	Yeah, but is still it is still father of
[339] 22:48	eternity. Okay.
[340] 22:55	Five. There it is.
[341] 23:00	Abiode.
[342] 23:10	that darn Latinbased language added
[343] 23:12	again. Yeah, pretty much.
[344] 23:15	So that's that's it. This is the this is
[345] 23:18	a father of in the construct
[346] 23:21	and this is eternity.
[347] 23:23	So you can sort of you can get get the
[348] 23:26	sense of it just from breaking apart the
[349] 23:29	word down into its components that that
[350] 23:32	the English is not doing a tremendously
[351] 23:34	good job here of rendering it. So
[352] 23:39	a father of eternity is not the same as
[353] 23:43	the father.
[354] 23:46	So, it's just more or less a statement
[355] 23:49	of of Christ's eternal
[356] 23:52	eternalness
[357] 23:54	more than it's say [laughter] playing on
[358] 23:58	talking [ __ ] veggies.
[359] 24:02	Hey, they're making new ones. I I heard
[360] 24:05	that they're making new veggie tails.
[361] 24:07	They're back [laughter]
[362] 24:10	after losing his entire company.
[363] 24:14	lost his entire company to that
[364] 24:16	frivolous lawsuit and but he's back.
[365] 24:23	Okay, let's move on here.
[366] 24:29	Uh, next question is from Joseph
[367] 24:33	uh 33M for $2. Thank you for the super
[368] 24:35	chat. Esther 8:17, what does it mean
[369] 24:39	they became Jews? Let's find out.
[370] 24:43	I am Esther.
[371] 24:51	Faster
[372] 24:53	3
[373] 24:56	17.
[374] 25:00	Oh, sorry. 817
[375] 25:02	8
[376] 25:05	17.
[377] 25:15	Okay. So, uh we'll start here. Uh verse
[378] 25:18	16. For the Jews, there was light and
[379] 25:20	gladness and joy and honor. And in each
[380] 25:22	and every pro uh province, and in each
[381] 25:24	and every city, wherever the king's
[382] 25:26	commandment as decree arrived, there was
[383] 25:28	gladness and joy for the Jews, a feast
[384] 25:31	and a holiday. And many among the
[385] 25:33	peoples of the land became Jews, for the
[386] 25:36	dread of the Jews had fallen upon them.
[387] 25:38	This is Jewish converts. Um,
[388] 25:42	Jewish converts were a thing. Okay.
[389] 25:47	So, it wasn't
[390] 25:51	um even though through most of its
[391] 25:53	history uh Judaism is a and the
[392] 25:56	Israelite religion is an ethnic religion
[393] 25:59	wasn't always an ethnic religion. There
[394] 26:03	were times some more than others when
[395] 26:06	people converted to Judaism.
[396] 26:09	Uh we do see this for example like in
[397] 26:11	the uh Roman period
[398] 26:13	there were actually a lot of converts to
[399] 26:15	Judaism.
[400] 26:17	So
[401] 26:19	uh as long as you could tolerate the um
[402] 26:23	circumcision procedure
[403] 26:26	that was probably the biggest barrier
[404] 26:28	for people becoming Jews. Okay. Becoming
[405] 26:31	uh but you know if if you had good
[406] 26:36	reason to join the community people did.
[407] 26:40	So even with that say um
[408] 26:46	disincentive to join.
[409] 26:55	uh uh yeah that uh the circumcision
[410] 26:58	process did create consumer resistance
[411] 27:01	to to joining uh Judaism but
[412] 27:06	um many people still did
[413] 27:09	so
[414] 27:14	but you know it was a thing and people
[415] 27:16	did do it from time to time. Uh for
[416] 27:18	women it was a lot easier to convert a
[417] 27:20	lot easier to convert. It was just a
[418] 27:22	nice bath. Women got a hot bath. Men had
[419] 27:26	to get snipped. [laughter]
[420] 27:30	Yeah. Take a bath anytime over getting
[421] 27:32	snipped. [laughter]
[422] 27:37	[laughter]
[423] 27:43	Dark boy goes, "The other pro potential
[424] 27:45	disincentives include giving up shrimp."
[425] 27:48	Yeah, but in a lot of places they didn't
[426] 27:50	have shrimp, so it wasn't an issue. Like
[427] 27:52	like in Nineveh, there wasn't any shrimp
[428] 27:54	in Nineveh, so you know, that wasn't
[429] 27:56	going to be an issue. Giving a pork.
[430] 27:59	Well, that's a bacon.
[431] 28:02	Yeah, I can see where that could be
[432] 28:03	hard.
[433] 28:08	No bacon, no deal.
[434] 28:11	Well, this is one of the things I found
[435] 28:12	very interesting when I worked at the uh
[436] 28:15	um at the uh Messianic Jewish community.
[437] 28:18	Uh when I worked with them,
[438] 28:22	um
[439] 28:24	the Gentiles were much more concerned
[440] 28:26	about keeping kosher than the Jews.
[441] 28:30	I I don't know why.
[442] 28:34	Much more concerned.
[443] 28:38	A week wouldn't go by when I wouldn't
[444] 28:40	get I would get some gentile calling me
[445] 28:42	up
[446] 28:44	uh some goyam basically asking you know
[447] 28:47	oh is it too late to start cleaning my
[448] 28:49	house for Passover
[449] 28:51	um we're 3 days into Passover already
[450] 28:54	you know
[451] 28:56	yes probably.
[452] 28:59	Or do I have to stop eating unleavened
[453] 29:01	bread during that? I would get that all
[454] 29:02	the time. some Gentile calling up around
[455] 29:04	Passover time saying, "Do I have to stop
[456] 29:07	eating 11 bread during this time?"
[457] 29:09	[laughter]
[458] 29:10	Or
[459] 29:12	or uh you know, questions about uh the
[460] 29:15	the rules of kosher, you know,
[461] 29:18	[laughter]
[462] 29:20	are marshmallows kosher? Are mushrooms
[463] 29:22	kosher?
[464] 29:26	Do I have to give up bacon? [laughter]
[465] 29:28	like
[466] 29:30	>> yeah
[467] 29:33	[laughter]
[468] 29:38	>> CPM versus DOS. Laugh out loud. Not
[469] 29:41	ready for Dr. Faulk to call people a
[470] 29:43	Goyam.
[471] 29:45	[laughter]
[472] 29:50	[laughter]
[473] 29:55	>> [laughter]
[474] 29:59	>> I mean, I knew all sorts of of of Jews
[475] 30:04	who would eat bacon. They would never
[476] 30:06	talk about it. But then again, I also
[477] 30:09	knew a lot of Gentiles
[478] 30:12	who wouldn't eat shrimp and wouldn't eat
[479] 30:14	bacon because they were f trying to
[480] 30:16	follow the kosher laws. And it was just
[481] 30:18	like what?
[482] 30:21	Like what?
[483] 30:22	>> And some who didn't care about
[484] 30:25	Oh yeah.
[485] 30:29	Oh yeah. I I I knew a lot I knew a lot
[486] 30:32	of of Jews would slip in a bacon
[487] 30:34	sandwich now and then. I knew a lot of
[488] 30:37	them.
[489] 30:40	Uh they wouldn't talk about it,
[490] 30:44	but they they did it like
[491] 30:50	>> I mean at our potlucks we couldn't bring
[492] 30:52	pork.
[493] 30:54	You know, they were very insistent not
[494] 30:55	to bring pork to a potlucks. But a lot
[495] 30:59	of that was to keep the Gentiles happy,
[496] 31:02	not the Jews.
[497] 31:06	A lot of those Jewish people were we're
[498] 31:08	were eating pig, you know, slipping in a
[499] 31:11	little ham here and there.
[500] 31:24	Life without bacon. What about eggs?
[501] 31:26	Eggs are fine. Eggs are totally kosher.
[502] 31:38	Um says, I mean, just consider the
[503] 31:40	entire Old Testament. It was hard to
[504] 31:42	keep kosher. We couldn't do it. No, we
[505] 31:44	couldn't do it. It It's just It's so
[506] 31:46	difficult to keep kosher.
[507] 31:49	I wouldn't. And frankly, I think a lot
[508] 31:51	of those kosher laws are based upon
[509] 31:53	misinterpretations anyway. Not not every
[510] 31:56	one of those laws was
[511] 31:59	um
[512] 32:01	I mean
[513] 32:03	like for example the mixing of um meat
[514] 32:06	and dairy that was definitely a
[515] 32:08	misinterpretation.
[516] 32:16	So,
[517] 32:21	Blue Tug, I remember my Jewish boss
[518] 32:24	chowing down on some pork ribs and I
[519] 32:26	said, "That's not kosher." And he said,
[520] 32:28	"Neither am I." [laughter]
[521] 32:31	Fair enough.
[522] 32:34	Yep.
[523] 32:37	[laughter]
[524] 32:45	Yeah. Really? Orthodox can't even eat
[525] 32:47	cheeseburgers? Oh no. Oh no. No.
[526] 32:49	Cheeseburgers are off limits. Uh for the
[527] 32:52	Orthodox. Oh yeah. For Orthodox Jews, um
[528] 32:56	cheeseburgers are totally off limits.
[529] 33:00	Uh you know, steak with cheese sauce off
[530] 33:03	limits.
[531] 33:04	Yeah. you you cannot mix your cheese and
[532] 33:07	your meat, which is stupid because it's
[533] 33:11	a misinterpretation of that verse. So,
[534] 33:14	just totally dumb.
[535] 33:19	Okay,
[536] 33:29	let's move on here to the next question.
[537] 33:31	Now um we have got Dark Blade or sorry
[538] 33:35	not Dark Blade. Um 18 Ministries is back
[539] 33:39	with his lists of questions.
[540] 33:42	So
[541] 33:46	[laughter]
[542] 33:47	what
[543] 33:48	Locus
[544] 33:52	>> Okay. 630.
[545] 33:57	>> Uh, CPM versus DOSS. Uh, Locust. Now,
[546] 34:01	that's kosher. It is kosher.
[547] 34:04	Locusts are kosher.
[548] 34:06	Ironically,
[549] 34:09	don't ask me why. I think because
[550] 34:11	they're grainfed.
[551] 34:13	But yeah, locusts are kosher.
[552] 34:17	So, most bugs aren't, but locusts are
[553] 34:21	kosher.
[554] 34:28	Okay,
[555] 34:30	let's move on. The next one here, next
[556] 34:32	super chat
[557] 34:34	is from
[558] 34:36	um at mysteries and he says
[559] 34:41	St. A St. Athanasius in on the
[560] 34:44	incarnation of the word says there's
[561] 34:46	debt that need to be paid for sin which
[562] 34:49	Christ paid. Isn't this Eastern I think
[563] 34:53	it means Eastern Orthodox support for um
[564] 34:57	penal substitutionary atonement.
[565] 35:00	This is the weird thing about um the
[566] 35:03	early church fathers
[567] 35:06	is
[568] 35:08	the
[569] 35:10	various opinions on on various subjects
[570] 35:12	is all across the board.
[571] 35:15	I think one of the things that people
[572] 35:16	sort of get into trouble with when
[573] 35:21	um people start picking up the church
[574] 35:23	fathers to read, they're thinking, "Oh,
[575] 35:25	I'm going to st to discover Christianity
[576] 35:28	as it was originally taught in its
[577] 35:30	original form."
[578] 35:32	Uh, no you're not. [laughter]
[579] 35:38	So you you'll start reading the church
[580] 35:40	fathers on one opinion and they go okay
[581] 35:42	okay I think I understand the Christian
[582] 35:43	the early Christian position now then
[583] 35:45	you go to the next church father goes oh
[584] 35:47	that's the opposite position and you
[585] 35:49	read another church father okay now we
[586] 35:51	got a third position and what you what
[587] 35:54	you find is this huge diversity of
[588] 35:57	opinion in the church fathers so
[589] 36:02	um
[590] 36:05	so you will find uh you will find
[591] 36:08	support for penal substitutionary
[592] 36:10	atonement in the church fathers. You'll
[593] 36:12	also find support for the ransom theory
[594] 36:15	christrist victor view as well. You'll
[595] 36:18	find many different views in the early
[596] 36:22	church fathers because that's sort of
[597] 36:25	how they went even though they're sort
[598] 36:27	of hashing this out and making their own
[599] 36:32	um
[600] 36:33	uh discussions here about this. So,
[601] 36:39	um,
[602] 36:47	uh, Ryan Conamp, do you ever stop
[603] 36:49	reading The Church Fathers? Like, isn't
[604] 36:51	there a ton of material? Yes.
[605] 36:54	Yes, there is. There's like a thousand
[606] 36:57	volumes.
[607] 36:59	Um, I don't think anyone can read it
[608] 37:01	all. I I know of. No, even a scholar. I
[609] 37:05	I I don't know any scholar that's read
[610] 37:08	all the material from all the church
[611] 37:10	fathers.
[612] 37:16	Uh Patoule adds, "Ananas might have
[613] 37:19	meant ransom debt to be paid to the evil
[614] 37:21	one who has held since grass, i.e.
[615] 37:23	victor." Maybe he might have meant that,
[616] 37:26	but it's hard to say. You'd have to look
[617] 37:28	it up. And just because he said that,
[618] 37:32	uh he might have he might have said it
[619] 37:34	the other way, too. It's it's entirely
[620] 37:36	possible. Um
[621] 37:39	the pro the problem here is that
[622] 37:42	if you if you read enough church
[623] 37:44	fathers, you'll probably find the
[624] 37:46	support for penal substitutionary
[625] 37:48	atonement even if it's not expressively
[626] 37:52	um teased out like you find in ancel.
[627] 37:56	So,
[628] 38:01	so, um,
[629] 38:06	says Acrolis says, "Amazon has a nice
[630] 38:09	56,000 page collection. Not sure if it's
[631] 38:12	all the works." Probably not. Oh, no.
[632] 38:15	No, no, probably not.
[633] 38:19	Um, I mean, I mean, I I'm quite literal
[634] 38:22	when I say about a thousand volumes.
[635] 38:25	Uh, Mnet alone is 400 volumes and his
[636] 38:28	his works aren't complete.
[637] 38:35	Yeah, it is kind of a fun start.
[638] 38:38	A bridged. Yeah, 56,000 pages abridged.
[639] 38:42	Yeah, probably.
[640] 38:45	[laughter]
[641] 38:48	BC4YT. I want the entire father's
[642] 38:50	collection in audio book. [laughter]
[643] 38:54	You'd be lucky just to get it translated
[644] 38:56	in your lifetime.
[645] 38:58	You get it translated in your lifetime.
[646] 39:00	Consider that a win.
[647] 39:05	I mean, there was a was it there was
[648] 39:06	this um uh Church Father series and I
[649] 39:10	don't remember it where where they're
[650] 39:11	trying to translate it all, but they
[651] 39:14	haven't gotten there yet. It's going to
[652] 39:16	take them a long time.
[653] 39:20	The only thing I don't like about that
[654] 39:21	collection is it's sort of um it has a
[655] 39:24	very Catholic bent, Roman Catholic bent.
[656] 39:28	Not necessarily a a true as true to the
[657] 39:32	to the original text as it could be.
[658] 39:40	Okay. So, I hope that answered your
[659] 39:42	question at um yes, it could be support
[660] 39:45	for PSA. It could be support for
[661] 39:47	Christ's victor. I'd have to look at the
[662] 39:50	text to find out for sure. It's possible
[663] 39:52	though again because you we are talking
[664] 39:55	that there's so much diversity in the
[665] 39:57	church fathers. So much diversity. I
[666] 40:00	mean anyone who who doesn't recognize
[667] 40:01	the diversity of the church fathers
[668] 40:03	hasn't read enough of them.
[669] 40:07	Seriously.
[670] 40:12	Uh, Pui says, "What's worse? One volume
[671] 40:14	in MNE might have multiple unmarked
[672] 40:17	editions." Yeah. Oh, yeah.
[673] 40:20	Uh, the MDNet connection is a is a is a
[674] 40:23	mess. It's a mess. But, you know, he
[675] 40:26	that was sort of what he was just doing
[676] 40:28	was finding these these texts and
[677] 40:31	getting them published.
[678] 40:34	So,
[679] 40:39	we have a lot of what we have though
[680] 40:40	because of MNE.
[681] 40:45	Okay, let's move on here.
[682] 40:48	Next uh one here is also from AT
[683] 40:52	ministries and he asks, "Why did the
[684] 40:55	angel wrestle Jacob though?" Uh, I
[685] 40:59	really would have needed a Bible verse,
[686] 41:02	a passage to go with this. Okay. Um,
[687] 41:08	there would be, it's hard to say exactly
[688] 41:11	why he wrestled other than that seems
[689] 41:14	that Jacob challenged the angel to force
[690] 41:17	a blessing
[691] 41:19	because of
[692] 41:21	of his pending meeting with Esau.
[693] 41:25	Okay. At this point where the angel
[694] 41:28	wrestles Jacob, Jacob puts the women
[695] 41:31	across the river, women, children across
[696] 41:34	the river. And he's about to face Esau
[697] 41:36	alone.
[698] 41:38	And he grabs on to the angel and says,
[699] 41:43	"Don't let me. I won't let you go until
[700] 41:44	you bless me." And that's when they
[701] 41:47	start getting into a tussle.
[702] 41:50	Because he's just refusing to let go.
[703] 41:55	And that's where the angel of the Lord
[704] 41:56	cheats. [laughter]
[705] 42:01	Cheats.
[706] 42:04	He learned juujitsu from the best.
[707] 42:08	[laughter]
[708] 42:13	BC4YT. Jacob, do not be afraid. Give me
[709] 42:16	a blessing.
[710] 42:18	Yeah, pretty much. [laughter]
[711] 42:25	>> [laughter]
[712] 42:27	>> Ah, good times. Good times.
[713] 42:34	Andrew Graham, slap. Now you've got a
[714] 42:36	limp. [laughter]
[715] 42:40	Ryan says, "There's a WWE joke in here
[716] 42:44	somewhere. I just don't know the
[717] 42:45	material."
