[0] 0:10	do
[94] 11:29	now what btok is trying to do here is he's trying to sort of push a middle ground here
[95] 11:36	um between the uh the termination of uh
[96] 11:42	occupation at a virus that dates to roughly the um 13th century
[97] 11:50	with say earlier um conquest narratives
[98] 11:56	in say canaan uh for a long time bitak really liked the um say the memorial
[99] 12:03	view of the hixos being the uh where the israelite legend came from so
[100] 12:09	his views are changing over time but i think i think it's i think 12th
[101] 12:15	century is a little late um i know gary rensberg likes that view
[102] 12:20	he likes the 12th century view uh i think i think it's just a little on the late side
[103] 12:26	but i also think too that you know frankly detox view isn't that far away from my own view it's only off by about
[104] 12:34	50 70 years so it i mean it's not that far away from what other late daters would do
[105] 12:40	so i mean it's it's not it's not screwball crazy but it's it's a little later than the
[106] 12:45	rest of us would probably take and and he would probably be more in line with say um a a view that sort of pushes an
[107] 12:54	excess view that closer pushes to monepta with a very very short
[108] 12:59	soldier you really can't get away from the whole mernepta stila identification of israel in canaan
[109] 13:08	um so um he's not gonna he's not gonna go um any later than that
[110] 13:13	he's just not gonna go any later than that i know rensberg does but um but b-talk
[111] 13:18	won't so anyway i hope that answers your
[112] 13:25	question thank you very much for the super chat very much appreciated and i did see another super chat so what
[113] 13:32	we are going to do instead is we are going to take our few our han our
[114] 13:38	initial um non-super sat chats so we do not
[115] 13:43	um ignore them okay so our first non-super chat is from diane salzar
[116] 13:50	i watched vsauce video on ontology does the bible heavily imply an ontology
[117] 13:57	biblical reality that interprets reality objects and concepts differently than science does in the eyes of god now the
[118] 14:04	eyes i got here is a dangling preposition so i
[119] 14:09	think i know what you mean here but this this sentence this question could mean two different things
[120] 14:15	um i think the only thing that the bible is really proposing here is it's it's
[121] 14:22	proposing a a view of gods and divinity and of magic whereas science is um
[122] 14:30	doing what's what's sometimes called naive um
[123] 14:35	naive scientific empiricism which is whatever you observe
[124] 14:42	that's reality um i don't think
[125] 14:48	that's tenable i mean i don't think a magical um view is also tenable but
[126] 14:56	but naive scientific naturalism is definitely not tenable
[127] 15:02	and frankly hundreds of years the philosophy of science has kind of shown the deficits of that view
[128] 15:08	so we have to be very very careful when we actually kind of come down to asking what do we mean by um
[129] 15:17	the ontology of biblical reality versus say the ontology of scientific
[130] 15:23	naturalism because they're different and they come from different mindsets
[131] 15:29	and different philosophical frameworks and ontology means the beginning of
[132] 15:35	things okay um an ontology of biblical reality is
[133] 15:41	going to be say sort of start with the idea of of the
[134] 15:47	pre-existence of god and then sort of move forward from there
[135] 15:52	into into a created order and i created order based upon say
[136] 15:59	religious constructs such as um as uh definitions of of of
[137] 16:05	temples and a sacred space concepts of scientific um
[138] 16:12	naive scientific naturalism are going to just start with
[139] 16:17	whatever we see whatever we experience that's real okay so it's it's going to basically say
[140] 16:24	that whatever we start with those sensible qualities as defined by
[141] 16:30	empiricism are what is real you see red red is real
[142] 16:38	that's naive scientific naturalism the problem is of course we now know
[143] 16:45	that wet red is actually a construct in the mind
[144] 16:52	because when we see red with our eyes it's not objectively red
[145] 16:57	it's a wavelength of light and frankly a longer wavelength of light
[146] 17:04	and by moving that wavelength it changes to a different color
[147] 17:11	a [Music] a [Music] photon of red light hitting something
[148] 17:17	else isn't creating necessarily the sensible quality of red
[149] 17:23	we have to interpret that as red
[150] 17:29	so naive scientific naturalism has been under attack for the last 200 years
[151] 17:35	since it was proposed by john locke but at the same time too it's a well it's useful it has its uses
[152] 17:43	i mean a lot of good philosophies have their uses even though we know they're inherently wrong
[153] 17:50	so with that said i don't think we can really come and come down one side or the other on this
[154] 17:56	and a lot of work has been done in this um in the last 50 years i know a lot of work has been done in philosophy of
[155] 18:01	science um i haven't kept up on any of it i've got too much other stuff to read
[156] 18:07	so um i'm aware that that work exists i haven't read it myself
[157] 18:13	so anyway thank you very much for the question interesting question a little out of my field though but
[158] 18:19	uh that's what i uh that's what i know about it and we got a second non-super chat here
[159] 18:26	from jacob testa hi dr falk i heard somebody claim that the exodus
[160] 18:32	couldn't have happened because during the new kingdom canaan was under egyptian control so when the israels
[161] 18:38	have israelites have just gone into more egypt well
[162] 18:47	there's a lot of ways to define control
[163] 18:53	egypt was not an empire okay so it wasn't controlling every aspect of
[164] 19:01	levant you know you went into the lot it was not egypt
[165] 19:06	egypt was a hegemony okay and we know this from the mono letters
[166] 19:12	we know this from the structure of say egyptian garrison towns like for example
[167] 19:18	um the one of the largest egyptian garrison towns in canaan was bachelon
[168] 19:26	that had a thousand people living there half of them might have been soldiers
[169] 19:31	a quarter of them you know half of that might have been chariots so maybe 200 chariots
[170] 19:39	200 250 soldiers the rest of them are bureaucrats and support people
[171] 19:47	uh most of the garrison towns in um the
[172] 19:52	late new kingdom were more of observation posts uh they were administrative centers they
[173] 20:00	were basically places to collect tribute uh egypt did not have a iron grip
[174] 20:08	on um on kanan as much as it's it's it's sort of
[175] 20:13	um tempting to think that um
[176] 20:20	so you know we also know too that say at the end of and i think there was another question
[177] 20:26	to this regard which we might just dovetable here if i see it
[178] 20:32	um did i see it here yeah let's just dovetail this question
[179] 20:38	on it as well because that will also fill out the answer here and this is um
[180] 20:46	x femboy saved by jesus's question here uh and his question is if ramsay's the
[181] 20:52	second is fair of the exodus and he lost his chariots are there any records of egypt being attacked afterwards
[182] 20:58	shouldn't such a disaster to egypt provoke a response okay now we'll get to the fullness of
[183] 21:04	that question but let's move up the timeline here i mean we got the amarna letters we got the immortal letters from the 14th century
[184] 21:12	and actually what i'll do here is i'll take both questions and just drag the other one down so both are on the screen here okay
[185] 21:20	okay so we have in uh the monolayers which date to the 14th century during the arena of
[186] 21:27	akhenaten tutu svenkaray that
[187] 21:33	kanan was essentially a collection of squabbling city-states with a few administrative centers that
[188] 21:42	these squabbling states confess their their their um their vassalage to
[189] 21:48	so these were vassal states but they weren't under absolute control by the egyptians they could feud all the
[190] 21:54	time and did feud all the time and egypt didn't get involved
[191] 22:00	so when we come to say um the reign of ramses ii
[192] 22:06	we see something kind of remarkable happen and we're always seeing signs of this in the umarna period but during the reign of ramsay's second we
[193] 22:12	really start to see this which is egypt loses control of levant
[194] 22:20	now not immediately and not all at once but already in the reign of ramses ii
[195] 22:27	philistines are starting to take over the coastal plain they're overthrowing vassal states
[196] 22:36	and putting their own people in there
[197] 22:41	one of the most interesting things i see you know scholars when they say well you know the israelites couldn't have
[198] 22:46	invaded um um kanan
[199] 22:52	during say the reign of king renekta uh because because egypt was it had this
[200] 22:57	iron grip control over the levant oh but those philistines oh they were just
[201] 23:02	just just overrunning the coastal plain well egypt had more control over the
[202] 23:10	coastal plain than the judean foothills
[203] 23:16	there was actually a i mean egypt when egypt went on campaign into the law it almost always went up
[204] 23:22	the coastal plain it almost never went into the judean foothills and it certainly didn't do it from the south
[205] 23:27	when egypt attacked say the um the genie didn't feel his foothills it typically
[206] 23:32	went up the coastal plain through the valley of jezreel and then came back down
[207] 23:40	and that's because there was a swamp between the coastal plain and uh and the gene foothills that made
[208] 23:46	crossing by cherry quite difficult so
[209] 23:53	so what we have in say um the hegemony of the late
[210] 23:58	um say um late new or not late um
[211] 24:03	early ram aside period is that there there's still some some some um
[212] 24:10	garrison states they can't these garrisons or these garrison towns cannot enforce the hegemony
[213] 24:17	they can just observe they can collect tribute they can provide support operations should
[214] 24:22	egypt do a campaign but almost all enforcement was done by campaigns
[215] 24:29	now in the case of romans ii he didn't provide another enforcement campaign
[216] 24:34	after his 18th regular year so then
[217] 24:41	that answers say um jacob test this question about you know
[218] 24:47	how could the israelites enter in it's because they'd already lost control over the coastal plain to
[219] 24:53	the philistines and they did no longer had the power
[220] 24:59	to really enforce um other countries coming in and occupying
[221] 25:05	so um that answers uh that question now to answer the other half of ex-femboy
[222] 25:12	saved by jesus's question which is
[223] 25:17	uh shouldn't uh if if the pharaoh of egypt had lost all his
[224] 25:22	chariots are there any records of of egypt being attacked afterwards shouldn't such a
[225] 25:27	disaster provoke a response and the answer is no uh the reason why is because egypt had
[226] 25:34	peace treaties okay rams is the second had peace treaties
[227] 25:40	um the the only people who are really sort of
[228] 25:46	uh equipped to attack egypt were the hittites
[229] 25:51	and the hittites had a peace treaty with egypt uh by the 25th regular year
[230] 25:57	which happens to be just around the time of the exodus so the hittites are not going to attack
[231] 26:04	egypt after just signing a peace treaty and exchanging marriage wives you know
[232] 26:09	that that thing that ain't gonna happen now on the other hand
[233] 26:16	um egypt still had say a it's foot soldiers and that could
[234] 26:22	that could still put up quite a resistance against say lesser states
[235] 26:27	now with that said egypt was attacked but by the libyans
[236] 26:34	and that had occurred in the fifth regular year of monepta
[237] 26:40	and the problem is that mernepta could not scrape together enough chariots
[238] 26:47	to do a proper counter attack the [Music] libyans had managed to occupy the nile
[239] 26:54	delta for three months it took
[240] 26:59	three months for mernepta to cobble enough chariots together to provide a response
[241] 27:05	so it is really really clear that um that by the time of king mernepta which
[242] 27:11	is only five years after the reign of ramses ii
[243] 27:16	egypt no longer had enough chariots to defend herself
[244] 27:22	it probably had enough chariots to go on a minor campaign into say canaan
[245] 27:28	but not enough not enough chariots to defend itself from say a
[246] 27:35	coalition attack and the libyan attack was a coalition it was several chiefs that had banded
[247] 27:41	together to attack the nile delta on mass in order to take the food
[248] 27:47	okay so um that should answer that question so
[249] 27:53	we we don't have an attack in in and monetary or certain rams he's a second lifetime because he's got treaties
[250] 28:00	he's got treaties he has subdued the libyans in the west he subdued the nubians in the south
[251] 28:06	but after that um his successor murnepta pays a pretty
[252] 28:13	high cost for not having enough chariots and that is recorded that is recorded on
[253] 28:19	the manipu victory stila and the um the great karnak
[254] 28:25	victory steel as well so anyway thank you for the question i hope that answered that
[255] 28:31	okay now i think we got another super chat okay
[256] 28:42	okay um we got a ten dollar super chat from aussie salazar thank you very much for
[257] 28:48	the super chat very much appreciated uh pleasure to be here dr folk well it's a pleasure having you here it's
[258] 28:55	wonderful that you could join us tonight uh this may be a little bit out of a little out of your baileywick but can
[259] 29:01	you do a comparison between the egyptian book of the dead and the tibetan book of
[260] 29:06	the dead any influence in jesus christ i think that's what you mean by jc um
[261] 29:13	okay yeah that is out of my bailiwick um i know the egyptian book of the dead
[262] 29:18	quite well um that's because i did a lot of work on it uh the tibetan worker the dead i have
[263] 29:24	never read um so with that said um it's really really
[264] 29:31	hard for me to compare the egyptian book of the dead with the tibetan book of the dead
[265] 29:38	it is an interesting question yeah absolutely it's an interesting question um but i don't know anything about the
[266] 29:43	tibetan book of the dead so unfortunately i can't do a comparison now however
[267] 29:51	um i can uh compare the book of the dead with um with any influence with uh jesus
[268] 29:59	christ and i don't see any honestly
[269] 30:04	i know there are people that try to compare the osiris myth
[270] 30:10	found in the book of the dead with the resurrection of jesus christ
[271] 30:16	and they're not similar in any way they're not similar at all one of the things about say for example
[272] 30:22	uh osiris is he was never resurrected okay
[273] 30:28	he was reanimated and copulated with it's kind of weakened at bernie's
[274] 30:35	we can have bernies essentially isis neff this uh find the pieces of the the the
[275] 30:43	chopped up pieces of osiris uh stitch them all together
[276] 30:48	reanimate the course uh corpse h1n turn
[277] 30:54	does the nasty with uh the dead osiris
[278] 30:59	and has a child from it um the problem is
[279] 31:05	that osiris was still dead he was still dead what he was was resurrected in the afterlife
[280] 31:12	and gives the power of apotheosis uh
[281] 31:20	okay i gotta highlight that comment [Laughter]
[282] 31:26	oh sir is uh weekend at bernie's i'm dying yeah he is it's like
[283] 31:33	that's definitely weakened at bernie's and bernie got lucky too
[284] 31:40	post-mortem yeah there's mo there's there's more to compare weekend and bernie's with the
[285] 31:47	egyptian book of the dead um than with say the new testament i mean
[286] 31:55	[Laughter] but ultimately uh osiris resurrection is
[287] 32:01	as king of the underworld that's his resurrection and that's his apotheosis
[288] 32:08	and that's also what makes him sort of the wellspring of of say
[289] 32:13	um resurrection energy is through his his power within the underworld as a result of of that
[290] 32:22	so um [Laughter] so um
[291] 32:28	uh yeah uh the two cannot be equated with jesus christ in any way
[292] 32:34	uh and but unfortunately i cannot compare any either one with the tibetan book of the dead i don't know it but
[293] 32:40	i've never read it so i hope that gives you at least some resolution to the question or at least
[294] 32:47	gave you a good laugh thank you very much for the super chat i very much appreciate it
[295] 32:56	okay let's see uh lou for five dollars thank you very much for the super chat
[296] 33:03	uh did the egyptians ever debate the events that occurred in the passover throughout history um
[297] 33:12	depends what you mean by debate okay now did they debate
[298] 33:18	the passover events of the passover directly throughout history and the answer the quick answer is as far as we know no
[299] 33:26	were events like the passover discussed in egyptian
[300] 33:31	history and that's a definite yes okay
[301] 33:37	um there are several events that are eerily similar
[302] 33:42	to the passover not necessarily the passover but say the nine plagues leading up to the passover
[303] 33:49	that seem to have happened more than once in egyptian history
[304] 33:54	um the blotting out of the sun seems to have happened at least once prior in egyptian history
[305] 34:00	the river turning the blood seems to have happened before in egyptian history
[306] 34:05	there does these these do seem to be uh naturalistic events that have occurred
[307] 34:12	more than once in egyptian history so well they didn't say necessarily debate it they did discuss it and they
[308] 34:19	didn't mention it we find us in say the prophecy of nefertiti
[309] 34:24	uh the instruction of ipo where so there are especially middle kingdom documents
[310] 34:30	where we find references pass over like events and exodus like
[311] 34:37	events but happening much earlier in the history of egypt and these these texts
[312] 34:44	usually date to to the middle kingdom um at the at the turn of say dynasty 11 into dynasty 12
[313] 34:51	usually the first reign of dynasty 12 is what they're usually attributed to and there's really no doubt about that date
[314] 34:57	either because the the language and the references that we find in those texts
[315] 35:03	are clearly middle kingdom and early middle kingdom
[316] 35:08	okay so i mean this doesn't even this isn't even say you know the dynasty 13 this is like the beginning of dynasty 12.
[317] 35:17	so we do find the events of the plagues mentioned
[318] 35:22	and the egyptians are mentioning them but the specific ones of the exodus themselves do not seem to have um
[319] 35:31	the record does not perceive to be preserved now let me qualify that too
[320] 35:38	our records from uh the capital of egypt at that time parameters are exceptionally terrible
[321] 35:46	okay um very very uh we're lucky in the case of
[322] 35:53	the middle kingdom in that we actually have a lot more texts preserved from around the area of the
[323] 36:00	capital of ichitawi and in particular the lahoon papyrus
[324] 36:06	cache some of the austrica from dirral medina contained middle kingdom texts
[325] 36:13	but we don't have much in the way of historical records from the r uh from the reign of ramses ii
[326] 36:21	except the late uh egyptian miscellaneous but those seem to have been sort of curated
[327] 36:28	for specific purposes not for say um say um
[328] 36:33	as um records of history those are more or less uh pedagogical uh pedagogical
[329] 36:39	writing samples okay so really your question is a yes and no
[330] 36:45	kind of question it's no they didn't talk about the uh the events that are around the the passover
[331] 36:52	but they were passover like and exodus like events that they did talk about
[332] 36:58	so anyway thank you very much for the super chat very much appreciated
[333] 37:04	okay uh angel vwn for five dollars
[334] 37:10	uh thank you very much for the super chat what is considered the beginning of the clan and the end of the clan okay
[335] 37:17	now we are working on a video on just this topic
[336] 37:23	uh we're going to go uh do you want to do a monday release that's going to be all about clans
[337] 37:28	okay because i think there's a lot of confusion over clans and um
[338] 37:33	it doesn't it's not something that we are used to in our particular society
[339] 37:39	but generally generally speaking a clan is started
[340] 37:44	when you have say a progenitor you know do something famous do something
[341] 37:50	important and establish a family a large family
[342] 37:56	okay now
[343] 38:03	a clan is defined as essentially four living generations okay so your progenitor has kids they
[344] 38:11	have kids they have kids and what happens is over time
[345] 38:17	um the oldest generation dies the newest generation takes over
[346] 38:23	or fills in the gap you know and the clan leader is is appointed down
[347] 38:31	the ranks okay so essentially as long as that clan leader is still alive to preserve the
[348] 38:37	name of that clan that clan remains alive and we do see this in say
[349] 38:45	places like scotland and ireland where we do have clans that are over 900 years old there
[350] 38:52	and it seems to be that as long as those those those families i mean those families can lose their ancestral holdings and still have integrity as a
[351] 39:00	clan so when we deal with clan politics
[352] 39:05	the family can get quite large but it seems that once say that progenitor dies
[353] 39:11	or the person who succeeds i should say ultimately the last error of that progenitor dies so that there's no clear
[354] 39:18	line of succession uh then that clan dies and then new clans sort of form out of
[355] 39:24	that okay so that seems to be the i mean the clans don't just
[356] 39:31	disappear uh disappear entirely they they sort of break off into new clans so
[357] 39:36	that seems to be how it works as i said we're going to get more into detail on this on the monday release
[358] 39:44	that we do in the next month on clans so we're going to go through this um
[359] 39:50	in in more detail than probably anyone wants to hear but i think this is an important topic it's
[360] 39:55	a really really important topic for understanding the bible because one of the things one of the
[361] 40:01	things we have to understand about the bible is it's an entirely clan based society
[362] 40:08	it's not a tribe based society it's a clan based society so if you don't understand that it's a
[363] 40:14	clan based society you can misinterpret a lot of stuff and not even know it
[364] 40:20	and unfortunately
[365] 40:25	our english translations don't do us as good service here because they they often translate clan
[366] 40:31	as family when it's not a family it's much much bigger than that the concept is bigger
[367] 40:37	than that so anyway thank you very much for the super chat very much appreciated so in
[368] 40:43	to recap a progender starts a clan a large family
[369] 40:48	that grows to four generations and keep sort of that you know maintaining that integrity of
[370] 40:55	generations over the centuries until there's there's there's no more successors and then it splits off into
[371] 41:01	new clans it's kind of like clans are kind of like amoebas they split in half when they're
[372] 41:08	when their day's over so anyway thank you very much much for the super chat very much appreciated
[373] 41:18	okay i don't yeah okay all right uh lingusambo for five dollars
[374] 41:26	thank you very much super chat hey dr folk i just wanted to know your thoughts on the mixed multitude theory
[375] 41:33	of the conquest put forth but andrew and killebrew okay
[376] 41:38	um i don't know killebrew's theory on this i'd have to look this up
[377] 41:43	um but i have my my my thoughts on the mixed multitude theory
[378] 41:49	and um it really is going to depend what she means by the mixed multitude here
[379] 41:54	now some people are going to take a mixed multitude theory to think that this is
[380] 42:00	sort of the peaceful in infiltration theory where you have say maybe levites
[381] 42:06	or wandering sojourners that sort of peacefully infiltrate and they pick up the mixed multitude from
[382] 42:13	say the local canaanites okay um i don't think that's the mixed multitude
[383] 42:20	it's the exodus makes it sort of clear and i'm not by the way i'm not saying that's that's killer blue's view because
[384] 42:26	i don't know what killer's view is but i just want to make sure
[385] 42:32	that i'm covering other bases here as well um i do think that the mixed multitude
[386] 42:40	is you know basically the result of the cosmopolitanism that we find at avarus
[387] 42:47	and avarus was a very cosmopolitan city yeah uh we know from the archaeolog art
[388] 42:54	archaeology there that not only egyptians live there but nubians live there
[389] 43:00	uh we also because there was a garrison of nubian soldiers that was stationed there
[390] 43:06	uh medjay would have been there because they were medjay were placed all over egypt to act as policemen and community
[391] 43:13	leaders uh libyans would have been there because that was part of the
[392] 43:18	of the ethnic groups that um wandered in off of the sahara
[393] 43:24	at the end of um the neolithic wet period
[394] 43:29	so we got this large melting pot this this this sort of mishmash of various ethnicities in egypt
[395] 43:38	in that particular part of the nile delta at that particular time so
[396] 43:45	it's really not inconceivable that when the israelites are coming out of egypt
[397] 43:50	they're leaving with a bunch of different people a bunch of different ethnicities
[398] 43:56	you know egyptians magi nubians libyans other semites amorites because the hicks
[399] 44:03	were amorites so there's a there's a large wide body
[400] 44:09	of group that are coming out with the sons of jacob to form this new new nation and this is
[401] 44:16	why i also say too that we really can't talk about the israelites living in egypt
[402] 44:24	they were the sons of israel but they weren't the israelites the israelites are really formed in the
[403] 44:30	sinai peninsula as a result of this mixed multitude coming out of egypt and sort of
[404] 44:36	integrating itself with the 12 tribes so i uh i wish i could say more about her
[405] 44:43	theory but that's how i understand the mixed multitude even if it's not the same as
[406] 44:49	the mixed multitude theory so anyway thank you very much for the super chat very much appreciated
[407] 44:57	okay let's see here
[408] 45:02	converse contender 4.99 good to see you tonight uh will nice to have you here
[409] 45:08	okay folks live i got behind the scenes of the old testament great
[410] 45:13	clothes book well um it was interesting to work on that
[411] 45:19	project um there was a little bit of a background
[412] 45:24	story there uh to my contribution to that book uh i wrote the chapter on uh the
[413] 45:30	egyptian sojourn and exodus and at the time
[414] 45:35	at the time uh when they when they enlisted me on that project um
[415] 45:42	they said to me that i could write anything i want on the exodus um and they told that to all the authors
[416] 45:49	that we didn't want to interfere with interfere with your scholarly point of view and
[417] 45:55	i said okay fantastic so i wrote a chapter completely about the late exodus date
[418] 46:01	and the late exodus uh um uh cultural context and and all the
[419] 46:07	everything from the late exodus period because that's where all the evidence is
[420] 46:12	and i got from the editors oh no you can't write about that anything but that
[421] 46:19	i said i said but it's it's the truth i said didn't they say yeah yeah we know it's a truth but
[422] 46:24	you can't tell them that
[423] 46:32	yeah they were um they weren't so um they they said they said oh tone it down don't you can you can still say you can
[424] 46:38	still say you were from the latex but tone it down a lot we don't want to alien any of our readership
[425] 46:44	um so yeah there was a there was a lot of fear that that my chapter would would
[426] 46:50	alienate all's to say the more conservative um um uh christian readers
[427] 46:58	so um so yeah um
[428] 47:03	so there was there's a there was a little bit of background of that uh to my contribution to that book
[429] 47:09	but that's okay because i did get to speak my piece eventually when i published my own book but um
[430] 47:16	but yeah it's still a great book though and it's a great resource and i highly recommend it it's a fabulous book
[431] 47:22	so any thank you very much for the super chat you got a little anecdote there and i'm glad you could be with us tonight
[432] 47:32	okay uh tom wemcheck for five dollars thank you very much for the super chat
[433] 47:38	does moses fear being god's spokesman implied that he had a speech impediment
[434] 47:43	was this partly why god chose him strength and weakness love your book well thank you very much
[435] 47:50	really appreciate uh the people who have bought my book and have have really taken the time to
[436] 47:55	pour through it um uh it's it was that was really a labor of love so um i it warms my heart that
[437] 48:02	anyone uh read it and appreciated it so
[438] 48:07	uh your questions uh two questions um
[439] 48:12	does moses fear being god's spokesman imply he had a speech dependent well that's that's a that's a good question
[440] 48:22	he does say he's slow of speech so there is there's some sort of of
[441] 48:29	indication that he either had a speech impediment or he wasn't quick thinking that's
[442] 48:35	another possibility too so you know it might have been he might have had a speech impediment
[443] 48:41	or that he couldn't formulate his his thoughts fast enough to be a fluent
[444] 48:47	speaker so you know either one of those is a possibility
[445] 48:53	uh there was a problem
[446] 48:58	there does seem to have been a problem and a problem that did affect his self-confidence in being able to go to
[447] 49:05	the people and act as god's spokesman
[448] 49:11	now your second question was this partly why god chose him strength and weakness it could have been
[449] 49:17	yeah that's that's a possibility it's it's also possible too
[450] 49:23	that um you know god chose him because
[451] 49:28	he would have done what he was told at least most of the time
[452] 49:34	um you know moses did approach the burning bush
[453] 49:42	he had a certain amount of courage here um he may have been afraid of how he looked
[454] 49:49	because of his speech issues but he was he was he had enough courage
[455] 49:54	and enough zeal that he could actually you know stand up to pharaoh as an
[456] 50:00	intermediary but also too god chose moses because
[457] 50:06	one of the things we have to be aware when we talk about saint moses is that and frankly any any biblical
[458] 50:12	writer is god prepares them from the very beginning
[459] 50:18	god chooses the path people take to
[460] 50:24	um this is what we call uh in theology um the inspiration of the texts
[461] 50:30	you know um divine inspiration it's not just that that people get the words
