[0] 0:00	a [Music]
[149] 19:27	1st Samuel 13 in general that's what we need to talk about let's pull this up here cuz this is going to
[150] 19:34	get kind of nuts now I'm just going to read this from The New American Standard and this
[151] 19:41	I want to make sure that you guys all know that this is not a definitive translation of 1 Samuel 13 but we'll
[152] 19:48	start this working with this okay now
[153] 19:54	the text reads and what I'm going to do is I'm going to moove from this
[154] 20:00	reading the words that are not in the text
[155] 20:05	okay yeah it's this is a highly corrupted text highly
[156] 20:13	corrupted so the text reads th
[157] 20:18	was a year old when he began to Reign and he reigned two years over
[158] 20:27	Israel hey it is probably one of the most corrupted
[159] 20:34	texts in the Bible we don't know it looks like I mean
[160] 20:39	it could have been several things that caused this corruption it could have been uh scribal
[161] 20:45	miscopy it could I mean because CU frankly the text doesn't even make sense
[162] 20:51	I'll this the text doesn't even make sense it could also be that they had a
[163] 20:57	scroll that got MO moth eaten right at this point that's possible too and it
[164] 21:03	got moth eaten to the extent where they couldn't figure out what was being said
[165] 21:09	okay the problem though is that now we are left in the position
[166] 21:16	that dosman sector errors no doubt yeah yes that's a good way of putting it
[167] 21:22	sector errors yeah uh a sector error is if you don't know is on a disc dis uh in
[168] 21:29	a computer is divided by sectors and sometimes you get an error in a sector but yeah that's what's going on
[169] 21:36	here yeah it's always in your backup you get a sector error yeah
[170] 21:42	totally but that's what's going on here is there was a corruption in the text so
[171] 21:47	every translation has to fix this somehow now the the earliest of these
[172] 21:56	Corrections seems to be in the SE Tu agent and the septu
[173] 22:03	agent uh see here doesn't even address it it sort of um cuts this out all
[174] 22:12	together now there are some versions like for example uh this is um rolf's uh
[175] 22:19	septu it cuts out 1 Samuel 131 all together because it's this the text is
[176] 22:28	so corrupt it doesn't make sense okay there are a few getting back to the
[177] 22:34	nasb here and the nesb actually um does an
[178] 22:44	inverse of the sep certain volumes of the septu agent okay certain volumes of
[179] 22:50	the septu agent say Saul was 30 years old when he began to Reign and he
[180] 22:55	reigned 42 years over Israel and it's only a few copies of the septent that do this but it has sort of
[181] 23:04	been um pointed out that if Saul was 30 years when he
[182] 23:12	began to Reign How do you account for Jonathan being a adult a full adult and a
[183] 23:20	commander of the army when Saul was only 30 okay so that's that's a that's an
[184] 23:27	issue okay so a lot of the am yeah so a lot of
[185] 23:33	the mendations reverse that so that it says Saul was third uh was was 40 years
[186] 23:40	old when he began to Reign and he reigned 32 years over
[187] 23:46	Israel but Bible Hub from what I can tell follows that
[188] 23:53	that that reading from the Septuagint Okay so when I looked it up that's what
[189] 23:59	I recall is that it says in the Bible Hub
[190] 24:05	that Saul was 30 years old when he began to Reign and he reigned 42 years and
[191] 24:10	that's that's in line with with some additions of the septu but by no means the majority of the septu and
[192] 24:18	copies so uh it's a highly corrupt to text
[193] 24:23	we're not exactly sure what it reads um if we're if we're lucky we'll find a a
[194] 24:30	another copy of the text that will give us more insight onto into this text but
[195] 24:35	as of right now every translation has to make an amendation just just for the
[196] 24:42	basics of how do we make this even makes
[197] 24:48	sense so I hope that helps thank you very much for the question very much appreciate and it's just it's just a
[198] 24:55	problematic text because it's so corrupt okay all right so I hope that helps thank you for the suit for the question
[199] 25:01	very much
[200] 25:06	appreciate hey I want to just uh give a couple shout outs here uh hi uh Phil Fox
[201] 25:12	good to see you here tonight oops there's I also want to say hello to uh
[202] 25:20	uh uh slamaran good to see you here
[203] 25:25	also okay and also saying hello to Mama uh who's who's been already quite active
[204] 25:32	in the live chat so uh welcome to live stream
[205] 25:37	tonight and Jack Ray and BC also can't miss them all right so let's get uh to
[206] 25:45	the next one here and we'll take here uh Adrien Rodriguez's uh uh member question so
[207] 25:52	we're going to get on to the uh super chats here and he asks just found out about
[208] 25:59	the book of the wars of the Lord numbers 21:14 what are other lost biblical texts
[209] 26:06	you wish we had access to and why thanks um the well the book of jasher would be
[210] 26:11	wonderful to have not the not the medieval um forgery but the real one the
[211] 26:18	real one's lost uh there's also a um book of the uh
[212] 26:26	Deeds of the Kings that's also been lost but largely
[213] 26:32	preserved in the book of Kings now I'd love it I'd love to see the difference
[214] 26:38	between the book of the Deeds of the Kings versus the book of kings that would be a very interesting comparison
[215] 26:44	uh text critically so I'd love that that for that book to be found so that we can
[216] 26:49	sort of compare the two that would be awesome yeah as I said
[217] 26:55	the book of jasher would be lovely to see if to see what exactly the Bible is quoting
[218] 27:01	from the book of jasher again we don't have that book um but yeah there's a lot of of uh
[219] 27:10	these various little books that uh the
[220] 27:15	Bible sort of draws upon as its sources and I wish there were more those would
[221] 27:21	be found because it would be fascinating they wouldn't be considered scripture and I want to make that clear even
[222] 27:26	though they're quoted by the Bible they're not scripture but so fascinating
[223] 27:31	to read so those are my sort of picks for the ones that I think would be really
[224] 27:37	really super interesting to find but maybe someday you never know
[225] 27:44	you never know you know they might be digging somewhere they might find one it's happened this stuff's happened you
[226] 27:50	know no one expected the nagamati library to be found yes it's a gnostic library but it was a trove of various
[227] 27:57	gnostic texts and it well didn't give us a lot of insight into gnosticism as much as what the
[228] 28:05	gnostics were reading so but even that can give you some really great information so yeah there's a lot of
[229] 28:12	these things that I think if we had those we can do some interesting comparisons of so thank you very much
[230] 28:17	for the member question hope that helps very much
[231] 28:24	appreciate okay the next one here is from Christian Theology and apologetics for $499 thank you for the Super Chat
[232] 28:31	the guy formerly known as Addison Weir
[233] 28:38	uh yeah that this provocative question deserves [Laughter]
[234] 28:45	that okay what's and he says what's the difference between getting being lucky to get a destruction layer and the
[235] 28:51	destruction layer being uncommon when the former imply the latter no not
[236] 28:56	necessarily okay uh getting lucky means you stumble
[237] 29:02	across something you weren't expecting to find or you find something you were hoping to find it doesn't necessarily
[238] 29:09	mean it's uncommon now here's and I think here's one of the thing ways that sort of Kip
[239] 29:16	and bow and sort of took the words that I was saying kind of out of its
[240] 29:21	context they were reading they they read a bunch of reports that that that came up with you know destruction layers at
[241] 29:29	these various sites and yeah you you look you you do sort of a highlevel look
[242] 29:35	at at uh archaeological reports
[243] 29:40	and yeah you you could get the impression that that destruction layers
[244] 29:45	are common but they really aren't they really aren't that common now that's
[245] 29:51	that's not to say they're uncommon either but there's
[246] 29:59	it's it's one of those things where the more famous reports are the
[247] 30:04	ones that are going to have destruction layers sort of the the minor reports are
[248] 30:09	not so not every report has a destruction layer reported in it you know and not
[249] 30:17	every excavation produces a destruction layer so it's really going to depend on
[250] 30:22	the site now in some place in some places yeah yeah you're going to find a
[251] 30:29	destruction layer and it's going to be very obvious other places you're not like for example we know that avarus was
[252] 30:37	conquered it was conquered by the Egyptian 17th 18th
[253] 30:43	Dynasty do we find a destruction layer at avarus no no we don't the city wasn't
[254] 30:50	burned so they broke the wall they invaded they captured everyone but they didn't burn the
[255] 30:56	city so just because there's a conquest doesn't mean you always get a destruction layer
[256] 31:03	sometimes you don't get it you know sometimes you get a situation like Jericho where sight leveling has removed
[257] 31:11	the destruction layer so I I I view destruction layers
[258] 31:17	like this it's a gift it's a gift it's corroborating evidence it's evidence
[259] 31:24	that a destruction took place now if you had expected a destruction fantastic you've now got corroborating
[260] 31:31	evidence but if you don't find a destruction layer that's not evidence
[261] 31:37	that there wasn't a destruction it's only that you didn't find what you were expecting now could
[262] 31:44	that be because your expectations are wrong could that be because the site had moved to another location that's
[263] 31:50	happened before too you know we know this from pth home you know the site of Pome moved from one place to another
[264] 31:59	so so you know there's there's reasons why you don't always find a destruction
[265] 32:05	layer so there is an element of luck involved and what I mean by luck is you
[266] 32:11	happen to be digging at the right place at the right time I mean going back just
[267] 32:17	to to Jericho if you happen to be digging on the outer extremities of the
[268] 32:22	tell you're not going to find that Bronze Age destruction layer if you happened like burang to be digging
[269] 32:29	inside the middle building yeah he found a destruction layer and he found it above the Myan uh
[270] 32:37	late bronze to be Pottery so that's that's really going to depend
[271] 32:44	where on sometimes where on the tell you're digging you know so so garan got
[272] 32:51	lucky Kenyan didn't Nigro didn't as far as finding that destruction layer so
[273] 32:58	there is an element of luck involved here you know it's not that you're going to find a destruction layer everywhere
[274] 33:04	that doesn't it's not the way it works
[275] 33:10	so so while destruction layers may or may not be common it's it's not even a
[276] 33:15	relevant question there is an El element of of luck when you're actually digging
[277] 33:21	in the dirt so that's what I meant by being lucky when you find one it's good
[278] 33:27	corroborating evidence when you do but that doesn't speak to the occurrence of
[279] 33:33	that layer and frankly Kip and Bowen's quote mining is just
[280] 33:40	disingenuous but again would we expect any better out of them probably
[281] 33:45	not okay so I hope that answered your question thank you for the Super Chat very much
[282] 33:54	appreciated next one here from uh Christian theology apologetics for $499 thank you the Super
[283] 34:00	Chat he says do you remember the stream where it was where you and IP responded to Bowen's argument regarding the number
[284] 34:07	of Israelites nope nope I don't remember what I said
[285] 34:12	on other people's channels and when though it was so you're going to have to go through his material and find it I
[286] 34:19	just don't keep track of that you I go I mean I've I've been on so many channels
[287] 34:24	uh at this point I think I got something like over 40 interviews now uh that I've
[288] 34:29	done on other people's channels so I I don't keep track of that so you'll have
[289] 34:35	to look on his channel and find yourself I mean there there isn't that many interviews with me on his channel I
[290] 34:40	think there's like three or four so uh you'll probably find it pretty easily
[291] 34:46	okay so thank you for the
[292] 34:51	question okay uh Christian Theology and apologetics again for 499 thank you for the Super Chat thoughts on the following
[293] 34:59	books and their respected authors see below all right see who we're talking
[294] 35:05	about here uh the book of Moses Revisited by
[295] 35:10	Paul Lawrence now I have not read that book I've read other books by Paul Lawrence and I know Paul Lawrence
[296] 35:16	personally he's a good friend um I like his work um but I haven't read this book
[297] 35:24	I've I've read his other books though and uh I would imagine it's probably pretty
[298] 35:31	good but I haven't read it myself Egypt and the Old Testament by
[299] 35:37	Jeff Morrow I don't know who that is I've never heard of that author before
[300] 35:43	uh so I can't say I I've never read that book and I don't know who this author is so I can't give you any anything on that
[301] 35:50	and then followed by a Christian's guide to evidence for the Bible by Jay Daniel
[302] 35:57	Hayes now now I haven't read that book either but I have read his book on the
[303] 36:03	temple and Tabernacle and that was pretty good uh at least for that sort of
[304] 36:08	book now I've I've read a lot of books that are absolutely terrible talking about the temple and the
[305] 36:14	Tabernacle so to find one is actually pretty good is I think a an
[306] 36:19	excellent uh gives a thumbs up oh by the way we're starting to um for those of
[307] 36:25	you who don't know we've been asked to provide a running bibliography of books we
[308] 36:31	recommend and we're going to be doing that and we've started doing that you can see the bibliography in the
[309] 36:38	um in the video description and there's affiliate links
[310] 36:44	if you want to buy those books there okay so then that just throws a couple
[311] 36:49	cents to our channel so um if you want to buy anything off the recommended by
[312] 36:54	bibliography there's a bi bibliography in the description okay and we'll
[313] 37:00	probably add uh Daniel Hayes book to that bibliography for next week so um his book on the temple and
[314] 37:09	Tabernacle is quite good it's quite good so I will say that it's it's well
[315] 37:15	Illustrated too which is really nice so hope that helps thank you for
[316] 37:21	the Super Chat very much appreciated
[317] 37:27	Christian Theology and apologetics for 499 says AB used to sell hay books on their website now they
[318] 37:35	don't why we this is why I recommend ay's
[319] 37:41	book could it be because of some of what he says about hotor contradicts the early date
[320] 37:47	view um could
[321] 37:52	be now hay is not explicitly come out and said it but he
[322] 38:00	does seem to support the late Exodus date uh again he hasn't said it
[323] 38:07	explicitly he's kind of walking that line like they all do they all because
[324] 38:13	because frankly no one wants to take that get that grief and frankly coming
[325] 38:18	out as somebody who supports the late Exodus date you get a lot of grief for it a lot of
[326] 38:24	grief okay so he's kind of tiping on that line but he's really much more of
[327] 38:30	that late date persuasion so
[328] 38:36	yeah yeah mama tiptoeing around eggshells
[329] 38:42	yeah John Walton is the same thing you know he doesn't come out inexplicitly uh you know he does this uh
[330] 38:49	lawon younger does the same thing where they they won't come out and make definitive statements about believing in
[331] 38:57	the late Exodus date but in private they do so so
[332] 39:07	yeah so yeah because no one wants to grief no one wants to no one wants the
[333] 39:13	angry letters coming to your your institution saying fire this guy because
[334] 39:18	he believes he denies the Bible because he believes in the late exus date yeah
[335] 39:30	the Hast deck trying to be an angel without offending the devil yeah kind of that's that's pretty much it that is
[336] 39:37	well said yeah
[337] 39:43	so so yeah we're long we long past the idea that uh um you know truth matters
[338] 39:50	here you know cuz people are afraid of funding you know this is this is something that's that's not unique to um
[339] 40:00	working at a seminary in a bible college but but it's true everywhere people are
[340] 40:06	afraid of losing their funding so if you get enough people angry at you people
[341] 40:12	who have control over the finances yeah it's going to create your
[342] 40:18	problems this is one of the reasons why I'm so thankful to our supporters here on on this channel is because it does
[343] 40:25	allow me to see SP to say the truth unvarnished I don't have to to
[344] 40:33	VAR yeah I can be an evidentialist non idealog so so that's why you get my
[345] 40:39	opinion straight up okay
[346] 40:45	so so anyway I hope I hope that answered your question uh thank you for that Super Chat very much
[347] 40:53	appreciated okay and we don't have a lot of super chats actually left so we're going to start taking some nons super
[348] 40:59	chats in between here
[349] 41:06	[Music]
[350] 41:14	what and also a late
[351] 41:21	dat BC says I'm an old Earth young biosphere creationist who rejects
[352] 41:28	Evolution and many Yak tenants young Earth creationist tenants and also a
[353] 41:34	late X is dater how can I make people uh even
[354] 41:40	more even more people hate me oh excellent question excellent
[355] 41:50	question rag on Ron Wyatt and then pick up your cross and come follow me it's
[356] 41:56	like you want people to hate
[357] 42:03	you pick on Ron [Laughter]
[358] 42:10	Wyatt and then go go go pick some fights with some atheists
[359] 42:16	too oh yeah and then the King James only guys you know go after them as
[360] 42:24	well oh you can always be more hated
[361] 42:35	no I'm not gonna I'm not going to Pander to the King James only guys or the flat
[362] 42:44	[Laughter] earthers
[363] 42:49	okay they're not or the Shroud of Turin guys yeah BC talk smack about the Shroud
[364] 42:56	of Turin yeah that'll do it [Laughter]
[365] 43:03	too yeah so you know you're gonna you're going to get hate you're just going to get I mean if you speak the truth even
[366] 43:10	in love you're going to get hate I wouldn't Honestly though I wouldn't go looking for it but you know
[367] 43:18	if you do it enough it will come to you and uh I wouldn't actually wish that on
[368] 43:26	anyone so it's not fun to be hated nobody likes
[369] 43:31	it so U so um I wouldn't recommend it but there yeah there's a lot of uh a lot
[370] 43:38	of ways that you know you can become a pariah uh you know you pick on the
[371] 43:44	Shroud or pick on the Maran apparitions oh oh yeah pick on the Maran
[372] 43:50	apparitions and you'll get hated by the Catholics Oh They'll they'll you know even though it's not essential to their
[373] 43:56	faith yeah they'll they'll hate you like you can't believe so yeah there's
[374] 44:04	uh you know there's a lot of lot of people that are going to go around and hate you for that you know the old SAS
[375] 44:11	guys you know talk about um start talking about salvation being a an
[376] 44:19	amnest amnesty instead of just a free Grace thing and it's just you'll get them hating on you too so you know
[377] 44:26	there's all sorts of things that people will hate you for and really without being having
[378] 44:33	justification for it okay so hope that
[379] 44:41	helps uh Thomas Perez for 199 thank you for the Super Chat what is the blasphemy
[380] 44:46	against the Holy Spirit okay uh the blasphemy against the Holy Spirit now we
[381] 44:52	have to understand what the role of the holy spirit is the role of the holy spirit is is to expose the truth of
[382] 45:00	Messiah to exalt and glorify Jesus Christ that's the role that the Holy
[383] 45:06	Spirit plays okay so if the Holy Spirit convicts you
[384] 45:13	of the truth and you reject the
[385] 45:18	truth that is the blasphemy of the holy spirit it's
[386] 45:24	apostasy it's another it's another word for it's another sort of euphemism for apostasy you've basically know the truth
[387] 45:33	you've come to the truth at some point and then you reject the truth uh a really good outline of this
[388] 45:40	is Hebrews chapter 6 yeah it's the one sin it's it's the
[389] 45:47	one sin you you cannot repent of be because or you can't be forgiven of
[390] 45:53	because you can never repent of it it's impossible to repent of
[391] 45:59	this
[392] 46:06	now um Scott warthan asks how does one atone for the sin of blasphemy against the Holy Spirit you can't you can't it's
[393] 46:14	it's it's basically your you've accepted Christ you've rejected Christ and you can't he
[394] 46:24	can't be crucified again for you you've completely shut out
[395] 46:30	Christ so um it's it's one of those things that
[396] 46:35	if you if you had a genuine repentance experience and then and started to
[397] 46:42	receive sort of the gifts of the Spirit the uh and let's let's let's actually take a look at this in detail here in
[398] 46:49	Hebrews 6 because this really sort of outlines this now while Hebrews doesn't
[399] 46:58	um talk about blasphemy against the holy spirit it's really talking about the same thing
[400] 47:04	here okay and we'll go to start verse four
[401] 47:10	here okay so for in the case of those who have once been
[402] 47:16	enlightened okay once been enlightened so they're enlightened to the truth of
[403] 47:21	Jesus Christ and have tasted the Heavenly gift and have been made
[404] 47:26	partakers of the Holy Spirit okay so this is basically a person who's
[405] 47:32	repented they've tasted the um the goodness of God in the Heavenly gift of
[406] 47:38	Salvation and have been made basically have received in in some respect some of
[407] 47:46	the power and the um abilities of say the gifts of the holy
[408] 47:52	spirit verse five and have tasted the good word of God and the powers of the
[409] 47:58	age to come this is the gifts of the Spirit verse six and then have fallen
[410] 48:05	away it is impossible to renew them again to repentance since they again crucify
[411] 48:13	themselves the Son of God and put him to open
[412] 48:19	shame for the ground that drinks the rain which is often falls upon it and
[413] 48:24	brings forth vegucation useful to those for whose sake it was also tills receives a blessing from God but if it
[414] 48:31	yields thorns and thistles it is worthless and close to being cursed and
[415] 48:37	ends up being burned okay so this is what Hebrews 6 is talking about it's
[416] 48:44	talking about somebody who's partake who's learned the truth who's accepted the truth who's receive the benefits of
[417] 48:51	the truth and then rejects it shuts it out completely
[418] 49:00	there's and and and the reason why it's it's it's unforgivable is because when
[419] 49:05	you do that you open Christ to ridicule you're now ridiculing the Christ that
[420] 49:13	you once called lord so there's no way
[421] 49:18	back you've basically shut yourself off from the amnesty the amnesty allowed you into
[422] 49:25	salvation and then you said nah I I think it's all
[423] 49:31	baloney there's no way to come back from
[424] 49:41	that yeah give us
[425] 49:47	yeah yeah so um so that's that's what's meant here by
[426] 49:55	um the blast sing of the Holy Spirit now in the case of when Christ accuses the
[427] 50:01	Pharisees of this they've got the truth they've got the truth they were
[428] 50:08	learned in the scriptures they recognized Christ was
[429] 50:14	Messiah they saw it they completely saw it and then they
[430] 50:20	accused Christ of working for the devil that's opening the whole Spirit to
[431] 50:29	mockery so that's why it's the blaspheming of the holy
[432] 50:34	spirit so I hope that helps thank you very much for the Super Chat very much
[433] 50:39	appreciated but that's also why you can't repent of it either is because
[434] 50:44	it's just become an object of ridicule as a result
[435] 50:58	well hyack says here they even offered him up for sacrifice well that's that's
[436] 51:03	not so much that's not itself blaspheming of the holy
[437] 51:09	spirit cuz frankly we all did we all have a hand in this our sin nailed
[438] 51:16	Christ to the Cross they were just the human agents that carried it out
[439] 51:31	they know who God is and knowing full
[440] 51:38	truth there's no way for demons to yeah mysterious fungus says isn't this kind
[441] 51:43	of what the demons did yeah it is they knew the truth now they don't have to
[442] 51:49	repent because you know Angelic beings in their prior pre Fallen state are in a
[443] 51:57	state of grace already they're not they they they don't have sin to repent of
[444] 52:02	but they knew the truth they knew the whole truth and in the case of the Demons they
[445] 52:10	rejected it and put it up to ridicule so it's very similar to what the demons did
[446] 52:16	that's for sure
[447] 52:24	okay mama says so it's knowing the truth about Jesus but choosing to mark it yeah
[448] 52:30	yeah it is it's exactly what it is this is exactly what and and not in a
[449] 52:36	light-hearted way but in a open ridicule kind of way so people who knew the truth of
[450] 52:43	Jesus and decided to turn their back on it even though they had participated in
[451] 52:49	all the benefits experientially they still chose to mock
[452] 52:55	it so yeah in an intentional malicious way
[453] 53:03	exactly yeah it's it's in an intentional malicious way so you know there
[454] 53:08	isn't you know so this is why for example uh I think it's sometimes a
[455] 53:13	Fool's ER errand to try to convert the deconverted people who were once
[456] 53:19	Christian so I think the idea that you can you know reason with the deconverted
[457] 53:26	is is in many respects a Fool's Aaron uh you know there might be one or two who
[458] 53:32	will come back but you know it's pretty it's it's this is the worst kind of sort
[459] 53:40	of ministry anyone can have um because you're not going to get
[460] 53:47	your chance of of bringing anyone back who's flipped that side yeah you're not
[461] 53:53	going to get him back so so do
