[0] 0:17	Hey
[114] 9:55	On Wednesday the 12th, we'll be having a
[115] 9:57	live stream.
[116] 9:59	Now, this is a very special live stream.
[117] 10:04	Um,
[118] 10:06	when we do a book launch, we let you
[119] 10:09	guys all read it for a month and then we
[120] 10:11	let you ask any questions you want about
[121] 10:14	the book, okay? Because there's always
[122] 10:17	questions about the book. So on that's
[123] 10:20	very special Wednesday live stream. We
[124] 10:22	won't be taking any ancient yeast in the
[125] 10:24	Bible questions. Uh we'll be just taking
[126] 10:27	it on the novels. We'll still have our
[127] 10:29	Friday uh live streams for Bible
[128] 10:32	questions, Bible and and ancient Egypt
[129] 10:34	questions, but the Wednesday live stream
[130] 10:36	will just be for that and it'll be
[131] 10:40	calling. So you can actually come in and
[132] 10:42	be on the chat with me. It's a tradition
[133] 10:44	we've had since we've launched the first
[134] 10:45	book here. So, uh, just to give you some
[135] 10:48	idea of, um, of, um, what's coming up in
[136] 10:53	the next several weeks here. So, that
[137] 10:55	said, we can think we can get to the
[138] 10:58	questions now.
[139] 11:02	All right. Next first one here.
[140] 11:06	Um, Golden One asks,
[141] 11:10	uh, any favorite Christian mystics?
[142] 11:13	Uh, no. I don't I don't have any
[143] 11:15	favorite Christian mystics. I don't read
[144] 11:17	Christian mystics. Um I've got a lot of
[145] 11:20	stuff to read as it is and my reading
[146] 11:21	list is very very long.
[147] 11:24	Made longer by Jim Hoffmire.
[148] 11:33	Oh yeah, that'll be a fun read. But um
[149] 11:36	but no, I I don't I don't I don't read
[150] 11:39	Christian mystics. Um, I have I've had I
[151] 11:44	have read some, but I really don't have
[152] 11:47	a favorite. I've read the mystical
[153] 11:48	writings of say Ambrose
[154] 11:50	um a little bit from John of a Damascus,
[155] 11:53	but I wouldn't really call him a mystic,
[156] 11:56	but really it's it's not something I'm
[157] 11:59	I'm into. So, hope that helps.
[158] 12:05	Uh, the penny penniles theologian asks,
[159] 12:09	"Uh, most bad kings in Egypt are
[160] 12:12	condemned for their idolatry. With Saul,
[161] 12:15	it was never mentioned, but his son um
[162] 12:18	is named uh Eshba, Mountal." Uh, any
[163] 12:22	idea what's going on here? Well, um,
[164] 12:26	kings were not the only men were not the
[165] 12:28	not the only people who named children
[166] 12:30	in in Israel.
[167] 12:32	This could have been his mother naming
[168] 12:35	him. Okay, so that's a possibility. Uh,
[169] 12:41	now Saul is never never condemned for
[170] 12:46	his idol for idolatry. As far as we
[171] 12:48	know, he wasn't an idoltor,
[172] 12:51	but he was disobedient.
[173] 12:53	Very, very disobedient.
[174] 12:59	And that's why he's condemned. He's not
[175] 13:01	condemned for his idolatry. He's
[176] 13:02	condemned for his disobedience.
[177] 13:05	So God tells him to do something and
[178] 13:08	he'll just go do something else.
[179] 13:13	So that's really what he's condemned
[180] 13:16	for.
[181] 13:21	So
[182] 13:23	um in all likelihood, the ball names are
[183] 13:25	going to be coming from say the mother.
[184] 13:28	Um as I said we we have no no indication
[185] 13:31	that Saul was a a idoltor or worship
[186] 13:35	ball in any way. So
[187] 13:38	Ryan Cohen camp he had issues with
[188] 13:40	idolatry of self
[189] 13:43	um
[190] 13:46	to some extent. Yeah. Um let's just say
[191] 13:50	Saul was kind of strong willed.
[192] 13:53	He wasn't a narcissist.
[193] 13:57	Saul dropped the ball.
[194] 14:01	Bad pun. Bad pun.
[195] 14:07	Yeah, bad pun.
[196] 14:10	Uh,
[197] 14:12	so, um,
[198] 14:15	Dr. Martinez says
[199] 14:18	he was a prideful man apparently. Yeah,
[200] 14:19	he did have pride. Definitely. Uh, he
[201] 14:22	was nowhere as near as narcissistic as
[202] 14:24	Solomon.
[203] 14:26	Solomon was incredibly narcissistic.
[204] 14:29	So,
[205] 14:33	uh,
[206] 14:35	but that seems to be what's going on
[207] 14:36	here. It's more of it's more a matter of
[208] 14:38	his disobedience
[209] 14:40	than it is anything to do with idolatry.
[210] 14:42	And the naming of his sons may not have
[211] 14:44	been attributable to him. So, uh, it's
[212] 14:47	hard to say.
[213] 14:51	Okay. So, next question.
[214] 14:55	rid of that already.
[215] 15:06	Next one here.
[216] 15:14	Um,
[217] 15:26	Justin the Rhino asks a question here.
[218] 15:33	Uh, if the Holy Spirit is necessary to o
[219] 15:35	to be open to be saved, do humans
[220] 15:38	actually have free will to pursue God?
[221] 15:42	We wouldn't desire to pursue God without
[222] 15:44	the spirit. Then salvation isn't freely
[223] 15:47	possible.
[224] 15:49	Well,
[225] 15:51	the whole matter of free will and
[226] 15:53	salvation is hotly debated. It's hotly
[227] 15:56	debated. Everyone sort of acknowledges
[228] 16:00	that there's free will to some extent.
[229] 16:04	Exactly what extent is what's at issue.
[230] 16:07	Okay. So,
[231] 16:10	we don't know the extent of free will
[232] 16:12	here. It's not fatalism, okay? And it's
[233] 16:14	not say God um just
[234] 16:19	making robots out of people. It's more
[235] 16:22	complicated than that.
[236] 16:25	Um there does seem to be a um synergy
[237] 16:29	between free will and God's intervention
[238] 16:33	here. And exactly how that balance plays
[239] 16:38	out is going to depend a lot upon which
[240] 16:42	theologian you're asking here.
[241] 16:45	Um
[242] 16:47	so now we do do know some things. We
[243] 16:50	absolutely know that humans are free to
[244] 16:52	sin all they like
[245] 16:55	within the limits of uh of um causality.
[246] 16:59	Okay.
[247] 17:01	So, humans are are very free to sin.
[248] 17:04	Extremely free to sin. It's almost
[249] 17:07	second nature to us, you could say.
[250] 17:11	But
[251] 17:14	freedom from not sinning,
[252] 17:18	well, that requires the Holy Spirit.
[253] 17:21	So,
[254] 17:24	so to to have the free will to pursue
[255] 17:28	God
[256] 17:30	does require the intervention of the
[257] 17:32	Holy Spirit. Now, depending on where you
[258] 17:36	land on the um
[259] 17:38	on the issue of free will, some say the
[260] 17:41	Holy Spirit grants that to everyone.
[261] 17:43	Some say that
[262] 17:46	um it's only granted to some.
[263] 17:49	It's it's hard to say. But in either
[264] 17:51	case, once that that um sort of
[265] 17:57	uh playing field is leveled,
[266] 18:00	then the the person does have at that
[267] 18:03	point free will to accept God.
[268] 18:08	So
[269] 18:11	uh
[270] 18:12	so it is freely possible,
[271] 18:16	but it does require assistance.
[272] 18:19	So,
[273] 18:21	so again, it's going to a lot of this is
[274] 18:23	just going to depend on which theologian
[275] 18:24	you ask a lot and depending on faith
[276] 18:27	perspective, everyone's going to have
[277] 18:29	something a little different to say
[278] 18:30	about this. So, it's a very difficult um
[279] 18:34	discussion. I mean, the whole matter of
[280] 18:35	free will is even a difficult topic
[281] 18:38	within the topic of philosophy without
[282] 18:41	taking into the theological um uh
[283] 18:45	strictctures here. There's there's a
[284] 18:48	huge debate on do people have free will
[285] 18:50	at all within say philosophy.
[286] 18:54	>> You're also very limited by your
[287] 18:56	culture, your circumstance, your I mean
[288] 18:59	I don't have the free will to become a
[289] 19:00	bazillionire.
[290] 19:01	>> No, you don't have the free will to
[291] 19:02	become a bazillionaire. No.
[292] 19:04	>> Been trying for years. It just
[293] 19:08	they seem to need money to do that.
[294] 19:10	>> Mhm.
[295] 19:12	Yeah. It's
[296] 19:15	>> no cash.
[297] 19:16	>> Yeah, free will is a very difficult
[298] 19:18	topic. It's a very difficult topic and
[299] 19:20	it is hotly debated. So, that's about
[300] 19:22	all we can say about this that there
[301] 19:23	does seem to be some sort of
[302] 19:26	intervention by the Holy Spirit as well
[303] 19:28	as free will on man's behalf.
[304] 19:32	How that balances out, we're going to
[305] 19:34	leave up to the discretion of the
[306] 19:36	viewer. All right. So, hope that helps.
[307] 19:38	Thank you for the super chat or the
[308] 19:41	question.
[309] 19:45	Justin the Rhino asks, "Is the office of
[310] 19:48	the keys binding and loosing something
[311] 19:50	that is uh apostle specific or an office
[312] 19:54	that can be passed down?" All right,
[313] 19:56	let's talk about this verse. Now, you
[314] 19:58	didn't leave me the verse. You should
[315] 20:00	have done that, but I happen to know
[316] 20:02	this one. So, let's pull up our Bible
[317] 20:04	here.
[318] 20:06	And
[319] 20:07	this is Matthew 16 verse 19. Now
[320] 20:13	let's talk let's take this in context
[321] 20:17	because you can't read this without the
[322] 20:18	context and the context is verse 18.
[323] 20:23	So here's the context of Matthew 16 18
[324] 20:26	and 19.
[325] 20:29	And I shall say to you that you are
[326] 20:31	Peter
[327] 20:33	Petros, and upon this rock Petra, I will
[328] 20:38	build my church, and the gates of Hades
[329] 20:40	shall not overpower it.
[330] 20:42	I will give you the keys of the kingdom
[331] 20:44	of heaven. And whatever you shall bind
[332] 20:47	on earth shall be bound in heaven, and
[333] 20:49	whatever you shall loose on earth shall
[334] 20:52	be loosed in heaven. All right?
[335] 20:55	Now
[336] 20:57	there is no reference in this passage
[337] 21:00	anywhere to an office.
[338] 21:05	Let me just let me repeat that there is
[339] 21:09	no reference in this passage to an
[340] 21:15	office.
[341] 21:17	That is something that has been
[342] 21:19	isogetically inserted in here. Okay.
[343] 21:23	There's no office referenced at all in
[344] 21:26	any capacity.
[345] 21:29	However, uh there is a
[346] 21:33	there's a lot of debate over verse 19.
[347] 21:37	Okay? And it's not just a Catholic
[348] 21:39	Protestant thing. This is an exogetical
[349] 21:41	debate. Um,
[350] 21:45	there's a lot of questions as to what is
[351] 21:47	meant by practically every portion of
[352] 21:51	this passage except probably the word
[353] 21:53	keys. That's probably yeah, the only
[354] 21:54	thing that isn't a question here and
[355] 21:57	even that's been questioned. Okay.
[356] 22:00	Um,
[357] 22:02	like for example, the shall bind on
[358] 22:06	earth is really really weird Greek.
[359] 22:11	Okay, it's really weird Greek. Um, it's
[360] 22:15	a future passive perfect. Okay,
[361] 22:19	so it's not whatever you shall bind on
[362] 22:24	earth.
[363] 22:26	It's whatever
[364] 22:28	um you shall have
[365] 22:33	been bound.
[366] 22:36	It's really weird.
[367] 22:41	So, whatever you shall have bound on
[368] 22:45	earth shall have been bound in heaven.
[369] 22:54	It does not roll off the tongue. No,
[370] 22:56	it's really weird Greek. So, there's a
[371] 22:58	huge debate over what does this
[372] 23:03	um tense mean in the context of the
[373] 23:06	passage. Okay, so we got that, but we
[374] 23:09	got other things that this debate about
[375] 23:11	this passage
[376] 23:14	that whatever
[377] 23:16	is does this refer to people or things?
[378] 23:22	Okay.
[379] 23:24	Does this apply to Peter, the apostles,
[380] 23:28	or the church?
[381] 23:31	Are the keys just like
[382] 23:36	some sort of magical unlocking device
[383] 23:38	like a physical key or is this a is this
[384] 23:43	like the secrets? I'll give you the
[385] 23:46	secrets of the kingdom of heaven the the
[386] 23:49	way to understand it.
[387] 23:53	So there's huge amount of debate on just
[388] 23:55	about every single aspect of verse 19.
[389] 24:01	Okay.
[390] 24:03	However,
[391] 24:05	um if you sort of kind of take the whole
[392] 24:08	debate kind of together,
[393] 24:11	you do get the sense because you can't
[394] 24:13	take this apart 19 apart from 18.
[395] 24:17	In verse 18, Christ is talking about his
[396] 24:19	church.
[397] 24:22	So then if that he's talking about the
[398] 24:26	church
[399] 24:29	then verse 19 I will give you the church
[400] 24:34	the keys of the kingdom of heaven and
[401] 24:36	whatever you shall have bound on earth
[402] 24:41	shall be have been bound in heaven and
[403] 24:45	whatever you shall have loosened on
[404] 24:48	earth shall be loosened
[405] 24:51	shall have been loosed lucent in heaven.
[406] 24:55	So if you sort of take that whole thing
[407] 24:58	in context,
[408] 25:00	the meaning appears to be that
[409] 25:05	what's happening here is that the church
[410] 25:07	is being unleashed.
[411] 25:10	The church has been sort of bound up in
[412] 25:13	the same way that the Holy Spirit has
[413] 25:15	been held back up to this point until
[414] 25:18	the uh until the crucifixion in which at
[415] 25:22	which point the Holy Spirit is
[416] 25:23	unleashed.
[417] 25:26	And so in this particular case, what
[418] 25:28	we're seeing here is that the church is
[419] 25:30	being unleashed.
[420] 25:34	So
[421] 25:36	yes, upon the rock which is Christ, the
[422] 25:39	church is being built and the church is
[423] 25:43	being now unleashed. It's being unbound
[424] 25:46	in heaven and as a such has been
[425] 25:51	unbound on earth as well. So
[426] 25:56	So that seems to be what's going on
[427] 25:59	here. Okay.
[428] 26:01	So it's not it's not as specific to the
[429] 26:04	apostles. It's not specific to Peter.
[430] 26:06	It's it's specific to the church and
[431] 26:10	it's not an office
[432] 26:13	and it's not something
[433] 26:16	this is not these are not the keys of
[434] 26:18	the thesaurus ecclesia. Okay. The
[435] 26:22	storehouse of good works. This is not
[436] 26:24	that either.
[437] 26:29	What it is is it's that the church is
[438] 26:31	being unleashed upon the world.
[439] 26:35	So,
[440] 26:42	uh, Dr. Martinez says that's like how we
[441] 26:46	would view it in orthodoxy. I Yeah, I
[442] 26:48	can kind of believe that.
[443] 26:51	I wouldn't know, but um, yeah, kind of
[444] 26:54	that does make sense.
[445] 26:58	Hey, Bubble Trouble. How's it going?
[446] 26:59	Good to see you.
[447] 27:03	Yeah, I saw Rob's on, too.
[448] 27:07	Hey, Rob, we saw you as well. Glad
[449] 27:10	you're here as well. Andrew Grim,
[450] 27:13	release the church.
[451] 27:15	Yes, release the church.
[452] 27:20	How apppropo.
[453] 27:22	All right, next one here.
[454] 27:25	Uh
[455] 27:27	common lurker asks a Christian favll
[456] 27:30	wrote that the exodus route is a his
[457] 27:32	ahistorical because the route from
[458] 27:35	pithome to sote doesn't directly lead to
[459] 27:38	south si or midian. Are you familiar
[460] 27:40	with this claim and is it true?
[461] 27:45	Uh it does lead to the sinai. I don't
[462] 27:49	know what he's talking about here. Um we
[463] 27:52	don't we don't know where uh Sukkot is
[464] 27:56	exactly
[465] 27:57	uh but we do know where Pithome is and
[466] 28:00	it's in the uh Wii Tumalot and it does
[467] 28:04	lead to the Sinai and it was it was a
[468] 28:08	very very common route for se Semites to
[469] 28:12	enter into enter in and leave Egypt. You
[470] 28:15	could go both ways through that route.
[471] 28:18	So I don't know what he's talking about
[472] 28:20	here. People use that route all the time
[473] 28:22	in ancient Egypt. Um, you know, from and
[474] 28:25	they've been using that route since the
[475] 28:28	since the Middle Kingdom at least
[476] 28:32	perhaps as even as far back as the first
[477] 28:34	intermediate period.
[478] 28:36	So,
[479] 28:37	I don't know what he's talking about
[480] 28:38	that is a historical
[481] 28:41	because you can actually leave through
[482] 28:43	the Wadi Tumalot and then at that point
[483] 28:45	you can choose to go north or south
[484] 28:48	along the edge of the Sinai.
[485] 28:50	I don't think he probably this guy
[486] 28:51	probably knows his geography or his
[487] 28:53	history very well. So,
[488] 28:57	so um I'm not exact I've never heard him
[489] 29:00	say this claim, but at the same time
[490] 29:02	too, if this is the claim, I think it's
[491] 29:04	kind of wackoed
[492] 29:06	because you you can go either direction
[493] 29:08	to get there.
[494] 29:11	In fact, there's multiple ways to get
[495] 29:13	there from the Wadi Tumlot. And as I
[496] 29:17	said, it was a common route. People used
[497] 29:18	it all the time. spec specifically
[498] 29:22	Seemitic peoples. Seemitic peoples you
[499] 29:24	that use that route frequently.
[500] 29:28	It's why they had to put a kettum
[501] 29:30	fortress there. A ketam fortress is a
[502] 29:32	border fortress. It's uh you put a
[503] 29:35	kettum fortress there to to guard the uh
[504] 29:39	routes in and out of um out of Egypt. So
[505] 29:45	you can kind of think of it as as the
[506] 29:48	border fortress. So
[507] 29:51	that's the checkpoint at which you would
[508] 29:52	you would monitor people coming in. So
[509] 29:56	so yeah I I I don't give that
[510] 30:00	that uh view any merit at all.
[511] 30:04	All right, next one.
[512] 30:14	Um
[513] 30:18	okay. Um, scholars with with a sword.
[514] 30:22	Sorry.
[515] 30:25	Uh, for $10. Thank you very much for the
[516] 30:27	super chat.
[517] 30:30	I have always wondered about the life of
[518] 30:31	Moses prior to him killing the
[519] 30:33	taskmaster.
[520] 30:35	What would Moses's relationship have
[521] 30:36	been with the Egyptian royals? Um,
[522] 30:42	probably not all that close.
[523] 30:47	Um,
[524] 30:50	here's what we know about uh Moses's
[525] 30:53	life. Um, he was adopted by a woman who
[526] 30:57	was not a royal at the time. She'd later
[527] 31:00	become a royal,
[528] 31:02	but she was um she was probably the
[529] 31:05	daughter of Ramse's I
[530] 31:08	while Ramse's the first was still
[531] 31:10	vizier.
[532] 31:12	Uh because there would have had to have
[533] 31:14	been that uh geoloccation
[534] 31:17	where Moses uh the the woman would have
[535] 31:21	been in close proximity.
[536] 31:24	his mother, his adopted mother would
[537] 31:26	have been in close proximity to the
[538] 31:29	Israelites
[539] 31:30	and that meant would have meant they
[540] 31:33	would have had been situated at or
[541] 31:35	around Avarus.
[542] 31:37	Now Avarus at that particular time was
[543] 31:40	not a royal palace as in the palace that
[544] 31:44	the king lived in every day. It's not
[545] 31:46	the imperial capital anymore.
[546] 31:49	It was a it did have a royal palace, but
[547] 31:51	that was more of an administrative
[548] 31:52	center. And that's where the vizier of
[549] 31:54	lower Egypt lived. And that's who
[550] 31:57	Ramsey's the first was. He was the
[551] 31:58	vizier of lower Egypt.
[552] 32:02	So
[553] 32:03	early in Moses's life, he would have
[554] 32:06	been um
[555] 32:09	basically the adopted grandson of a
[556] 32:12	vizier.
[557] 32:14	So that doesn't make him royal
[558] 32:17	and it didn't make them royal. So
[559] 32:20	Ramsey's the first wasn't royal and his
[560] 32:23	daughter wasn't royal. They became royal
[561] 32:29	after the death of Hormb.
[562] 32:32	And by that point uh Moses was already
[563] 32:35	in exile. Moses flees during the reign
[564] 32:37	of Horem.
[565] 32:39	So
[566] 32:42	um
[567] 32:47	so his relationship with with the
[568] 32:49	Egyptian royals he might have uh studied
[569] 32:52	a bit with some uh royals at the cough
[570] 32:57	um adavarus
[571] 32:59	but it's unlikely he had a lot of direct
[572] 33:03	um interaction with them.
[573] 33:06	Okay. Um but when they became royals
[574] 33:09	that's a whole different matter because
[575] 33:11	once he became royals the the the whole
[576] 33:15	say Ramiside clan became the royal
[577] 33:18	family
[578] 33:20	at that point uh Moses's relationship um
[579] 33:25	a when he comes back would have been
[580] 33:27	he's now a member of the royal family.
[581] 33:30	Uh but at the same time too he's not in
[582] 33:34	line for the throne. So,
[583] 33:37	um, the royal family at the time of his
[584] 33:39	departure would not have known him. It's
[585] 33:42	a different royal family.
[586] 33:44	Uh, there wasn't really a relationship
[587] 33:47	there. Coming back,
[588] 33:50	there's a new royal family on the throne
[589] 33:52	and they knew him. So, that's sort of
[590] 33:55	the relationship between Moses and the
[591] 33:57	royals in his early life. So, I hope
[592] 34:00	that helps. Thank you for the super
[593] 34:02	chat. Really appreciate it.
[594] 34:11	Uh, common lurker asks a follow-up
[595] 34:13	question here. Uh, were there many
[596] 34:16	foreigners among Egyptian nobility or
[597] 34:18	non-Egyptians?
[598] 34:19	There were some.
[599] 34:22	Um,
[600] 34:24	there weren't a lot, but there were
[601] 34:27	some. uh
[602] 34:30	like I believe um Thuya was a was a um
[603] 34:34	non-Egyptian
[604] 34:36	um but um they tended to marry in to the
[605] 34:41	royal family um but it was it wasn't
[606] 34:45	common. It wasn't common. So usually the
[607] 34:48	way it worked when you got say
[608] 34:51	foreigners among uh the Egyptian um
[609] 34:55	nobility was that there would be a
[610] 34:57	marriage between a non-royal
[611] 35:01	and a foreigner. They would produce a
[612] 35:05	daughter and then that daughter would
[613] 35:08	marry a royal. So that's generally how
[614] 35:12	it sort of integrated in. It usually
[615] 35:15	wasn't direct marriage. Okay. So, you
[616] 35:18	wouldn't you wouldn't have a person in
[617] 35:19	the royal family usually directly marry
[618] 35:23	a a um non-Egyptian unless there is an
[619] 35:28	exception on those very very rare
[620] 35:31	occasions when uh kings would trade
[621] 35:34	daughters.
[622] 35:36	Okay. Um
[623] 35:38	but usually the way
[624] 35:42	um the way it uh foreigners would marry
[625] 35:46	into Egyptian royalty was usually
[626] 35:49	through secondderee marriage. So a
[627] 35:52	marriage that led to an offspring that
[628] 35:54	led to a marriage. That's usually how it
[629] 35:55	worked. So
[630] 36:02	So anyway, I hope that helped. Thank you
[631] 36:04	very much for the uh the question.
[632] 36:06	Really appreciate it.
[633] 36:14	Uh Dr. Martinez goes, "What's people's
[634] 36:16	main objections to the Exodus beyond a
[635] 36:19	simple? We have no evidence." That's it.
[636] 36:23	That's that's the main objection right
[637] 36:25	there.
[638] 36:26	You've surrounded it.
[639] 36:29	uh
[640] 36:31	but um that's generally the main
[641] 36:34	objection is the lack of evidence.
[642] 36:37	So um it's not that it is necessarily
[643] 36:41	contradictory.
[644] 36:42	Uh in fact you can read the whole Exodus
[645] 36:45	account as an atheist without even
[646] 36:47	engaging the question of is there a god?
[647] 36:50	You can read it as a historical document
[648] 36:53	and still come out with something
[649] 36:54	coherent. So it's not a coherence issue.
[650] 36:59	uh we've now got sufficient evidence for
[651] 37:02	most the plagues
[652] 37:04	even the the parting of the Sea of
[653] 37:07	Reeds. We know where the geography is.
[654] 37:11	So it's not like it's making up stuff
[655] 37:13	that didn't exist. So it's not that's
[656] 37:16	not a coher coherent objection.
[657] 37:19	So, it's really comes down to, oh, we
[658] 37:22	don't have any evidence for it because
[659] 37:24	we don't we don't see the a sign saying
[660] 37:25	the Israelites were here worshiping
[661] 37:27	Yahweh in Egypt.
[662] 37:30	>> Middle placers.
[663] 37:31	>> Yeah, they want a little metal placard.
[664] 37:36	>> Moses was here.
[665] 37:38	>> That's a
[666] 37:43	Moses slept in this bed.
[667] 37:46	>> Yeah.
[668] 37:49	cover a weight station
[669] 37:52	very
[670] 37:53	>> now there are there are guys who try to
[671] 37:55	come up with coherence objections okay
[672] 37:59	like Fll we talked about Fll earlier
[673] 38:01	here who try to come up with a um
[674] 38:03	coherence objection based upon geography
[675] 38:07	without actually knowing that
[676] 38:11	it's not incoherent that it was done all
[677] 38:14	the time.
[678] 38:16	So you do get people who try to make uh
[679] 38:18	these claims of ah historicity based
[680] 38:21	upon coherence but they don't usually do
[681] 38:26	that well.
[682] 38:27	So it'll almost always come back we
[683] 38:30	don't have any evidence. So that's
[684] 38:32	that's going to be that's going to be
[685] 38:33	the main objection all all the time. And
[686] 38:36	uh I'm not buying it because frankly we
[687] 38:39	got tons of evidence.
[688] 38:42	Jee,
[689] 38:44	I don't see any evidence at all here.
[690] 38:50	Please.
[691] 38:53	All right, moving on.
[692] 39:12	Outrageous mer asked the questions. Has
[693] 39:14	there been any studies or papers done to
[694] 39:16	attempt to falsify arguments of
[695] 39:18	stylistic variations to prevent empty
[696] 39:20	conjecture examples like JBD sources and
[697] 39:23	pastoral epistles? Um yes there there
[698] 39:28	have been um what was his name now? Um
[699] 39:34	can't remember the guy's name. Uh there
[700] 39:37	was a guy who has done several studies
[701] 39:39	on a European scholar.
[702] 39:42	um where he attacks the idea of um
[703] 39:46	of the stylistic variations.
[704] 39:50	>> Troubles.
[705] 39:51	>> No
[706] 39:52	>> man, despite the sheer girth of this
[707] 39:54	book, simply can't find any evidence.
[708] 39:58	>> Bubble troubles adds, man, despite the
[709] 40:01	sheer girth of this book, I simply can't
[710] 40:04	find any evidence.
[711] 40:06	Yeah, it does stretch cadulity, doesn't
[712] 40:09	it?
[713] 40:14	Okay, getting back to raging smurf here.
[714] 40:16	Um, Joshua Burman has done some good
[715] 40:18	work on this. I would recommend his
[716] 40:20	work. Um but there have been there have
[717] 40:23	been other people who have have actually
[718] 40:26	examined these methodologies and said
[719] 40:29	you know what sort of um I mean why why
[720] 40:34	why is stylistic variation so limited
[721] 40:39	um in authorship you know there's no
[722] 40:42	reason for it there really isn't a
[723] 40:44	reason for there to be
[724] 40:47	um
[725] 40:49	to say that stylistic variation is
[726] 40:53	so limited in humans.
[727] 40:55	I mean, I'm going to give you I'm going
[728] 40:58	to give you give you an example here of
[729] 41:01	stylistic variation.
