[0] 0:03	okay uh
[72] 7:45	and tried to deal with uh stuff related to this now I'm still learning and learning from both you and Kennedy in
[73] 7:52	different perspectives is useful but these kinds of people they just will not accept anything like you just have to
[74] 7:59	accept the calendars and what they say about six thousand year older that's it
[75] 8:04	I it's it's the most inferiorating thing I've ever had to to watch and it's on
[76] 8:09	par with the kind of debates that Rob from Sentinel projects has with people they just well I just take the Bible
[77] 8:16	literally that's all they need I don't need scholarship I don't need anything like this and then that's the end of the story
[78] 8:25	as well put
[79] 8:31	uh Lingus is that how you pronounce your name uh linguists or you can yeah that's
[80] 8:36	that's Linguistics I told you beforehand this was going to be a bloodbath what were your yeah oh it was there were a
[81] 8:43	moments where I'm like belly laughs knee slappers throughout the whole thing it was it was crazy
[82] 8:50	um and then the fundamental mistake on judges 11 26. I wanted to go into First Chronicles six a little bit he was like
[83] 8:56	Nah Get It
[84] 9:03	laughed at that one um yeah I just I couldn't believe the
[85] 9:08	fundamental mistake and and judges judges 11 was a huge blunder on Kennedy's part I mean like even early
[86] 9:14	day proponents were saying that in in the comments I saw after like that's just the blunder he made
[87] 9:19	so yeah the fact that he dug his heels in on it even after Dr fall corrected
[88] 9:24	him made it even worse yeah that's what made the blunder I mean anyone can misspeak
[89] 9:30	we all must speak that's that's part of being human it's when you are when that
[90] 9:38	errors pointed out to you and you double down on that error that you own that
[91] 9:43	error yeah and he owned that error
[92] 9:50	how does he thought his head was going to explode about the uh I've been on more archaeological digs oh God that
[93] 9:58	just came across a little childish like yeah reports he was like no you're wrong here
[94] 10:04	it is here's here are the experts let me give you them and he's like well I've been there well that doesn't that doesn't respond
[95] 10:11	what are the actual you know leading archaeologists say and doctor I've been on board
[96] 10:20	it didn't look good honestly well when you said that it goes I I was thinking what
[97] 10:29	you dig in the soil does that mean you can read a research report
[98] 10:35	I was almost tempted to say that that doesn't mean you can read a
[99] 10:41	research report or the Bible but I did I did refrain from that yeah
[100] 10:49	a judge's four wrong as well because he says you know there was a destruction during uh the the time in judges four
[101] 10:56	with Barack and Deborah there is no destruction of hazor there so you there shouldn't be a destruction there shouldn't be two destruction layers so
[102] 11:03	he got stretches for wrong he got Exodus four wrong about uh all the men who wanted you are now dead so he's getting
[103] 11:09	judges 11 wrong judges four wrong Exodus four wrong I mean he's just getting the Bible wrong in multiple places
[104] 11:16	yeah it was bad it was bad it was very cringe oh I was gonna ask
[105] 11:23	and then in there he mentioned that uh you said I think you said a minute the third was you know it was not uncommon
[106] 11:29	for Pharaohs to um remove images or desecrate not so much desecrate but remove images from past
[107] 11:36	pharaohs and then destroyed temples destroy temples that was it yeah and
[108] 11:41	then I thought he made a mistake because he said him uh what was it a Minotaur
[109] 11:48	and I thought well the Pharaoh after had Shepstone was tuck Moses III
[110] 11:54	yeah uh I don't know if he just again I don't know if he just misspoke or
[111] 11:59	whatever well even if he didn't pharaohs had the prerogative to destroy
[112] 12:06	temples and images of the Gods if
[113] 12:12	they were doing it for the purposes of creating bigger temples
[114] 12:18	foreign because you can't I mean these sites were considered holy sites
[115] 12:25	each Temple was considered a mound of creation so this you you
[116] 12:31	these sites themselves were sacred so when
[117] 12:37	like for example almond hotep III destroys Luxor he just can't move Luxor to another place
[118] 12:43	he has to rebuild that temple on the same site so he destroys the whole Temple
[119] 12:50	and then rebuilds it turning it 90 degrees
[120] 12:56	just to face Karnak and he builds it bigger and grander
[121] 13:01	and Kings did this all the time like for example uh when he when she builds her
[122] 13:09	Mortuary Temple at Gerald bakri he's destroying the Temple of men to
[123] 13:14	hotep right next door to steal the stone to build her bigger better Temple
[124] 13:21	um this all the time [Music] click on that I mean what Kennedy made a
[125] 13:27	lot of just never been a lot of layman won't pick up on like at one point he said something about the Temple of Seth
[126] 13:33	and a varus he's like we don't know when the temple was abandoned yes we do b-tech is very clear it was in use 1780
[127] 13:41	yeah it was in 1780 yeah that's what it was and then like it
[128] 13:46	was abandoned during akhenaten's reforms and then it was again right after they went back to it but he's trying to argue
[129] 13:52	like that we don't know when Elvis was abandoned and it's like yeah we do and he said like you know a virus doesn't
[130] 13:58	date too Dynasty 11 like he tried to challenge you on it I can pull it when I beat text papers right here uh the
[131] 14:04	Egyptian community in a virus uh During the hixels period and he opens on the first page saying that we have evidence
[132] 14:10	that goes back before the dynasty so it's like that didn't take me long to find
[133] 14:16	here's the problem with debating someone like Kennedy is that he will lie about certain
[134] 14:22	aspects of the data now as an interlocutor you just can't say oh
[135] 14:29	you're lying okay because our culture is adverse to
[136] 14:36	accusing somebody of lying you sort of have to play along with the
[137] 14:41	lie a little and then expose ways or how it's a lie
[138] 14:48	I have a question about it's difficult to do that's really really difficult to do
[139] 14:53	and you can't do it on everything you just have to sort of pick and choose your battles there and say okay here's
[140] 14:59	here's here's one place I can show you're lying like your 90s Dynasty semi-complete
[141] 15:06	semi-semitic tombs they're not possible because of agricultural leveling
[142] 15:12	therefore you're lying yeah
[143] 15:18	you know the funny thing is is like I was looking in he's on there right now
[144] 15:23	I was looking at the comments section and there was this one guy saying that that you were being rude but it sounds
[145] 15:29	to me like you were actually holding back oh totally it was very frustrating well
[146] 15:35	that's all the that's all his opponents that's all these his proponents can say is you were mean in the comment section
[147] 15:41	I'm like this isn't me you need to watch more debates if you think Dr Fox mean here this is nothing uh he was yo you
[148] 15:49	didn't even apologize at one point for interrupting if you were being mean they're they have really sensitive skin
[149] 15:54	this is nothing compared to debates I've been in or accident foreign
[150] 16:05	yeah sorry um hello I'm also from the UK well I'm from Poland originally but but joining
[151] 16:11	from the UK um cool you said you said you said about um it's not about lying I was wondering
[152] 16:18	do you believe that he was actually lying or more like he was misled uh in
[153] 16:25	by his confirmation bias for example do you think he was genuinely lying or do
[154] 16:30	you think he might have been just genuinely mistaken
[155] 16:36	there are some things that he has to know can't be true
[156] 16:41	okay like for example when he talks about the strata the
[157] 16:48	destruction layer of strata 3 versus stratitude at hat soar
[158] 16:55	every archaeologist knows that destruction layers are at the end of a
[159] 17:02	strata because you have an occupation people live there they cook they clean they
[160] 17:09	build and then it's destroyed you never begin an archaeological layer
[161] 17:16	with a destruct or a occupation layer with a destruction
[162] 17:22	he has to know that's true common sense
[163] 17:32	part of the debate honestly was when you just sent simply asked a question
[164] 17:39	he was going on about how he's trying to argue that ramazis goes back to prior to
[165] 17:45	the 19th Dynasty and he brought up the name Ramos and all you did was say what's Ramos mean
[166] 17:50	and it just at that point it really just became a Schoolboy lesson like you were
[167] 17:56	just schooling him on everything and you did a really good job of that part that's my favorite part of the debate because you just basically showed to the
[168] 18:03	audience he did not know what he was talking about you're the egyptologist you know what ROM the difference between
[169] 18:09	Ramos and rameses is he's assuming they're the same and the audience got to see firsthand he's getting that wrong
[170] 18:16	and so that was just a brilliant move on your part when you just asked a simple question what does Ramos mean okay now
[171] 18:23	what does ramosies mean and he gets it wrong yeah showed them to be really incompetent in that area
[172] 18:30	absolutely and then another good part was when he
[173] 18:36	said doesn't the Papyrus Anastasia say that raw founded the city and all you did was go no no no no
[174] 18:43	he didn't even try to push back like he's like oh I guess I'm wrong oh well you're right but it just showed like he
[175] 18:49	was not trying he was like he knew he was at the expert he's just like well I guess you're right and that just to the
[176] 18:55	audience that just looks like you are more knowledgeable you know this far more than him and he's deferring to you
[177] 19:01	he's deferring to your expertise on this stuff well uh I'm just gonna just as a matter
[178] 19:08	of housekeeping here uh if you're not part of the conversation I'm probably going to kick you out of Studio because we do have
[179] 19:15	people waiting in the back here okay so I'm gonna take Sumerian Squire out of
[180] 19:21	the conversation because he's not actively participating that's fine that's fine don't worry
[181] 19:27	sorry about that and I'll say I will um I'm gonna I'll I'm gonna stick around to maybe about
[182] 19:32	six my time so about 40 minutes maybe a little less and I'll get out so somebody else can come in as well
[183] 19:39	2 am here but to him at 2 am as my jam in Romania so hey how's it going it's
[184] 19:45	good that's what I thought I was like wow it's seven seven right seven hours for me
[185] 19:51	and I don't know what time you're on but it's 2 A.M here did you buy your popcorn
[186] 19:58	uh I already had my snack before I I went to bed for an hour
[187] 20:04	you gotta bring your pops with you man popcorn Club
[188] 20:13	right you know we're not allowed to have a popcorn room whatever just break the
[189] 20:19	rules I enjoyed I enjoyed the the video a lot
[190] 20:25	while putting down the kids beer is totally acceptable by the way
[191] 20:30	[Laughter] Carlsberg mine's uh pilsner Raquel so
[192] 20:35	awesome I'm sorry
[193] 20:42	yeah I wanted to wanted to I enjoy the the show so to speak and man you are insist incisive
[194] 20:50	from the very beginning I thought you're just gonna bite him at one point
[195] 20:55	but when I saw you were getting more calm maybe towards uh the first the first
[196] 21:02	hour and uh I don't know he just seemed tired to me he felt like
[197] 21:08	he was just conceding fight after fight too soon I would say at some points but
[198] 21:13	you okay like Michael was saying earlier okay if you say so you're the expert but
[199] 21:20	I don't know he just went through stripping's arguments almost all this
[200] 21:25	yeah he did yeah he felt like he was just reading from the five views of Exodus and going after argument after
[201] 21:33	argument just doing even a worse job if we can talk about that
[202] 21:38	and what I can say is uh you took more time attacking his view I would say than
[203] 21:45	focusing on yours that was my perspective well yes I I did spend more time
[204] 21:52	attacking his view than defending mine because he didn't contest my view
[205] 21:57	no there was no resistance to my view he didn't present his own view too well
[206] 22:04	I would say I mean amorites and ammonites that is
[207] 22:10	oh that was bad that's fifth grade believe me I knew my Bible better than
[208] 22:16	he did when I was in fifth grade I'm a pastor myself so
[209] 22:21	that was a kind of mistake that was basic biblical Literacy for
[210] 22:28	someone in his position and and then he doubled down and that
[211] 22:34	was even worse yeah the whole debate really summed up is that like you presented he let you go
[212] 22:40	first which again I think is one of his biggest mistakes it's letting you go first because I if I debate I always try
[213] 22:46	to go first I want to give the opening statement because I get to set the narrative I get to set the crown rules I
[214] 22:51	get to lay out my case first and that's going to be in the audience's head first what he said to Sean McDowell actually I
[215] 22:57	think David folk should go first I was like well you're just you're you're admitting you're gonna lose this debate right here if you're letting your
[216] 23:03	opponent get a chance to lay out the evidence first when you were given that opportunity so this whole debate turned
[217] 23:08	into basically like look at there's a lot of good evidence for the late date and let's look at all these problems for the early date and so the whole time
[218] 23:14	he's on the defense he's playing defense and he's not doing it well because he keeps going towards the end he was just
[219] 23:20	sort of like can we move on to the next subject which just looks bad that just looks bad what you say in that case is
[220] 23:26	not what Kennedy said if you need to move on to another thing you say I want to come back to that because I see problems there but before there there's
[221] 23:33	a more important thing I want to get to which is the conquest no he just said well let's move on to the conquest it
[222] 23:39	looks to the audience like he's admitting defeat instead of saying something like what I just said which shows to the audience okay he's got
[223] 23:45	something but there's more important stuff first well the crazy thing about all this was it was his agenda
[224] 23:53	it was entirely his agenda uh when I was given agenda by Sean
[225] 24:01	McDowell which was proposed by Tice Kennedy I tried to get some pushback and every time I try to give some
[226] 24:07	pushback tyus would have a hissy fit and say no no no I have to have it this way
[227] 24:13	really it's like like oh gee um I mean what Michael you saw you saw that what
[228] 24:20	what Sean said about the agenda you know yeah yeah
[229] 24:27	so this was all this whole layout of this debate was determined by Titus hmm
[230] 24:34	yeah he's still a loss
[231] 24:39	that's
[232] 24:52	the the title of the video though was that it was a conversation not a debate so
[233] 24:57	is that accurate or was that supposed to be a debate and it's a mistake in the
[234] 25:03	title or is it that they I I was confused for a moment
[235] 25:08	well it was supposed to be a conversation a discussion
[236] 25:16	a conciliatory interlocutors between two high Scholars
[237] 25:26	but but there's nothing there's nothing about this debate that
[238] 25:31	let's just say this this is an emotionally charged debate and you really can't avoid this
[239] 25:38	you really can't avoid this because one side treats this as a
[240] 25:43	shibboleth test the early date uh view of The Exodus
[241] 25:49	says that you have to read the whole I mean this is a Chevrolet test
[242] 25:54	if you don't read six first king six one literally you're not reading the rest of the Bible literally therefore you're a
[243] 26:00	compromiser taking man's word over God's word well exactly which is which is kind of ironic
[244] 26:06	because it was pretty clear you knew the Bible better and he was misreading the Bible in judges four judges 11 Exodus 4.
[245] 26:13	it's like oh this is going what the Bible says like Dr Falk is clearly going on what the Bible actually says
[246] 26:21	the argument was but I have more digs yeah yeah I mean he didn't even he didn't
[247] 26:27	even go after the subdue like he didn't even defend it the reasoning why uh he went after the Mt in first king six one
[248] 26:34	on the 480 years versus the 440 years in Septuagint at all that was another thing he didn't
[249] 26:42	really dive into why he preferred the Mt version over the Septuagint and how much
[250] 26:49	of a disconnect that is if you use if it's a 40-year difference in history that's a big difference
[251] 26:57	so that stuck out to my remark that there
[252] 27:02	is a another variant but he didn't really discuss that well I mean even if you use a lortex criticism approach to
[253] 27:10	say all the biblical texts that we have that doesn't actually come out in the
[254] 27:16	septuagint's favor on this particular text it comes out of the masoretic text favor
[255] 27:22	is anyone else hearing this weird noise in the background yeah it could be someone's mic but I
[256] 27:30	wanted to say something about this so I was just at ETS the big conference uh
[257] 27:35	and Titus Kenny was there Scott Stripling was there they were all there and there's a there's a Wing of it the near East archaeological Society all
[258] 27:41	early date people so I went to one of their talks I sat in the front row I was there like I was
[259] 27:48	like I wanted to be here for this talk it was the metabolic description which is not looking good uh but um nonetheless I'm sitting in the front
[260] 27:55	room I struck up a conversation and it Dr [ __ ] is right it is like a litmus test like if you want to be a part of that you have to take the early date and
[261] 28:02	it's it's crazy but like I'm sitting there and I'm talking to the guy and I'm like so I guess you're since you're a
[262] 28:07	part of the society his name was Mark he was very nice guy uh but he was like so because I guess you're an early date next to this guy and he goes
[263] 28:14	I am how about you and like you said I'm here on behalf of Dr Falk and he was like oh okay
[264] 28:21	like it's like it's like I just uttered the devil's name or something you know
[265] 28:27	and I don't know if Douglas petrovich recognized me but he definitely did a double take at one point when he walked
[266] 28:33	past me in the hallway he did one of these kind of things like yeah
[267] 28:38	he may have I don't know I was definitely there and I was I was I didn't go up to him because I had
[268] 28:44	nothing to say to them I was more interested to find people like uh Craig blomberg or Benjamin noon and I had to thank Benjamin Noonan for being so
[269] 28:50	helpful when The Exodus documentary but I mean like I wasn't gonna go Razz them or anything they were in some of the talks I wanted
[270] 28:56	to attend so there they were yeah a petrovich uh he doesn't really like me at all
[271] 29:03	I can't imagine I didn't even respond but like that was
[272] 29:09	a message it was non-stop for a good hour I
[273] 29:15	wouldn't yeah and then like it was silence and it was in the middle of the hurricane when he was doing this I'm like can't
[274] 29:22	respond get a hurricane right over me okay so there's one question uh something
[275] 29:30	maybe you want to develop this whole discussion about low chronology middle and
[276] 29:38	you Dr Fox would want to develop more on that sure
[277] 29:43	is somebody typing I think it's Rob that's backstage Kendo
[278] 29:49	Sith board oh okay maybe yeah and uh Rob I think we can hear you
[279] 29:55	I just mean it is Mike okay yeah I don't know if that's going to fix
[280] 30:01	it or not but I don't know I hear it too yeah I hear it also
[281] 30:07	I'll get out soon
[282] 30:12	well we can we can we can unmute the lights um
[283] 30:17	uh we can meet the mics one by one and see if that helps okay that one
[284] 30:24	that one that one that one
[285] 30:30	I think I found it so I'll just saying it's yours
[286] 30:37	it's your mic
[287] 30:43	it might be from his farm we found the culprit
[288] 30:52	back to the uh actually okay I do want to hear Dr Faulk on this because you're like the expert on chronology you
[289] 30:58	developed a computer program on chronology program to talk with you going like oh we're not really sure if
[290] 31:04	it's high or low and I'm like no doctor oh my gosh like you're talking to the guy that literally developed the
[291] 31:09	computer program to fix this browsing issue like and I even use it in my favorites like I make certain fact
[292] 31:16	checking everything I tried to use it and I couldn't make it do I need to buy the software or no no
[293] 31:24	it's hosted on my servers it's a server-based software
[294] 31:29	it requires a lot of computing power okay a lot of computing power it's not
[295] 31:36	let's see if he's yeah there's a lot of computing power involved with this so now we have to
[296] 31:43	understand that chronology has changed a lot in a decade a lot yeah
[297] 31:50	so 10 years ago it was never thought people thought that okay you only could
[298] 31:57	do chronology By Hand by by basically human beings like trying to
[299] 32:03	figure it out but we also knew that that was really error prone there's a lot of error that
[300] 32:10	goes in because there's a huge amount of mathematics involved in this hundreds of thousands of calculations
[301] 32:18	go into making a chronology that is consistent amongst the ancient near East
[302] 32:25	now I had the great advantage of studying under Kenneth kitchen
[303] 32:31	now Kenneth kitchen is probably the preeminent expert on
[304] 32:36	Egyptian chronology now I would go basically I was this
[305] 32:42	research assistant I studied with him like three hours a week or sorry nine hours a week
[306] 32:49	and you know you just sit by him and he starts doing his chronology and you sort of go oh
[307] 32:55	yeah that's how he does it I think I found the problem with that
[308] 33:01	noise thank you I think you have to apparently
[309] 33:06	yeah I uh uh Apparently one of my gaming consoles was
[310] 33:11	behind my phone was turned on so oh that might have had something to do with it but uh but is it all good now it's all
[311] 33:19	good now it's all good now it sounds really good now Okay Okay cool so you know you know I
[312] 33:29	said well you know what everything Canada kitchen does here can be emulated by a computer
[313] 33:36	so I started doing this you know I prototyped this little program and then I discovered something very
[314] 33:42	very fascinating as I was Pro uh prototyping this which was hmm
[315] 33:50	it can tell this program can tell if a chronology is valid or not
[316] 33:57	that's a very useful function right there so then just sort of added on to it I
[317] 34:04	mean at one point it was like okay how do we make this so that we discover with
[318] 34:10	a lot of variables how a chronology can be valid at one point I had my whole
[319] 34:15	whole living room I had pieces of paper on the floor trying to figure this out it was crazy
[320] 34:26	yeah but it's like okay I laid it out over 40 feet across my floor as like oh
[321] 34:34	I can see it now I can see what we need to do to make this a consistent algorithm
[322] 34:41	after that it was just more or less putting the data in and letting the computer figure out what algorithms work
[323] 34:48	how it will how it will um uh make the chronologies all consistent
[324] 34:56	so a launch has changed so so using computer analytics now we have
[325] 35:01	chronologies now that are more accurate than even toward 10 20 years ago
[326] 35:08	they're now crazy accurate we are down to the point where we're our chronologies are plus or minus five
[327] 35:15	years accurate that he mentioned
[328] 35:21	huge yeah we know now we know now that the high
[329] 35:26	chronology cannot be consistent it's got no chance at all the middle chronology the Syrian middle
[330] 35:33	chronology was always a fiction nobody believed the middle chronology the history of the
[331] 35:39	middle chronology is that it was a compromise between the low and the high chronologies
[332] 35:45	for a museum and textbook use nobody ever believed the middle uh the
[333] 35:52	Assyrian middle chronology was correct the middle chronology of
[334] 36:00	in in Egypt because of the findings we have for hormehab where we now know it
[335] 36:06	he is Reign was 14 years 14 50 years not say 15 years or sorry not 21 years
[336] 36:15	20 28 years Stephen um Egyptian chronology is now more of a
[337] 36:21	middle low chronology so it's a milk chronology for the 19th Dynasty and a low chronology for the 18th
[338] 36:29	um but this is all in the last 10 years
[339] 36:35	anytime anyone like Titus Kennedy or Douglas petrovich tries to challenge you on chronology it's like watching a flat
[340] 36:41	earther talk to a scientist like you like this is like what you cut your teeth on and they're like telling you no
[341] 36:46	no high chronology can work it's like oh boy here we go again oh petrovich's view is even crazier it is it was crazy I
[342] 36:54	mean he assigns Robinson's the second the Reign is 77 years
[343] 36:59	I knew that as a Layman even when I held to the early days his chronology was a little wonky like this is It's really
[344] 37:04	walked it's whacked yeah it's so whacked well they play samohotep II some of them
[345] 37:11	even hold on to the idea you know the Pharaoh died in 1446 and that's like 46
[346] 37:17	years difference from the Egyptian you know the numbers we go with now that is
[347] 37:22	just crazy yeah uh Peter the mandolian who's probably the preeminent expert on almond
[348] 37:30	hope that II try to figure out the accession date of
[349] 37:35	amenho death II from lunar dating and one of the things he says is that we
[350] 37:40	have two lunar days they're not consistent with each other but if we take one or the other
[351] 37:48	his except a session date is either in 1450
[352] 37:54	or 14 25. there you go
[353] 38:00	now the chronology I have is consistent with the 1425 date
[354] 38:06	the 1450 date is consistent with nothing it's not consistent with the data it's
[355] 38:13	not consistent with the early View of The Exodus but guys like petrovich try to push that
[356] 38:20	back to 1455. 1356 just to make it fit
[357] 38:27	yeah I'm gonna get off so let some other people in but I want to ask one more question before I go uh I noticed since
[358] 38:34	I took down my first Exodus documentary and we redid early proponents like Kennedy did in this debate have stopped
[359] 38:41	saying that avarice the city was abandoned during the time of Amon Hotel II they started saying well that just
[360] 38:47	what the truth is the palatial District was abandoned by the Egyptians like have you noticed that or is anyone else like
[361] 38:53	they have a like stripping was very clear early on that no no of ours the whole city was abandoned
[362] 38:58	and when that when that when that happened they stopped saying it all around I find that really interesting
[363] 39:05	it's very interesting that what Kennedy said was we don't find we were not
[364] 39:10	looking for abandonment we're looking for upheaval that's a low much lower bar
[365] 39:21	so this is about abandonment it's about semitics leaving
[366] 39:27	bye yeah early if you're going to sort of dropped that whole argument now because
[367] 39:33	they know they recognize that btec actually doesn't say avarus the city was abandoned during Ahmad Hood II no
[368] 39:40	but let's look for upheaval too you can always look at Ramses III though if they are the libyans invading and sure
[369] 39:48	for the sea peoples I mean there's a people there so
[370] 39:54	I really like that part when you said basically that The Exodus was The Exodus
[371] 39:59	of the sunlights not of the Egyptians um which basically as a summary I like
[372] 40:05	their summaries at the end sometimes it's just a kind of at the end some of
[373] 40:10	the whole point in a short Punchy line so I I will take off now I'll just say
[374] 40:16	all right good seeing you Michael glad you could join us tonight absolutely I would not miss this uh but I do want to
[375] 40:22	let some other people join but I'll just say overall this was clearly a Falk win and I don't even like saying that
[376] 40:27	there's winners and losers in debates because it's not like a sports game but I mean like Kennedy just brought nothing it was it was like he was tired towards
[377] 40:33	the end he did it appeared like he didn't want to even be there anymore he can see that there's so many points he made biblical blunders that he shouldn't
[378] 40:40	have made I mean I I don't know how you come away with us thinking that there's good evidence for the early date this just solidifies that all the data points
[379] 40:47	to the late date at this point in early days he's going on to a pipe dream he's one of the top guys
[380] 40:54	you see it he is Rippling I mean I mean look I mean who you got left
[381] 40:59	crippling he's a younger Stripling he's a younger Stripling
[382] 41:08	he's got more but she's completely discredited I mean he's
[383] 41:13	even had a complete falling out with ABR aham that's a [ __ ] oh right
[384] 41:20	you know who's left I mean Hassler may be but Pastor is not
[385] 41:26	a public figure well isn't there Brentwood isn't it like
[386] 41:31	Brad wood is retired he's in his 80s he's in his 80s yeah okay he's retired
[387] 41:39	he still makes appearances but yeah he's for the most part yeah he's off the scene now
[388] 41:44	he's handed it over to the younger generation yeah but anyway guys I'm really glad I was able
[389] 41:50	to help make that debate happen uh that I think it was it was very very productive especially for late day
[390] 41:55	proponents so congratulations on the great debate well thank you
[391] 42:01	all right I'll see you guys later take care okay I'm gonna take the next one here in
[392] 42:09	the queue Lord
[393] 42:14	hey Rob I'm ready to fight you guys come on
[394] 42:24	we got a lot of people in the queue here so um keep the conversation moving
[395] 42:31	hey Rob how come I didn't get chance to meet you at the Catherine Christianity conference
[396] 42:39	you might not have heard you yeah he didn't hear you Rob can you hear me
[397] 42:45	okay I should hear you now can you hear me how come I didn't get the chance to
[398] 42:50	meet you at the caption Christianity conference I didn't didn't know you were or there until oh Mike posted in a bit
[399] 42:57	about it [Laughter] yeah someone someone photoshopped me
[400] 43:03	because I was in Singapore someone photoshopped me next to Mike and Chandler so I'm just like the dream team's right
[401] 43:10	there in spirit you sure
[402] 43:16	a hard time believing yeah okay can we go on with some questions I
[403] 43:24	got the book right here oh yes which book yours oh that book
[404] 43:31	so I don't really think about that book it made it 5 000 miles to my country so
[405] 43:37	I can uh read it foreign ago I wanted to make a review and it
[406] 43:45	should be coming on my channel next week it's short it's not much
[407] 43:50	about them yeah my publisher is very thankful for that being short [Laughter]
[408] 43:57	um I wanted to ask you a question because I actually mentioned that in my
[409] 44:03	review I didn't know I would get the chance to talk with you I know you talked on page 11 about uh
[410] 44:11	um and you actually mentioned in your debate with uh Kennedy you mentioned
