[0] 0:14	do
[184] 21:33	of jesus uh trying to portray that true life of jesus came out and frankly that genre is
[185] 21:39	still popular today there are people who are still publishing the occasional book here and there about the true life of jesus and
[186] 21:47	um what he did is it sort of said okay it sort of seeded the idea that
[187] 21:54	well maybe what we're reading in the bible isn't quite what we think it is now we also had at that time
[188] 22:03	at that very same time sort of these um theologies and theologies became
[189] 22:10	less sort of comprehensive and more focused and then we started getting like what
[190] 22:16	what started off as like theology is the old testament end up breaking down into say theologies
[191] 22:21	of say a particular book like theology of isaiah theology of jeremiah theology of this and theology of that as
[192] 22:29	people started comparing the secondary works say the theology of jeremiah to the theology theology of
[193] 22:35	asean and they would go oh wait these two theologies are different so
[194] 22:40	[Music] maybe the bible is not talking about the same thing overall
[195] 22:45	okay now it's a wrong conclusion but it is a the natural conclusion people drew
[196] 22:52	this led to the the german higher schools of thinking which are basically saying well you know we got all these diverse g
[197] 23:00	um theologies you know the old testament is therefore must be a mess because it's a mess you can't trust
[198] 23:06	anything in it and this combined with say the paucity
[199] 23:11	of of evidence in the 19th century you know led many scholars to
[200] 23:18	to suggest that there was nothing reliable so you had the classic say 19th century higher critical
[201] 23:25	disproves to the bible such as the absence of the hittites the absence of a belshazzar king of babylon etc etc
[202] 23:35	you then get to the point where [Music] at the end of the 19th century
[203] 23:42	you know where biblical archaeology has gets lots and lots of funding from say because there was there was
[204] 23:49	actually a huge public interest because of the higher critics in biblical archaeology as a way of
[205] 23:56	potentially saying okay maybe we can discover something about the bible that's actually true
[206] 24:02	you know because people you know naturally said is it all false so they poured tons and tons of money
[207] 24:08	into the biblical archaeology and biblical archaeology you know took that money and started digging
[208] 24:15	and it did produce a lot of success you know people were finding things but
[209] 24:21	they were also finding things that there was a methodological problem too where they
[210] 24:27	were looking for stuff and this led to problems of confirmation bias
[211] 24:33	okay so when it was started to discover that that people were finding what they were
[212] 24:39	looking for in a confirmation by a sense you know
[213] 24:44	then you got a scholarly backlash against biblical archaeology
[214] 24:50	so in some respects the backlash against biblical archaeology
[215] 24:56	is the result of its own poor methodology not just reporting what they
[216] 25:02	found but reporting what they wanted to find so we do have to be honest about that
[217] 25:08	that there was a methodological problem and frankly we still find this this this
[218] 25:14	methodological problem today you know i would say that the um
[219] 25:19	um the excavation at uh kirbet el nachteer
[220] 25:24	it definitely suffers from that same methodological problem of confirmation bias
[221] 25:32	so this confirmation bias this this methodological problem led to a lot of of
[222] 25:39	um biblical archaeol the academy basically having this backlash saying okay we have to divorce
[223] 25:47	the bible from the archaeology to maintain the pureness of the archaeology
[224] 25:54	this is what happened in say egyptology egyptology became divorced from biblical archaeology it became its own
[225] 26:01	thing because it didn't want to see that bias creep in well come today
[226] 26:09	where there's this huge amount of evidence and frankly the success of biblical archaeology has continued
[227] 26:16	as well as the success of egyptology now we're finding a problem in that we
[228] 26:21	have to sort of you know take a more interdisciplinary approach
[229] 26:27	and doing a more interdisciplinary approach now we're finding the the the trying to
[230] 26:35	um mesh the findings of egyptology and the
[231] 26:40	findings of biblical archaeology are creating uh grumblings in the
[232] 26:45	academy because of those old biases and those old problems and the specters that they caused so
[233] 26:54	that's really what's going on there so it's not just the success of biblical archaeology that created the backlash
[234] 27:01	it's it's failures as well and we have to be we do have to be honest about that
[235] 27:06	you see if we're honest about about the failures of uh where where biblical archaeology has as
[236] 27:12	messed up then i think we also can say there's credible um it it almost it almost it almost
[237] 27:20	it almost is is is axiomatic if we acknowledge that where we messed up we
[238] 27:26	can also acknowledge where it's successful so i think if we can keep acknowledging
[239] 27:32	the our mistakes here we can also say chart a path going forward and say
[240] 27:37	hey this is where biblical archaeology can still be exceptionally um
[241] 27:43	informative to the archaeological process anyway i hope that answers your question
[242] 27:50	thank you very much for the super chat and i very much appreciate it okay and we can looks like we can take
[243] 27:59	another non-super chat to the next one here
[244] 28:09	i'm going to take carlos here uh do we know anything about the other
[245] 28:14	kings besides hammurabi and amerfall in genesis 14. now i'm just gonna pull up just
[246] 28:20	in my chat here in my um my little bible here
[247] 28:29	okay uh we don't know there there are um five
[248] 28:35	kings listed in genesis 14 1. hammerfell shinar ariak of
[249] 28:41	elassar
[250] 28:48	now unfortunately we can't say a whole lot about these kings
[251] 28:54	we know that we don't know because the part of the problem is we can't identify
[252] 29:00	say alas or [ __ ] uh or [ __ ] uh so those are those are
[253] 29:08	those are two kingdoms that we just don't know anything about now alam on the other hand we do know something
[254] 29:13	about and the problem with but there is a problem with uh dolomir
[255] 29:19	okay now the problem here is that
[256] 29:28	during the time of hammurabi there are three kings of illah that have names
[257] 29:35	so similar to this but different that it's really really hard to decide
[258] 29:40	which king of islam it is and it's it's it's it's almost like that
[259] 29:46	we got sort of a family naming tradition going on here uh at this particular point in time for
[260] 29:53	ilam so we know a little bit about
[261] 29:58	what's happening in alam but we don't know a lot we don't have a lot of records from the law
[262] 30:04	not at this point in time later on we get a lot about about alarm but at this particular point in time say
[263] 30:09	during the first dynasty of babylon we know actually very little but we do know that these three kings existed
[264] 30:15	around the time of hammurabi we just can't be sure which one but they're the names of these things the
[265] 30:21	three kings are so close that it's got to be one of them
[266] 30:26	because later on we do encounter other names for elamite kings and they are very very different
[267] 30:32	so uh i think we can be very much assured
[268] 30:37	that the other kings would match if we can locate them but it's the it's the question of
[269] 30:44	locating those other kingdoms that's at issue anyway it's a great question i wanted to take it and it's a non-super
[270] 30:50	chat thank you very much for the question okay i see a super chat here
[271] 31:01	by michael beason all right for five dollars thank you very much michael
[272] 31:08	what do you know about the egyptian astrological faces in astrology do you know what the
[273] 31:14	stars they were linked to and their use i will admit here's some ignorance um
[274] 31:20	astrology egyptian astrology is especially within egyptology there are people who do nothing but
[275] 31:27	study this subject it's um it is a subject that is
[276] 31:32	very very um as i say there's people who just just study this
[277] 31:37	subject so and it's not a subject i've i've done a lot of reading on
[278] 31:43	now i do know that they did use astrology they had their own constellations
[279] 31:50	uh they had various constellations the the constellations that they used are nothing like the greek
[280] 31:55	uh greek astrological constellations that we use today we also don't know exactly what the role
[281] 32:02	of um astrology was in ancient egypt uh we do know we do see it used in tombs
[282] 32:09	we see it written on tombs some temples have uh the egyptian constellations written
[283] 32:16	on the ceilings i think you can find that at dendera temple where the actual
[284] 32:21	uh constellations are actually written out on stellar walls in fact there's a zodiac um
[285] 32:30	and and the original zodiac was removed from dendera temple and placed in the louvre so if you want
[286] 32:36	to see it it's a the the display of the zodiac at the louvre is terrible i'll
[287] 32:42	admit it it's terrible but it's better than where it was in its original context believe it or not
[288] 32:50	the problem with the lube and the the the zodiac and it's around the zodiac is a round
[289] 32:56	stone that was set in the ceiling of an astronomical room at uh dindera
[290] 33:03	temple now the problem is it's it's only about six feet tall so
[291] 33:09	you're craning your neck up to see it it's it's really hard to see because you're
[292] 33:14	craning your neck well the recreation they did
[293] 33:20	at uh dendara of the stone is even worse and it's not because it's
[294] 33:27	what what they tried to do at at the for the recreation of dindera temple was they colored as it had been
[295] 33:35	originally when when the temple was first um discovered now when this
[296] 33:42	when when the astronomical room at dendara temple is completely covered
[297] 33:48	in soot and it has not been restored there are places in in dendera temple where
[298] 33:55	they've restored taken off a lot of the sudden you can see the original coloring and it's absolutely gorgeous and beautiful
[299] 34:00	they haven't done that for the astronomical room and the recreation they colored it black
[300] 34:06	to match the soot which is really silly because you can't see it all you can see
[301] 34:12	is this black stone and it's a dark room so it's a black in a black room it's
[302] 34:19	terrible it's horrible
[303] 34:24	but i do recognize where the stone was and where it was placed and it's placed in um um
[304] 34:32	around this sort of motif uh this twisted um body of the goddess newt who's the
[305] 34:38	sky goddess so it's very very clear what it was trying to show here and it is trying to show the astrological signs
[306] 34:45	but we again we don't know um exactly what the astrology was doing in
[307] 34:52	in ancient egypt or how it was used or why it was used we do know it has some um some use in
[308] 34:59	medicine like for example the sothic cycle the sothic cycle is a is a kind of astrology where it
[309] 35:06	takes the um um uh rising of the star scythe so this on the horizon at dawn
[310] 35:15	and that's uh associated with say the potency of medicine you were supposed to take your medicine during the rising of
[311] 35:21	sothis for its greatest effect so there is that sort of um uh
[312] 35:27	relationship going on there which is really really interesting because it's not quite what we we consider astrology to be but that's
[313] 35:34	how they viewed it so anyway uh i hope that answered your
[314] 35:39	question or at least gave you some answer to it uh again astrology is not my field so
[315] 35:45	i i'm trying to give you as much as i can here but thank you very much for the super chat very much appreciated okay
[316] 35:54	ah hi central apologetics for five dollars australian thank you very much it's good to see you
[317] 36:01	okay greetings david greetings robert fears the mind killer i faced my peer i
[318] 36:08	permitted to pass over me and threw me possible dune hint tenth plague
[319] 36:19	the popcorn must flow
[320] 36:27	oh there's there there will be popcorn coming i will say that
[321] 36:34	the popcorn is about to flow
[322] 36:40	uh the tenth plague the killing of the firstborn uh very interesting because it really is
[323] 36:46	an attack on the power structure of egypt uh not to go too far straight off of um off of the theme of
[324] 36:53	the channel which is ancient egypt in the bible even though i love dune and you can get me talking about dune for a very very long time without
[325] 37:00	shutting up um the tenth plague is is about fear
[326] 37:06	it is about fear it's about attacking the power structure you know it's about the elimination of
[327] 37:13	um those who would inherit those who are groomed to be successors
[328] 37:20	so it's it's it's it's um it's a very the tenth plague most people
[329] 37:25	don't understand what the importance of the tenth plague is it's it's most to be to to essentially take the
[330] 37:34	whole country of egypt and uh just kick out the lakes from under it so it's just wobbling around
[331] 37:40	stunned and doesn't know what happened just what happened to them so it just said it just the template
[332] 37:46	just totally eliminated the power structure of egypt as far as it's
[333] 37:51	um just so it just didn't know what happened it was a shock and awe kind of plague
[334] 37:59	so that's that's what it was what its intent was and that's what the effect it achieved
[335] 38:05	but great fun super chat thank you very much
[336] 38:10	okay lucas eichenberg for ten dollars thank
[337] 38:17	you very much uh do we see a symbolic equivalent of an
[338] 38:22	egyptian freeze in ancient architecture before the egyptian empire
[339] 38:28	the earliest freeze we find is in the third dynasty okay that's that's the earliest one we find and
[340] 38:34	we don't find it any earlier than that and we find it at the mortuary temple of zozer
[341] 38:39	uh the guy who built the step pyramid so uh we there's some sort of um
[342] 38:47	allusions to that before then and some of the um mastabas
[343] 38:55	of the first and second dynasties and even even dynasty zero there's some allusion to that
[344] 39:01	like for example there's there's one mastaba at um abidos where
[345] 39:07	cows the actually the sculptural heads of cattle are actually placed at the base of the
[346] 39:14	master bun now they're not put on the top as a freeze um they're they're on the they're on the
[347] 39:20	they're more of a trim on the bottom of of the mastaba so we do see the the sort of the
[348] 39:28	allusions to that the symbolic equivalence of that um earlier okay now we also
[349] 39:37	we also have to be careful here that when we talk about the egyptian empire because the egyptians never really had an empire they had a hegemony
[350] 39:45	they weren't they're not they weren't ever really an imperial power they had an hegemony where they
[351] 39:52	controlled other nations the relationship is is basically say
[352] 39:57	much similar to as far as it's it's its power structure more similar to the united states in its
[353] 40:03	dealings with other nations where the united states will control other nations through
[354] 40:09	foreign aid through um saber-rattling through all that sort of thing in order to get
[355] 40:16	what they want and the egyptian quote empire was very
[356] 40:21	similar to that it was a lot of saber-rattling it was a lot of campaigning and breaking of skulls
[357] 40:26	just to prove a point that you know we could all they could always come back and and inspire more fear so give us lots of
[358] 40:32	tribute give us lots of money that's really how the egyptian empire worked it didn't it
[359] 40:38	didn't really conquer and assimilate lands that wasn't their game
[360] 40:43	so we have to be very careful what we mean here by the egyptian empire but however as far as the euras freeze
[361] 40:50	goes that goes all the way back to dynasty three and basically continues on that now if you ever
[362] 40:55	do see the uh the freeze at um at um sakara
[363] 41:03	uh it is magnificent it it's really beautiful um i even included in my um
[364] 41:08	in my book because it is such such it is it's very stunning because it's
[365] 41:14	sculpturally it's these like two foot sculptures of cobras at the top of a temple wall
[366] 41:23	and it's beautiful it's fascinating there's there's really nothing like it in egypt until
[367] 41:30	say roughly i would say getting close to dynasty 18 again
[368] 41:36	so it's it's it's definitely very interesting but we do after zozer we do see it painted and put
[369] 41:43	on uh furniture and all sorts of other things afterwards so all zozer seems to have gotten
[370] 41:52	its start and after that it became very very popular so it's it we find it throughout most of
[371] 41:59	egypt's history but it does seem to begin um during the at say
[372] 42:05	the beginning of the old kingdom so i hope that answers your question
[373] 42:11	thank you very much for the super chat very much appreciate it okay
[374] 42:19	now we can go back to non-super chats again let's see here we just get a super chat okay we did
[375] 42:28	awesome uh mosey uh moises salazar again for ten dollars thank you very much
[376] 42:36	dr faulk this is probably your favorite subject but i heard there is a correlation between climate
[377] 42:42	change younger dryas and the birth of egyptian civilization
[378] 42:48	um well first of all i did notice that i didn't turn on my lights here just a
[379] 42:56	second oh i just you're probably a little dark here
[380] 43:03	was i well i know the camera will start
[381] 43:10	all right okay all right sorry about that um
[382] 43:16	you prepare and you you always miss something okay back to your super chat um
[383] 43:22	correlation between uh climate change younger drugs and the birth of egyptian civilization now
[384] 43:31	there is a bunch of of climate change that happens during egypt's history and we do need to at least acknowledge
[385] 43:40	that um during the old kingdom one of the things
[386] 43:45	we find is that um that egypt is
[387] 43:51	and and even the sahara desert is still a savannah so you get into say the pre-dynistic
[388] 43:56	period and and we you see this actually on say knife handles of say the pre-dynastic
[389] 44:02	period where um it features egyptians hunting gazelle
[390] 44:08	they're hunting gazelle they're hunting um uh wild cats they're they're they're
[391] 44:13	hunting uh wildebeest you know they're they're basically out
[392] 44:19	you know in this this this grassland this savannah but if you look at egypt today there's
[393] 44:24	not none of that there you know all of that was all that was in the sahara today it's a complete desert
[394] 44:32	and you know climate change did play a role in the development of the egyptian civilization you know we do see that you know the
[395] 44:40	settling along the nile was as a result of say savannah starting to dry out
[396] 44:47	so there there is we do see this play a part of it and as that sort of um climate change
[397] 44:54	continued and the sahara became a complete desert we also see the infiltration of libyan
[398] 45:01	and semitic groups into say the delta region during the first intermediate period
[399] 45:06	this sort of set the stage for um the birth of the cities of avarus
[400] 45:12	and um say the um the problems that then would sue from
[401] 45:19	that so there is there is a correlation between climate change and the birth of
[402] 45:25	egyptian civilization but we also have to be cognizant of the fact that there was for a very very long time a civilization
[403] 45:33	living on the nile uh even before that that climate change going back
[404] 45:38	tens of thousands of years you know so when we look at say um pre-dynastic civilizations
[405] 45:45	like nagada um two and nagada one even the badarian civilization and it goes back all the
[406] 45:51	way to the neolithic period we do see that there are lots of people living on the nile
[407] 45:58	who are just um they're there they're they're um
[408] 46:06	implementing rudimentary agriculture and they are really um
[409] 46:12	they've already they've already created settlements in upper egypt by this point
[410] 46:18	so um climate change did play a role in it um how much
[411] 46:25	yeah absolutely we just there's no there's no question that some climate change was involved
[412] 46:33	however it also climate change wasn't static either and that's one of the things we're sort
[413] 46:38	of discovering today is even today where we're recognizing that climate change isn't static it's constantly changing
[414] 46:44	so and it was true for ancient egypt as well but it's a great question thank you very much for the super chat i
[415] 46:50	very much appreciate it okay
[416] 46:57	see here
[417] 47:03	will you ever do fan mail um
[418] 47:10	that's a hard question um well i i spend most of my time
[419] 47:19	in a day answering uh stuff on youtube i have to admit people who have send me email are not getting the response that
[420] 47:25	they used to get uh frankly people can cram a thousand questions into a single email
[421] 47:32	and that makes it very very difficult for me to do emails so i'm sort of uh dropping the email
[422] 47:39	inquiries a bit just because they're just too arduous to answer in the limited time i've got uh the fact
[423] 47:46	is i'm supposed to still be publishing stuff so for me uh every every uh fan mail i
[424] 47:52	have to answer means i i it's a half hour that i can't devote to
[425] 47:58	to to writing or publication and i still want to do writing and publication because it's really really important to
[426] 48:04	me to continue to do that primary research because that's what sort of
[427] 48:10	makes this channel different than all the others is is we do original research you know i
[428] 48:18	you know with with all the schooling i have uh it's given me the skills to do that and i want to use those skills
[429] 48:23	also to to bring you guys the latest and greatest research so will i ever do fan mail
[430] 48:31	i doubt it but you know the future's always open you know i mean i'd love to receive it
[431] 48:39	but um but i i can't really answer it that's that's the problem so if i if i
[432] 48:45	if i do a mail it would just be sort of receiving it not
[433] 48:50	not replying to it so that's maybe a partial answer to the question but but thank you for the
[434] 49:00	question i'll take another one from carlo here
[435] 49:07	did the hurrians and matani leave any footprint on biblic tradition yes they did um
[436] 49:14	the herians in matani um after the matani got um annexed by the hittite empire
[437] 49:22	they did leave sojourning tribes in in canaan and those tribes became
[438] 49:28	in the bible are known as the hyphites okay now we do find
[439] 49:35	some hurry and vocabulary in the bible okay so some of there is there are some
[440] 49:41	examples of hurry and vocabulary in the bible so they did leave traces they didn't leave
[441] 49:47	a lot of traces okay we do know that their name shows up as hivites
[442] 49:53	we do know that they are they left some vocabulary but that's about all that that we see to
[443] 50:00	sort of detect from the um in the biblical tradition
