[0] 0:00	a
[106] 14:51	computer and and Allan's just going he's just shaking his head this
[107] 15:00	uh unfortunately Alan Mard went to be with the Lord I think two years ago two or three years ago so uh we
[108] 15:07	now we've lost some really great people in the last couple years
[109] 15:13	so but um yeah okay so I think uh unless you guys
[110] 15:20	have some questions about about Ken kitchen I'd be happy to answer what I know uh again I recommend getting his
[111] 15:26	biography if you really want to know the details of his life and um uh yeah he was a great guy and
[112] 15:34	I'm going to miss him I'm going to miss him a lot awful lot okay so uh let's get to the channel
[113] 15:43	uh rules here and then we'll get to the questions uh first of all super chats
[114] 15:48	have priority same as always on any YouTube channel shouldn't be a surprise we do take non-s super chat questions we
[115] 15:55	need you to start those questions with a q and a colon there's no QQ and colon that question might as well not
[116] 16:02	exist okay uh only post nons super chats once multiple posts will get your
[117] 16:08	question disqualified for the night because we don't want to encourage question
[118] 16:14	spamming if it had relates to a verse in the Bible we do need some context so we
[119] 16:20	would need the book it's written the chapter and the verse we're not going to go hunting around the whole Bible
[120] 16:25	looking for something we can't easily find okay um we do allow people to sponsor
[121] 16:35	non-s super chats and that's totally cool but we also ask if you do that copy the question you're sponsoring in your
[122] 16:41	super chat so we don't have so it saves us time finding
[123] 16:47	it and finally one question per chat no question stacking so if you try to cram
[124] 16:53	10 questions into a chat we'll only take one of them because we just don't have the time to answer all 10 stack
[125] 17:00	questions okay all right so that said let's get into the
[126] 17:06	questions okay
[127] 17:12	and right our first question of the night here is from Thea
[128] 17:19	dude hey do we know what ancient Egyptian music sounded
[129] 17:24	like a little bit okay now now here's what we know
[130] 17:30	about Egyptian music we know some of the the instruments there was a um a music uh
[131] 17:38	instrument called uh timal which is actually a rattle it's a rattle they had
[132] 17:44	a liar which is kind of a it's a um kind of like a harp small
[133] 17:51	harp and they did had drums okay and that's kind of what we know they had
[134] 17:57	they also had Clapper sticks too okay so we got a little bit of an idea of what the sounds based sounds would
[135] 18:03	have been like we don't know the tunings though and that's the issue is we just
[136] 18:09	don't know the tunings and tunings are very culturally specific sometimes we do
[137] 18:15	know the tunings uh that happened during the Islamic period because that was well
[138] 18:21	recorded but prior to the Islamic period in Egypt we don't know the tunings of the
[139] 18:27	instruments we also don't know having examples of sheet music or recorded
[140] 18:33	music from Egypt so this is one of those areas where I'd love to know
[141] 18:40	more um I'd love it if we did have more information about Egyptian music but
[142] 18:48	just having having some of the Sounds in the way of the instruments that have survived has been very helpful but again
[143] 18:55	we don't know how they arranged it the notes we presume it's not a western
[144] 19:03	system of music but we just don't know exactly what it was all right so that's
[145] 19:08	the best I can give you on this there's be people who study this a lot and um
[146] 19:14	you know a lot of interesting research is coming out of this but again we're not at that point where we know how it
[147] 19:20	sounds yet okay so thank you for that question really appreciate it and I hope that helped
[148] 19:28	second question here is from Dad dude another interesting question can a demon
[149] 19:34	can a demon say the name Yahweh yes the answer to this is actually
[150] 19:40	yes a demon can say the name of yahwe for example if there if you have a ystic
[151] 19:49	name that has yahe in it like uh
[152] 19:55	yahushua okay a demon can say that that a demon can say Yahweh really there's very
[153] 20:02	little a demon can't say the only thing a demon can not say is Jesus is Lord and
[154] 20:09	mean it okay they cannot use it in that way
[155] 20:15	of Jesus being Lord um not without qualifying it okay
[156] 20:23	so that's probably the only limit to what a demon can say a demon cannot say Jesus is Lord a demon can say Jesus is
[157] 20:32	Lord because he's an ascended Master okay he can do that by changing the
[158] 20:38	definition of Lord okay but there's there's really very little
[159] 20:45	that a demon can't can't say okay he just cannot affirm the gospel it's
[160] 20:52	essentially what he can't do so I hope that helps helps this is one
[161] 20:59	of the reasons why it's best not to talk to these those those those dirty Spirits
[162] 21:05	okay cuz they can lie and they will lie they'll always
[163] 21:13	lie but they can't speak the absolute truth of the Gospel that's the one thing
[164] 21:18	they cannot do because they cannot deceive in that way they're not permitted to deceive in
[165] 21:24	that way so I hope that helps so yes a demon can say the name
[166] 21:31	Yahweh they can say a lot of little lot of things that are used to deceive you
[167] 21:38	but the one thing they cannot say and mean it is Jesus is Lord that's it
[168] 21:44	that's really the limits that have been placed upon them okay so I hope that helps thank you for the question very
[169] 21:50	much appreciated
[170] 21:58	Theology and apologetics demons love to lie demons love to lie I know it you
[171] 22:05	know it demons love to lie oh but you know there's a lot of people who don't know that you know I
[172] 22:12	was I was hearing this this one uh new Ager on Tik Tock who who basically said
[173] 22:20	you know uh Islam is the one true religion because the demons told him and
[174] 22:26	the demons can't lie to him
[175] 22:32	what it's like okay now I know what's not the True
[176] 22:41	[Laughter] Religion yeah if demons are endorsing
[177] 22:47	his LOM okay that settles the question for
[178] 22:52	me just saying
[179] 22:59	yeah yeah IP did respond to that uh it was funny
[180] 23:04	[Laughter] though yeah he he did he did respond to
[181] 23:09	that it's just crazy though crazy that that he would even say that it's just like aha uh-huh MH
[182] 23:21	okay uh hi Mama by good to see you back uh good to see you in Better Health uh
[183] 23:27	by the way Mama we are looking at um starting to organize the um the beta
[184] 23:35	readers for book two so uh you might want to drift back uh uh onto the
[185] 23:42	Discord and uh just take a look at what's going on so uh thank you for joining us tonight uh we love having you
[186] 23:49	as a beta reader you were the Fantastic beta
[187] 23:56	reader oh yeah I'm glad GL you're excited cuz this one's this book is really good if I do say so myself okay
[188] 24:04	the first one's good the second one is really good
[189] 24:11	okay uh let's go on to the next uh question
[190] 24:17	here uh question three here is from dark blade okay he says in 1997 the book
[191] 24:25	phologies of Africa and asan as including the Caucasus chapter 1 Acadian
[192] 24:32	and Amorite phology by uh gorgio uh busati says speakers of amarai died out
[193] 24:41	Circa 1600 BC what's your take on this well my take on this is a couple things one that book is really out of date now
[194] 24:49	really out of date um the with the T the two Amorite tablets
[195] 24:57	that were discovered the phology of Amorite has really really
[196] 25:04	radically changed as far as what we know about it now uh the fact is that in
[197] 25:12	1997 all we really had of Amorite texts were seal inscriptions basically little
[198] 25:19	little seals Bull from that were used from unseal rings that was what we had
[199] 25:24	we had no long texts from the amorites well that's changed
[200] 25:30	now but we also have a greater understanding too now of what how
[201] 25:35	Amorite civilization developed you know it didn't just stay in one place it
[202] 25:41	spread out you had amorites in mes northern Mesopotamia but you also had
[203] 25:47	them entering Canan and they were lingering around there in the uh 14th
[204] 25:52	century likewise you had amorites going down to Egypt to form the hicka Dynasty
[205] 25:59	and they were there to the 16th century so you know that's 100 years after
[206] 26:04	1600 so so there's there's a lot of I I think
[207] 26:12	a lot of problems with the idea that just saying um that the speakers of Amorite
[208] 26:18	died off based upon what little evidence they have so I I I think it's one of
[209] 26:24	those cases where we don't find anything so we just presumably died out but we do know that Amorite culture long
[210] 26:32	persisted after this so um again 1997 is
[211] 26:38	a book that's really out of date in this field so I wouldn't pay much stock in it at this point so hope that answered the
[212] 26:45	question thank you for the question very much appreciate
[213] 26:52	okay next to Super chats okay our first Super Chat of the night is from
[214] 26:57	Christian thought and and apolog Theology and apologetics hi Addison for
[215] 27:03	499 he says if Isaiah 53 predicts the Messiah I.E Jesus why was it WR why is
[216] 27:09	it written in past tense okay let's be clear about something um which is the
[217] 27:16	whole nomenclature of past present and future tense is a bit of a western
[218] 27:25	anacronismo upon Hebrew now the do functionally use the perfect as a past
[219] 27:34	tense functionally but it had other purposes as well it also was used for a
[220] 27:40	completed action and I think this is one of the one of the big Advance uh advances that
[221] 27:46	we've had in ancient Linguistics is this whole notion of aspect theory okay
[222] 27:54	aspect theory has radically changed how we view ancient languages aspect theory has looked at these these
[223] 28:02	verbs and said well okay we got to look at this more carefully is this a
[224] 28:07	temporal relationship or is it conting some other relationship and it looks like that
[225] 28:15	Hebrew follows closer to that aspect theory of of language than say a
[226] 28:21	temporal theory that we find more in the west and really so much in the west as
[227] 28:27	we would like to think we like to think of verbs as present past future okay but really even our
[228] 28:33	verbs are more flexible than that so what we're talking about here in
[229] 28:38	the quote perfect verbs of Isaiah
[230] 28:43	53 is a completed action so it's and and sort of This
[231] 28:50	falls in line with prophecy you know if if if a prophecy is a foregone conclusion this is going to happen
[232] 28:58	then we would expect it to have a completed tense okay because it's it's a done deal
[233] 29:05	it's a fat comp even though it hasn't happened yet so we do find this used throughout
[234] 29:13	Isaiah Isaiah was very very fond of using the perfect in this way
[235] 29:24	so so I hope that helped thank you very much for the Super Chat very much appreciated but that's what we're
[236] 29:29	talking about here is is a completed um notion a completed
[237] 29:36	aspect here not so much past in a temporal sense
[238] 29:44	okay um can you give some examples um wow
[239] 29:52	um well just about any prophecy's going to do this you know um um you know there's that and
[240] 30:00	that's that's kind of the the problem here is first of all I mean one of the interesting things about Hebrew it
[241] 30:05	doesn't really have a future tense doesn't have a future tense it has a perfect and an
[242] 30:14	imperfect there's no future tense this is one of the things that that people kind of don't understand about Hebrew is
[243] 30:24	it has a present tense that sometimes serves as the
[244] 30:29	future but that present tense that imperfect is just an incomplete
[245] 30:35	action which is why it's used in that temporal sense but past tense are not really
[246] 30:43	temporally past either they're just completed
[247] 30:49	actions so so you know you can go probably all
[248] 30:54	through the Bible and find these I just don't happen to know one off the top of my head um you
[249] 31:04	know but uh I mean for example okay I can think
[250] 31:10	of an example uh the death of death of Jonah okay of the death uh of Jonah in
[251] 31:16	Jonah chapter 2 here's a perfect example it starts off completed tense
[252] 31:23	you know where he's drowning and his seaweed is around his head okay that's all in the perfect tense and
[253] 31:31	then when he hits verse eight then it switches to an imperfect tense where he
[254] 31:36	goes I will praise I will give God glory for all that he has done okay so there's
[255] 31:42	an example you want an example there's one where Jonah chapter 2 starts off
[256] 31:48	almost entirely in the perfect tense and then switches to the imperfect tense for that incomplete
[257] 31:54	action so there you go you asked and you got just took me a while to remember
[258] 32:00	it okay so uh hope that helped thank you
[259] 32:07	very much for the Super Chat very much
[260] 32:13	appreciated okay next one here is from Daniel for $20 thank you for that
[261] 32:18	generous Super Chat in the latest BBS book before there were Kings author Ellie aiz confident
[262] 32:27	States judges is likely a Prem monarchic text I find this argument pretty
[263] 32:32	convincing but I'm no expert any thoughts on this and is aiz
[264] 32:40	reliable I just got his book this week so I haven't had a chance to read it yet
[265] 32:48	so I mean it's a pretty new book but I haven't actually read it uh I'm going to need some time to go through it and
[266] 32:54	right now my reading list is pretty long I still have to
[267] 32:59	read this book okay promis this guy I'd get this read and reviewed so uh I've
[268] 33:07	got I've got lots of lots of people that I have to sort of fulfill promises on as far as reading goes so um Aziz is not
[269] 33:15	high on my my priority list right now but I find it as his concept his at
[270] 33:22	least his thesis to be interesting I find it be interesting uh I don't know
[271] 33:27	if he carry off pull it off but I will see when I read it okay now the BBS um
[272] 33:37	um series is a very good series it's well vetted it's well
[273] 33:44	peer-reviewed it's um it's a very reliable series overall so a lot of the
[274] 33:50	materials that have been published through that series are very well done
[275] 33:57	okay so um I'm it's got sort of a mark
[276] 34:02	of credibility already in my books but I'd have to read it to to know for sure
[277] 34:07	okay so hope that helps unfortunately have not read it yet and I'll get to it
[278] 34:13	my copious free time whenever that is okay sorry about that but um I can't I
[279] 34:21	can't comment on books I haven't read but thank you very much for the Super Chat very much appreciate
[280] 34:29	okay the next um super chat here is from lonus Odell for 100 squish croner thank
[281] 34:35	you for the Super Chat he says love the channel many thanks to you and your
[282] 34:40	producer you've spoken of death a separation can you talk some more on
[283] 34:45	this and more importantly recommend some further reading now this one I'm not going to be
[284] 34:51	able to recommend further reading because I don't think a lot of people have touched on this as much as they
[285] 34:57	should should have um now I heard um I got the whole idea
[286] 35:07	of death being separation uh from uh my Seminary um
[287] 35:15	Professor um Kevin Lawson younger okay uh when I was taking penet studies
[288] 35:22	with him okay so that's where I got the idea originally from but I also noticed it too as the more I examin the ancient
[289] 35:30	near Eastern sources that this was something that's applicable across the board it's
[290] 35:37	something that seems to have been ubiquitously held in the ancient e East the Egyptians definitely held to this
[291] 35:44	that one was not permanently one was separated from the body but one could be
[292] 35:50	reunited with the body again and I thought that was a very interesting notion that when you died your body had
[293] 35:58	to be mummified to be a proxy body for your soul to return to so you could interact with this
[294] 36:05	world so the idea that say death was a permanent
[295] 36:11	separation seems to be a little less permanent in say Egyptian religion which
[296] 36:18	again fascinating if you're trying to S um to to study the concept of death in
[297] 36:25	the ancient world now one of the things I find that's really
[298] 36:31	really interesting when you look at accounts of death in the ancient
[299] 36:36	world nobody thought I've never found a single account that said you die and
[300] 36:45	cease to exist that seems to be a concept that's
[301] 36:50	completely alien to the ancient world I have never found that once
[302] 36:57	in all my readings of ancient texts I have never found one situation where
[303] 37:04	somebody says you're dead and you cease to exist nobody says that in the ancient
[304] 37:12	world everybody in the ancient world assumes body dies and it's separated
[305] 37:18	from the soul now what happens to the soul after
[306] 37:25	death becomes very speculative based upon what people believe religiously but
[307] 37:30	everyone seems to believe this you know when I hear like for
[308] 37:37	example skeptical Scholars talk about Israelites oh they didn't believe in in
[309] 37:43	afterlife you know they just believed you died and and stopped being
[310] 37:48	nonsense nobody believed that in the ancient world nobody believed that it's
[311] 37:56	absolutely as that anyone would even say
[312] 38:01	that just it's just crazy talk now every every account I've seen
[313] 38:08	of of say you know death in the ancient world is one where it's a separation of
[314] 38:15	body and spirit again where that Spirit goes depends on the religion what happens to
[315] 38:22	it depends on the religion okay
[316] 38:31	what about the Sadducees great question what about the Sadducees they didn't believe in a
[317] 38:39	resurrection they still believe that there was a body and spirit they just believe that you didn't
[318] 38:46	get no
[319] 38:56	body yeah but even even then
[320] 39:02	um that was my phone I am well I need to take this
[321] 39:09	could be Jan too um
[322] 39:17	nope nope none of that all
[323] 39:23	right uh yeah we're going to my father's Memorial tomorrow so um that's the other thing is we need to
[324] 39:30	sort of end tonight at midnight no later than midnight so um yeah it's not going
[325] 39:35	to be any five hour live stream tonight because we got to get up early tomorrow for that but yeah um now where was Bon
[326] 39:43	bonss
[327] 39:57	I don't see Bon Bon's comment here but
[328] 40:12	uhans time stamp I see it 8:41 okay Balman asks
[329] 40:20	aren't ass syrians as close to it as possible I thought they believe you go to some dark place where nothing happens
[330] 40:26	and it's just dark Darkness yeah but that's not ceasing to exist again the Assyrians also believed
[331] 40:33	in a body and a spirit but again they're kind of like the Sadducees nothing happens to you once you're a
[332] 40:40	spirit but you're still a spirit Thomas Perez
[333] 40:49	boo Ancient Ancient your Eastern Halloween
[334] 40:59	the Camila part isn't that just sh yeah that's just sh it's just Shale you know Sadducees
[335] 41:07	believed in sh they just didn't believe there was a resurrection so D been too spooky for
[336] 41:17	[Music] me okay we've had enough fun with this so
[337] 41:23	anyway um yeah so everybody in the ancient e thought that death was a separation of
[338] 41:30	body and spirit they just debated over what happened to your spirit that's really all
[339] 41:46	that's 839 yeah um B says sorry Israelites were
[340] 41:51	duelist metaphysically matter is a separate ontological substance compared to the immaterial yeah yeah they were
[341] 41:57	yeah they were uh they were substance dualists so um so they believed in a
[342] 42:03	body and soul and a spirit
[343] 42:12	SOC well yeah Lazarus was dead until he [Laughter]
[344] 42:18	wasn't yeah that kind of that kind of would finish it there yeah
[345] 42:31	okay so that said we'll move on here uh thank you very much for that Super Chat
[346] 42:37	very much appreciate and I hope that
[347] 42:44	helped all right next Super Chat here is from Andreas uh Forster for
[348] 42:51	13.99 Canadian thank you for the Super Chat one can and now this is a this is a
[349] 42:59	question stacking okay we don't permit this normally Co so keep this in mind but I
[350] 43:05	think we can answer these pretty fast okay uh can one can aism be considered
[351] 43:12	monotheistic no it's not monotheistic it's it's pantheistic is there a better use term
[352] 43:18	to use for example monolatry yes it's monolist but it's monolit
[353] 43:24	pantheism three is there any connection between this and the development of Judaism I don't mean like Freud's theory
[354] 43:34	um no not really uh there there might have been some connection because uh
[355] 43:41	there was uh you know pantheism once you have Transcendent deity collapses into
[356] 43:49	monotheism likewise monotheism if you have an imminent deity collapses into
[357] 43:56	pantheism so there is some possibility that there were pantheists running around in Egypt um in the early
[358] 44:04	developmental stages of Judaism that's possible because remember there's a
[359] 44:09	whole lot of different people with different religions coming out of Egypt with the Israelites so it's possible that some of
[360] 44:15	them could have been pantheists and then when a Transcendent deity is presented on Mount
[361] 44:23	Si that would collapse into monotheism so um so yeah there's there's some
[362] 44:31	possibility there but aism itself is not monotheistic it's pantheistic and you
[363] 44:36	can get that right out of the um out of the um uh hymns to the Aton him the atam
[364] 44:44	will be your primary source on this one okay so hope that help answers your questions thank you very much Super Chat
[365] 44:49	very much appreciated okay andri Foster for 699
[366] 44:58	Canadian thank you for the Super Chat were Egyptian gods thought to literally be the element they were
[367] 45:05	associated with for example was raw the son itself or did he just control it
[368] 45:14	yes and this is the Paradox of Egyptian religion gab is not only the god that
[369] 45:22	controls the Earth GB is the Earth the sky goddess n she's not only
[370] 45:30	controls the sky she is the sky the river god happy not only
[371] 45:36	controls the river he is the river this is this is just the Paradox
[372] 45:45	of Egyptian religion is you know they would hold
[373] 45:51	these say seemingly at odds Notions intention
[374] 45:59	so they were they were 18 Ministries happy is a guy oh yeah he's a dude
[375] 46:07	absolutely you didn't know that yes hoppy is a
[376] 46:13	dude he's a dude with breasts but he's a dude
[377] 46:22	okay the Egyptians didn't think this was weird just saying
[378] 46:28	okay 18 Ministries I thought he was a female you
[379] 46:34	would not a lot of people who don't know think
[380] 46:40	he's female but he's a dude
[381] 46:53	okay uh 850
[382] 46:59	oh dark blade okay I see it uh what element was s uh set Seth suek thought
[383] 47:05	to control and be um he's a storm deity set is a storm deity he's a storm
[384] 47:11	God okay so but he's also a god of power
[385] 47:17	okay uh unbridled uncontrolled power
[386] 47:22	okay so he uh
[387] 47:32	jeez Papa's [Laughter]
[388] 47:38	comment don't you mean [Laughter]
[389] 47:45	nut oh dear wckm
[390] 47:57	Mama Milo says attack of the mobs yeah yeah a lot of people will will go
[391] 48:02	through an Egyptian temple see a picture of happy and think it's a woman and it's [Laughter]
[392] 48:10	not kopot tap ah good times good
[393] 48:17	[Laughter] times malachite yeah Warrior of the most
[394] 48:24	high malachite [Laughter] that one was the worst because that one
[395] 48:29	is [Laughter] English yeah obviously
[396] 48:37	not guy apparently doesn't buy jewelry for his wife
[397] 48:44	okay but but yeah
[398] 48:49	um Tru probably charges him double because he got he's got a noob here
[399] 48:58	okay so yeah um yeah a set is a storm God he's a god
[400] 49:05	of power and uh that's that's sort of his deal okay and happy is a dude okay
[401] 49:13	he's a guy okay next Super Chat here is from
[402] 49:21	Christian Theology and apologetics for $499 thank you for the Super Chat
[403] 49:27	hi Dr Faulk I'm sorry about kitchen's death well we all are um you know uh
[404] 49:33	butd he had a long life and he made a lot of contributions to the faith and you know we are all blessed to have
[405] 49:39	known him he says I know he was one of your mentors also did good work rest in peace
[406] 49:46	well thank you um yeah he was he was one of my mentors he's what probably one of
[407] 49:51	my more influential mentors um and it's been a tough month for my mentors honestly cuz he's the second of my
[408] 49:57	mentors to have sort of passed away this in last 30 days
[409] 50:02	so um along with my father and can I mention the
[410] 50:11	other my
[411] 50:16	sister-in-law yeah we also found out that my sister-in-law passed away too
[412] 50:22	okay so we are dealing with in last 30
[413] 50:28	days four close deaths potentially even a
[414] 50:34	fifth which we one's one of our relatives is missing
[415] 50:40	presumed deceased to so it's just like okay yeah it's it's been a tough month
[416] 50:47	it's been a tough month so but we're trying to keep focused on the ministry and the work and
[417] 50:55	trying to press on on
[418] 51:02	regardless okay uh dosman for $2 thank you for the Super Chat he will be missed
[419] 51:07	thanks for updating us well um uh yeah um he will be missed he will
[420] 51:17	be missed a lot and I I as soon as I got the updates I told you guys too so you
[421] 51:23	know um you know I was up at 3:00 a.m. on Thursday when I got the news so
[422] 51:29	um so as soon as I found out you guys found out essentially
[423] 51:38	okay yeah we would we' also appreciate prayers for tomorrow as well because um
[424] 51:45	tomorrow's going to be the final memorial for my father so um yeah it's
[425] 51:50	been a lot it's been it's been a heavy month heavy month
[426] 51:57	so we would very much appreciate it because it's for us for us it's kind of a long way to go it's a long way for us
[427] 52:04	to go it's an early morning trip and
[428] 52:09	um and it's very high stress very high stress okay so we would appreciate
[429] 52:18	prayers okay uh dosman uh asks the member a
[430] 52:24	question uh what is a good way to Mo motivate yourself when you feel burnout on a
[431] 52:29	project but taking a break isn't an option um here's what I
[432] 52:38	[Laughter] do um I I I will I will not give that
[433] 52:43	piece of advice okay
[434] 52:49	um when I feel burnout this is what I generally do switch projects
[435] 52:58	I switch projects or I slow down a little take a little me time you know
[436] 53:05	it'll happen to me frequently because I am my wife will agree with this I'm a
[437] 53:12	workaholic okay I'm a workaholic she goes no
[438] 53:17	[Laughter] really here's what I'll do I'll do
[439] 53:23	something else I'll play a game play video game you know don't give up the
[440] 53:28	work don't stop the work just slow it down you know the work will take care of
[441] 53:37	itself you know so you know this is what I would this is what I would recommend if if
[442] 53:44	you're having problems motivating yourself and you're feeling burned out on a project it's it's often because
[443] 53:52	your it's more that your psychic and I'm here I'm mean mental not not not
[444] 53:58	actually psychic as an uh you know levitating objects you know not that kind of psychic but your your your
[445] 54:03	mental energy is depleted your ATP reserves are are diminished okay you're
[446] 54:10	not feeling refreshed
[447] 54:15	um so what I would recommend is doing something else doing something else not
[448] 54:22	necessarily abandoning your project because you're still having to work on it because that's the here you have to work on it but you know take a little
[449] 54:30	time maybe go out for a walk you know get some exercise you know uh go to a cafe
[450] 54:39	somewhere have a cup of coffee read a book oh my gosh read a
[451] 54:45	book read a novel you
[452] 54:52	know okay so there's a lot of things you can do here to to regenerate
[453] 54:58	pray pray meditate read the scriptures eat food if you haven't eaten
[454] 55:06	eat food if you haven't eaten I mean some people some people you know when they're working they forget to
[455] 55:12	eat I've known people like this who who just you know they're working on
[456] 55:17	something and they just forget to eat they forget to have lunch or breakfast or whatever
[457] 55:26	you know I've had the I've done this sometimes where I get so wrapped up in a
[458] 55:32	project I'll just forget to eat and then 16 hours later it's like oh wait a
[459] 55:40	minute I'm hungry why am I hungry oh yeah didn't
[460] 55:51	eat mama says go sit in the sunshine that works if you've got
[461] 55:58	Sunshine we don't have Sunshine here we got that big overcast in the
[462] 56:11	sky so um yeah camel leard doesn't work if you're
[463] 56:19	in Ireland or the UK or Vancouver yeah
[464] 56:26	overcast is my sunshine yeah pretty
