[0] 0:07	do [Music]
[77] 9:12	if if we um if we want to engage this that's that's that's absolutely cool with me
[78] 9:18	uh what do you think of the j about the a james ostuary could it be related to jesus or the tomb
[79] 9:24	of talpiyat uh people say that it's has the same soil as the tomb
[80] 9:30	inscription of forgery wow now this is going to be a very controversial issue
[81] 9:36	very very controversial issue the james ossuary
[82] 9:42	unfortunately was held by a person who also ran a
[83] 9:47	forgeries factory that is going to be very very problematic and we're not going to know
[84] 9:53	for sure um exactly
[85] 9:58	the fact is too that you know when they did they they were able to take iron samplings
[86] 10:05	from the inscription and they found metal alloy in those scriptions
[87] 10:11	now that that that date to a modern time isotopically
[88] 10:16	the problem is here is going to be was he indeed cleaning it
[89] 10:22	or did he create at least part of the inscription now almost everyone agrees that part
[90] 10:28	of this inscription is original it's sort of say the extra bit
[91] 10:35	of the inscription that's that's contested here i don't think we're ever going to know for sure i think there's too much sort
[92] 10:42	of um there's too much hanky-panky going on here
[93] 10:47	to to really be sure you know his his his excuse that his mother took water
[94] 10:55	and modern water from a modern source and used that to clean the ostuary
[95] 11:02	also doesn't exactly um sound credible
[96] 11:08	it's an incredulous explanation
[97] 11:14	yeah yeah i'd love to say this thing's valid but i just can't um i i just there's a there's just so
[98] 11:22	much here that's that's wrong that um i don't think we can use it as
[99] 11:27	really good evidence at this point for anything so anyway thank you very much for the super chat i hope that answered your
[100] 11:33	question i very much appreciate it um and overall i don't think we need this
[101] 11:38	to to show say the existence of jesus christ i mean there's more than enough extra biblical evidence to
[102] 11:45	to establish jesus christ as a historical person that we don't actually need this anyway and frankly i think
[103] 11:51	this this is really just not good evidence
[104] 11:56	so with that said thank you very much and we're going to move on to the next super chat
[105] 12:02	and the next super chat is from disciples riddle for 9.99 thank you very much for the super chat
[106] 12:11	dr bowen claimed ezekiel falsely prophesied that nebuchadnezzar would destroy tyre
[107] 12:17	alexander the great completely completed the devastation ezekiel doesn't mention
[108] 12:22	his name how would you respond to this
[109] 12:32	oh boy
[110] 12:38	here has some of the strangest historical explanations
[111] 12:45	that i have ever heard from any historian anywhere
[112] 12:50	his argument here is just bizarre
[113] 12:57	oh let me flesh out how the hell the argument works here okay
[114] 13:03	he says that the bible prophesies that nebuchadnezzar would siege the
[115] 13:10	city of tyre from for for 12 years
[116] 13:17	and then you know he says well you know he was there
[117] 13:24	but then other people come in the persians coming and do some destruction and then alexander the great does some
[118] 13:29	destruction it finally destroys the city entirely and there's many other nations that come up against tire and destroyed and
[119] 13:37	and he says well you know all these other nations destroyed tyre so fast
[120] 13:44	that the the 12-year uh 12 13 year destruction of tyre
[121] 13:50	prophesied in the bible is incredible therefore there was no destruction by
[122] 13:55	nebuchadnezzar omb
[123] 14:02	i mean i can't believe i'm even hearing this um
[124] 14:07	uh this verse second chronicles there's in
[125] 14:13	see here second chronicles that may be something else but okay but anyway you know
[126] 14:20	i i listen to this and i go i can hardly believe what i mean
[127] 14:25	that this is coming out of historian's mouth i mean
[128] 14:30	first of all the 12 13-year destruction of tyre isn't in the bible
[129] 14:36	okay it comes from josephus and josephus is getting this from
[130] 14:43	phoenician documents so
[131] 14:48	it's like okay what we have here is phoenician documents
[132] 14:53	documenting nebuchadnezzar destroyed tire
[133] 14:58	but not only that there's cuneiform tablets we have a cuneiform tablet that says
[134] 15:05	that the soldiers of of babylon equip themselves for a siege
[135] 15:10	of tire and then we have other cuneiform tablets that say that tyre became a vassal state
[136] 15:18	of babylon that pretty much sounds like the
[137] 15:24	prophecy fulfilled me um i mean does this sort of this sort of
[138] 15:30	meth mechanization uh uh machinations of well he destroyed it but he really he
[139] 15:37	really didn't you know because it was too long we can't even believe it
[140] 15:42	because other other successors came along and conquered it quicker
[141] 15:48	well i mean that's just that's just crazy talk i mean that's just absolute i mean
[142] 15:53	that's so illogical this is not even funny i mean we don't know the state of tyre's
[143] 15:58	walls when when nebuchadnezzar arrived i mean maybe he was up against these huge
[144] 16:03	middle bronze fortifications that he had to just rip down i mean you just don't know and then afterwards may have been
[145] 16:10	replaced by casemate walls we we we don't know but to just assume because it took so
[146] 16:16	long for the first guy and everyone after it was so quick therefore the first guy couldn't have happened
[147] 16:23	it's just silly i mean it's it's it's historical nonsense and i can hardly uh i can hardly believe
[148] 16:30	that someone of josh's acumen and education would make such a ridiculous argument
[149] 16:37	it's just crazy it is absolute craziness
[150] 16:44	ask me what i really think about this hey thank you very much for the super
[151] 16:50	chat i think you got my opinion about this um i appreciate the super chat
[152] 16:57	even though it raised my blood pressure about 50 points
[153] 17:04	[Laughter] okay let's see what else we got here now
[154] 17:12	um
[155] 17:18	okay uh gizgo sbol for five dollars thank you very much for the super chat
[156] 17:24	uh is it true that each lost contact with nubia after dynasty 20. well
[157] 17:31	that's a yes and no uh fair uh basically the theben um and
[158] 17:37	basically delta regents did uh how is she shep able to recruit
[159] 17:43	crucits from the army as recorded in chronicles it's because shishak was a um
[160] 17:51	was a cushite essentially [Music]
[161] 17:58	well let's let's look at second chronicles 12 anyway 12 3 so
[162] 18:04	second chronicles
[163] 18:10	12 3. i'll start at uh
[164] 18:17	two here and it came about in king reibong's fifth year because they had been unfaithful lord that shishak king of egypt came up
[165] 18:24	against jerusalem with 1200 chariots and 60 000 horsemen and the people who came
[166] 18:30	from egypt were without number the lubim that's actually libyans it's
[167] 18:36	libyans uh the sukim and the ethiopians which is
[168] 18:41	in the hebrew kushi which is the descendants of kush now these are cushites
[169] 18:47	these aren't nubians these are cushites and cushites actually inhabited the
[170] 18:53	region between thebes and nubia
[171] 18:58	so here it doesn't actually say nubians per se
[172] 19:04	but it is cushites so that's what's happening there and
[173] 19:10	this is they had egypt had never lost contact with kush never did it was
[174] 19:16	always a part of say the the close in in the same way that egypt never lost
[175] 19:22	contact with sinai egypt never lost contact with cush it was a very very
[176] 19:27	close neighbor and it was actually for most of egypt's history part of up upper egypt
[177] 19:35	in fact sort of the the um the boundary between cush and nubia is what would be
[178] 19:41	called what we abu simbel or the second cataract so
[179] 19:48	uh egypt always had sort of that that contact with that region
[180] 19:53	so that's how they were able to to uh recruit the cushites they are because because essentially the
[181] 20:00	the the essence of this question here is that cushites aren't in nubia
[182] 20:06	nubia is actually further south from kush however at the same time too
[183] 20:15	we do see that there is still contact at least some contact with nubia
[184] 20:21	um going at least until the end of dynasty 25
[185] 20:28	and that's when when of course nubia conquers uh egypt itself
[186] 20:34	so there's a lot here that's going on but again we kind of got a little bit of confusion and categories here but it's a
[187] 20:41	good question it's a good question and i very much appreciate the super chat thank you very much
[188] 20:49	okay see here we got tony g for 9.99 thank you very much for the super chat
[189] 20:57	what were the great plagues suffered by pharaoh in his house genesis 12 17 for taking sarah as his wife
[190] 21:05	who was that pharaoh and did he called abraham
[191] 21:10	let's read the passage because that always helps so genesis
[192] 21:17	12 and 17. i'll start it's verse 16. therefore he
[193] 21:23	treated abraham well this is he pharaoh for her sake
[194] 21:28	and gave him sheep and oxen and donkeys and male and female servants and female donkeys and camels
[195] 21:34	but the lord struck pharaoh and his house and the great plagues because of sarai abraham's wife
[196] 21:41	okay we don't know what exactly the plagues
[197] 21:46	here were um the text doesn't say the text is not specific uh wish we knew but we don't
[198] 21:55	now it was not so much here that um
[199] 22:01	pharaoh did not actually called abraham but he
[200] 22:07	could have there was the potential here for that to happen
[201] 22:12	and pharaoh here acts actually really righteous you know he's not a pharaoh in this case
[202] 22:19	and we okay we have to understand this is talking about the king of egypt the the term pharaoh in this text is is
[203] 22:26	anachronistic it shows us when the text was actually put down to paper but not when the events happened
[204] 22:35	this is what's called retrojection where a later writing of the text with a current understanding
[205] 22:42	is talking about i am events in the past the term pharaoh wasn't used until say
[206] 22:48	the time of moses iii but what it's talking about here is
[207] 22:55	something that happened in egypt's middle kingdom period now where when pharaoh finds out
[208] 23:04	uh that he's been tricked by abraham he says to him in verse 18 what have you
[209] 23:09	what is this that you have done to me why did you not tell me she was your wife
[210] 23:16	so in um pharaoh is is is the king of egypt is legitimately put out by this
[211] 23:24	you know and we have to understand that not every king of egypt was a bad guy
[212] 23:31	a lot of the kings of egypt you know tried to do well for the people and try to do things properly
[213] 23:38	and i think this is one of those those examples of a righteous gentile
[214] 23:43	you know and we do see these sort of scattered through through scripture of gentiles who try to
[215] 23:50	do the right thing even though they're not given the law so i think that's what we have here in
[216] 23:55	the genesis 12 narrative is pharaoh doing the right thing and abram doing the wrong thing
[217] 24:04	we don't know who the name of the pharaoh is and part of the problem is that that um abraham lived during the 13th
[218] 24:12	dynasty and much many of the pharaohs that we have
[219] 24:18	for the 13th dynasty didn't rain that long most of them reigned less than 10 years
[220] 24:24	with a lot of them reigning around two very short-lived very short-lived and we
[221] 24:29	don't know why the pharaohs of dynasty 13 were so short-lived but
[222] 24:34	as a rule they seem to have been very short-lived so we have a lot of pharaohs that were
[223] 24:40	that reigned during dynasty 13 so it's really impossible to say which
[224] 24:45	was the one that lived during the time of um
[225] 24:51	of abraham so anyway i hope that answers your super chat thank you very much very much
[226] 24:58	appreciated
[227] 25:04	okie dokie uh cnmk uh 4.99 thank you very much for
[228] 25:11	the super chat very much appreciated opinion on archaeologist israel finkelstein's work
[229] 25:17	um wow
[230] 25:24	that's a tough it's not a tough question it's how do i say this politely
[231] 25:40	israel fingelstein really doubles down on his biblical minimalism
[232] 25:45	and i don't he really only has admirers now
[233] 25:52	in israel people kind of laugh at him people kind of laugh at him because he really still sort of
[234] 25:57	it for him it's really um how
[235] 26:02	did for him he he still doubts the davidic kingdom the solomonic
[236] 26:08	kingdom um and he still has his admirers in north america
[237] 26:15	but israeli archaeology has sort of moved
[238] 26:22	move beyond that so he's sort of clinging to the past here kind of hoping that he might be
[239] 26:29	vindicated in the end and with every turn of the shovel it's just getting worse and worse and worse for
[240] 26:36	him so he's becoming kind of a pathetic shadow
[241] 26:41	of what he once was there was a time when israel finkelstein was um
[242] 26:47	considered to be the the absolute expert in israeli archaeology that's no longer
[243] 26:52	true there are many now that have surpassed them in both quality and quantity
[244] 26:58	and i don't i i personally don't take him
[245] 27:04	seriously anymore he's kind of become a bit of a joke
[246] 27:09	in israeli archaeology so um
[247] 27:14	his book still has some interesting things in it but his skepticism is sort of passe at
[248] 27:21	this point so anyway thank you very much for the super chat very much appreciate it
[249] 27:26	okay steven sorenson for 1.99 thank you very
[250] 27:33	much for the super chat uh what's your take on radiocarbon dating
[251] 27:40	well i did see your video by the way on fiamenco's views on radiocarbon dating
[252] 27:48	uh let's be honest uh radiocarbon dating has problems
[253] 27:54	i think when it's used to try to establish absolute dates it's extremely
[254] 27:59	problematic um it does have errors it does manifest anomalies and you do
[255] 28:06	see this in the practice of archaeology and particularly the archaeology of the ancient year east
[256] 28:14	there is something about radiocarbon in the ancient near east that does not play
[257] 28:19	nice with radiocarbon dating um some have speculated that in the
[258] 28:25	engineers you've got a carbon sink it attempts to correlate radiocarbon dating
[259] 28:31	with dendrochronology have not exactly been successful in the in the near east because
[260] 28:38	trees don't form tree rings in the ancient near east
[261] 28:43	so there isn't a separation of carbon between the tree rings like you find in say the northern or even the deep
[262] 28:49	southern hemispheres so radiocarbon dating has not been that
[263] 28:54	useful in the near east now with that said uh i think radiocarbon does have a
[264] 29:01	particular use uh if you got say two samples if you got
[265] 29:06	two samples and you radiocarbon data and there they have reasonable parity
[266] 29:13	between them like for example two samples of wood the one thing you can determine is which
[267] 29:21	one is older than the other radiocarbon dating will give you relative dating
[268] 29:26	and that can still be very very useful even if it doesn't give you absolute dating
[269] 29:32	just knowing that one piece of wood is 150 years older than the other can be
[270] 29:37	very very helpful so it does have its uses and i don't completely discard
[271] 29:44	radiocarbon dating but i also recognize that radiocarbon dating does have some limitations
[272] 29:52	and uh i i just i don't take the the the view of say dendrochronologists that
[273] 29:59	that want to say oh radiocarbon dating will give you absolute dates down to the year
[274] 30:04	because it won't in the ancient areas it just will not do that uh you know i was uh
[275] 30:11	i was at a paper once uh where hendrick bruins who's a dendrochronologist now
[276] 30:16	for those who don't know dendrochronology is a basically tying radiocarbon dating with tree rings
[277] 30:24	and um henrich bruins tried to make the case he
[278] 30:30	was he was he was debating manfred b talk over the dating of a virus
[279] 30:36	and henrik's bruins made the most um jaw-droppingly incredulous statement i
[280] 30:43	i'd heard in a long time was that the hexaus dynasty
[281] 30:48	ended a hundred years before okamosa the first
[282] 30:53	um based upon dendrochronology and radiocarbon dating and everyone in the office uh in the
[283] 31:00	audience's jaw just dropped you know
[284] 31:05	we couldn't believe what we were hearing because we have historical records of
[285] 31:10	akmos the first sieging the city of avarus and its hicksos kings so
[286] 31:18	it's just like it's like okay well you know
[287] 31:23	maybe there's still still some bugs here in radiocarbon dating that need to be worked out
[288] 31:29	[Music] [Laughter]
[289] 31:34	so anyway i hope that answers your question uh thank you very much for the super chat very much appreciate it
[290] 31:46	okay uh gizgo sbol again for five dollars thank you very much for the super chat
[291] 31:53	how extensively did romney's the third campaign in the levant and how would this have affected the
[292] 32:00	israelite tribes during the judges period okay um
[293] 32:06	he the the campaigns of ramses iii are actually pretty limited they're
[294] 32:13	they're actually mostly limited to the coastal plain as were most of the um
[295] 32:21	uh campaigning say after mernefta
[296] 32:26	so this actually would not have affected the israelite tribes all that much
[297] 32:32	because the israelite tribes are more or less restricted to say the judean foothills
[298] 32:39	we do have to kind of understand that ancient israel was a divided
[299] 32:46	geography it had natural barrier barriers that did prevent
[300] 32:52	say large armies from moving here and there you had the desert in the south
[301] 33:00	the coastal plain was on the west and the philistines lived there
[302] 33:06	separating the coastal plain from the judean foothills was a swamp and it was a swamp that was very
[303] 33:12	difficult for an army to move through now people did move through the swamp piece by piece but it's difficult to get
[304] 33:18	an army through there in order to invade the judean foothills
[305] 33:24	one really had to go up to the jezreel valley circle past megiddo and sort of come
[306] 33:31	back down into the judean foothills for most most egyptian armies this
[307] 33:37	wasn't practical and it really it really wasn't worth most
[308] 33:43	armies until say shishak so you're really sort of
[309] 33:49	waiting until um
[310] 33:56	say the 22nd dynasty for the judean foothills to be really
[311] 34:02	worth anyone's bother so um essentially ramses iii is just
[312] 34:09	bypassing the jupiter foothills he's going up up the coastal plain and he's doing his
[313] 34:15	campaign um up into at most into syria at that point
[314] 34:20	and then after that he's come just straight back down and and that's that's just because he doesn't want to deal with with sort of
[315] 34:27	uh goat herders in in in the judean foothills you know there's no profit there for him to do so
[316] 34:35	so it really wouldn't affect the tribes in the judge's period at all but anyway thank you very much for the
[317] 34:41	super chat very much appreciated
[318] 34:46	okay devon canada for ten dollars thank you very much for the super chat very much appreciate it
[319] 34:52	okay george rawlinson claimed in his history of the phoenicians that the canine pantheon of gods originally
[320] 34:58	started as a single god called by different titles do you have a take on this is george
[321] 35:05	cool uh i'd say not um
[322] 35:11	now there is there is sort of a a school of religious historical thought called
[323] 35:17	the um the german is uh religious
[324] 35:23	which means uh the religious history or religious history school religious
[325] 35:33	[Music] my german is not up to par at the moment
[326] 35:38	so but anyway the idea is that uh religions evolved over time
[327] 35:46	and the idea with with sort of evolving religions is that people moved from say one sort of
[328] 35:53	religion to another uh the idea of going from say animism
[329] 35:59	to polytheism to henotheism to
[330] 36:05	um [Music] monotheism
[331] 36:10	now there's also sort of the reverse of this as well where people think that people went from say
[332] 36:17	uh monotheism or a manolo tree monologue
[333] 36:23	to a heno theism to a polytheism etc
[334] 36:28	um i i don't think that
[335] 36:33	um
[336] 36:38	that that you can really hear um
[337] 36:44	oh um make the claim of say that that that in
[338] 36:49	in ugarit and phoenicia that they went from a one god pantheon to
[339] 36:55	to um to many gods or or many titles leading to many gods
[340] 37:00	i don't i don't think that's a credible case it does seem to be that there's a whole
[341] 37:06	myth here and say the canaanite egoretic documents that they are have passed on since from
[342] 37:13	ancient times so um yeah um
[343] 37:19	so that's sort of my take on this um it might be cool in other respects i mean i
[344] 37:24	don't know i haven't read uh george rollinson so i can't i can't say more about it but
[345] 37:29	i don't think he's right here i don't think i think we got more than enough uh evidence from say the ball cycle to
[346] 37:35	say that it's not just one it's not a modalist god happening in an ancient
[347] 37:41	canaan um it does seem to be a pure polytheism or at the very minimum a henotheism
[348] 37:48	so anyway thank you very much for the super chat very much appreciated
[349] 37:54	okay i'm going to take this comment by mr rich b.o.b you said you went to uh
[350] 38:00	paris and were begged not to speak french ever again after hearing your german i can see why
[351] 38:05	[Laughter] oh absolutely true my pronunciation of
[352] 38:12	french and german is atrocious oh i can read the things but i
[353] 38:19	i couldn't communicate in it to save my life i mean my pronunciation is just awful
[354] 38:24	and i'm the first person to admit it so [Laughter]
[355] 38:31	guilty as charged [Laughter]
[356] 38:40	yeah um no no uh it's true of any language that that
[357] 38:45	essentially the more you use a language the better your pronunciation becomes
[358] 38:51	and i just don't have any opportunity i mean i live in vancouver vancouver is a like a 98
[359] 38:59	english speaking um city
[360] 39:04	the second most common language spoken in in vancouver is cantonese
[361] 39:13	uh followed by uh punjabi so even though french is officially in a
[362] 39:20	bilingual country with with you know you know very few people have the
[363] 39:26	opportunity in vancouver to actually practice their french to any meaningful degree
[364] 39:31	and less so for german less so for german honestly so with that said you know my my
[365] 39:37	japanese and and surprisingly even my arabic is is much much better than my french or
[366] 39:46	german at least and that's because i've had more opportunity to use it in a spoken capacity
[367] 39:53	so uh steven sorensen says i only speak
[368] 40:00	english and still have trouble with that sometimes uh well i was just recently asked on an
[369] 40:06	interview you know how many languages do i know and i said and she goes besides english
[370] 40:12	and i said well you know english is the one i'm least sure about
[371] 40:19	i i did a peer review article once and and and this is a german i'm a
[372] 40:25	native english speaker i'm a native english speaker and the peer reviewer said you know his his his english is really
[373] 40:31	idiosyncratic he must be a foreign english student
[374] 40:37	he needs to improve his level of english
[375] 40:45	it's like no english is my first language which means i'm incompetent in english
[376] 40:55	how do you tell an english speaker a native english speaker he doesn't know the language of course
[377] 41:08	the anabaptist says i only speak english and barely learned that yeah
[378] 41:16	yep that that that is true for most native english speakers
[379] 41:23	[Laughter] you know it's really difficult for
[380] 41:28	english speakers to learn foreign languages and it's just that's and it's be a part of it is because we
[381] 41:33	don't know our own language that well so uh let's get back to the super chats but
[382] 41:40	this has been fun [Laughter] okay
[383] 41:46	uh tony g i think is next here with a 999 super chat
[384] 41:51	was exodus a military operation with moses as general per richard gabriel on history channel bible
[385] 41:58	battle series for example exodus 30 12 16 despoiling the egyptians
[386] 42:04	oh history channel
[387] 42:10	oh my gosh um the history channel is just awful
[388] 42:18	um when i teach i i do sometimes teach the
[389] 42:23	history of ancient egypt at university
[390] 42:29	um and at a university setting and um
[391] 42:35	one of my biggest problems as a history teacher is sort of deprogramming the students of
[392] 42:41	the history channel because the history channel
[393] 42:47	isn't about history it's about ancient aliens and nazis
[394] 42:53	and it's just oh my gosh the history channel is just
[395] 42:59	terrible it's it's some of the worst history that you will find anywhere uh
[396] 43:04	i mean it is really a a well i mean i've seen some just crazy
[397] 43:11	stuff on the history channel that should it should not be called the history channel it's an ironically named
[398] 43:17	channel because it is nothing even close to history
[399] 43:22	now with that said um the exodus was not a military oper uh
[400] 43:29	operation moses in all likelihood was not a general he was probably no more than a scribe
[401] 43:35	um he grew up in the house of a um
[402] 43:42	a governor perhaps vizier but he himself was
[403] 43:49	not actually part of the royal court when he lived in egypt it's only recognized that he was a
[404] 43:56	son of a daughter of king after his return from midian um and that's again god this is god's
[405] 44:03	providence setting up being set up in the life of joseph here or sorry moses here
[406] 44:08	um the despoiling of egypt
[407] 44:14	is not moses sweeping through of arson p ramsay
[408] 44:21	stealing people's stuff that's not what it is um it's essentially one person going to
[409] 44:26	each other's neighbor and saying hey you know um i'm leaving egypt can you give me
[410] 44:32	some stuff for the trip and people going yeah okay here's some stuff for the trip
[411] 44:37	that's really what the spoiling of egypt is because we see that in the text that the people of
[412] 44:45	egypt had the people of the sons of jacob had found favor in the
[413] 44:50	eyes of the egyptian so this is again this is pretty much a historical reconstruction
[414] 44:57	that defies what the text actually says
[415] 45:02	so i think i think gabriel here is talking
[416] 45:08	complete nonsense so any thank you very much for the super chat very much appreciate
[417] 45:16	it okay tyler mckayley for five dollars thank you very much for the super chat
[418] 45:24	which part of the old testament have egyptian vocabulary torah historical
[419] 45:29	wisdom etc examples of egyptian loan words in the text okay
[420] 45:35	uh there's actually several egyptian loan words in the egyptian text
[421] 45:41	we find the occurrence to be much higher in the torah and then
[422] 45:47	it sort of starts to wane off we find some more in
[423] 45:53	say the books of judges and uh joshua
[424] 45:58	and then it really we start seeing them sort of disappear in say the um
[425] 46:06	and say the later prophets and the historical books so that's sort of where we that sort of
[426] 46:14	most of them are in the torah very very much in the torah
[427] 46:20	so uh like for example the word ya ear comes from um
[428] 46:26	um um nehru uh in egyptian uh we see for example sesh as a
[429] 46:33	egyptian linen there's actually two egyptian loan words for linen in the pentateuch we see the word soof as in um
[430] 46:42	reeds which comes from the egyptian word tufi um uh we see uh lapis uh mafkat in in there
[431] 46:51	there's a lot of egyptian love words i think it's something like like um 30 40
[432] 46:57	egyptian loan words that we find in say the pentateuch alone
[433] 47:02	so uh te ba the basket that mo that the baby moses is stuck in also noah's ark
[434] 47:08	is a tebba this is an egyptian word for a basket or box or chest
[435] 47:16	so they're mostly in the torah there's some some are found as i said as i said it
[436] 47:23	tapers off uh interestingly enough it sort of tapers off with what we come to expect with the the
[437] 47:31	biblical narrative so you know as as we sort of go later and later we start to see a
[438] 47:37	transition from say egyptian words uh a transition as far as
[439] 47:44	um loan words from non-semitic languages
[440] 47:49	from egyptian in say the torah to say more persian words where you're
[441] 47:57	getting into ezra nehemiah um micah
[442] 48:02	um even say books of kings and chronicles you're starting to see more entry of of persian
[443] 48:09	words at that point and again this is all come to this this should be expected because
[444] 48:16	you know those are the books uh the later books of uh say kings chronicles
[445] 48:21	nehemiah that are sort of written and compiled during the babylonian exile and
[446] 48:27	later so uh anyway i hope that answers your question
[447] 48:32	thank you very much for the super chat very much appreciate it
[448] 48:40	okay uh cheese one for australian five dollars thank you very much for the
[449] 48:46	super chat hi dr faulk enjoying your book really struck me that the average farmer
[450] 48:53	only had a bowl and a spoon
[451] 48:59	the average farmer did not live well in egypt the average farmer was really really
[452] 49:04	poor i mean really poor uh did farmers do anything recreational
[453] 49:10	or just survive that's a that's a good question
[454] 49:16	uh there are examples of say flutes from ancient egypt
[455] 49:22	um the flute does seem to have been something that a average farmer could have cobbled from
[456] 49:29	a papyrus reed it does not have to necessarily have been made out of wood
[457] 49:35	so there are um there are a lot of um
[458] 49:42	things that the average farmer could have done they could have it they there was the potential for them to do music
[459] 49:48	at night to uh or in the evening most of the daylight hours were pretty
[460] 49:54	much spent uh farming
[461] 50:00	the egyptians did play games now i we're not sure we're not sure about
[462] 50:05	the farming class now one of the problems with the farming class is they didn't leave us any records
[463] 50:14	and the land they tilled the land they lived on was pretty much wiped out every inundation cycle by the flood
[464] 50:21	so we don't have any archaeological remains for farmers either so we are have a real difficult time
[465] 50:28	trying to assess how the farming class lived
[466] 50:33	so um we have a few burials of farmers and this is how we know that they didn't
[467] 50:39	have many any goods because most farmers were sort of buried in pan graves they weren't even mummified
[468] 50:46	they basically dug a hole threw the body in in sort of a
[469] 50:51	fetal position with a bowl and a spoon and that's it
[470] 50:57	that's what that's that was their their whole worldly possessions um
[471] 51:02	so um yeah it wasn't exactly a great life
[472] 51:08	but you know it was their life and
[473] 51:13	i'm glad you're enjoying the book thank you very much for purchasing book the book i hope you really really are
[474] 51:19	enjoying it we did make that book to be very readable
[475] 51:25	and yet also it's a really really challenge one of the most challenging things an author
