[0] 0:00	e [Music]
[55] 10:08	explode and of course then our air conditioner die this week too so it's hot as Hades in here uh but we really
[56] 10:17	want to thank our patreon supporters who basically provides us with the funds to
[57] 10:24	do these emergency repairs on our systems when they when we need it so
[58] 10:30	yeah oh yeah Danny D they go boom they really went
[59] 10:37	boom well it was the power supply that came with the original ATX case so you
[60] 10:42	know it's it's not an easy power to supply to get anymore so um
[61] 10:50	yeah so uh yeah it's been not it has not been a good week for Tech over here yeah
[62] 10:56	so we've had we've had a lot of problems with technology this week so if we are
[63] 11:02	anywhere's near getting back to normal I'll I'll take it okay
[64] 11:10	so uh with that said uh we're going to get into the questions again the rules are the same as always uh super chats
[65] 11:18	have priorities uh if you want to ask a non-s Super Chat question begin it with a q
[66] 11:24	and a colon so that we know it's directed to us uh only post um nons super chats once
[67] 11:32	if you post more than once we'll disqualify it because we don't like question
[68] 11:37	spamming uh also if there's if it's a verse from the Bible or references a form where we need a
[69] 11:44	little context so for a verse from the Bible please include what book it's from what chapter and what verse for a
[70] 11:50	foreign word please give us a little context like what language is from and what you think the word means just so we
[71] 11:56	can narrow things down and finally if you do sponsor Super Chat only sponsor
[72] 12:01	one Super Chat and repeat the question in your super chat so we don't have to hunt for it that just makes things a lot
[73] 12:08	easier and just saves us a lot of time okay so with all that said and all that
[74] 12:15	technical wow
[75] 12:20	um one question per Super Chat yes you can sponsor three questions they
[76] 12:28	just have to be all different super chats
[77] 12:35	okay so that said let's get into the questions and I'm GNA take off that this
[78] 12:43	no longer and the first question we're going to uh do tonight is from Chia Yi
[79] 12:52	and he asks what is your view on the Journey of the Soul after death is
[80] 12:58	postmortem sanctification possible with solar gratia yes it is
[81] 13:04	um okay now the way this works uh it's possible but the question
[82] 13:12	is is it likely and that's that's really what what theologians uh wrestle over uh with with
[83] 13:19	grace alone it's definitely possible because again works are not
[84] 13:25	involved here so um
[85] 13:30	my view on the Journey of the Soul after death is once you die you are immediately go before the
[86] 13:36	Lord and you are basically asked at that point what's your relationship with
[87] 13:41	Jesus for those who you know hate didn't rejected Jesus okay they go into
[88] 13:49	Everlasting punishment for those who accepted Jesus they go into everlasting
[89] 13:56	life it's those who are sort of in between who never got the chance to
[90] 14:01	choose that's really what's at debate and it is possible that that
[91] 14:08	grace alone could cover that that's a definite possibility there's also the
[92] 14:14	possibility that they're given the chance to choose now that they know
[93] 14:20	and you know people would think sometimes well you know if you're standing in the presence of the Lord and the Lord says you want to follow me
[94] 14:26	people will automatically say yes if they don't had had had any previous contact and that's not necessarily the
[95] 14:32	case you know people have will of their own you know even into the Afterlife
[96] 14:38	they have a will of their own so it's possible that even if there was a a postmortem sanctification
[97] 14:47	possible that they still choose to reject it
[98] 14:54	so uh Deacon asks don't some sleep till the Lord's return no no that's a metaphor for death that's a metaphor for
[99] 15:00	death that's not that's there's no such thing as Soul sleep okay um so that's
[100] 15:06	that's not a thing it's it's whenever you see those who sleep in the New Testament that is a that's a that's a
[101] 15:15	euphamism that's a euphemism for death okay so you have to be very very careful
[102] 15:20	about that not to read too much into a
[103] 15:26	euphemism and even even there's there's you know times that even crisis had to
[104] 15:31	correct people on that euphemism because it's not just a confusion confusing thing today it's been a confusing thing
[105] 15:37	even in the New Testament times you know when Lazarus
[106] 15:43	died and you know they uh the the disciples asked you know
[107] 15:50	Christ what's what's become of Lazarus Lazarus say in Christ goes oh Lazarus is asleep and the disciples go oh why don't
[108] 15:57	we just leave him alone he's just getting his rest and Jesus goes no you don't
[109] 16:04	understand he's dead so so this was a euphemism that was
[110] 16:10	even confusing Back in the New Testament time but people do use confusing
[111] 16:16	euphemism sometimes so
[112] 16:21	so I think the soul is conscious after death I think it appears before the Lord
[113] 16:26	after death and I think at that point the fate of the soul is going to depend
[114] 16:32	upon one's relationship with Jesus Christ uh some to eternal life some to East the second death and some will get
[115] 16:40	the opper I think it's possible again I'm not sure if it's likely but it's possible at least under solar
[116] 16:46	graa that some might get the chance to choose but it's always going to be that
[117] 16:52	chance to choose not that the choice is made for them so anyway I hope that helps thank
[118] 17:00	you very much for the question very much
[119] 17:05	appreciated okay next on Super Chat here is from let me explain followers of the shepherd and he asks in Acts 18 the word
[120] 17:14	Martis is translated as witness can this be translated as martyr or is this a
[121] 17:22	just a false friend okay now in Acts 18
[122] 17:29	the context is essentially as a witness now here's the thing
[123] 17:37	um in there there's three sort of meanings for Martis which is a legal witness as
[124] 17:45	in a person who who is a witness at a trial so it's a legal
[125] 17:50	term the second definition is one who is just sort of a testifier an eyewitness
[126] 17:57	that sort of thing and most of the time it's going to have that second definition of of somebody who who's an
[127] 18:05	eyewitness or somebody who testifies that they saw something
[128] 18:11	okay but there is also there is also ATT tested in the New
[129] 18:19	Testament someone who's a witness at the cost of their own lives what we would call a
[130] 18:25	murder this does happen in some instances in the New Testament and most
[131] 18:30	particularly acts 2220 and Revelation 213 it's both used
[132] 18:35	in that way so the question then is a we'll just pull up a here and
[133] 18:44	just take a look at that particular passage so all three of those
[134] 18:51	definitions are possible for
[135] 19:00	uh for the the word we'll just pull up our Bible here and we'll take a look at
[136] 19:06	18 I'll start verse 17 here and he said to them it is not for you to know the
[137] 19:12	times or the epochs which the father has fixed by his own authority but you shall receive power
[138] 19:18	when the Holy Spirit has come upon you and you shall be my Witnesses both in Jerusalem and all Judea and Samaria and
[139] 19:26	even to the most part of the earth now now here given the context and that's what's really important here the context
[140] 19:33	because context determines meaning here we would want to use that
[141] 19:38	second or first or second definition of either a legal witness or an eyewitness so that's what we're going to
[142] 19:46	that's probably the best definition here martyr in this particular case would not
[143] 19:51	be a good definition because it doesn't fit well with the context okay but in other places in the
[144] 19:59	New Testament it's definitely used that way okay so I hope that helps uh it's
[145] 20:07	not just a false friend but it would be a false friend in this particular case
[146] 20:13	because the context doesn't allow it but in other places in the New Testament it does allow it all right so I hope that
[147] 20:20	helps thank you very much for the question it's great question okay
[148] 20:28	next question here is here
[149] 20:36	to see 309 okay uh next one here was from
[150] 20:43	Boomer I'll take this one uh teaching in my church is focused
[151] 20:49	a lot on the New Testament a lot of churches are especially the gospels
[152] 20:56	yeah it's kind of what we would call how do we say this um practical
[153] 21:15	marianismo uh if I was a pastor in in a congregation I would switch between the
[154] 21:20	old and the New Testaments okay I would go my my preferred method
[155] 21:28	would be to to essentially take a book from the New Testament teach from that
[156] 21:34	and then switch to a book in the Old Testament teach them that back to the New Testament teach them that and back
[157] 21:40	and forth okay so I think it's important to get an equal balance of Old and New
[158] 21:46	Testament
[159] 21:51	so uh so that's how I go about teaching the Old Testament when I can now I
[160] 21:59	understand there's some um some church traditions where
[161] 22:04	it's pastors don't have the option to teach uh from the passages they see fit
[162] 22:11	I think that's unfortunate especially ones that are have a lurgical calendar there are some say Church
[163] 22:17	Traditions like Roman Catholicism uh every Church in Roman Catholicism teaches from the same passage on the
[164] 22:23	same day in in the lurgical calendar okay so those those pastors don't have
[165] 22:32	an option of what they can teach when they can teach it
[166] 22:38	okay so in in under those circumstances you have to get creative
[167] 22:45	about how you teach the Old Testament and often times what happens
[168] 22:50	in those cases is there's usually a a
[169] 22:55	second a second service that's done a pastor might do the Old Testament like
[170] 23:01	for example he might he might do say um the lurgical New Testament passage in
[171] 23:06	the morning on Sunday morning like a good priest does and does hold then
[172] 23:12	holds a Wednesday service where he's not under the under the uh commitment of a
[173] 23:18	lurgical calendar to then teach from the Old Testament so you can't get creative under those circumstances it's a bit
[174] 23:24	more work though so a lot of lot of pastors priests don't do it just because it is
[175] 23:31	so much more work but I I think I think that
[176] 23:38	is um I do think it is important to feed
[177] 23:45	your congregation both I mean obviously I mean I'm an Old Testament guy I think
[178] 23:50	Old Testament is important obviously it's the foundation for the New Testament everybody in the New Testament
[179] 23:57	understood the old test so you know
[180] 24:03	to to just teach the New Testament is a bit like showing up on Sunday morning
[181] 24:09	with just your shirt and no pants okay you're not fully clothed in God's
[182] 24:19	word so I I think it's very very important to teach both and teach both
[183] 24:26	in a balanced way
[184] 24:32	so anyway that's sort of my opinion on how to teach the Old Testament um that's how I go about doing
[185] 24:40	it even even in a church that say more liturgically oriented towards the New
[186] 24:47	Testament so anyway I hope that helps thank you very much for the Super Chat very much
[187] 24:53	appreciated take this one from Mobius and he says history with Kaye
[188] 24:59	saying that there were at one time 70 million mummies but most were ground up to make medicine and other
[189] 25:06	products um no yes and no that's a yes
[190] 25:12	and no okay
[191] 25:18	um there were 70 million mummies that were ground up to make make what's
[192] 25:23	called um uh various products like like
[193] 25:28	um mummy snuff which is disgusting I can't imagine anyone even doing that but um
[194] 25:35	but they did they made a art pigment out of it it makes kind of greenish
[195] 25:43	gray yeah kind of yeah it's kind of icky
[196] 25:49	um but at the same time too the Egyptians probably never produced 7
[197] 25:55	million 70 million human mummies okay that's the catch here these
[198] 26:04	aren't human mummies many of these mummies were other kinds of mummies like
[199] 26:10	cat mummies dog mummies crocodile
[200] 26:15	mummies bird mummies okay um so the vast majority of these
[201] 26:24	mummies were not human they were animal mummies that were used in this process
[202] 26:30	yeah 70 million is a lot he stack baboon mmy snuff yeah there
[203] 26:38	was probably some of that
[204] 26:44	too yeah if you factor in The Manimal mummies it makes a lot more sense okay
[205] 26:50	cuz there wasn't 70 million people in the history of Egypt so you know to to
[206] 26:59	say there was 70 million mummies that's a I mean mumification
[207] 27:04	was was a was a process that was done by the upper class okay so you're you're
[208] 27:14	inferring the by this that you had 70 million in the upper class at the time
[209] 27:19	when when mummification was in Vogue that's an that's more people than
[210] 27:25	that had lived through Egypt so so yeah you have to take into account
[211] 27:32	that most of those mummies were animal mummies they weren't human mummies and you had all of
[212] 27:40	these these carcasses like from oxy rinkus you know um like uh when they
[213] 27:48	when they unwrapped the um went to the garbage poet oxy rxes there was a lot of
[214] 27:55	crocodile mummies in there so what they did was they got the papyri off the off
[215] 28:01	the crocodiles but what did you do with what do you do with the crocodile
[216] 28:07	bodies they turned them into powder yeah what they did with
[217] 28:12	them yeah it's it's just I mean you have to dispose of them somehow anyway I mean they're not good as a
[218] 28:19	display mummy anymore although they're I mean how many how many how many mummified crocodiles do you really
[219] 28:26	need I mean you're going to are you going to put them all in your storehouses have have storehouses
[220] 28:32	storehouses and storehouses of unwrapped crocodile
[221] 28:47	cadavers yeah it just I like that hey stack SOC snuff
[222] 28:53	it's the good stuff I think we got the beginning of a marketing slow in
[223] 29:01	[Laughter] here soag stuff it's not it's the good
[224] 29:11	[Laughter] stuff yeah I mean nobody nobody needs
[225] 29:19	Nobody Needs bunch of unwrapped crocodile cadavers you know it's you
[226] 29:26	know um you know the Egyptian music museum has a few of them around but you
[227] 29:31	know even they have limits to how many they need or or want you know it's just there's limits
[228] 29:38	to these things and you know you you just you just don't
[229] 29:46	need a lot of them Warrior the most high just arrive
[230] 29:52	what's happening Toc snuff
[231] 29:58	it's the good
[232] 30:08	stuff Danny deid but what if I want a bunch of unwrapped crocodile
[233] 30:15	cavers well you can want them but you know you can't ship them out of the
[234] 30:20	country you know they're I mean you can't ship them out of the country because they are okay
[235] 30:26	first of all crocodiles are site SES protected okay
[236] 30:32	the paperwork to get a a mummified crocodile through a border crossing in
[237] 30:37	any modern country is just crazy I mean it's just crazy second of all it would violate uh
[238] 30:45	Egyptian Antiquity laws so you need a special license there um nobody nobody is going to go
[239] 30:52	through that that difficulty today if they unwrap a crocodile they just throw it away that's
[240] 30:59	really what they do with it now but back in the 19th century at least they found something productive to
[241] 31:06	do with it you know grind it up yeah turn it into pigments turn it into shoe
[242] 31:13	varnish turned it into
[243] 31:19	snuff so um yeah just it's it's it's kind of
[244] 31:27	it's kind of gross but but yeah most of those most of those 70 million mummies
[245] 31:33	are animal mummies they're not actually human mummies but it sure sounds sure sounds
[246] 31:41	bad when you start talking about the human mummies
[247] 31:47	okay uh let's get into the Super chats now that's the end of the nons super chats which was kind of good because
[248] 31:53	it's it's it went down a rabbit Trail didn't it
[249] 31:58	okay our first Super Chat here is from TBD for $10 thank you for the Super Chat
[250] 32:04	a guest preacher said that the Greek word for clothe in 1 Peter 55 is only is
[251] 32:10	used only once and refers to a slave's apron a quick internet search shows this
[252] 32:15	to be a common sermon topic but is it true let's let's look up the
[253] 32:24	passage okay first p
[254] 32:32	five verse five okay you younger men likewise be subject to your elders and
[255] 32:41	all of you clothe and that's the that's the key word here A
[256] 32:47	A aite yourself with humility towards one
[257] 32:53	another for God is opposed to the proud but gives grace to the humble okay
[258] 33:01	now is this a slave's apron no it's
[259] 33:07	not uh this is what's called an anachronistic fallacy okay it's basically taking something modern and
[260] 33:14	applying it to the Past okay the the
[261] 33:20	word here applies to Any Garment that is tied okay now we don't have many of
[262] 33:26	these today okay there's there's not a lot of these around
[263] 33:33	anymore some women's garments are still tied okay but very few men's garments
[264] 33:39	are see but back then Greeks wore a garment called a kiten or a keton which
[265] 33:48	is basically a tunic and it's a loose fitting tunic
[266] 33:53	that you tie around the waist so so just about everybody would
[267] 34:00	clothe themselves with this tide garment it's a very very common garment in the
[268] 34:06	ancient world but it's a garment that we no longer wear now some women wear something close
[269] 34:14	like a dress that has ties around the waist today but that's the closest thing
[270] 34:19	you'd have to this today it's not talking about a slave apron uh that's an
[271] 34:25	exegetical fallacy okay which again shows you shouldn't get your
[272] 34:30	your sermons off the internet just just not good man just don't do it
[273] 34:41	okay yeah there's a lot of bad sermons that float around um and and these sort
[274] 34:48	of eological fallacies are are very common in sermons
[275] 34:54	today uh one of the most common of these is the D uh
[276] 34:59	sermon where basically somebody will go oh damos it's
[277] 35:06	where we get the word Dynamite from so D I know it's your
[278] 35:12	[Laughter] favorite I got you through your 20s huh
[279] 35:19	so so the damos of the holy spirit is explosive power like dynamite
[280] 35:28	a lot of people love that sermon un fortunately it's it's it's it's an anachronistic
[281] 35:34	[Laughter]
[282] 35:39	fallacy it's it's terrible but these these anachronistic fallacies just keep going round and round because they're
[283] 35:45	usually very evocative they're ve I mean you can picture them in the in in the in your mind so we do have a tendency to to
[284] 35:54	Really gravitate they're very the they're very uh they conjure mental pictures that we really
[285] 36:02	resonate with but wow it's yeah it's
[286] 36:10	bad I would agree with en jonis con raf's uh uh comment
[287] 36:17	there uh get da Carson's book on exegetical fallacies to catch things like this absolutely that's a great book
[288] 36:23	it's it's I think it's one of his best books it's one of it's really one of his best
[289] 36:29	books so yeah uh this is an exegetical fallacy it's based upon a modern reading
[290] 36:37	of something that wasn't wasn't a thing this wasn't a thing back
[291] 36:44	then it's really again it's it's it's talking about a piece of clothing called a keton okay and you can look this up
[292] 36:51	it's c h t o n and you'll see lots of pictures of it on the internet
[293] 36:57	so anyway I hope that helped thank you very much for the Super Chat very much
[294] 37:05	appreciated okay next Super Chat here is from dbd for $5 thank you for the Super
[295] 37:12	Chat uh sponsoring uh Cha's question was Joseph really innocent in
[296] 37:20	Genesis 37 or was thear who got what he deserved well
[297] 37:29	it's an interesting question it's an interesting question because a lot of this is going
[298] 37:36	to depend upon your perspective okay
[299] 37:43	now it does seem to be that he was sent out to check on his
[300] 37:50	brothers okay because they were supposed to be pasturing the Sheep okay his brothers were supposed to be out there
[301] 37:56	pasturing the Sheep sheep not getting drunk
[302] 38:03	okay okay so so he was he was basically I mean they sent him out with lunch he
[303] 38:08	was he was supposed to check on his brothers and bring them lunch essentially and part of that is you know
[304] 38:17	seeing that they're doing what they're supposed to be doing so was he an arc yeah he was an
[305] 38:23	arc but he was supposed to be doing this
[306] 38:33	okay he was supposed to be checking up on his
[307] 38:39	brothers did he really have to tell Dad everything his brothers were
[308] 38:46	was doing that's a that's a probably
[309] 38:51	not he probably didn't have to be that thorough with his reports
[310] 39:00	okay but this is also something that marks him as a person too this was one
[311] 39:06	of his he didn't lie because it was
[312] 39:12	convenient he was very thorough in detail what made him such a good um
[313] 39:20	overseer okay he brought those qualities when he was made overseer of the House
[314] 39:26	of uh potier know what's one of the reasons why he got promoted so fast was his
[315] 39:33	attention to detail
[316] 39:39	so so that was part of his character that he was attention de to he was
[317] 39:45	attention F detail focused he was meticulous he was fastidious in his
[318] 39:51	work um he's kind of a harsh over overseer okay
[319] 39:58	he didn't he didn't he didn't he didn't run a a loose ship he
[320] 40:03	didn't run a loose ship so TBD yes still kind of a jerk though
[321] 40:10	yeah probably yeah I can I can see that yeah I don't think I would have
[322] 40:16	wanted to work for him but
[323] 40:22	hey but uh so I would say it was one of those
[324] 40:28	it's one of those situations where yes he was innocent it certainly
[325] 40:34	didn't deserve to be sold into slavery but he was
[326] 40:41	also sort of doing what he was supposed to do too
[327] 40:47	so no he didn't go out there just to spy on them but that was part of the job
[328] 40:59	so if he had been a little more politic um he put probably would have
[329] 41:04	let his brother slack but he wasn't so I don't
[330] 41:11	know it's a kind of a 5050 there a little bit of
[331] 41:17	both so anyway thank you very much for the Super Chat very much appreciate and I hope that
[332] 41:25	helped right thir Super Chat here uh is from TBD for $2 thank you for
[333] 41:31	the Super Chat what does First Chronicles 7:24 mean who is Shir
[334] 41:40	okay now in this particular case this is one of those historical figures we just
[335] 41:47	don't have a lot on we'll talk about about her anyway
[336] 42:00	okay and context here is going to be a little important so we're going to go back a
[337] 42:07	bit
[338] 42:13	here and how far okay go to the beginning of the verse 20 I'll go back to verse 20
[339] 42:22	here and the sons of Ephraim were shetha and bed son tath his son eliad his son
[340] 42:31	tath his son zabat his son chalula his son and ezar and eliad both men uh both
[341] 42:38	the men of gath who were born in the land killed because they came down to take
[342] 42:44	their livestock okay so there was a there was a
[343] 42:49	massacre of the ephraimites by the menag gath okay verse 22 and their father
[344] 42:56	Ephraim mourned many days and his relatives came forth to comfort him then he went to his wife and she
[345] 43:02	conceived and bore a son he named him bariah because Misfortune had come upon
[346] 43:08	his house and his daughter was shirra who built lower and upper B Heron also usen
[347] 43:17	Shira okay so here's what's going
[348] 43:24	on God has basically told the Israelites to to occupy the land and that he would
[349] 43:29	bless them in the land the ephraimites Occupy their
[350] 43:35	territory but they get massacred by the gites so that's what's going on that's
[351] 43:40	the context here so what happens then is the namesake of the basically the tribal
[352] 43:48	the clan Chief tribe chief of Ephraim you know he
[353] 43:53	has two children he has two children a is barah you know who's named that way
[354] 43:59	because of Misfortune uh comes from the word uh in ra be RA in
[355] 44:08	evil U because misfortunate had come on the house of Ephraim and this daughter Shira who ends
[356] 44:16	up building three cities lower bearon upper bearon and
[357] 44:23	usen Shir so he loses a bunch of
[358] 44:29	sons but gains a bunch of cities so that's the posterity here so
[359] 44:37	what Chronicles is doing here is showing you the posterity of the tribe in this particular section the posterity of the
[360] 44:43	tribe of Ephraim so so Ephraim goes through it
[361] 44:49	its normal genealogy and then there's a massacre but God is still faithful in
[362] 44:55	giving them so much more than just say you know these soing Sons now he's got
[363] 45:01	cities you know the gites kill a son and a city Springs up in its place
[364] 45:11	okay so so that's the significance here okay that's the significance here is that
[365] 45:19	that God is still showing his goodness and that he is blessing the posterity
[366] 45:25	here of Ephraim so well we don't know exactly how uh a
[367] 45:33	warrior the most high asks how did shiram manage to build three cities we don't know we don't know but apparently
[368] 45:40	she was very resourceful so you know we don't know
[369] 45:47	how she did it the text doesn't say all we're told is she does now we don't have again a lot of historical details here
[370] 45:54	so but we we can only go by what the purpose of the text is and the purpose
[371] 45:59	of the text is to show hey you know you lost some Suns you get cities
[372] 46:04	instead so that's really what's sort of driving at here but the means and the methods
[373] 46:12	we're not told any of that okay so I hope that helped thank
[374] 46:17	you very much for the Super Chat very much
[375] 46:25	appreciated getting next Super Chat here is from Mo Mobius for $10 thank you for the Super Chat and he writes what do you
[376] 46:33	think about thinkl steam's claim that at least half of the 400 cities conquered
[377] 46:40	by Joshua did not exist at the time of the conquest all right now I think
[378] 46:46	there's two things to keep in mind as we um talk about
[379] 46:52	here thinkin's claims about the conquest in Exodus okay now first of
[380] 46:59	all when he talks does his stuff Against The Exodus he's almost invariably
[381] 47:06	talking about the early Exodus date okay uh we see this in almost all his
[382] 47:13	Publications where he sort of rails Against The Exodus is it's all it's all against the early Exodus date stuff so
[383] 47:20	you're talking there about late bronze one at Best so so it's possible that a
[384] 47:29	good portion of those cities didn't exist in late bronze 1
[385] 47:37	so uh late Bron one was not a great period anyway for
[386] 47:43	expansion uh we do see during the late bronze one the rise of the city state as
[387] 47:48	opposed to these little hamlets uh so you're not going to get a
[388] 47:55	lot of a lot of little agricultural villages in L bronze one L Bron 2
[389] 48:00	however you do you do start seeing that but you start seeing a lot of them in
[390] 48:06	late bronze 2 so um I think one of the things you have
[391] 48:13	to keep in mind is that most of his claims are going to be based upon a certain understanding of of The Exodus
[392] 48:20	and the time frame that he places the conquest in so as long as you understand
[393] 48:26	that you know you can probably agree with him at least that half of those cities probably didn't exist again
[394] 48:33	you're talking about um just the uh just
[395] 48:40	the um just sort of the the the the millu of the time you know that amarna
[396] 48:45	period uh you know that late bronze one that's amarna one that's the Marna period and you know things are just not
[397] 48:52	great in the Levant during the Amara period it's a it's a time of declining
[398] 48:57	populations so you know you're not going to get a lot of agricultural Villages
[399] 49:06	so uh Gabe rean asks does finklestein use the early Exodus date in good faith
[400] 49:14	what do you mean by good faith okay when he does his criticisms of of the of the
[401] 49:20	Exodus it's us it's almost always in reference to the early Exodus it's it's it's almost never in reference to the
[402] 49:26	late Exodus um but he doesn't support the late Exodus either I mean he doesn't believe in the eight but he doesn't
[403] 49:32	actually engage it so it's it's a bit strange it's a bit strange his view of of say his critiques
[404] 49:41	of The Exodus again his his early Exodus date critiques are I have a hard time
[405] 49:47	disagreeing with them honestly because you know he does point out some real
[406] 49:53	shortcomings of the early Exodus date at the same time too he he even though
[407] 49:59	he doesn't believe in an exodus he doesn't touch the late Exodus date not really his almost none of his
[408] 50:06	his his criticisms are are are against the late exit dates so
[409] 50:13	it's kind of like okay it just isn't it's a it's sort of a
[410] 50:20	nonstarter and Gabe adds here does he use it because it helps his point or
[411] 50:26	because he thinks it's what his opponents believe well that's a great question and we don't really
[412] 50:32	know I mean obviously he uses it because it helps his point but I think most of here the
[413] 50:40	people he engages have that view
[414] 50:46	um I I think a lot of it too would be if he had to engage a late Exodus uh
[415] 50:54	proponent he might not do so well either so you know it's one of those things
[416] 51:00	it's um ancient history gamer ads it's harder for him to disprove the late
[417] 51:05	Exodus date oh yeah much the early Exodus date is a lot easier to disprove
[418] 51:10	that's why he goes after that instead yeah that's probably it that's probably it right
[419] 51:24	there Mobius ads I could use his phraseology in on his books fictive
[420] 51:29	literary composition yeah um one I thought thinkingin leader
[421] 51:36	changed his mind on the Exodus no he didn't no um in fact if anything finlin
[422] 51:41	has doubled down on it uh dver changed his mind diver's changed his mind but
[423] 51:47	finlin hasn't yeah I was really surprised when when when when dver did I couldn't
[424] 51:53	believe it still don't believe it to be honest person he told me personally but it's
[425] 52:00	like well um yeah [Laughter]
[426] 52:10	okay you know who are you and what have you done with the real dver Bill
[427] 52:16	dver where have you hit him what have you done with the real bu
[428] 52:21	e
[429] 52:28	okay so anyway I hope mobus I hope that helps uh thank you very much for the
[430] 52:33	Super Chat very much appreciate but yeah yeah whenever whenever uh fingle scene
[431] 52:38	talks about about the Exodus is almost always the early
[432] 52:44	date one here hey Addison good to see you here
[433] 52:54	tonight uh okay I see it I see it there
[434] 53:03	yeah he doesn't want to pay 50 bucks for a long Super Chat that's what it
[435] 53:11	is okay uh 18 Ministries for 199 thank you for the Super Chat is Aon the god or
[436] 53:17	the name for the afterlife it's the name of a God okay uh the Aon is the solar
[437] 53:23	disc and the Egyptians believe this was a god okay uh the name for the afterlife
[438] 53:29	is the datat sometimes called the uat okay so
[439] 53:35	uh it's important not to confuse the two the duat is the afterlife uh I don't
[440] 53:40	know what I mean I think I know where you got that from um which is uh Assassin's Creed Origins
[441] 53:49	when we okay want to thank you again for for for for sponsoring that whole
[442] 53:54	Assassin's Creed origin play through uh life play that was really fun really enjoyed it um it was a
[443] 54:02	blast but um uh for some reason they they talk about the afterlife as the
[444] 54:08	auton which is really strange it's not it's because the afterlife is not the atin in the Egyptian underworld it's
[445] 54:15	it's the datat U again sometimes called the omdat but uh but yeah it's the Aon is
[446] 54:24	the name of the sundisk it's the name of the sundisk and it was considered to be a God okay so it is the name of the god
[447] 54:31	so it's the former not the latter so I hope that helps thank you very much uh
[448] 54:36	for the Super Chat very much appreciated 18 Ministries for 499 thank
[449] 54:43	you for the Super Chat same question about a Abraham and Sarah quoting law to each other but now you have more time
[450] 54:48	for and with this week this week has been a disaster as I said everything's been blowing up on me I've had to get
[451] 54:55	that paper done and dealing with destroyed software and
[452] 55:00	Hardware it was just this was not a good week and a destroyed air conditioner
[453] 55:06	yeah just really not it was just this this week has been a mess it's been an absolute mess so here's what we're going
[454] 55:13	to do I have copied this Super Chat to next week and we will take it next week
[455] 55:20	without you having to pay again for it okay CU um I just could not get to it this week because of because of of
[456] 55:28	gunshots going off in my uh apartment blowing up I should say blowing up capacitors going off in my
[457] 55:36	apartment all right uh next one here is from at
[458] 55:44	Ministries for 199 thank you for the Super Chat why the pro prohibition on
[459] 55:49	shellfish camels Hair Etc okay excellent question uh the whole a lot of the
[460] 55:57	ceremonial law was to create an antithetical mindset okay now what do we
[461] 56:04	mean by that what we mean by that is it was meant
[462] 56:09	to shape the world view of the Israelites so they were thinking in
[463] 56:15	terms of clean and unclean normal which is really uh their way of saying normal
