[0] 0:47	Heat. Heat. N.
[332] 20:55	4:19. Exodus 4:19.
[333] 21:00	Chapter 4, verse 19.
[334] 21:04	Now,
[335] 21:06	here's what it reads,
[336] 21:08	and this is the final step in the
[337] 21:09	argumentation to get to that that idea
[338] 21:12	that the Pharaoh of the Exodus had to
[339] 21:14	have reigned 40 years or more.
[340] 21:17	And I quote here, quote, "Now the Lord
[341] 21:20	said to Moses in Midian, go back to the
[342] 21:23	Egypt, for the one who was seeking your
[343] 21:26	life is dead."
[344] 21:30	Now see, the one that was seeking your
[345] 21:33	life is dead. Therefore, that one had to
[346] 21:37	have been Pharaoh. So the Exodus Pharaoh
[347] 21:40	had to have reigned 40 years or more.
[348] 21:45	Now, did you see what I did there? Okay,
[349] 21:51	what I did was I misqued verse 19 and I
[350] 21:55	did that intentionally
[351] 21:57	because that is part of the argument.
[352] 22:02	Okay, so how do we know that they
[353] 22:05	misquote that intentionally? Well, we
[354] 22:07	got them on tape doing it. Okay, and
[355] 22:10	here it is.
[356] 22:12	The one before the Exodus is what Meito
[357] 22:14	just said. Tutmos III. Tutmos III had to
[358] 22:19	have a long reign longer than 40 years.
[359] 22:22	Why? Because he wanted Moses dead. Moses
[360] 22:26	went away for 40 years. And then when
[361] 22:30	God said, "The one that wanted you dead
[362] 22:33	has died. You can return to the land."
[363] 22:37	That Pharaoh has to have a reign longer
[364] 22:39	than 40 years. The only one in the 18th
[365] 22:42	dynasty in this era in this period that
[366] 22:44	has a reign that long is Tutmos III.
[367] 22:50	Okay.
[368] 22:52	Oh, was there an echo there? Um, let me
[369] 22:55	see if I can do that. Play that again
[370] 22:57	without the echo here. Just
[371] 23:05	off. All right.
[372] 23:12	The one before the Exodus is what Meito
[373] 23:14	just said. Tutmos III. Tutmos III had to
[374] 23:19	have a long reign longer than 40 years.
[375] 23:22	Why? Because he wanted Moses dead, Moses
[376] 23:26	went away for 40 years. And then when
[377] 23:30	God said, "The one that wanted you dead
[378] 23:33	has died. You can return to the land."
[379] 23:37	That pharaoh has to have a reign longer
[380] 23:39	than 40 years. The only one in the 18th
[381] 23:42	dynasty in this era in this period that
[382] 23:44	has a reign that long is Tutmos III.
[383] 23:49	Okay, now he sounds less epic. All
[384] 23:51	right, so that's the proof that we have
[385] 23:55	that they misquote this. Okay? Cuz the
[386] 23:58	text actually says, "Go back to Egypt
[387] 24:02	for all the men who are seeking your
[388] 24:06	life are dead." Now, in the Hebrew here,
[389] 24:08	ha anashim, um, you know, is
[390] 24:13	or sim,
[391] 24:16	let me just get that right here.
[392] 24:19	Um
[393] 24:23	here.
[394] 24:27	Yeah, it is an uh haim.
[395] 24:31	All the men
[396] 24:34	plural.
[397] 24:36	Okay. This is the plural of man.
[398] 24:39	This is why every every translation KJV
[399] 24:44	um
[400] 24:46	uh
[401] 24:47	ESV, you name it,
[402] 24:50	translates this in the plural.
[403] 24:53	>> Uh you even see this in the Septuagent
[404] 24:55	and the Samaritan Penetuk. Okay, all the
[405] 24:58	men plural of man. So there's multiple
[406] 25:02	men who are seeking the life of of
[407] 25:06	Moses. Okay. So, because that's the
[408] 25:09	case,
[409] 25:11	there's more than one man involved.
[410] 25:14	Pharaoh is not the only man here.
[411] 25:17	So, the text doesn't say Pharaoh was the
[412] 25:21	last man standing. You know, this could
[413] 25:24	have been a powerful cordier. It could
[414] 25:26	have been a general. It could have been
[415] 25:28	a scribe. It could have been the brother
[416] 25:30	of the deceased. It could have been any
[417] 25:32	number of people involved. All of those
[418] 25:35	men had to die prior to Moses being able
[419] 25:39	to return and not being apprehended for
[420] 25:42	and prosecuted for for the murder. Okay?
[421] 25:45	Because that's how Egyptian justice
[422] 25:48	worked. You had to somebody had to be
[423] 25:50	alive to plead for the dead man for
[424] 25:53	justice.
[425] 25:56	So this is the problem with this
[426] 25:59	argument
[427] 26:00	is it relies on a misquotation of
[428] 26:03	scripture
[429] 26:05	to make its case and as such there's no
[430] 26:08	requirement in the Bible for the
[431] 26:11	predecessor of the Exodus Pharaoh to
[432] 26:13	have reigned 40 years just none. It's
[433] 26:16	based on a bad train of logic and it's
[434] 26:19	based upon a a misquotation of
[435] 26:22	scripture. And if you misquote the
[436] 26:25	scripture, you're not handling it with
[437] 26:26	precision or with fidelity.
[438] 26:30	So, I hope that helps. Thank you very
[439] 26:32	much for the super chat. Very, very much
[440] 26:35	appreciated.
[441] 26:44	All the men, meaning it was not just the
[442] 26:46	pharaoh. Yeah, exactly. That's that's
[443] 26:48	exactly what it means.
[444] 26:51	>> It means
[445] 26:54	It means Moses torqued off a lot of
[446] 26:56	people. Yeah.
[447] 26:58	Mama says, "Sigh. I hate when people
[448] 27:00	misquote scripture, especially
[449] 27:01	teachers." Yeah, I do too. It's a bad
[450] 27:04	look. It's a really bad look for
[451] 27:07	teachers to misquote scripture.
[452] 27:15	Okay.
[453] 27:20	The next one here.
[454] 27:22	Next uh super chat here is 501 Mobius
[455] 27:26	for $10. Thank you for the super chat.
[456] 27:28	He says, "Who do you think were the
[457] 27:30	Philistines of Abraham and Isaac's time
[458] 27:33	as they were identified by unique as
[459] 27:35	they were weren't identified by unique
[460] 27:37	ceramics? Could they be PaleoHixos?" Um
[461] 27:39	I don't think they're Paleo Hixos. I
[462] 27:42	think they were Canaanites living on the
[463] 27:44	coastal plane. That's what I think they
[464] 27:45	were. And I think the the reference uh
[465] 27:49	when it comes to Abraham and Isaac's
[466] 27:51	time is a retrojection. It's a way of
[467] 27:54	letting it's a way of letting the
[468] 27:56	Israelites who are reading the Penetuk
[469] 27:58	know that these were Canaanites living
[470] 28:02	on the coastal plane that they weren't
[471] 28:04	Philistines per se, but they wouldn't
[472] 28:07	know they would know these people by
[473] 28:08	their geographic locations, not
[474] 28:11	necessarily by their ethnicities.
[475] 28:15	So,
[476] 28:17	So that's what I think this is. I think
[477] 28:18	this is a retrojection to let basically
[478] 28:22	the Israelites at the time when this was
[479] 28:24	being written know exactly which people
[480] 28:26	groups are being talked about by their
[481] 28:28	locations. Okay. So uh I don't think
[482] 28:32	they're they're Paleois Hixos cuz those
[483] 28:35	those would have been Amorites and we
[484] 28:37	don't think I don't think the Amorites
[485] 28:39	made it to the coastal plane. I think
[486] 28:40	these are clearly Canaanites.
[487] 28:43	So I hope that helps. Thank you for the
[488] 28:45	super chat. Very much appreciated.
[489] 29:00	Okay, next one here is from uh Levi for
[490] 29:04	10 year old. Thank you for the super
[491] 29:05	chat. He goes, "Hi, Dr. Faulk. Do you
[492] 29:08	have any thoughts on the borders given
[493] 29:10	in Genesis 15:18
[494] 29:12	seem so disproportionately large to
[495] 29:15	later reality? Okay,
[496] 29:18	let's go to Genesis here
[497] 29:22	15
[498] 29:24	verse 18.
[499] 29:26	Okay.
[500] 29:29	On that day the Lord made a covenant
[501] 29:30	with Abram saying to your descendants I
[502] 29:33	have given this land from the river
[503] 29:35	Euphrates as far as the great river the
[504] 29:37	river river sorry from the river of
[505] 29:40	Egypt as far as the great river the
[506] 29:42	river Euphrates. Okay.
[507] 29:45	Now uh we kind of understand have to
[508] 29:48	understand a couple things here. Uh
[509] 29:49	first thing is this is to the
[510] 29:51	descendants of Abraham
[511] 29:54	not the Israelites.
[512] 29:56	Okay, the descendants of Abraham not
[513] 29:59	only include the Israelites, but
[514] 30:03	includes other groups too, like the
[515] 30:04	Moabites, the uh the
[516] 30:07	IshRaelites, there's a lot of groups,
[517] 30:09	the Kennites, there's a lot of sort of
[518] 30:12	little
[519] 30:14	other nations involved here. So,
[520] 30:18	so there's there's more than just say
[521] 30:21	Israel involved in this.
[522] 30:24	So when it talks about the great river,
[523] 30:26	the Euphrates, that's going to cut
[524] 30:28	halfway through Syria.
[525] 30:30	So some of those people are going like
[526] 30:33	like the Ishelites when they get kicked
[527] 30:35	out of of um modern Arabian Peninsula,
[528] 30:39	they move up north. They move northward
[529] 30:43	into Edom, Moab, and up into Aram. Okay,
[530] 30:48	so that kind of is on that that end. Now
[531] 30:52	the on the other hand to the uh to the
[532] 30:54	river of Egypt to the Nile uh they don't
[533] 30:57	quite make it quite that far but there
[534] 30:59	are groups of the descendants of Abraham
[535] 31:01	that are Beduin and they are going to be
[536] 31:05	they are wandering the Sinai.
[537] 31:08	So the his descendants do cover much of
[538] 31:12	that swath that's been say um
[539] 31:17	lined out there, but it's not the
[540] 31:19	Israelites, it's Abraham's descendants,
[541] 31:22	which includes a lot of other
[542] 31:24	territories as well.
[543] 31:30	Uh Ryan Coamp asks, "Did didn't
[544] 31:32	Solomon's kingdom all extend to almost
[545] 31:35	or most of this territory?" Uh it made
[546] 31:37	it up to the to the golden heights and a
[547] 31:40	little bit into Syria, but it didn't
[548] 31:42	quite stretch that far to the Euphrates.
[549] 31:45	Um he might have had hegemonic control
[550] 31:47	of it, but he didn't actually go up that
[551] 31:49	far.
[552] 31:50	Now to the south,
[553] 31:53	he doesn't seem to go beyond Gaza. Uh
[554] 31:56	that just Gaza is never really under
[555] 31:59	Solomon's control. Neither is most the
[556] 32:02	coastal plane. So they never quite
[557] 32:04	control the coastal plane.
[558] 32:07	As far as going south, they they uh
[559] 32:09	Solomon's territory goes as far as Elot,
[560] 32:13	which is on the Gulf of Aoba.
[561] 32:17	So Solomon's territory is quite large
[562] 32:20	comparative to the Devidic kingdom, but
[563] 32:23	even it has its limits there.
[564] 32:30	Ganov goes, "It was more of a vassal
[565] 32:32	state." Yeah. Yeah. the Arabians were
[566] 32:33	more of a vassal state um to the
[567] 32:36	Solomonic Empire or Solomonic Kingdom.
[568] 32:39	Okay. So,
[569] 32:42	so that's where I that's that's sort of
[570] 32:44	where I think that again this this
[571] 32:47	question is is regarding the descendants
[572] 32:50	of Abraham, not just um Israel. So
[573] 32:54	because we are
[574] 32:56	doing that uh including those other
[575] 32:59	kingdoms that were descendants of
[576] 33:01	Abraham, you know, that expands the
[577] 33:04	territory quite a bit. Okay, so I hope
[578] 33:06	that helps. Thank you for that super
[579] 33:08	chat. Really appreciate it.
[580] 33:17	Uh Dark Blade asks, "Thoughts on the
[581] 33:19	Kalashima language tablet?" Uh I haven't
[582] 33:22	really looked into it too much. Uh from
[583] 33:24	what I understand it is um
[584] 33:29	it's a dialect of Hittite
[585] 33:32	uh particularly uh Luvian. Okay. Um and
[586] 33:37	it begins with the phrase this is the
[587] 33:39	Kalashma language.
[588] 33:42	So that sort of helps. Okay. But that's
[589] 33:45	about all I know about it. It seems to
[590] 33:47	be a dialect of Luvian. Um but it's
[591] 33:51	Luvian and not the hieroglyphic form of
[592] 33:54	Luvian. So the spoken language
[593] 33:58	uh the phmic language appears to be uh
[594] 34:01	Luvian
[595] 34:03	uh which is which is a dialect of
[596] 34:05	Hittite and the uh written language is
[597] 34:08	in Kao form. The orthography is in Kao
[598] 34:10	form. So that's what I know about it. I
[599] 34:12	hope that helps. Thank you for the
[600] 34:14	question.
[601] 34:16	Uh, James Murray Walsh asked, "What are
[602] 34:18	your thoughts on the Philistine
[603] 34:19	language?" I know nothing about the
[604] 34:20	Philistine language.
[605] 34:22	I'll be I'll be straight up about that.
[606] 34:24	I haven't looked into it.
[607] 34:30	So, I know um so I know practically
[608] 34:33	nothing about the Philistine language.
[609] 34:34	Um I don't know what inscriptions have
[610] 34:36	have been found from the Philistines, if
[611] 34:37	any. So, I'd have to I'd have to go dig
[612] 34:41	deeper on that one before I have any
[613] 34:43	sort of opinion on that.
[614] 34:48	But interesting question. Yeah, worth
[615] 34:50	looking into.
[616] 34:52	Uh, next one from CPN versus Doss for
[617] 34:54	$10. Thank you for the super chat.
[618] 34:55	Thanks for the awesome wine suggestion
[619] 34:58	last week.
[620] 35:00	Well, I'm so glad it helped.
[621] 35:04	We are foodies on this channel. We're a
[622] 35:06	lot of other things, too, but we're also
[623] 35:08	foodies.
[624] 35:11	and and what's better than a fine wine
[625] 35:13	being paired with uh whatever you're
[626] 35:15	eating. So, we're glad the suggestion
[627] 35:18	helped. Thank you so much for that
[628] 35:19	generous super chat. We appreciate it.
[629] 35:23	Okay.
[630] 35:35	Uh Lewis Sanville asks, "Is it
[631] 35:37	permissible for us to eat all foods such
[632] 35:39	as pork, shrimp as Christians?" Yes.
[633] 35:41	Yes, it is. Um
[634] 35:46	the dietary laws are essentially uh part
[635] 35:50	of the ritual law. Okay. Christ
[636] 35:54	fulfilled the ritual law which means we
[637] 35:56	don't have to keep the ritual law
[638] 35:59	because the food the the kosher the the
[639] 36:02	the kosher laws are part of that ritual
[640] 36:05	law. It's all fulfilled. We don't have
[641] 36:08	to keep that anymore. And it's just
[642] 36:13	uh it's just something that's not
[643] 36:15	applicable to us anymore because that
[644] 36:16	has been fulfilled. The ritual law has
[645] 36:20	been fulfilled through Christ.
[646] 36:22	So,
[647] 36:29	okay, next one here.
[648] 37:00	CPM versus US. Yes, that wine was
[649] 37:02	perfect for Ultima. Laugh out loud.
[650] 37:04	Awesome.
[651] 37:07	Awesome.
[652] 37:14	Jack Ray, I guess no recommendations for
[653] 37:16	the cheapest boxed wine. You know, I
[654] 37:19	have actually had some good boxed wine.
[655] 37:22	Uh, not in this country.
[656] 37:25	Uh, remember when we went to Amsterdam
[657] 37:28	and we bought that cheap boxed red wine?
[658] 37:34	It was in a box and cuz we had to go get
[659] 37:36	bunny greens, okay? because we were
[660] 37:39	staying in a hotel and we went to um uh
[661] 37:43	Amsterdam grocery store and we found
[662] 37:45	boxed wine that was like €1. Was€1. It's
[663] 37:49	like okay I I had to try what one box
[664] 37:54	wine tastes like.
[665] 37:57	It was actually pretty good. I was
[666] 37:58	surprised.
[667] 38:00	I was actually surprised how good it
[668] 38:03	was. So it can be okay.
[669] 38:08	So
[670] 38:13	okay.
[671] 38:17	Uh good times. Good times.
[672] 38:22	Okay. Uh Gandalf the base for $20. Thank
[673] 38:24	you for the super chat. Thoughts on guys
[674] 38:26	like Graeme Hancock and Mark Armmitage?
[675] 38:29	You really want me to to say my real
[676] 38:32	thoughts on this?
[677] 38:34	I have had a few people who think big
[678] 38:37	archaeology is keeping them from looking
[679] 38:39	at dino bones.
[680] 38:42	Big archaeology, huh?
[681] 38:50	Um,
[682] 38:53	>> I don't think there is such a thing as
[683] 38:56	big archaeology.
[684] 38:58	So, um,
[685] 39:02	and and even if there was, what does it
[686] 39:03	have to do with dino bones? Dino bones
[687] 39:06	are paleontology. That's not even
[688] 39:08	archaeology. That's a different field.
[689] 39:13	I mean, this is just so stupid.
[690] 39:17	Um,
[691] 39:24	uh, Gandalf base. Last I checked, most
[692] 39:26	archaeologists are barely making rent.
[693] 39:28	That's true. Yeah. A lot of them have to
