[0] 0:00	Heat. Heat.
[191] 14:53	makers, various coffee presses. That's a
[192] 14:55	new one for me. So,
[193] 14:58	um I've I've never seen that kind of
[194] 15:00	coffee pot before. So, we're going to
[195] 15:02	give it a go. See how it works.
[196] 15:06	Okay. So, I think that covers our
[197] 15:09	channel business here.
[198] 15:11	Let's It's called a mocha.
[199] 15:15	Uh,
[200] 15:18	okay. Well, it's the the entire box is
[201] 15:21	in French.
[202] 15:24	The entire box is in French. So, uh, I'm
[203] 15:27	not going to even try to pronounce that.
[204] 15:36	Coffee pot. Coffee pot. Yeah.
[205] 15:43	Uh, Slammer asks, "Will that coffee work
[206] 15:46	on electric stoves?"
[207] 15:49	Uh,
[208] 15:50	will work on mine because my electric
[209] 15:54	stove has a heating element. So, it'll
[210] 15:57	work on my It'll work on my stove. Um, I
[211] 15:59	don't know if it'll work with an
[212] 16:01	induction stove. So, um,
[213] 16:07	so, um,
[214] 16:09	Mama says, "But as an Egyptologist, you
[215] 16:12	should know French." Yeah, as a
[216] 16:14	Canadian, I should know French, too. Um,
[217] 16:16	I can read some French. Um, my my French
[218] 16:20	literacy is not the best, but it's good
[219] 16:22	enough. It gets by.
[220] 16:26	Yeah. Yeah, it gets by, but French
[221] 16:29	people tell me, "Don't don't speak it.
[222] 16:31	My pronunciation is really awful.
[223] 16:39	All right, so let's get into the channel
[224] 16:42	rules and then get into the questions.
[225] 16:44	All right. Uh so that that covers all
[226] 16:46	our bis our channel business for the
[227] 16:48	week hopefully.
[228] 16:52	So uh first thing uh super chats have
[229] 16:55	priority. Everyone should know that if
[230] 16:56	you've been on YouTube any length of
[231] 16:58	time. Second, uh, nons super chat
[232] 17:01	questions. Uh, if you post one, you have
[233] 17:04	to begin with a Q and a colon, otherwise
[234] 17:05	we don't see it. Uh, only post any
[235] 17:08	non-sup chat question once. Uh, we had a
[236] 17:11	double offender tonight actually who did
[237] 17:14	this, who posted the same question twice
[238] 17:16	and got that disqualified.
[239] 17:19	Uh,
[240] 17:21	if it's a something from the Bible, we
[241] 17:22	do need some context. So, we need the
[242] 17:25	what what book it's from, what chapter
[243] 17:26	and verse because we don't want to go
[244] 17:28	hunting for it.
[245] 17:31	Uh, we do allow uh people to sponsor
[246] 17:33	non-super chats and that's great, but
[247] 17:36	copy the question into your super chat.
[248] 17:39	So, again, we don't have to hunt for it.
[249] 17:41	And then finally, one question per chat,
[250] 17:44	otherwise um you know, it gets into an
[251] 17:47	unfair situation of question stacking
[252] 17:49	and we'll only take one of the questions
[253] 17:51	at that point. So,
[254] 17:54	uh, the other thing is you you guys need
[255] 17:56	to know is I had almost no sleep last
[256] 17:58	night. Okay.
[257] 18:00	Um, I had a squirrel outside decide to
[258] 18:03	throw pine cones at my window while I
[259] 18:06	was sleeping. So, I got no sleep last
[260] 18:10	night. So, I'm kind of bouncing off the
[261] 18:12	walls here.
[262] 18:14	So,
[263] 18:16	um,
[264] 18:18	so yeah, uh, that's just,
[265] 18:26	yeah, we have a we have a big fur tree
[266] 18:29	right beside our window. And the
[267] 18:31	squirrel just was pitching pine cones
[268] 18:34	at, seeing if it could make a bigger
[269] 18:36	sound with each other, which each
[270] 18:38	succeeding pine cone
[271] 18:45	Uh, John says, "The squirrel probably
[272] 18:47	wanted to tell you something important."
[273] 18:48	Yeah, feed him nuts.
[274] 18:52	He's been watching us eat nuts inside.
[275] 18:55	He's not happy about us not sharing.
[276] 19:01	All right.
[277] 19:06	So, we'll take uh start taking some
[278] 19:07	non-s super chats here. And the first
[279] 19:09	one here is going to be way up.
[280] 19:12	Uh, where do I see here?
[281] 19:16	Dark Blade asks, "Do Sudin hieroglyphs
[282] 19:19	exist?" The answer to that is yes, they
[283] 19:22	do exist. Um, they're copied from
[284] 19:24	Egyptian hieroglyphs. However, we're not
[285] 19:27	exactly sure what the language is. Um
[286] 19:31	these are um these hieroglyphs can be
[287] 19:35	found uh from the second to the fourth
[288] 19:39	cataracts.
[289] 19:40	Uh so they they are inside of Sudan
[290] 19:45	and what would be in the past called
[291] 19:47	Nubia um which is Sudan.
[292] 19:52	So, they basically rip off Egyptian
[293] 19:55	hieroglyphs and use it for their own
[294] 19:56	writing system, but we don't know how to
[295] 19:59	translate it yet. We don't have a We've
[296] 20:02	got some idea of some of them, but uh
[297] 20:06	we're in the same sort of position as
[298] 20:10	um
[299] 20:12	um
[300] 20:14	you know, basically Egyptologists were
[301] 20:16	before Champolon. though we got some
[302] 20:20	guesses as to what the Sudin
[303] 20:23	hieroglyphs say. I mean, they look
[304] 20:26	exactly like Egyptian hieroglyphs. They
[305] 20:28	just don't read like Egyptian
[306] 20:29	hieroglyphs,
[307] 20:31	but um we're we're we're guessing with
[308] 20:34	those. So, yeah, they do exist. They
[309] 20:37	were basically a copied from the
[310] 20:39	Egyptian hieroglyphs. We don't know the
[311] 20:41	underlying language, so it's really hard
[312] 20:44	to to figure out what those mean. So, I
[313] 20:46	hope that helped. Thank you for the
[314] 20:48	super chat or the the question. Very
[315] 20:50	much appreciated.
[316] 20:53	Uh Mama says, "Do you have an Amazon
[317] 20:55	wish list for those who simply want to
[318] 20:57	get you two lovely fun gifts?" Uh we
[319] 21:00	don't because it's hard to to to put to
[320] 21:03	put one together.
[321] 21:06	Um Mrs. Producer says she'll put one
[322] 21:08	together. Basically, um common sense
[323] 21:11	stuff. Uh, you know, we're we're we're
[324] 21:15	on a ketogenic diet, so anything
[325] 21:17	ketogenic is really appreciated cuz that
[326] 21:20	tends to get really, you know,
[327] 21:22	>> and it's amazon.ca.
[328] 21:24	>> Yeah, it's amazon.ca. We recommend that
[329] 21:26	people always order things through
[330] 21:29	Amazon.ca,
[331] 21:31	the Canadian version of Amazon, which
[332] 21:34	you can do from the US.
[333] 21:37	Okay. So,
[334] 21:40	um, that way you it avoids all the
[335] 21:43	border problems and tariffs and all that
[336] 21:46	that stuff. So,
[337] 21:50	CBM versus DOSS says, "So, I can't order
[338] 21:53	you a whole roll of cheese is what
[339] 21:55	you're saying." Well, you can if you do
[340] 21:57	it off of Amazon.ca. They have cheese.
[341] 22:03	>> Cheese would be great.
[342] 22:04	>> Yeah, cheese would be great. Hey, we got
[343] 22:07	a cheese cave.
[344] 22:09	We have no problems storing a lot of
[345] 22:11	cheese.
[346] 22:17	Oh boy.
[347] 22:19	But yeah, Amazon.ca. That's the Canadian
[348] 22:22	Amazon. I live in Canada. So,
[349] 22:26	cheese and sausage. Yeah, that works
[350] 22:28	fine. That works great. Yeah, cheese and
[351] 22:29	sausage works great. uh again because we
[352] 22:32	can actually we can actually store that
[353] 22:36	and if you again if you order through
[354] 22:38	Canadian Amazon uh it it arrives to us
[355] 22:42	within a couple days it's um
[356] 22:46	um the our our address our PO box is is
[357] 22:50	on the Discord server and we will post
[358] 22:53	that again um on the Discord server
[359] 22:56	after we uh shut down the live stream
[360] 22:58	tonight. So
[361] 23:07	mama says I must curry favor with the
[362] 23:09	alpha.
[363] 23:25	Uh bakeel chocolate chips. I don't know
[364] 23:28	how keto those are. Um, I know Lily is,
[365] 23:32	but I I've never I've never used the
[366] 23:34	Makebelie brand.
[367] 23:38	CPM versus Dust in your own book.
[368] 23:43	>> Hey,
[369] 23:46	we
[370] 23:48	those those are actually pretty hard to
[371] 23:50	get in Canada. Okay.
[372] 23:53	You might not find those on Amazon.
[373] 23:57	We've we've actually had some people say
[374] 23:59	to us that they have a really difficult
[375] 24:01	time getting our books through Amazon
[376] 24:03	Canada.
[377] 24:09	Um, in fact, I I knew one guy um a
[378] 24:13	neighbor of mine who wanted to buy my
[379] 24:14	books to support us. He had to go to the
[380] 24:17	US to get it. He had to actually had to
[381] 24:20	have it shipped to his PO box in
[382] 24:22	Washington State and then drive it back.
[383] 24:27	So,
[384] 24:32	so yeah. Um, people sending me my own
[385] 24:35	book, you know, I mean, we would just
[386] 24:39	resell it anyway if it was my own book,
[387] 24:41	but
[388] 24:45	yeah, it's it's kind of hard to get my
[389] 24:47	book in Canada. I mean, during the
[390] 24:50	postal strike, my I had a box of books
[391] 24:53	stuck in Missaga
[392] 24:55	waiting for customs clearance for three
[393] 24:57	months.
[394] 25:00	Yeah, getting getting my own book here
[395] 25:01	is
[396] 25:04	Yeah. Not not the not the easiest thing
[397] 25:08	to do.
[398] 25:12	Oh, yeah. We can't get get our t-shirts
[399] 25:14	off our own merch site. So it is like
[400] 25:16	that was that was horrible. We got to
[401] 25:19	find a new vendor for them.
[402] 25:26	Teespring's awful.
[403] 25:31	Okay.
[404] 25:37	CPM versus DOS. Do you live in Canada or
[405] 25:39	South America? What on earth? Yeah.
[406] 25:42	Um,
[407] 25:43	yeah, Canada's becoming a lot like South
[408] 25:46	America,
[409] 25:48	right down to the whole crackdown on uh
[410] 25:51	what you say and think, too.
[411] 25:56	And it's just getting worse. It's just
[412] 25:58	getting worse.
[413] 26:03	And it's not just the tariffs. I mean
[414] 26:05	they're the current uh government is uh
[415] 26:09	trying to strip away religious liberties
[416] 26:11	so it's not helping.
[417] 26:15	Thoughts on the tariffs doesn't do
[418] 26:16	anyone any good.
[419] 26:18	That's my thoughts on the tariffs.
[420] 26:25	Mama says you're not the first YouTube
[421] 26:27	entity to say Teespring stinks. Yeah,
[422] 26:29	they stink. Um the coffee cups were
[423] 26:33	okay. The coffee cups honestly are the
[424] 26:35	best thing uh that Teespring does. Um
[425] 26:38	the shirts are kind of not great. Um
[426] 26:41	stickers are really super expensive.
[427] 26:45	So
[428] 26:47	um the the the the coffee cups have worn
[429] 26:51	reasonably well. So I'm okay with their
[430] 26:54	coffee cups, their coffee mugs, but
[431] 26:57	that's really the the only thing they do
[432] 26:59	that's half good.
[433] 27:02	So,
[434] 27:08	Louis Sandival, is Canada re really bad
[435] 27:10	for Christians? It's getting that way.
[436] 27:13	Yeah, it's getting that way. Uh, if if
[437] 27:16	there's a violence against Christians or
[438] 27:18	they burn your church down, please do
[439] 27:20	nothing. Please do nothing.
[440] 27:24	So,
[441] 27:26	>> yeah, that's if they show up at all.
[442] 27:30	And so yeah, not it's not great. It used
[443] 27:33	to be
[444] 27:35	um you know what's it uh the recent uh
[445] 27:39	was it uh human freedom index the one
[446] 27:42	that just came out like this month
[447] 27:45	uh Canada dropped from sixth most free
[448] 27:49	country to 12th.
[449] 27:52	Okay. So so we're losing freedoms here
[450] 27:56	left, right, and center because of
[451] 27:58	government control.
[452] 28:00	So,
[453] 28:05	kind of stand. Yeah, that's not unfair.
[454] 28:13	Okay, let's move on to the next uh non-s
[455] 28:14	super chat question.
[456] 28:17	Let's see what where's the next one I
[457] 28:19	saw here.
[458] 28:21	Uh
[459] 28:22	keeps learning. It says, "If spirits and
[460] 28:25	divine counsel are called sons of God,
[461] 28:26	plural in Job and Psalm 82." Psalm 82 is
[462] 28:31	a bit iffy. Uh Psalm 82 is an infibly.
[463] 28:34	The reference to sons of God is not just
[464] 28:37	a reference to the council of gods. It's
[465] 28:40	also a reference to human judges too.
[466] 28:43	But he goes on, why does Hebrews 15 deny
[467] 28:46	it? It doesn't. It just uses it in a
[468] 28:48	different sense. Okay. Pull up our Bible
[469] 28:51	here and we'll see.
[470] 28:53	Okay.
[471] 28:55	Hebrews 1:5 says, "For to which of the
[472] 28:58	angels did he ever say, 'Thou art my
[473] 29:01	son, today I have begotten thee." And
[474] 29:04	again, I will be a father to him, and he
[475] 29:07	shall be a son to me. Now, what Hebrews
[476] 29:12	15 is doing here is it's using son in a
[477] 29:16	different sense. It's not using it as
[478] 29:20	say just an offspring
[479] 29:23	or a a created being by God like you
[480] 29:27	find the with the with the sons of God.
[481] 29:30	It's using it in a different way. It's
[482] 29:32	using it as in that sort of um that that
[483] 29:37	call sons of God that um um
[484] 29:44	that idea that thou art my son today I
[485] 29:48	have begotten thee. That's a that's a
[486] 29:50	declaration of of inheritance.
[487] 29:54	That's that's that declaration of of um
[488] 29:58	designated inheritor. Okay. So what's
[489] 30:03	going on here is that Hebrews 15 is not
[490] 30:05	denying Job or Psalm 82. What it's doing
[491] 30:10	is it's using this in a is using sun in
[492] 30:14	a different way.
[493] 30:17	Okay. So
[494] 30:20	uh so that's that's what's going on
[495] 30:23	here. It's it's not it's not a denial.
[496] 30:26	It's it's a different nuance. It's a
[497] 30:29	different nuance. It's a it's a
[498] 30:31	different use case of of the word son.
[499] 30:34	So as opposed to say a generic say
[500] 30:37	created being like you find in as I say
[501] 30:40	in Job and Psalm 82, it's using it in
[502] 30:43	the sense of designated inheritor. So
[503] 30:46	and this would have been very apparent
[504] 30:48	to those living in say the Mediterranean
[505] 30:51	world at the time. Okay. So I hope that
[506] 30:53	helps. Thank you for the question. Very
[507] 30:55	much appreciated.
[508] 31:00	Next one.
[509] 31:07	I did see one more. That was
[510] 31:16	Dark Blade asks, "Is the best villain uh
[511] 31:19	um honorable mentioned character the one
[512] 31:22	based on the scumbag youth pastor?" No.
[513] 31:27	that appears more in the second book.
[514] 31:31	This was uh this was uh just uh this was
[515] 31:35	about the first book. Okay. So this is
[516] 31:39	this is the
[517] 31:41	um this villain is is the uh the
[518] 31:44	commander of the mission. Okay. So he's
[519] 31:49	that guy. Okay. The the the ex football
[520] 31:54	captain of the football team. uh the
[521] 31:56	jock, the uh the incompetent commander
[522] 32:01	who bullies his way around. Okay. Uh the
[523] 32:05	the one based on the scumbag youth
[524] 32:07	pastor, he's he shows up in the second
[525] 32:11	book. So,
[526] 32:13	um, we haven't put out the second book
[527] 32:15	to be considered for awards much yet,
[528] 32:18	just because we're kind of coming around
[529] 32:20	at the end of the year here. And once
[530] 32:22	sort of, um, awards season sort of
[531] 32:25	finishes up, we will probably um, you
[532] 32:28	know, say, okay, you know, what do you
[533] 32:31	think of of book number two? At that
[534] 32:33	point, who knows? People tend to like
[535] 32:36	book number two more than number one
[536] 32:38	anyway. So we will be very very
[537] 32:40	interested to see what happens next
[538] 32:42	year.
[539] 32:46	CPN versus DOSS. Sloppy will win all the
[540] 32:49	awards.
[541] 32:52	Um
[542] 32:53	>> audience.
[543] 32:56	>> Maybe, maybe not.
[544] 33:01	Um, we did put um we did put all the
[545] 33:04	Stars as angels uh up for one award and
[546] 33:08	it made it to round four, but it didn't
[547] 33:11	make it beyond that.
[548] 33:13	So,
[549] 33:15	um but that's just sort of sort of
[550] 33:18	testing the waters. So, uh now round
[551] 33:21	four that was pretty good.
[552] 33:24	uh that particular contest which was I
[553] 33:26	think it was the international
[554] 33:29	um what was it called um or sorry the
[555] 33:32	independent alliance networks awards
[556] 33:35	that one was very interesting because um
[557] 33:39	they had they had a a a fourround
[558] 33:43	judging system
[559] 33:45	and actually it was technically a six
[560] 33:48	round but uh they basically said if if
[561] 33:51	your if your book was had grammar,
[562] 33:56	uh, punctuation correct, no major
[563] 33:58	spelling flaws, all that. It passed
[564] 34:00	round one. Second round, they looked at
[565] 34:03	story, story structure, um, development,
[566] 34:07	um, sorry, um, development, editing
[567] 34:09	problems, plot holes, that sort of
[568] 34:11	thing. If you pass round two, they were
[569] 34:14	happy. Uh, then they got nebulous with
[570] 34:18	rounds three and four, which basically
[571] 34:20	said, round three, we like the book. It
[572] 34:23	passes that goes on to round four.
[573] 34:25	Passes round four. It really really
[574] 34:27	really liked the book and then it goes
[575] 34:30	to um the finalists. We made it to round
[576] 34:33	four for All the Stars as Angels on that
[577] 34:36	particular uh contest. But um but that
[578] 34:40	told us at least at least that told us
[579] 34:42	the book is good that it just you know
[580] 34:45	was just out out comp um out competed by
[581] 34:48	the other other books it was up against.
[582] 34:51	So, you know, that's not a bad it's not
[583] 34:53	bad to lose against other good books.
[584] 34:56	So, we're fine with that. But next year,
[585] 34:58	we will probably look at uh um All the
[586] 35:02	Stars as Angels a little more for that,
[587] 35:04	especially since we will be also at that
[588] 35:07	point. Um book three will be uh up for
[589] 35:11	pre-sale at that point. And when book
[590] 35:15	three is when book three goes out for
[591] 35:18	pre-sale, people will be a lot more
[592] 35:19	interested in book two as well. So
[593] 35:22	that's cool. But we hope we hope we hope
[594] 35:25	Sloppy pulls a um
[595] 35:29	a honorable mention or a win of some
[596] 35:31	kind. That would be awesome because
[597] 35:34	everyone loves Sloppy.
[598] 35:38	Okay,
[599] 35:45	a CPM versus DOSS. Best hero, best
[600] 35:47	villain, all in one.
[601] 35:58	All right,
[602] 36:00	move on here. Next one.
[603] 36:16	and I did see one more I think thought.
[604] 36:25	Hey Micah, how's it going?
[605] 36:33	That's the one. Okay, this will be the
[606] 36:34	third non-sup super chat we take for
[607] 36:36	beginning here and then we'll probably
[608] 36:38	move we'll move on to the super chats.
[609] 36:40	We don't seem to have a lot of them
[610] 36:41	other than from AT. So, we might be the
[611] 36:44	at ministry show again.
[612] 36:47	All right. Uh James Murray Walsh says
[613] 36:49	the Amara period has a lot of admin
[614] 36:52	documents. Why didn't we find any
[615] 36:55	papyrus documents from Amarna? Okay, we
[616] 36:59	don't find a lot of admin documents from
[617] 37:02	Amarna period. Okay, we actually find
[618] 37:04	very few
[619] 37:06	um and part of it is
[620] 37:10	that
[621] 37:12	what survived from the Amarna period
[622] 37:14	were kuna form tablets. Basically those
[623] 37:17	aren't administrative documents. Those
[624] 37:19	are diplomatic correspondence. So
[625] 37:22	basically letters coming in from other
[626] 37:24	parts of the of the
[627] 37:27	um
[628] 37:29	ancient near east that are arriving at
[629] 37:32	Amarna in correspondence with the king.
[630] 37:36	Okay.
[631] 37:37	Now we don't find a lot of of documents
[632] 37:40	from Amarna because
[633] 37:43	Amarna isn't very high from the level of
[634] 37:45	the river.
[635] 37:47	So Amara did undergo occasional flooding
[636] 37:51	and if it floods it destroys those
[637] 37:55	documents.
[638] 37:57	So we don't have very many
[639] 38:01	administrative documents from Amarna. In
[640] 38:04	fact we have almost no administrative
[641] 38:06	documents from any period.
[642] 38:09	Uh they're rare, very rare. Most people
[643] 38:13	don't realize how rare administrative
[644] 38:16	documents are. You get some tax, you get
[645] 38:19	some tax documents. You get a lot of tax
[646] 38:21	documents because a lot of people had to
[647] 38:24	pay taxes and were given either receipts
[648] 38:26	or demands for payment. So, there's a
[649] 38:29	lot of tax documents especially written
[650] 38:31	in demonic,
[651] 38:32	but those are all going to be
[652] 38:36	south for the most part of Amarna.
[653] 38:40	But um even so, we just don't get a lot
[654] 38:44	of of administrative documents from
[655] 38:47	Egypt in general. We find a few that
[656] 38:51	date to Ramsey's the third and Ramsey's
[657] 38:54	IVth. We also
[658] 38:57	find some uh in the
[659] 39:01	um in the 19th dynasty as part of the
[660] 39:05	late Egyptian Melanies. But that's those
[661] 39:08	are really most of the administrative
[662] 39:11	documents that we find. And in the case
[663] 39:14	of the those particular sets of
[664] 39:17	documents, they're found in very erid
[665] 39:20	conditions like the ones the late
[666] 39:22	Egyptian misselies, they were found at
[667] 39:25	Sakara in somebody's tomb. And Sakara is
[668] 39:28	a very dry place.
[669] 39:31	the
[670] 39:33	um
[671] 39:35	the um
[672] 39:38	day- roll papyrii
[673] 39:41	of Ramsey's the third and Ramsey's the
[674] 39:43	fourth. Those were found at uh Dear El
[675] 39:46	Medina and that's also a really dry
[676] 39:48	place.
[677] 39:52	Crazy how dry and hot dear El Medina is.
[678] 39:58	Do not recommend it in the summer. Not
[679] 40:00	fun.
[680] 40:06	So what we find in Amarna is essentially
[681] 40:10	diplomatic correspondence and not from
[682] 40:12	the Egyptians. That's all been destroyed
[683] 40:15	and all rotted away. We do find
[684] 40:18	diplomatic correspondence
[685] 40:20	from other countries written in say Kaoa
[686] 40:24	form
[687] 40:26	and most of that KA form is Aadian Kao
[688] 40:28	form. There's like I think two documents
[689] 40:32	in Hittite and one in Huran.
[690] 40:35	So
[691] 40:37	almost all those documents from Amarna
[692] 40:40	are in Aadian
[693] 40:43	which is sort of the diplomatic language
[694] 40:46	of the ancient near east in the in the
[695] 40:48	Bronze Age. So but anyway that's why we
[696] 40:51	don't find any uh papyrus documents at
[697] 40:53	Amara too wet at least seasonally too
[698] 40:58	wet. So, I hope that helps. Thank you
[699] 41:01	very much for the uh for the question.
[700] 41:03	Really appreciate it. Okay,
[701] 41:06	now we get to move on to super chats.
[702] 41:11	All right, we're going to take this one
[703] 41:12	from that I have I promised to take
[704] 41:16	again, which was from 18 ministries, and
[705] 41:21	he asks, "Do you remember the thing
[706] 41:23	about the 30 pieces of silver?" Yes.
