[0] 0:00	[Music] n
[102] 15:03	itself so yeah absolutely a Christian can write about fiction and
[103] 15:11	mythologies with these other other real things in
[104] 15:17	mind so uh Pandaria out of yeah yeah that
[105] 15:24	silence that strength yeah parandas sorry
[106] 15:30	I just remember the one book out of the Silent Planet that's the only one of the trilogy I've actually read
[107] 15:36	so wasn't my cup of tea but um it was well I mean it was What It
[108] 15:43	Is That Hideous Strength
[109] 15:48	yeah yeah and that's what he did essentially was he he basically
[110] 15:54	allegorized biblical Concepts and wrote them as science fiction
[111] 16:00	poor science grade [Laughter]
[112] 16:07	fiction yeah was your cup of wasn't your cup of coffee
[113] 16:15	then oh dear no I I just didn't I I I couldn't
[114] 16:22	get into CS Lewis's fiction I just couldn't do it I mean um I I mean I tried uh the Narnia
[115] 16:30	stuff I tried his science fiction I just couldn't get into it I just it it just wasn't a writing style that sort of
[116] 16:36	appealed to my sensibilities and I find that sometimes especially
[117] 16:41	when books have long um narrative uh
[118] 16:47	long descriptions okay long descriptions I I I tend to it slows down
[119] 16:53	the writing for me and I I just don't like it that much um that's one of the things I found
[120] 17:00	problematic about say children of memory lot of long descriptions um a lot of long
[121] 17:06	descriptions it wasn't a good I didn't care for that writing style whereas with
[122] 17:12	starter villain lots of dialogue lots of character it's moving quickly I like
[123] 17:18	good pacing I like good pacing
[124] 17:25	so um so no no CS Le his stuff didn't appeal to me that
[125] 17:32	much I actually found a screw tape letters better though to be honest screw
[126] 17:38	tape was
[127] 17:43	good okay next
[128] 17:49	question here is from what are your thoughts on the Catholic Church's procedure for verifying Miracle claims
[129] 17:57	okay um cautious cautious I like and and I like
[130] 18:04	cautious cautious is good basically the way the Catholic
[131] 18:12	Church verifies uh Miracle claims is they don't they basically don't verify them
[132] 18:20	what they basically do is they say okay they'll investigate a miracle claim
[133] 18:28	but they'll never say it's a miracle what they'll say is that it's
[134] 18:33	either um not a miracle it's got human agency or some other natural cause
[135] 18:41	involved they'll say it's
[136] 18:47	unsubstantiated or they will say we don't find anything wrong with this but we're not going to put a stamp on it to
[137] 18:54	say it's a miracle so if you want to wor if you want to consider it a miracle
[138] 18:59	that's fine we don't see any problem with considering it a miracle but we're
[139] 19:05	not going to put a stamp on it
[140] 19:10	ourselves so count of Mercy I agree CS Lewis is
[141] 19:15	not all that good yeah not on not on his not on his fiction not on his
[142] 19:27	fiction so I like the fact I like the fact that the Catholic Church's procedure for verifying Miracle claims
[143] 19:34	is cautious I like that a lot
[144] 19:40	they yeah the church itself the Catholic Church itself the magisterium is much
[145] 19:46	more cautious than the Le I would like to see more of that caution trickle down into the
[146] 19:54	pews Okay so so I like that about their Miracle
[147] 20:01	their investigation of Miracle claims it's very cautious and I think as I said if more that caution trickled down into
[148] 20:07	the pews you would get a stronger church so I like that I really like that about
[149] 20:13	the Catholic church but again it's it's one of those
[150] 20:18	things where um they're just not going to put a stamp on it and claim it is a
[151] 20:26	miracle now there's a there's a flip side to this
[152] 20:31	too which is when they when they make Saints when the CH
[153] 20:38	uh Church puts its stamp of approval on the on the on um making
[154] 20:46	Saints [Music] is they often to to declare someone as
[155] 20:53	Saint to canonize someone as a saint there has to be evidence of Miracles
[156] 20:59	so they have this sort of there's this tension here by claiming well we we
[157] 21:07	can't verify it is actually a miracle and at the same time saying well for this s there was
[158] 21:13	Miracles kind of like having your cake and eating it too
[159] 21:19	so so I I I don't like that I think they have to be I think they need to apply
[160] 21:25	the same caution to the canonization saints that they do say to the
[161] 21:31	verification of Miracles if they did that then they'd be totally on the right track so it's mixed
[162] 21:38	messages it's mixed messages so I wish the story from the
[163] 21:44	Catholic church was more consistent on this level but as far as its verification of Miracles their procedure
[164] 21:51	procedure is good like the procedure cautious fantastic all Miracle claims
[165] 21:58	should be approach with caution they should also apply that to the canonization of saints as well okay
[166] 22:05	so anyway I hope that helped thank you very much for the question very much
[167] 22:11	appreciated okay now there's a question I need to
[168] 22:20	answer last week a sponsored a
[169] 22:27	question from my producer she didn't have one now she
[170] 22:33	does so this is a sponsored question okay this is regarding IP's
[171] 22:41	guest on process theology she says God changing as he
[172] 22:47	interacts with us how does relationship with others affect
[173] 22:52	ontology specifically a non-h heretical way please
[174] 23:00	okay um now I will agree that relationship does
[175] 23:08	affect our ontology okay we are creatures in
[176] 23:14	community we grow when we're in community we get more intelligent when
[177] 23:19	we're in community we are personalities develop in community so relationship
[178] 23:27	deeply affects the development of human beings there's no question about this
[179] 23:32	the wild children you know those those children that were you know adopted by
[180] 23:38	wolves and lived out in the wild who had no Community with other human
[181] 23:43	beings come back and they are developmentally challenged they are um unable to
[182] 23:52	speak they generally do very very poorly on say IQ tests
[183] 23:59	people need Community to grow and develop okay now in the case of God God
[184] 24:09	doesn't need to grow or develop he is fully
[185] 24:15	developed as such because he is in relationship with the other members of
[186] 24:20	the Trinity that's the ultimate so there's no room for God to
[187] 24:26	grow so God has Rel relationship with mankind not because he needs to develop
[188] 24:32	or for his ontology but for his enjoyment so and you can have
[189] 24:39	relationship without development or ontology but in the case of human beings
[190] 24:46	you need it to develop to grow um to
[191] 24:51	bounce ideas off of it's part of it's part of our development
[192] 24:57	process so so I don't think there's anything heretical about that and the fact is that if God is in
[193] 25:06	Trinity he's already got the ultimate relationship already and there's no expansion for him to grow then
[194] 25:12	relationship just becomes a matter of position in relationship to him not as
[195] 25:19	to him changing in any particular way so does that answer your
[196] 25:25	question okay we got the answered question one answered question tonight
[197] 25:35	woohoo all right now let's get to the super
[198] 25:42	chats our first Super Chat here is from Jack Ray thank you very much for those
[199] 25:48	five ancient Egypt and the Bible memberships we really appreciate and are most grateful for that
[200] 26:01	okay uh we really do appreciate your support of the channel thank you so very much we really appreciate it those
[201] 26:09	memberships do mean a lot to us so uh especially during certain months when
[202] 26:15	things get thin they can really really help us out so we're so grateful and thank you so very
[203] 26:23	much okay next Super Chat here is uh Papyrus pun
[204] 26:28	who became an Osiris tier member thank you very much for becoming a member of the channel at that level really helps
[205] 26:36	us out again thank you so very much people who pay for their own uh super chats do help and spread the um spread
[206] 26:47	out Jack's gifts to allow people who don't can't afford them or who are um
[207] 26:54	supporting or who who would like to be part of of the community but but can't support it in quite that way so we
[208] 27:00	really do appreciate people who pay for their memberships
[209] 27:09	too okay Addison Weir for 199 thank you for the Super Chat thoughts on heiser's
[210] 27:16	book on Angels um I've only briefly skimmed it I haven't actually sat down and Reddit
[211] 27:25	um my thoughts on it were it wasn't quite up to the same standard as uh
[212] 27:32	unseen realm but I've also heard the same thing about his demon book too so um as I say
[213] 27:39	I'm I'm going to have to give this probably a Miss because I've as I said I've only skimmed it but it's it's um
[214] 27:48	it's not someplace I I would specifically recommend I would recommend
[215] 27:53	his Unseen World oh or his unseen realm his unseen realm is a very good book
[216] 27:59	but Angels probably less so but again I can't say for sure
[217] 28:06	because I only skimmed it so anyway thank you much for the Super Chat very much appreciate
[218] 28:14	it as and Weir for 19 199 thank you for the Super Chat and he asks on one hand
[219] 28:22	I'm starting to better appreciate the importance of tradition okay as well as the benefits of
[220] 28:29	theological retrieval mainly thanks to Gavin ortland okay sh okay I can see
[221] 28:35	that on the other hand I also see heiser's point when he said the context
[222] 28:40	of the Bible isn't the history of Christianity now that is
[223] 28:45	true and how his approach may be very have very had very fruitful results help
[224] 28:52	in resolving this tension okay um the I think we're getting back here to that
[225] 28:58	christocentric and choic distinction once again
[226] 29:05	and Kaiser was very christell now um he's
[227] 29:13	Christel and that what that means is you start with the Bible's context the context the original
[228] 29:18	passages uh his his starting point though is second temple period
[229] 29:24	literature so and he was he was essentially a second temple period
[230] 29:29	scholar so not all of that literature of the Bible as its context in the second
[231] 29:35	temple period but that's where he sort of got his
[232] 29:40	foundation gav ortland on the other hand is I believe did his PhD in church
[233] 29:46	history I'm not sure but I think he did it um his early his PhD in early church
[234] 29:53	history so for him theological uh trans tradition are going to be very
[235] 29:59	important now how do you reconcile the two how do you reconcile two I think the best way is to
[236] 30:08	start with the context start with the Bible's context and then move into the
[237] 30:17	tradition and yeah it's the only way you can see if tradition got it
[238] 30:23	right so so I think it's one of those things where
[239] 30:28	you can have both you can have context and you can have tradition it's not it's
[240] 30:35	not a either or thing you can have both so you start with the
[241] 30:42	context you make sure you get your exes correct then you move into the tradition
[242] 30:48	if the tradition is correct fantastic go with it or if it doesn't contradict also
[243] 30:54	you can go with it you know it's it's only you only have to reevaluate tradition in any true sense if there's a
[244] 31:02	problem with it sometimes there is sometimes there isn't sometimes it's
[245] 31:08	just more it's it's it's neutral so uh
[246] 31:15	definitely you can look at that from various points of view but I tend to
[247] 31:21	like to to take that that context approach first and then you've got a
[248] 31:26	good interpretation at the end of that um but I'm also not going to Discount tradition either I think tradition can
[249] 31:33	be very informative it can be very helpful it adds a layer of understanding
[250] 31:39	to our texts so I don't have any problem with people who say oh I've got a tradiction
[251] 31:45	hey fine if you can reconcile that with the text fantastic go for
[252] 31:51	it so there's importance in both I wouldn't discount either
[253] 31:59	but again it's one of those things where I think the method you apply it is going
[254] 32:04	to change things okay because you don't ever want to double down on a tradition that's going
[255] 32:11	to defy the context that's really going to get you land you in some
[256] 32:17	difficulties so start with context end with tradition all right and that should help
[257] 32:24	you resolve the tension so anyway thank you very much for the Super Chat very much appreciate hope that
[258] 32:33	helps yeah CH like not cryst ogical or Crystal Centric
[259] 32:41	yeah okay because technically they're both Crystal
[260] 32:50	logical okay next uh Super Chat here is
[261] 32:56	from and jaon RAF for $20 thank you for that
[262] 33:01	generous Super Chat Revelations 2116 all right let's pull up our
[263] 33:12	Bible okay and he says dimensions of the New Jerusalem suggest a cube shape
[264] 33:18	scholar GK Beal thinks it is it's because it's shape of the holy of
[265] 33:23	holies but it could also be a pyramid perhaps a call back to the Garden of
[266] 33:29	Eden being at the top of a mountain okay let's take a look at
[267] 33:37	this see what Revelation 216
[268] 33:44	says
[269] 33:53	2116 and the city is laid out as a square and its length H is as great as
[270] 34:00	its width and he measures the city with the rod 1500 miles its length width and
[271] 34:09	height are equal and he measured its walls 72 yards according to human measurements which
[272] 34:15	are also Angelic measurements okay so it's it's really hard to say what is
[273] 34:23	actually being thought here the idea that this could be a mountain is possible I've seen that
[274] 34:30	reading it could be a pyramid I doubt it though potentially a
[275] 34:37	zigurat is also possible um the problem is though it has
[276] 34:42	walls on top so it's not a pyramid okay so it's it's it's got walls it's got a
[277] 34:50	City built on top of it so it's unlikely to be a in my in my estimation a pyramid
[278] 34:58	it's unlikely in also in my estimation to be a cube okay I think that's a wooden liter
[279] 35:05	reading of the text although it Foundation is a square so it could be a
[280] 35:10	tell it could be a very very big tell and that would be okay I mean that would
[281] 35:16	be perfectly reasonable in the context of I mean ancient writers knew cities
[282] 35:23	were built on TS and if you look at a tell it's a square shaped
[283] 35:28	Mound a lot of the times I mean it's not always a square shaped down but often times it's Square shaped so it could
[284] 35:37	could just as likely be a tell where you wouldn't you wouldn't
[285] 35:42	have you wouldn't have they would they would describe this in the Greek as being a square
[286] 35:49	but uh I don't know what the footnote is the footnotes don't work on this so uh I
[287] 35:54	think that's the measurement in cubits
[288] 36:00	many something like that Stadium it's measured in stadium so
[289] 36:07	basically the footnote is telling you that um what the original word would have been in Greek
[290] 36:14	because they didn't use miles back
[291] 36:20	then so
[292] 36:25	um so yeah I think the cub is a forced interpretation I also think kind of the
[293] 36:31	pyramid is as well but I think it's more reasonable that it's a a top of a mountain or a
[294] 36:43	tell oh oh BC these guys would be great to play
[295] 36:50	poker with can't hide their tells oh oh bad bad bad bad pun
[296] 37:01	okay so that's what I think it is I think it's a tell but we don't know for sure let's be honest we just don't know
[297] 37:08	for sure um I think the pyramid is kind of a force take I think that the uh Cub
[298] 37:13	is forced take twoo so I hope that answers your question thank you very much for the
[299] 37:19	Super Chat very much
[300] 37:26	appreciated p Jack Ray huh okay the next Super Chat here is from Daniel for $10
[301] 37:32	thank you for the Super Chat you mentioned in an earlier episode that the Lost book of Wars of Yahweh was
[302] 37:40	found among the Dead Sea Scrolls how do we know that this scroll is indeed the Lost book of the wars
[303] 37:48	um there were from what I gather and I'm not an expert on this so I'm going to I'm just going to admit here that this
[304] 37:54	is coming out of uh really old memories okay so what I could be saying here is
[305] 38:01	could be completely wrong okay but from what I remember there's been quotes in
[306] 38:09	other texts taken from the book of wars and those quotes match with the
[307] 38:16	scroll that was found in the kumran um uh uh jars so that's how I
[308] 38:23	think they identified it as the book of Wars but I'm not sure okay and again this is just going back
[309] 38:32	on on really hazy memory here so I'm not a Dead Sea scroll expert I don't know
[310] 38:37	for sure how they identified it as the book of Wars but I'm but as I recall
[311] 38:42	that is a what they identified it as so um again not my field per se but that's
[312] 38:50	the best I can recall so I hope that helps and it could be completely wrong so thank you very much for the Super
[313] 38:56	Chat very much appreciate it
[314] 39:04	Danny for $10 thank you again for the Super Chat a skeptic friend told me that the Persians invented pants and because
[315] 39:12	of this passage in P in the penet such as Leviticus 610 which supposedly
[316] 39:17	mentions pants must be late any of this true no okay but let's look at the
[317] 39:25	passage let's look at
[318] 39:30	IUS Leviticus
[319] 39:35	6 verse 10 okay and the priest is to put on his
[320] 39:42	linen robe and he shall put on undergarments next to his flesh and he shall take upon
[321] 39:50	the Ashes to which the fire reduces to the burnt offering on the Altar and
[322] 39:55	place them beside the altar okay now the ancient Israelites didn't
[323] 40:02	wear pants okay there's basically the undergarments
[324] 40:07	are a kind of um wrap that they put around their loins
[325] 40:14	that's what it is it's a loin cloth uh but it's it's wrapped around it and
[326] 40:20	that's that's kind of what those are okay so it's a kind of
[327] 40:25	undergarment but it's it's a kind of a it's a wrapped undergarment the and then the Rope goes
[328] 40:32	over top there are no pants here okay uh they wouldn't be invented for until as
[329] 40:39	you say the Persian period so um I think I don't think here that pants is a good
[330] 40:45	translation here of of Leviticus 610 so
[331] 40:52	um exotical apologetics gir your up your loins yeah yeah well it there was a
[332] 40:59	way there was a there was a uh a really interesting video on how that was
[333] 41:05	done where you actually have to to tie up this this um this sort of uh Kilt in
[334] 41:15	a way this Wap in a way that you girded them up so really interesting really
[335] 41:23	interesting um so yeah it was a thing it was a thing but uh pants weren't a thing so I hope
[336] 41:32	that helped thank you very much for the Super Chat very much appreciate
[337] 41:46	it that's
[338] 41:52	funny okay next one here is from at Ministries for1 199 thank you for the
[339] 41:58	super chat if blessings are a big deal why do
[340] 42:03	we bless food we call it blessing it's really a thank you it's really what it
[341] 42:11	is you don't actually bless it okay
[342] 42:18	um yeah you could ask for blessings on the cook and that be proper but people
[343] 42:24	didn't bless things per se um you know and the bless here is we we
[344] 42:31	would sort of use this it's it's sort of a um how do I say this a an
[345] 42:38	extension of true blessing okay you know when you bless food you're not actually
[346] 42:44	making it holy okay you're not you're not baring it as such you know you're not making it
[347] 42:52	holy you know you know and it it comes a
[348] 42:57	tradition uh bro Adonai you know um
[349] 43:04	um blessed are you so you know there's uh blessed are you oh Lord but
[350] 43:12	you know it's it's that's a different sort of blessing than what you would um on food
[351] 43:20	than what you would do say on a person it's different it's qualitatively different and it has different implications too
[352] 43:32	uh yeah that's entirely different again yep uh what about holy water uh a
[353] 43:39	Alexis says here um I'm going to I'm not going to touch
[354] 43:46	really holy water here with a 10-ft pole um I know there's some people out there
[355] 43:51	that really really believe in holy water okay um
[356] 43:58	I have a vial of holy water here on my desk okay uh does it actually do
[357] 44:06	anything that's a whole different question
[358] 44:13	so does doesn't keep the ghosts away no we did that we tried
[359] 44:22	that it doesn't keep the ghost away
[360] 44:31	um I actually did this I actually um uh at West Elm where we had that haunting I
[361] 44:38	laced the place with holy water didn't do a thing people were still seeing
[362] 44:46	apparitions so um yeah I don't know how effective it is
[363] 44:51	really so I'm just [Laughter]
[364] 44:58	so um uh some people swear about it I don't
[365] 45:04	I don't know but I know I know disappointing isn't it
[366] 45:10	yeah I wouldn't trust I wouldn't trust it as as vampire repellent either at this point
[367] 45:20	um leave a two star review
[368] 45:25	[Laughter] you know if it if you can't get rid of the ghosts you know what's it going to
[369] 45:30	do against vampires
[370] 45:36	really it's in the social contract
[371] 45:41	exactly BC sprinkled everywhere ghost still around yeah of course then I I consider ghost
[372] 45:48	to be more like rodents you know you can't really get rid of them that easily
[373] 46:13	U mama said so I can't make little holy water bombs to throw at demons probably wouldn't work
[374] 46:27	Ghost Rats are worse than real rats oh yeah oh yeah Ghost Rats are
[375] 46:34	definitely worse than real rats okay
[376] 46:41	so um so yeah holy water might be blessed I don't know what tangible
[377] 46:47	benefit that brings [Music] um when we bless food it's really more
[378] 46:54	of a thank you we're thanking God for providing food that's what we're really doing we're not making the food
[379] 47:01	holy so the idea of blessing food is more about thanking God than actually
[380] 47:08	making it holy so I hope that helps thank you much to Super Chat very much
[381] 47:15	appreciate count of maybe garlic Tred maybe Tred
[382] 47:22	garlic could be
[383] 47:28	okay 18 Ministries for 199 thank you for the Super Chat thoughts on Keel and Del's
[384] 47:34	commentary not a fan um I don't think it's a good
[385] 47:42	commentary it's not the worst commentary I've ever used uh it's not the greatest either
[386] 47:50	I've had some I've had some real issues with uh using that commentary especially
[387] 47:56	when he tries to get into when they try to get into some of the egyptological material they don't seem to know what they're doing
[388] 48:03	so um they just uh it's just really odd
[389] 48:09	some of the stuff they they said was really strange like for example they think that um that pamsy that the city
[390] 48:17	of Ramsey was uh in the W tumalon and it's and it's not
[391] 48:23	so uh it's a commentary on the book of Exodus it's a commentary the book of
[392] 48:31	Exodus
[393] 48:37	so so I I'm not a great fan of that commentary I think there's better commentaries out
[394] 48:46	there Alexis do they ever consult egyptologists for this kind of stuff oh never never they never consult
[395] 48:54	egyptologists uh comedy com writers yeah commentary writers never
[396] 49:00	consult egyptologists uh there's too much hedge production too much professional hedge
[397] 49:05	protection uh between biblical Scholars and egyptologists so they're it's not
[398] 49:11	going to happen
[399] 49:17	so so un I wish they would I wish they would
[400] 49:23	um Em toescu which commentaries would you recommend commend I think the best
[401] 49:28	basic commentary out there I mean my goat I'll I'll just say this I don't have a favorite one that I really really
[402] 49:36	recommend um my go-to is Nahum Sara that's my go-to okay SAR is who I go to first when
[403] 49:43	I want to look up something in the commentary if I can't look it up if I can't find it in s s I'll go to some
[404] 49:49	other commentary but I'll start with Sara and then work from there it seems
[405] 49:54	to be a good starting point as a
[406] 50:04	commentary so I'd say start with Sara and then go consult um commentaries now
[407] 50:12	if you want to consult ke and delites that's fine but some of there some of
[408] 50:18	the stuff is not that great so it's it's a sort of um you know and no commentary
[409] 50:24	is going to get things 100% right okay we'll go be careful about that too A Commentary is a is a starting
[410] 50:31	point it's a starting point that's why you consult more than one commentary you
[411] 50:37	know whenever you do your preaching and teaching you generally start you use
[412] 50:42	five commentaries or more so treat commentaries like a
[413] 50:47	starting point not the Final
[414] 50:53	Destination um there was a there's a terrible uh statistic that it's like there's like
[415] 51:00	90% of pastors use 0o to1 commentaries when they do their their their
[416] 51:07	sermons 0 to one yeah that's not sufficient not
[417] 51:13	sufficient for for the preaching Ministry
[418] 51:22	so so yeah it's it's pretty bad there's a reason why state of preaching is what
[419] 51:27	it is
[420] 51:34	today okay next one here is from at mysteries 19 199 thank you for the Super Chat where's the myth of Joe being the
[421] 51:41	oldest book from I'm not sure where that myth
[422] 51:47	originates um it's definitely a myth though there's no no important scholar
[423] 51:53	today that really thinks job is the oldest book anymore it does seem to come out of a lot
[424] 52:01	of of say more more say fundamentalist or
[425] 52:06	traditional teachings but I don't think anyone thinks it's it's the oldest anymore that's a serious
[426] 52:17	scholar Alexis wait people think that oh yeah it's still repeated yeah yeah I've
[427] 52:24	heard it I've heard that myth that job is the oldest book of of the Bible yeah
[428] 52:30	um and I'm not sure where they get it from either you know because you look at the context of the Book of Job
[429] 52:37	and uh it's it's clearly Iron Age it's got to
[430] 52:44	be Iron
[431] 52:50	Age so so yeah there's still people passing around that myth
[432] 52:56	and I don't think there's any doubt it's Iron
[433] 53:04	Age mama says you only recently disillusioned me from that Dr
[434] 53:10	Fulk well I think that's a good thing you learn something right that's a good thing learning is
[435] 53:18	good we all want to learn we all should learn I'm learning
[436] 53:27	we do like in this last year yeah that's why we do this we do this so you
[437] 53:32	learn and we learn in the process too you know we believe that the best way to be a good teacher is to be an excellent
[438] 53:39	student if you're not still a student as a teacher you're not progressing
[439] 53:49	you're well um you're my favorite disillusionist let's put it that like
[440] 53:56	that okay most people just get angry at me when I do
[441] 54:05	that dark blade I suspected of it being iron H ever since I read the mention of
[442] 54:11	iron and it well that does help uh the fact is that it talks about the arameans too the
[443] 54:17	calans and um you know those are you have to be post matani to do that for
[444] 54:24	that to be possible so if it's post matani then you're talking Iron
[445] 54:33	Age so you you do there there's enough clues in there to figure it
[446] 54:46	out barbecuing sacred
[447] 54:51	cows says I like beef I like beef too I personally beef is my favorite I love
[448] 54:58	beef um and I my steaks rare blue
[449] 55:05	[Laughter] rare Jack Ray expose children to Dr folk
[450] 55:12	Crush Santa and other things then you look like the hero because you're not
[451] 55:20	him thank you Jack nice to know we're appreciated
[452] 55:26	[Laughter]
[453] 55:32	[Laughter] yeah okay let's get to the next Super Chat
[454] 55:42	here also from at Ministries for 499 is partialism only a heresy if you
[455] 55:49	believe in defined Simplicity does it not apply in the case to the essence energies dis
[456] 55:56	distinction well it's one of those things where Divine Simplicity and
[457] 56:03	Essence energy distinction isn't necessarily mutually
[458] 56:08	exclusive okay you can have Divine Simplicity and still have the essence
[459] 56:15	energy distinction okay that just means that just means that the essence has Divine
[460] 56:23	simplicity so it's it's not just um it's not a exclusive thing
[461] 56:30	here now with that said there are some issues with Divine Simplicity and uh this is why a lot of
[462] 56:37	say Evangelical Scholars are now sort of walking back from Divine Simplicity and I don't think it's partialism that
[463] 56:44	that's causing that walk back I think that's more a problem of
[464] 56:49	identity because one of the things with Divine Simplicity is it pushes towards
[465] 56:54	the dissolution of identity and without identity you don't have
[466] 57:00	hypostasis and then you don't have persons and if you don't have persons you don't have
[467] 57:07	Trinity so um it's it's it's not that partialism
[468] 57:16	itself is partialism is going to be it itself a a problem for both Divine
[469] 57:23	Simplicity and for the essence energy distinction
[470] 57:29	but Divine Simplicity takes it to an additional step that the essence energy
[471] 57:36	distinction doesn't so that's where I would sort of um say
[472] 57:45	draw the line here partialism could be a problem for both no doubt but in the case of the energy uh
[473] 57:52	Essence distinction it's going to be related to the essence not the energy so I hope that helps thank you very much
[474] 58:00	for the Super Chat very much appreciate
